Tweets	id	len	date	source	likes	rt
¿Sabías que un cartucho de cigarrillo electrónico contiene la misma cantidad de nicotina que un paquete de cigarril… https://t.co/povv4Y3yKd	1118699452628393984	140	2019-04-18 02:15:08	SocialFlow	42	37
El alcalde de Yuma, Arizona, declaró el estado de emergencia y dijo que su ciudad no tiene los recursos para respon… https://t.co/FdEdjkHRnc	1118699450548064256	140	2019-04-18 02:15:08	SocialFlow	11	2
🐖 Un sistema de apoyo que suministra sangre artificial a los cerebros de los cerdos evitó la degradación de importa… https://t.co/hWQ8JiWSXk	1118698188469415937	140	2019-04-18 02:10:07	SocialFlow	35	14
A la humanidad podría llevarle cientos de años, si no miles, desarrollar la capacidad de explorar el espacio intere… https://t.co/LYfvDPZJf0	1118696915871440896	140	2019-04-18 02:05:03	SocialFlow	84	33
Guía para el informe Mueller: ¿qué es, qué contiene y cuándo lo veremos? https://t.co/NXRSKRQ2cA https://t.co/wWt93qV5T0	1118695681869471744	120	2019-04-18 02:00:09	SocialFlow	5	4
Para acceder a la pornografía en línea, los adultos podrían tener que presentar documentos de identificación como t… https://t.co/t87iYvBP3V	1118694404536115200	140	2019-04-18 01:55:05	SocialFlow	123	38
Trump alega que las políticas hacia Cuba han permitido que expanda su ideología en la región. https://t.co/Es0dxUs00L	1118693143707308033	117	2019-04-18 01:50:04	SocialFlow	67	37
Sigue a @serhumanocnn https://t.co/K3LB8NTlMw	1118692486061461504	45	2019-04-18 01:47:27	Twitter Web Client	14	1
"La obra del artista chino es presentada en Ciudad de México. 
https://t.co/gr4YS2hGQG"	1118691895222394880	85	2019-04-18 01:45:06	SocialFlow	20	7
"¿Influirá el contexto económico argentino en las urnas?
https://t.co/14vAaE8POQ"	1118690637795274752	79	2019-04-18 01:40:06	SocialFlow	16	6
Este 20 de abril se cumplen 20 años de Columbine, la matanza que marcó un hito en ataques a escuelas de EE.UU. https://t.co/uylmVvypbi	1118689627886563328	134	2019-04-18 01:36:06	SocialFlow	48	23
"El grupo de 7 miembros presentó su exitoso hit ""MIC Drop"".

https://t.co/TLIwHM7MkQ"	1118689374097543168	83	2019-04-18 01:35:05	SocialFlow	38	11
"Un comité decidirá si la aguja será una réplica de la original o si se adaptará a la modernidad.
https://t.co/VsKFnriqck"	1118688114342547457	120	2019-04-18 01:30:05	SocialFlow	69	30
Una pareja australiana sobrevivió más de un día entero atascada con su vehículo en medio de un pantano infestado de… https://t.co/B5sbRnidro	1118688106465591296	140	2019-04-18 01:30:03	SocialFlow	55	24
De las 4 compañías contratadas en las obras de reparación, sólo 2 tenían trabajos en curso pero sus trabajadores no… https://t.co/ZSW3sW5KUN	1118685618979115010	140	2019-04-18 01:20:10	SocialFlow	43	28
"El suicidio de Alan García planteó interrogantes sobre cómo puede prevenirse. 
https://t.co/3g7wRGCTjS"	1118684355256311814	102	2019-04-18 01:15:09	SocialFlow	32	25
La noche anterior, en diálogo con la cadena RPP, Alan García, de 69 años, afirmó reiteradamente que no había nada q… https://t.co/ih6SOXWY5s	1118684350453886981	140	2019-04-18 01:15:07	SocialFlow	56	30
El artista Ai Weiwei exhibe un templo ancestral de la dinastía Ming en México https://t.co/LZfWVe3nqE	1118684085696778240	101	2019-04-18 01:14:04	SocialFlow	19	3
Un nuevo experimento ha planteado cuestiones médicas y éticas tan serias como las que rodean la edición de genes hu… https://t.co/tlBuDRGTS4	1118682582080790530	140	2019-04-18 01:08:06	SocialFlow	50	20
Considerando que el alcance masivo del informe aún se desconoce, aquí hay una guía de los aspectos básicos del info… https://t.co/n5ibLjFjqQ	1118679304760643588	140	2019-04-18 00:55:04	SocialFlow	15	5
Los manifestantes continúan bloqueando algunos de los sitios más concurridos de la capital del Reino Unido para ale… https://t.co/eW4i5G93oZ	1118678051565527041	140	2019-04-18 00:50:06	SocialFlow	46	29
La muerte de García recuerda el destino final de algunos líderes políticos mundiales que, presionados por cuestione… https://t.co/mdqeu2fXv4	1118676778871074816	140	2019-04-18 00:45:02	SocialFlow	60	49
Matthijs de Ligt, el capitán del Ajax, fue el gran protagonista en la eliminación de la Juventus y el Real Madrid. https://t.co/wJbkAbsnww	1118675543162068992	138	2019-04-18 00:40:08	SocialFlow	59	8
"Escribieron en el lodo la palabra HELP (""Ayuda"") en letras gigantes para que los vieran desde el aire y funcionó. M… https://t.co/S6fia7Kpod"	1118673768740683777	140	2019-04-18 00:33:05	SocialFlow	170	35
Esta temporada alta será aún más costosa para los viajeros https://t.co/BAiANoGiEY	1118671754489225218	82	2019-04-18 00:25:04	SocialFlow	29	22
Treinta empleados que trabajaban en el lugar emblemático de París antes de que estallara el incendio fueron entrevi… https://t.co/BlIQAUx2Zd	1118667982824251392	140	2019-04-18 00:10:05	SocialFlow	42	22
"""El expresidente tomó la decisión de dispararse"", dijo su abogado Erasmo Reyna afuera del hospital, antes de la mue… https://t.co/Tf67UdB1u4"	1118667227908145154	140	2019-04-18 00:07:05	SocialFlow	69	35
Después de años de investigación, 500 testigos entrevistados y una tonelada métrica de tinta, el Congreso y el públ… https://t.co/AX1wIjbQAZ	1118664453720027137	140	2019-04-17 23:56:04	SocialFlow	30	15
Migrantes provenientes de África se unen a la caravana en busca de asilo en México https://t.co/8PXIeOBQ1S	1118662954344435712	106	2019-04-17 23:50:06	SocialFlow	38	25
"• Roh Moo-Hyun, Corea del Sur, 2009
• Antonio Guzmán, República Dominicana, 1982
Más: https://t.co/X65adFafa4"	1118661695822495744	109	2019-04-17 23:45:06	SocialFlow	38	33
Un nuevo sistema de construcción, diseñado por el laboratorio Matter Design y CEMEX Global R&amp;D, permite mover pieza… https://t.co/tVUeWdQv1l	1118660690674425856	144	2019-04-17 23:41:07	SocialFlow	109	54
Es probable que las tarifas aéreas aumenten este verano boreal, la mitad de año. ¿Tienen que ver problemas de Boein… https://t.co/TBoChb5yy1	1118656648996892673	140	2019-04-17 23:25:03	SocialFlow	18	9
Durante la conversación con el periodista, García afirmó reiterativamente que no había nada que lo vinculara con lo… https://t.co/6Mqxtsolzg	1118655395407511552	140	2019-04-17 23:20:04	SocialFlow	26	18
En 1985 Alan García se convirtió en el presidente más joven de la historia de Perú. Fue elegido a los 36 años  https://t.co/ELoVvX4zUY	1118654143239999489	134	2019-04-17 23:15:05	SocialFlow	142	98
