Tweets	id	len	date	source	likes	rt
RT @archillect: https://t.co/m9bpw4oXwt	1118675172133883905	39	2019-04-18 00:38:39	Twitter for iPhone	0	1237
"RT @revistaproceso: AMLO y Yalitza, en el top 100 de “Time” de personas más influyentes del mundo
https://t.co/QZ2UW4FdrE"	1118674632926691328	121	2019-04-18 00:36:31	Twitter for iPhone	0	161
RT @nytimes: Breaking News: White House and Justice Department officials discussed Robert Mueller’s findings several times ahead of his rep…	1118674466958192640	140	2019-04-18 00:35:51	Twitter for iPhone	0	3183
RT @el_pais: Ha muerto el Nobel Paul Greengard, que utilizó todo el dinero del premio (unos 300.000 dólares) para crear otro premio para mu…	1118674270417313792	140	2019-04-18 00:35:04	Twitter for iPhone	0	911
@Enea_Salgado Jajajajaja 👏	1118674156999122944	26	2019-04-18 00:34:37	Twitter for iPhone	65	5
RT @cataperezcorrea: Un expresidente de Perú se suicidó cuándo lo iban a detener por delitos de corrupción relacionados al caso Odebrecht.…	1118610526723031041	139	2019-04-17 20:21:47	Twitter for iPhone	0	631
"RT @NewYorker: An early look at next week’s cover, ""Our Lady,"" by Bob Staake: https://t.co/cz6ZkERreq https://t.co/84MQzoRVrY"	1118606987581956096	125	2019-04-17 20:07:43	Twitter for iPhone	0	968
“AMLO esperó 12 años para llegar a ser presidente y tiene prisa para actuar. Pero tarde o temprano se dará cuenta q… https://t.co/L8T2qkJypl	1118603501007986688	140	2019-04-17 19:53:51	Twitter for iPhone	1560	580
RT @Santiago_Arau: Oaxaca (2019). https://t.co/y1BOYJo5oy	1118601386193821696	57	2019-04-17 19:45:27	Twitter for iPhone	0	84
"RT @PoetasHispanos: Yo no puedo tenerte 
ni dejarte, ni sé por qué, 
al dejarte o al tenerte, 
se encuentra un no sé qué 
para quererte y m…"	1118583901121695744	140	2019-04-17 18:35:58	Twitter for iPhone	0	477
@PabloGomez1968 @lopezobrador_ Sí, ya. Queremos un estilo de gobernar que no mimetice lo peor del pasado, que no de… https://t.co/QVMVBkMjtq	1118582200876666880	140	2019-04-17 18:29:13	Twitter for iPhone	3676	837
