Tweets	id	len	date	source	likes	rt
¡Adiós a la comida chatarra! https://t.co/7uFqVKpVMG	1118701797277863938	52	2019-04-18 02:24:27	TweetDeck	4	3
Estos son los vehículos que no podrán circular mañana.  👇https://t.co/jPXTXw5RXO	1118694025148739587	80	2019-04-18 01:53:34	TweetDeck	2	5
Tranquilos, 'Chabelo' está bien. https://t.co/XIRFrRPkE4	1118693429700067328	56	2019-04-18 01:51:12	TweetDeck	22	5
En las últimas horas ya se regularizó el pago de las tres quincenas pendientes. https://t.co/soUYtoSRi5	1118692532102287360	103	2019-04-18 01:47:38	TweetDeck	11	6
El Fiscal General de Veracruz resaltó que la ubicación exacta del lugar permanecerá en secreto debido a las investi… https://t.co/0tvsW6tFPy	1118692195937157120	140	2019-04-18 01:46:18	TweetDeck	7	9
"¡Ojo! Estos son los delitos que más se cometen durante #SemanaSanta

#Directo @ehiramhurtado https://t.co/TAbZ2O8oxR"	1118691582683652096	116	2019-04-18 01:43:52	SnappyTV.com	5	2
Caen sujetos por secuestrar a empleados de aduanas en la V. Carranza https://t.co/xRhS539oWr https://t.co/LJa87D2UM9	1118690333049675776	116	2019-04-18 01:38:54	TweetDeck	16	5
En el movimiento #MeToo, aparece como una persona que se aprovecha de su fama para obtener beneficios sexuales. https://t.co/FHdKOvM7Nn	1118686838196142080	135	2019-04-18 01:25:01	TweetDeck	2	2
A dos días del incendio de la catedral de #NotreDame, dan a conocer que estará cerrada al público hasta por seis añ… https://t.co/G7NDHfgSN6	1118686695476477952	140	2019-04-18 01:24:27	SnappyTV.com	7	5
"Conmoción en Perú por la muerte del expresidente Alan García.  

#Directo @ehiramhurtado https://t.co/OXll9i0PVy"	1118686547539161088	112	2019-04-18 01:23:51	SnappyTV.com	0	2
"#ImagendeImpacto Tras asaltar una tienda, los presuntos ladrones fueron golpeados por los vecinos.

#Directo… https://t.co/rBkNYzbCbo"	1118686035821469696	133	2019-04-18 01:21:49	SnappyTV.com	4	3
Todas las secretarias tendrán una unidad capacitada para atender con perspectiva de género. https://t.co/tcoidQKBem	1118683000965877760	115	2019-04-18 01:09:46	TweetDeck	3	1
¿Quién se inscribe al curso? 🙋‍♀️🙋‍♂️ https://t.co/0XQoU3frjt	1118682675504648192	61	2019-04-18 01:08:28	TweetDeck	9	0
No hay personas lesionadas. https://t.co/fzVN7opezC	1118681616774246409	51	2019-04-18 01:04:16	TweetDeck	3	2
El policía presuntamente se ríe de los hechos al ser grabado. https://t.co/v55GU88dbN	1118678878967431168	85	2019-04-18 00:53:23	TweetDeck	8	4
"Esta #SemanaSanta, el transporte público de la #CDMX tendrá horarios especiales. 👇

https://t.co/BiQdeN3u9R https://t.co/F1ZLWBCw6R"	1118678026626056192	131	2019-04-18 00:50:00	TweetDeck	7	2
Anunció nuevas restricciones y sanciones contra los tres países. https://t.co/d4IjfXtf03	1118675331957907457	88	2019-04-18 00:39:17	TweetDeck	4	1
Se declaró culpable de tráfico de drogas realizado para el Cártel de Sinaloa.  https://t.co/cc5ORzyHjm	1118675095197765633	102	2019-04-18 00:38:21	TweetDeck	4	1
¡Aprovecha esas horas de viaje! 😉 https://t.co/fM0NjYM0iO	1118673153989988357	57	2019-04-18 00:30:38	TweetDeck	2	1
¿Te cuesta trabajo conciliar el sueño? La técnica 4-7-8 te puede ayudar 😴👇 https://t.co/0Wef1qZKF6	1118672994958811136	98	2019-04-18 00:30:00	TweetDeck	34	27
¡Gol a favor del periodismo y la literatura! https://t.co/uwETFHYgn0	1118672462051409921	68	2019-04-18 00:27:53	TweetDeck	5	2
Recomendó diversas medidas de seguridad a usuarios durante esta temporada vacacional. https://t.co/Jx8SWmJI2v	1118671473626034177	109	2019-04-18 00:23:57	TweetDeck	4	2
La ambición por tomarse la mejor foto posible nos puede llevar a cometer graves errores. https://t.co/DUhIeGNiHo	1118671183115968513	112	2019-04-18 00:22:48	TweetDeck	9	2
¡Va a ser una locura! 🤩 https://t.co/W4XvzeJRDn	1118666435377737730	47	2019-04-18 00:03:56	TweetDeck	10	3
Para pasar unos días de relajación. 💆‍♀️💆‍♂️ https://t.co/UzJwBjngL4	1118666306461536256	68	2019-04-18 00:03:25	TweetDeck	13	2
#LoMásVisto Aquí una breve línea del tiempo 👇 https://t.co/kMGTMLYZMj	1118661930745507840	69	2019-04-17 23:46:02	TweetDeck	10	6
#LoMásVisto Simplemente impresionante. 😱 https://t.co/h5EfMcyE6r	1118661826718445575	64	2019-04-17 23:45:37	TweetDeck	7	7
Justo en nuestra infancia 😢 https://t.co/E43qkuuXvj	1118661720925450240	51	2019-04-17 23:45:12	TweetDeck	14	4
#LoMásVisto El hombre aseguró que no alcanzó a escuchar su pregunta 🤭 https://t.co/kUuWynBv6i	1118661216795279361	93	2019-04-17 23:43:12	TweetDeck	10	4
También, informaron sobre los avances que se tienen en la delimitación de las líneas de trabajo en el caso. https://t.co/hg6zq0Ievs	1118657978889011200	131	2019-04-17 23:30:20	TweetDeck	1	1
Cientos de peregrinos de todas partes del mundo se dieron cita para presenciar el momento. https://t.co/gx2jzq3zHf	1118656658903900160	114	2019-04-17 23:25:05	TweetDeck	31	11
Determinados vehículos deberán suspender su circulación entre las 09:00 y 18:00 horas. 🚗❌ https://t.co/xr3RuOU0DM	1118653068608978944	113	2019-04-17 23:10:49	TweetDeck	3	3
Las zonas afectadas son Cuajimalpa, Tlalpan y Álvaro Obregón. 🌧https://t.co/rgrt9SnDw6	1118648766515617792	86	2019-04-17 22:53:44	TweetDeck	21	3
"""Chabelo"" fue hospitalizado debido a una cirugía en la espalda. https://t.co/EnjQsJouG9"	1118647702844321792	87	2019-04-17 22:49:30	TweetDeck	121	39
"El agresor se encontraba en el domicilio.  

https://t.co/1rogwRMRhH"	1118645563002638336	68	2019-04-17 22:41:00	TweetDeck	3	0
"Todavía hay lugares disponibles para los jóvenes 👇

https://t.co/7YDA954Gd3"	1118641484792774657	75	2019-04-17 22:24:47	TweetDeck	5	2
"Ya investigan las causas del accidente. 

https://t.co/4ZDNMwR3FW"	1118639570923524097	65	2019-04-17 22:17:11	TweetDeck	8	0
"Recomiendan evitar actividades al aire libre. 

https://t.co/quMjjH5oKs"	1118639011839524869	71	2019-04-17 22:14:58	TweetDeck	6	5
"Buenas noticias 😅

https://t.co/ClSpNLUQfV"	1118629220467396608	42	2019-04-17 21:36:03	TweetDeck	3	1
Aquí los horarios de transporte público de CDMX en #SemanaSanta 🚎🚇https://t.co/kmxdPzZy7w https://t.co/gymJO6FEpM	1118624446561095681	113	2019-04-17 21:17:05	TweetDeck	7	4
.@SpursOfficial 🏴󠁧󠁢󠁥󠁮󠁧󠁿 vs 🇳🇱 @AFCAjax y @LFC 🏴󠁧󠁢󠁥󠁮󠁧󠁿vs 🇪🇸 @FCBarcelona, en las semifinales de la #ChampionsLeague 🏆https://t.co/lkrLxZkWYM	1118623770611212289	139	2019-04-17 21:14:24	TweetDeck	3	2
Tendrá actividades horas durante #SemanaSanta ☄✨⭐ https://t.co/7wj2mEh3Ps	1118623391496441857	73	2019-04-17 21:12:54	TweetDeck	11	4
#Tottenham logró pasar a semifinales de #ChampionsLeague. https://t.co/yi0cjU015E	1118622222627876864	81	2019-04-17 21:08:15	TweetDeck	12	1
El príncipe de Yautepec. 😂🙈https://t.co/xOEDbXFYbx	1118621776488083457	50	2019-04-17 21:06:29	TweetDeck	139	34
Y siguen llegando a Acapulco. https://t.co/At8VL4ijUR	1118621220306599939	53	2019-04-17 21:04:16	TweetDeck	1	0
