Tweets	id	len	date	source	likes	rt
Alfaro, gobernador a distancia https://t.co/ORENPT6K0m vía @salvadorcosio1	1118655999018139648	74	2019-04-17 23:22:28	Twitter for iPhone	1	1
Un llamado de auxilio: No hay licencias laborales para padres de niños con cáncer https://t.co/EszlW3ECio vía @panaclo	1118653638535254018	118	2019-04-17 23:13:05	Twitter for iPhone	9	5
Operan a Chabelo de emergencia https://t.co/AWCuyFiDgu vía @sdpnoticias	1118652923695775744	71	2019-04-17 23:10:15	Twitter for iPhone	4	3
Matan a ex integrante del Estado Mayor Presidencial de Peña Nieto https://t.co/AaCbBLRLCI vía @sdpnoticias	1118647850089500672	106	2019-04-17 22:50:05	Twitter for iPhone	1	9
Esposo de Salma Hayek dona 100 millones de dólares a Notre Dame y Slim responde con TODO https://t.co/gYEJ118QE4	1118592546907807744	112	2019-04-17 19:10:20	Twitter for iPhone	5	2
AMLO y el arte de la guerra: reforma, contra-reforma y memorándum. La estrategia https://t.co/ixKR1wWN1m vía @maloguzmanvero	1118587082937634821	124	2019-04-17 18:48:37	Twitter for iPhone	4	4
¿Fifís aceptarán éxito de 4T? (Ojalá) https://t.co/4wz5euG4gl vía @sdpnoticias	1118582910406336514	78	2019-04-17 18:32:02	Twitter for iPhone	10	7
La revista TIME incluye a AMLO en su lista de personajes más influyentes del mundo https://t.co/kI2dVyH1eX vía @sdpnoticias	1118556987166527490	123	2019-04-17 16:49:02	Twitter for iPhone	55	26
Expresidente de Perú se pega un tiro para evitar arresto por caso Odebrecht https://t.co/BIUBv5VJcu vía @sdpnoticias	1118511543614881794	116	2019-04-17 13:48:27	Twitter for iPhone	6	13
Vacaciones. Andrés Manuel y Jesús Ramírez, hartos ya de estar hartos https://t.co/7EwFsQopid vía @FedericoArreola	1118504161459539970	113	2019-04-17 13:19:07	Twitter for iPhone	8	2
RT @Mar_Morales_: Vacaciones. Andrés Manuel y Jesús Ramírez, hartos ya de estar hartos https://t.co/6CBP0ZpPkS vía @FedericoArreola	1118502031390642176	131	2019-04-17 13:10:39	Twitter for iPad	0	2
Vacaciones. Andrés Manuel y Jesús Ramírez, hartos ya de estar hartos  https://t.co/7EwFsQopid /Columna	1118502009450172416	102	2019-04-17 13:10:34	Twitter for iPad	4	0
AMLOVEmetrics: Evaluando el desempeño del gabinete en las mañaneras https://t.co/mXzw7fkE8C vía @sdpnoticias	1118368587264200706	108	2019-04-17 04:20:24	Twitter for iPhone	0	0
Vuelo de Aeroméxico se declara en emergencia y regresa a aeropuerto de Ámsterdam https://t.co/YTNKDYrlNl vía @sdpnoticias	1117983320812466177	121	2019-04-16 02:49:29	Twitter for iPhone	6	7
No todo https://t.co/9fteWhSktI	1117946791264124930	31	2019-04-16 00:24:20	Twitter for iPhone	2	3
Ya ve https://t.co/ujpaImrq0a	1117946619138330629	29	2019-04-16 00:23:39	Twitter for iPhone	2	0
La historia de la mexicana que se mató en la Catedral de Notre Dame https://t.co/OU1kup3pna vía @sdpnoticias	1117928083171028992	108	2019-04-15 23:09:59	Twitter for iPhone	16	12
Estructura de catedral de Notre Dame se ha salvado, aseguran bomberos https://t.co/8t2Y9uaueV vía @sdpnoticias	1117911605147136002	110	2019-04-15 22:04:31	Twitter for iPhone	3	2
No es seguro salvar catedral de Notre Dame https://t.co/4ozCLmwwDO vía @sdpnoticias	1117895893322096641	83	2019-04-15 21:02:05	Twitter for iPhone	1	1
RT @cdesquivel: Mañaneras, AMLO, Jorge Ramos y los buenos reporteros mexicanos a los que desprecia El Güero Castañeda https://t.co/oFmHNbcA…	1117889569913880577	140	2019-04-15 20:36:57	Twitter for iPhone	0	6
AMLO exige a El Deforma revelar sus fuentes https://t.co/Fd18uqdL9Y	1117854343250706439	67	2019-04-15 18:16:58	Twitter for iPhone	26	13
Se incendia Catedral de Notre Dame https://t.co/RFZ9O9pKjv vía @sdpnoticias	1117845883138318336	75	2019-04-15 17:43:21	Twitter for iPhone	0	0
Hombre vende su automóvil para poder pagar gasolina de la Shell https://t.co/fg8A3ZTSCV	1117837416948281344	87	2019-04-15 17:09:43	Twitter for iPhone	41	12
Mañaneras, AMLO, Jorge Ramos y los buenos reporteros mexicanos a los que desprecia El Güero Castañeda https://t.co/k5qz5sZ83U /columna	1117808486992306176	134	2019-04-15 15:14:45	Twitter for iPad	3	2
Mañaneras, AMLO, Jorge Ramos y los buenos reporteros mexicanos a los que desprecia El Güero Castañeda… https://t.co/tEgZk26CZQ	1117808435934965760	126	2019-04-15 15:14:33	Twitter for iPad	0	0
Primera baja. ¿Quién sigue? Y por qué a Beatriz la agreden en Twitter... ¡y en las grillas del joven gabinete!… https://t.co/QsdA0pkkOR	1117782300996059139	135	2019-04-15 13:30:42	Twitter for iPhone	4	5
Columnistas en vacaciones (o huevones) https://t.co/4nO0hfTLuC vía @FedericoArreola ...	1117782165931139072	87	2019-04-15 13:30:10	Twitter for iPhone	1	2
RT @Mar_Morales_: Columnistas en vacaciones (o huevones) https://t.co/TJ9x5xp6ik vía @FedericoArreola	1117768645969612800	101	2019-04-15 12:36:26	Twitter for iPhone	0	2
RT @jlca007: Columnistas en vacaciones (o huevones) https://t.co/dCuKyx5XRl vía @FedericoArreola	1117711142749708289	96	2019-04-15 08:47:57	Twitter for iPhone	0	1
Columnistas en vacaciones (o huevones) https://t.co/4nO0hfTLuC / Columna	1117709768888651776	72	2019-04-15 08:42:29	Twitter for iPhone	1	0
Columnistas en vacaciones (o huevones) https://t.co/4nO0hfTLuC vía @FedericoArreola	1117709699137310720	83	2019-04-15 08:42:12	Twitter for iPhone	2	0
Reforma Laboral y la pasividad sindical. https://t.co/oGEyFU5kGQ vía @riclandero	1117698262939635718	80	2019-04-15 07:56:46	Twitter for iPad	1	2
Primera baja. ¿Quién sigue? Y por qué a Beatriz la agreden en Twitter... ¡y en las grillas del joven gabinete!… https://t.co/BNECkU3Rhx	1117694835866177536	135	2019-04-15 07:43:09	Twitter for iPhone	1	1
A gritos y sombrerazos https://t.co/aQQnc77wqI vía @maloguzmanvero	1117489013609390080	66	2019-04-14 18:05:17	Twitter for iPhone	2	3
A gritos y sombrerazos https://t.co/aQQnc77wqI vía @maloguzmanvero	1117488564290445312	66	2019-04-14 18:03:30	Twitter for iPad	4	2
Alfaro deja a Jalisco en llamas https://t.co/0Y4pmC5FtP vía @salvadorcosio1	1117205106288680960	75	2019-04-13 23:17:08	Twitter for iPhone	10	11
Jorge Ramos, payaso https://t.co/bwvmbTejGF vía @ruizjosejaime	1117204261237067777	62	2019-04-13 23:13:47	Twitter for iPhone	67	30
Más que rara, pinche https://t.co/chPE2wyfT5	1117077194390540288	44	2019-04-13 14:48:52	Twitter for iPhone	1	0
Peso fuerte. Recaudación récord. Guardia Nacional… El RamosShow, cereza del pastel. ¿Cuentas falsas contra… https://t.co/gkEf6jjiIk	1117077089369432064	131	2019-04-13 14:48:27	Twitter for iPhone	6	6
El primer mandatario, ¿todo lo puede? O cómo el centralismo se vuelca contra él https://t.co/YUi40yhNA7 vía @maloguzmanvero	1117077004589961216	123	2019-04-13 14:48:06	Twitter for iPhone	0	1
Peso fuerte. Recaudación récord. Guardia Nacional… El RamosShow, cereza del pastel. ¿Cuentas falsas contra… https://t.co/RbVRcMXIn5	1117070098391556096	131	2019-04-13 14:20:40	Twitter Web Client	8	8
El primer mandatario, ¿todo lo puede? O cómo el centralismo se vuelca contra él https://t.co/YUi40yhNA7 vía @maloguzmanvero	1117048938815795200	123	2019-04-13 12:56:35	Twitter for iPhone	4	2
Después de Jorge Ramos, nuevas bestias mañaneras https://t.co/RlbvwXss0A vía @RafaelTonatiuh	1116893313834131456	92	2019-04-13 02:38:11	Twitter for iPhone	7	6
El día internacional del Parkinson https://t.co/eVXYO41wEP vía @VicM_RodriguezM	1116892474969133058	79	2019-04-13 02:34:51	Twitter for iPhone	6	5
¿Y toda la culpa es de Andres Manuel López Obrador? https://t.co/4y8lRsKUzQ vía @panaclo	1116892327447027713	88	2019-04-13 02:34:16	Twitter for iPhone	12	6
Después de Jorge Ramos, nuevas bestias mañaneras https://t.co/RlbvwXaQC0 vía @RafaelTonatiuh	1116868483055099904	92	2019-04-13 00:59:31	Twitter for iPhone	3	4
Tribunal ordena a Morena que aclare proceso de selección de Barbosa para elección de Puebla https://t.co/3l0B7nCc8C vía @sdpnoticias	1116843960427659264	132	2019-04-12 23:22:04	Twitter for iPhone	7	9
Tribunal revoca candidatura de Barbosa para elección de Puebla https://t.co/txWO0QoG2g vía @sdpnoticias	1116796931479498752	103	2019-04-12 20:15:12	Twitter for iPhone	15	16
Jorge Ramos: después de tu patético show, debes escribir que en México existe total libertad de expresión… https://t.co/Q7ja2AUtwU	1116773565938851841	130	2019-04-12 18:42:21	Twitter for iPhone	374	222
Demasiados militares dice @JorgeRamosnews o la remilitarización de México https://t.co/pELB5YRwlb vía @alexiabarriosg	1116773480861552640	117	2019-04-12 18:42:01	Twitter for iPhone	1	4
Mamón protagonismo el de Jorge Ramos… https://t.co/ipDrfgsHov vía @sdpnoticias	1116773396937756672	78	2019-04-12 18:41:41	Twitter for iPhone	91	40
@jorgeramosnews y el poder o “El nuevo show de Jorge Ramos en Palacio Nacional” https://t.co/Qyd9JpLN2z vía @NietzscheAristo	1116773314674868224	124	2019-04-12 18:41:21	Twitter for iPhone	5	5
Jorge Ramos, preguntas incisivas e interesantes: solo eso https://t.co/mpyWPCrJO2 vía @fer10Torres	1116772834330591233	98	2019-04-12 18:39:26	Twitter for iPhone	1	5
El circo de Jorge Ramos arribó a Palacio Nacional https://t.co/14KdAqKn1Z vía @_rodriguezduran	1116759148186750976	94	2019-04-12 17:45:03	Twitter for iPhone	144	87
¡Jorge Ramos y otros figurines de medios, más respeto a los reporteros de a pie en las mañaneras!… https://t.co/vFF27vsrk7	1116719212590845954	122	2019-04-12 15:06:22	Twitter for iPhone	15	17
Show a secas https://t.co/qheX0YMbNP	1116705287497367552	36	2019-04-12 14:11:02	Twitter for iPhone	2	0
