Tweets	id	len	date	source	likes	rt
"Los🖐🏻 grandes temas esta noche:
👉🏻Suicidio de Alan García expresidente de Perú 
👉🏻Derecho a la información
👉🏻AMLO:… https://t.co/zm7iQkNgwC"	1118699357262503936	139	2019-04-18 02:14:45	Twitter for iPhone	12	4
"Acompáñenos esta noche en punto de las nueve, le espero en @OnceNoticiasTV no se lo pierda.
💻https://t.co/0X6sNEptzV
📻 95.7 FM"	1118688597878743040	126	2019-04-18 01:32:00	TweetDeck	8	1
Le espero esta noche en el programa #MesaDeDiálogo a las 9PM por el @CanalCongreso. Hablaremos sobre: Parlamento abierto.	1118673245702688768	121	2019-04-18 00:31:00	TweetDeck	10	3
"No es de buenos y malos:""Los periodistas no deben ser bajo ninguna circunstancia un gremio con privilegios o algo p… https://t.co/H3why4uvvs"	1118665947575926788	140	2019-04-18 00:02:00	TweetDeck	35	13
"No es de buenos y malos:""Es evidente que hay una prensa que al Presidente no sólo no le gusta, sino que también la… https://t.co/kAl6Z9BYBA"	1118651099597029377	139	2019-04-17 23:03:00	TweetDeck	79	34
"No es de buenos y malos: ""López Obrador entiende el valor y sobre todo las repercusiones de lo que expresa. Las 'ma… https://t.co/9NfS6iqgRz"	1118636000220196864	140	2019-04-17 22:03:00	TweetDeck	24	8
RT @capibeltran: Buena capitán @elivanterrazas !! Siguiendo a los @DiablosRojosMX	1118379814111666176	81	2019-04-17 05:05:00	Twitter for iPhone	0	3
Gracias por acompañarnos en la transmisión de esta noche, le espero el día de mañana con más noticias ⌚	1118349361161719809	103	2019-04-17 03:04:00	TweetDeck	42	0
"Le dejo los🖐🏻 temas de esta noche:
👉🏻Orden de aprehensión contra Mario Marín y Kamel Nacif
👉🏻AMLO firma memorándum… https://t.co/ZAsndL0yrQ"	1118336224593358848	139	2019-04-17 02:11:48	Twitter for iPad	34	9
RT @lydiacachosi: Mi nombre es Lydia Cacho, soy periodista, defensora de los Derechos Humanos y no me voy a rendir hasta que se haga justic…	1118328156669267969	140	2019-04-17 01:39:44	Twitter for iPhone	0	8577
RT @IPN_MX: Nuestras #BrigadasIPN son una clara demostración de que el Politécnico cumple con su responsabilidad de poner siempre “La Técni…	1118327934979387392	140	2019-04-17 01:38:51	Twitter for iPhone	0	61
No se olvide de sintonizar el noticiero de esta noche en punto de las 9, le tenemos la información más relevante.… https://t.co/wcayH3lZ4B	1118325704943263744	138	2019-04-17 01:30:00	TweetDeck	25	7
"Educación, ¿perdiendo la reforma?: ""El gran reto que tenemos como sociedad es que no se nos vaya el tren y que los… https://t.co/z9Qmue2Kk1"	1118303559416549376	139	2019-04-17 00:02:00	TweetDeck	27	8
"Educación,¿perdiendo la reforma?: ""Se puede estar perdiendo la oportunidad histórica de renovar y modernizar la edu… https://t.co/GpLKgm0BN2"	1118288963691864064	140	2019-04-16 23:04:00	TweetDeck	19	8
"Educación, ¿perdiendo la reforma?: ""Todo indica que la Reforma Educativa no se va a llevar al pleno en el actual pe… https://t.co/gAbXtDkdQ9"	1118273360272617472	140	2019-04-16 22:02:00	TweetDeck	15	6
RT @beatrizapereyra: Qué emoción, Mantle y Maris!!!! Los M&amp;M's. 💖💖💖💖⚾⚾⚾⚾ https://t.co/MtYJ5B6gXK	1118195027593711616	100	2019-04-16 16:50:44	Twitter for iPhone	0	3
"RT @OnceNoticiasTV: 🔵 ¿Te agrada la Reforma Laboral y todo su contexto? Guillermo le responde @JavierSolorzano. 
Checa en la siguiente liga…"	1118176964425211906	140	2019-04-16 15:38:57	Twitter Web Client	0	1
RT @10APG: #NotreDameDeParis 😔🙏🏻❤️ https://t.co/lP4q2gtH5C	1118019784476508160	58	2019-04-16 05:14:23	Twitter for iPhone	0	3256
A nombre de todos, gracias por seguir la transmisión de esta noche. Nos vemos mañana con más información ⌚	1117987225315291137	106	2019-04-16 03:05:00	TweetDeck	61	1
"Los🖐🏻 grandes temas de esta noche:
👉🏻Se incendia la catedral de #NotreDame
👉🏻Se dan a conocer los precios de la gas… https://t.co/lEgig8q92k"	1117980185285079040	140	2019-04-16 02:37:01	Twitter for iPhone	98	12
Oiga, sintonice el noticiero en punto de las nueve por @OnceNoticiasTV, también puede escucharnos por internet en 💻… https://t.co/zTPPcpWgxz	1117962562186821632	140	2019-04-16 01:27:00	TweetDeck	33	3
