Tweets	id	len	date	source	likes	rt
"""Chabelo"" desmintió que se encuentre grave 😰

https://t.co/cyYoSgFMUY"	1118694963829776385	69	2019-04-18 01:57:18	Twitter Web Client	4	2
El lunes 29 de abril se firmará el convenio para que a través de los 6 viveros que están en operación en Veracruz,… https://t.co/nKLOyOXLuO	1118694052004757504	139	2019-04-18 01:53:40	Twitter Web Client	2	1
"El autobús, en el que viajaban unos 50 turistas, se salió de la carretera y cayó sobre una casa en Madeira.
https://t.co/qY7f6rCLGO"	1118693996350582789	131	2019-04-18 01:53:27	Twitter Web Client	1	3
El Programa Sembrando Vida, impulsado por la @bienestarmx, arrancará en Veracruz en 150 mil hectáreas y representar… https://t.co/MD5Md0rHmi	1118690625078087681	140	2019-04-18 01:40:03	Twitter Web Client	1	1
Los afectados, dos mujeres de 34 y 35 años, y tres hombres de entre 21 y 50 años, acusaron a los detenidos de haber… https://t.co/1P7JkwUpFd	1118684311128027136	140	2019-04-18 01:14:58	Twitter Web Client	4	4
"Jesús Beltrán León, de 35 años, es cuñado de uno de los hijos de Joaquín “El Chapo” Guzmán Loera.
https://t.co/XDQHOF940z"	1118682289402253313	121	2019-04-18 01:06:56	Twitter Web Client	1	1
"#EntrevistaMVS El presidente viola la Ley; está invadiendo la cancha de otro Poder: @MiguelCarbonell 
https://t.co/f2L9bh3VsY"	1118680544575803392	125	2019-04-18 01:00:00	TweetDeck	10	7
"La mujer, quien estaba acompañada de su hijo menor de edad, recibió la cuchillada en el pecho 📹
https://t.co/NmCdOhmfiM"	1118678721966280705	119	2019-04-18 00:52:46	Twitter Web Client	1	3
Intensificará @PGJDF_CDMX mecanismos de seguridad en #SemanaSanta en 7 alcaldías https://t.co/GlB0I9NLcr	1118675710711861250	104	2019-04-18 00:40:48	Twitter Web Client	1	1
"¿Te vas de viaje estás vacaciones? Esta información te interesa 👇🚗

https://t.co/JWQfr80wEA"	1118672448763977729	91	2019-04-18 00:27:50	Twitter Web Client	0	3
El secretario de @SSP_CDMX, Jesús Orta, reconoció la existencia de delincuencia organizada en el primer cuadro de l… https://t.co/KomXqXwP1I	1118670178282278912	140	2019-04-18 00:18:49	Twitter Web Client	3	1
¡YA comenzó! #CharrosVsGángsters 🎭 con @FansDeMiyagi 😎 @guillermo_ga 😎 y @monocordio 😎 por el 102.5 FM 📻 o por la w… https://t.co/NB0OPULhbU	1118667290998923264	140	2019-04-18 00:07:20	Twitter Web Client	2	0
#OpiniónMVS Realidad vs discurso: en la mañanera, el presidente aseguró que en el primer trimestre del año, el empl… https://t.co/qnFjJqIWRg	1118665447820251137	140	2019-04-18 00:00:01	TweetDeck	3	2
"""Es una necesidad cambiar el concepto que tenemos sobre 'perder el tiempo'. 'Perderlo' no es desperdiciarlo"":… https://t.co/xyoaZUEzgA"	1118665291423211521	134	2019-04-17 23:59:23	Twitter Web Client	2	1
Exjefe del #EMP en sexenio de @EPN fue asesinado https://t.co/FjFQQLFMkA	1118662343637045248	72	2019-04-17 23:47:41	Twitter Web Client	4	2
"#VIDEO 📹 ⚽️

‘@jesustecatitoc’ y @HHerreramex del @FCPorto eliminados de la #ChampionsLeague ⬇️ https://t.co/IB0KUpLqGY"	1118662217174589440	119	2019-04-17 23:47:10	Twitter Web Client	1	0
#AHORA Los secretarios de Estado no pueden hacer caso al memorándum, ya que caerían en una ilegalidad:  @ezshabot por el 102.5 FM 📻	1118662080666722304	131	2019-04-17 23:46:38	Twitter Web Client	3	3
#AHORA Este tipo de memorándum indica que el presidente intenta hacer un gobierno sólo de él: @ezshabot por el 102.5 FM 📻	1118661470101938176	121	2019-04-17 23:44:12	Twitter Web Client	7	1
#AHORA Parece que es una propuesta para impulsar a la @CNTEMX de aceptar la iniciativa de la #ReformaEducativa: @ezshabot por el 102.5 FM 📻	1118661280733245440	139	2019-04-17 23:43:27	Twitter Web Client	2	0
#LíneaDirecta con @ezshabot habla sobre el memorándum que firmó Andrés Manuel @lopezobrador_ para derogar la… https://t.co/VQiN63iEJE	1118661033311244288	133	2019-04-17 23:42:28	Twitter Web Client	5	0
#AHORA Esperamos que el @senadomexicano logre subsanar estos aspectos: @JPadillaZ,  presidente de la @Coparmex_CDMX por el 102.5 FM 📻	1118660734437740546	133	2019-04-17 23:41:17	Twitter Web Client	3	1
#AHORA Mantenemos un diálogo permanente con @LuisaAlcalde: @JPadillaZ,  presidente de la @Coparmex_CDMX por el 102.5 FM 📻	1118660624660205568	121	2019-04-17 23:40:51	Twitter Web Client	2	1
#AHORA Hay hasta 60 días para que puede determinarse quién tiene la razón en materia de huelga y lo que se pide es… https://t.co/w4ORztMgWu	1118660511078526976	139	2019-04-17 23:40:24	Twitter Web Client	3	3
