Tweets	id	len	date	source	likes	rt
Noticiero Guadalajara 21 hrs. – 17 de Abril de 2019  https://t.co/i3HCHGQ5TL https://t.co/m4S4gOASws	1118696386462138368	100	2019-04-18 02:02:57	Notisistema	0	0
Noticiero Red Nacional 21 hrs. – 17 de Abril de 2019  https://t.co/u5I4Ebzmdx https://t.co/EIMAvRXj0J	1118696379570900992	101	2019-04-18 02:02:55	Notisistema	1	0
Celaya y San Luis empatan 1-1 en primer encuentro de Liguilla del Ascenso  https://t.co/u0dujS8FUx https://t.co/qSISemfNB1	1118683959158812673	122	2019-04-18 01:13:34	Notisistema	0	0
Rafael Alarcón reconoce el buen nivel de Álvaro Ortiz  https://t.co/xwKdSFcYo3 https://t.co/k3Uzz6z5aJ	1118681990889377792	102	2019-04-18 01:05:45	Notisistema	0	0
Noticiero Guadalajara 20 hrs. – 17 de Abril de 2019  https://t.co/voFZvNa28j https://t.co/eQI8MSEJfD	1118681283146715142	100	2019-04-18 01:02:56	Notisistema	0	0
Noticiero Red Nacional 20 hrs. – 17 de Abril de 2019  https://t.co/rWrX2nVF0S https://t.co/ZmLeay9C1E	1118681276024852480	101	2019-04-18 01:02:54	Notisistema	0	0
Acuerdan crear grupo de búsqueda en caso Ayotzinapa  https://t.co/EXBxgB56Lk https://t.co/LZBlxA8WT1	1118679591906947073	100	2019-04-18 00:56:13	Notisistema	1	2
"Con empate a un gol terminó el primer encuentro de la Liguilla de Ascenso entre Celaya y San Luis. Los ""Potosinos""… https://t.co/derJje0wIY"	1118679533417320450	139	2019-04-18 00:55:59	GroupTweet	4	1
Sofocan incendio en predio junto al fraccionamiento Bugambilias  https://t.co/8ZECbycWUX https://t.co/Z2TeeCsV38	1118673601606111234	112	2019-04-18 00:32:25	Notisistema	0	0
Bomberos controlan el fuego en el Bosque La Primavera  https://t.co/OqH4B6Bfkp https://t.co/5xfACPI44Y	1118666523898458113	102	2019-04-18 00:04:17	Notisistema	4	1
Noticiero Red Nacional 19 hrs. – 17 de Abril de 2019  https://t.co/yBj1mUKNQs https://t.co/xQ91ADozOH	1118666177176375296	101	2019-04-18 00:02:55	Notisistema	1	0
Noticiero Guadalajara 19 hrs. – 17 de Abril de 2019  https://t.co/oXXzavOqJt https://t.co/GbC9uoA7lf	1118666176832376834	100	2019-04-18 00:02:55	Notisistema	1	0
Fitch señala una posible desaceleración económica en México  https://t.co/UlTqEB273R https://t.co/0KX8Srvnfj	1118664648285405190	108	2019-04-17 23:56:50	Notisistema	1	2
Tribunal sanciona a Morena por promocional de Barbosa  https://t.co/cQn67TLZvq https://t.co/mp0hfHxQ9J	1118663823819509760	102	2019-04-17 23:53:34	Notisistema	3	0
Piden CIDH y ONU crear ley para atender a víctimas de desplazamiento forzado  https://t.co/v9fhUXOLGA https://t.co/MjprSuNK5t	1118662956064092160	125	2019-04-17 23:50:07	Notisistema	1	1
Breves del espectáculo en https://t.co/pnd8cfGkYX  https://t.co/b7W6AXbZnW https://t.co/CDX2CTiuFF	1118662001729912834	98	2019-04-17 23:46:19	Notisistema	2	0
Listo el operativo de seguridad para La Judea en San Martín de las Flores  https://t.co/owipeM53rf https://t.co/oRNJ7LjxR2	1118659592433455104	122	2019-04-17 23:36:45	Notisistema	3	0
Mueren al menos 29 personas en accidente de autobús en Madeira  https://t.co/8kuHXsDYuP https://t.co/F783JmXBxc	1118653579055763456	111	2019-04-17 23:12:51	Notisistema	0	1
Osorio Chong acusa que AMLO trata de lavarse las manos sobre reforma educativa  https://t.co/iBpd1pCp7O https://t.co/S63n8DaPQn	1118651195751653376	127	2019-04-17 23:03:23	Notisistema	1	0
Noticiero Guadalajara 18 hrs. – 17 de Abril de 2019  https://t.co/WCAPEPSOgI https://t.co/SArdnFIB0X	1118651077598023680	100	2019-04-17 23:02:55	Notisistema	0	0
Noticiero Red Nacional 18 hrs. – 17 de Abril de 2019  https://t.co/xlNxVahZ0U https://t.co/wrkxN0xY3o	1118651077514223617	101	2019-04-17 23:02:55	Notisistema	0	0
Determinan que Sectur violó Constitución por uso del logo de Morena en video  https://t.co/7S40P468Z3 https://t.co/smueBmyl8Y	1118650435114553344	125	2019-04-17 23:00:21	Notisistema	0	0
Noticiero Guadalajara 17 hrs. – 17 de Abril de 2019  https://t.co/FVhKBbIcdn https://t.co/Q7TOGdogKn	1118635970956599296	100	2019-04-17 22:02:53	Notisistema	0	0
Noticiero Red Nacional 17 hrs. – 17 de Abril de 2019  https://t.co/3efiABwUk1 https://t.co/uSxu4DpsbG	1118635964115640320	101	2019-04-17 22:02:51	Notisistema	0	0
Podrían abrir más espacios del Paseo Alcalde con obras de la L3  https://t.co/kJCijOafgl https://t.co/w73kZO2VZu	1118633733530238976	112	2019-04-17 21:53:59	Notisistema	1	1
Suma seis días el incendio en cerro El Pinar, en Puebla  https://t.co/sxQgvUCY2X https://t.co/INooKnJqNk	1118630421472972801	104	2019-04-17 21:40:50	Notisistema	0	0
Empresas de redes de transporte en ZMG, a medio trámite para permisos de operación  https://t.co/bmEPgF3br6 https://t.co/NFaCpmN6bw	1118627530993491971	131	2019-04-17 21:29:21	Notisistema	1	0
Exceso de velocidad, la principal causa de accidentes en carreteras  https://t.co/xjWojaVaDb https://t.co/P9aDVeLEQc	1118624682910060552	116	2019-04-17 21:18:02	Notisistema	0	0
Tottenham y Liverpool se instalan en semifinales de la Champions  https://t.co/Xp2AhR2tdu https://t.co/VgjdMHmV5c	1118622984049184778	113	2019-04-17 21:11:17	Notisistema	1	0
Nadal inicia la temporada de tierra con arrollador debut en Montecarlo  https://t.co/ZiW0nddNbl https://t.co/XOtPje6WGS	1118621165059227649	119	2019-04-17 21:04:03	Notisistema	0	0
Noticiero Guadalajara 16 hrs. – 17 de Abril de 2019  https://t.co/2cTnoNDmuI https://t.co/cnA1I7obze	1118620868517801984	100	2019-04-17 21:02:52	Notisistema	0	0
Noticiero Red Nacional 16 hrs. – 17 de Abril de 2019  https://t.co/WTz8Yb2m7o https://t.co/0Rim8NktTk	1118620861534232577	101	2019-04-17 21:02:51	Notisistema	0	0
Jefes y Cargadores jugarán el 18 de noviembre en México  https://t.co/XZskEurQZ2 https://t.co/Is4gu4ncRA	1118619798353731586	104	2019-04-17 20:58:37	Notisistema	2	0
