Tweets	id	len	date	source	likes	rt
#Plumaje | Hay que leer la Cartilla moral, aceptando la propuesta de tomarla en cuenta, pero también hay que leerla… https://t.co/z5YG3L5FqK	1118700425132347392	140	2019-04-18 02:19:00	Buffer	1	0
Si el memorándum para cancelar la reforma educativa de @EPN es ilegal, que la oposición denuncie o se ampare ante i… https://t.co/EorTIlGPyM	1118697656761692160	140	2019-04-18 02:08:00	Buffer	58	20
#Plumaje | La diferencia entre el SESNP, el INEGI y los datos de la #ConferenciaMatutina: lo que dicen de la violen… https://t.co/VqiWijXzpW	1118694888688713728	140	2019-04-18 01:57:00	Buffer	4	3
"#LoÚltimo | Por segundo día consecutivo, se mantiene la #ContingenciaAmbiental en el Valle de México.

¿Qué estamos… https://t.co/yQscx779Uo"	1118693435739967489	140	2019-04-18 01:51:14	Twitter Web Client	6	11
Con cerca de 14 mil pesos en promedio, Ciencias Biológicas y Arquitectura son las carreras mejor pagadas en México.… https://t.co/3EEXIDTsmY	1118692122394275840	140	2019-04-18 01:46:00	Buffer	20	8
#Plumaje | ¿Es el #MeTooMx un ataque hacia los hombres?, ¿realmente muchos hombres actúan de esa forma?, ¿es sufici… https://t.co/91lVsdArjd	1118689353998446594	140	2019-04-18 01:35:00	Buffer	8	3
Tres comisionados de Energía han renunciado desde que inició el @GobiernoMX, encabezado por @lopezobrador_. https://t.co/WB9wgkrILz	1118686584830943232	131	2019-04-18 01:24:00	Buffer	34	17
#Plumaje | La nueva arquitectura del poder requiere cimientos institucionales fuertes. Un texto de Elio Villaseñor.… https://t.co/VKhcAE73Bj	1118683819329105921	140	2019-04-18 01:13:01	Buffer	3	1
¡Paga precio justo! La @Profeco lanza herramienta para comparar costos en pescados y mariscos. https://t.co/r92TGKuW8i	1118681050815893504	118	2019-04-18 01:02:01	Buffer	9	3
Ayer, un tribunal liberó orden de aprehensión contra el exgobernador poblano Mario Marín y Kamel Nacif, por delito… https://t.co/PTAi3DOBPV	1118678282562691072	139	2019-04-18 00:51:01	Buffer	140	63
La @FGE_Veracruz localiza al menos 36 fosas clandestinas en un predio de Veracruz; descubrimiento se dio por denunc… https://t.co/tF6Djzkf4t	1118675572773851136	140	2019-04-18 00:40:15	Buffer	17	17
El proyecto “Hack against Hunger”, de la @FAOAmericas, invita a jóvenes a desarrollar soluciones que aborden los re… https://t.co/oqH6q0Cahv	1118672747259940865	140	2019-04-18 00:29:01	Buffer	9	10
Gasolineras que el @GobiernoMX incluyó en el listado de precios más bajos están cerradas o clausuradas;… https://t.co/i6pRCVrjtW	1118669722952830982	128	2019-04-18 00:17:00	Buffer	85	60
Conoce más sobre las imponentes gárgolas de #NotreDame, @bbcmundo te cuenta. https://t.co/d7hTXxuR6z	1118666955177775107	100	2019-04-18 00:06:00	Buffer	15	6
Investigadores de @CEDRSSA advierten que es necesario modificar los métodos de producción agropecuaria en México, a… https://t.co/jTGd28hsvs	1118664437064400897	140	2019-04-17 23:56:00	Buffer	23	13
¡A echarse un chapuzón! Estas son las playas más limpias de México; las de Baja California Norte y Sur encabezan la… https://t.co/OXUJ3GG8l3	1118661672921702403	140	2019-04-17 23:45:01	Buffer	26	8
Depuración de policías pendiente: en México 1 de cada 5 elementos en activo no cumple con el requisito de control d… https://t.co/GDHLftgdYh	1118658903930286081	140	2019-04-17 23:34:01	Buffer	55	43
"Toma precauciones en vacaciones: estas son las carreteras federales con más asaltos. 
 https://t.co/86e4o64FM4"	1118656133525397505	110	2019-04-17 23:23:00	Buffer	14	8
A 5 años de su muerte, te contamos por qué Gabriel García Márquez nunca quiso que filmaran '100 años de soledad', t… https://t.co/mNcnopiGq5	1118653364600999942	140	2019-04-17 23:12:00	Buffer	40	18
"30 hombres armados atacan una comandancia en Chihuahua; hay dos muertos.
 https://t.co/e1VLd7ZLES"	1118650599371870208	97	2019-04-17 23:01:01	Buffer	17	10
"¿Eres de los que revisa el siguiente puente aún cuando está de vacaciones?

Chécalos aquí. https://t.co/n9aw6ARUzR"	1118647829239562241	114	2019-04-17 22:50:00	Buffer	14	3
Continúa la contingencia ambiental en la Ciudad de México; a las 8 de la noche habrá un nuevo informe. https://t.co/OyqbNZIWTj	1118645059740688384	126	2019-04-17 22:39:00	Buffer	25	8
¿Qué es una #ContingenciaAmbiental y cuáles son las partículas contaminantes que respiramos a diario en la Ciudad d… https://t.co/gqUnUw4SY6	1118644231092998144	140	2019-04-17 22:35:42	Buffer	22	18
Playa Suave y Hornos, en Acapulco; Playa Principal, en Puerto Escondido... estas y otras son las más sucias de Méxi… https://t.co/8EW8TmtUdm	1118642294326996995	140	2019-04-17 22:28:00	Buffer	11	8
Avengers: Endgame está a la vuelta de la esquina. @NewsweekEspanol hizo una guía para entender más el final... que… https://t.co/nzrH3BzGxB	1118639526547685376	139	2019-04-17 22:17:01	Buffer	24	6
"¡Deja de batallar con tu maleta! Te damos los trucos infalibles para aprovechar cada espacio. 

Por @bbcmundo. https://t.co/neinYAFVfx"	1118636756025401345	134	2019-04-17 22:06:00	Buffer	13	4
"💃🏻🎶 Ne ne ne ne ne qué vas a ser cuando seas grande 🎵🎶💃🏻

Bueno... seré un adulto que hace una declaración anual. https://t.co/xE4emuTwLB"	1118633986430054401	137	2019-04-17 21:55:00	Buffer	20	4
Pueblos originarios de Xochimilco buscan crear concejos de gobierno autónomo, para resolver problemas que autoridad… https://t.co/UD9IJegPhc	1118631221288947713	140	2019-04-17 21:44:00	Buffer	51	20
