Tweets	id	len	date	source	likes	rt
La Comisión de Hacienda y Crédito Público analiza una iniciativa de reformas a los artículos 20 y 23 de la Ley para… https://t.co/jKjJLNEdDu	1118555362599276552	140	2019-04-17 16:42:34	Twitter for Android	22	4
"#PorSiNoLoViste
En el primer trimestre de 2019, los extranjeros continuaron trayendo flujos al mercado bursátil mex… https://t.co/s8DCjMe27Y"	1118539597431083009	140	2019-04-17 15:39:56	Twitter for Android	55	8
El Diputado Fernández Noroña arremetió contra el periodista Jorge Ramos; lo llamó farsante y tapete del gobierno de… https://t.co/ymJwxRB5R1	1118522442627129344	140	2019-04-17 14:31:46	Twitter for Android	146	39
RT @JCRomeroHicks: #EnEntrevista Es necesario que las personas que están cercanas al presidente, lo eduquen en estos temas, lo aconsejen de…	1118517942239543296	140	2019-04-17 14:13:53	Twitter for Android	0	82
RT @RadioMujer927FM: Toda la informacion la encuentras en #CentralFM con @PedroFerriz https://t.co/EHkQXSakDE	1118517906663444480	109	2019-04-17 14:13:44	Twitter for Android	0	6
RT @JCRomeroHicks: #EnVivo con @PedroFerriz en @CentralFM_. Un fracaso político que el presidente ceda a chantajes de un pequeño grupo que…	1118508383961796608	139	2019-04-17 13:35:54	Twitter for Android	0	9
#EnEntrevista vía telefónica para @CentralFM_ 📞 el Diputado del PAN, @JCRomeroHicks, Coordinador del Grupo Parlamen… https://t.co/4xRLsZChCK	1118507520790802433	140	2019-04-17 13:32:28	Twitter for Android	15	11
RT @reyesalex23: @PedroFerriz #BuenyFelizMiércoles!! Aunque no lo crean hay mucho ⚽️🏀🎾⚾️🥎. La @ChampionsLeague acapara las miradas! Barza y…	1118501195755208704	140	2019-04-17 13:07:20	Twitter for Android	0	1
"#PorSiTeLoPerdiste 

Mientras la #CNTE dice que el memorándum de @lopezobrador_ carece de sustento legal.

La… https://t.co/q4aiLqlY9b"	1118500573383471104	134	2019-04-17 13:04:52	Twitter for Android	155	60
📰 En el PRI ya calientan motores para renovar su dirigencia nacional. Quien levanta la mano es el Gobernador de Cam… https://t.co/uBGhkNaFx8	1118489256966676481	140	2019-04-17 12:19:54	Twitter for Android	13	1
📰 El Fiscal del Estado, Jorge Winckler, reveló que el gobernador Cuitláhuac García Jiménez, le pidió no asistir a l… https://t.co/6HHwSHTnUx	1118489247634341888	140	2019-04-17 12:19:51	Twitter for Android	25	18
📰 Acusa la oposición en el Congreso que el Presidente supera sus atribuciones constitucionales al ordenar a su gobi… https://t.co/kxvM3xbajD	1118489235529580546	140	2019-04-17 12:19:48	Twitter for Android	6	6
"📰 AMLO firma memorándum sobre cancelación de reforma educativa.

📰 El memorándum no le gustó ni a la CNTE, quien la… https://t.co/uM5F5xWG1N"	1118489176314404865	140	2019-04-17 12:19:34	Twitter for Android	4	5
📰 Continúa la guerra en Guanajuato, ahora es asesinado un integrante del área de inteligencia del ejército mexicano… https://t.co/H4zc7dDAzL	1118489165497294848	140	2019-04-17 12:19:32	Twitter for Android	7	2
"🚨 E N D I R E C T O 🚨

Los temas del día en #CentralFM 

📰 Anuncia del Presidente de Francia que la reconstrucción… https://t.co/i2c0rP7rCa"	1118489159998615552	139	2019-04-17 12:19:30	Twitter for Android	29	1
"🚨 A L  A I R E 🚨
Mitad de semana, vacaciones, mucha información... #FelizMiércoles 
Acompáñanos en una emisión más… https://t.co/tVb8mLmxJN"	1118481665486143493	139	2019-04-17 11:49:44	Twitter for Android	9	2
"Por la vía de un memorándum, #AMLO cancela la Ley Educativa de Peña Nieto, brincándose al Congreso. 
¿Vamos camino al autoritarismo?"	1118478211858468865	132	2019-04-17 11:36:00	Twitter for Android	159	101
"#PorSiTeLoPerdiste 
Moody's: Pemex podría requerir apoyos adicionales a partir del año próximo y volverse una carga… https://t.co/jxPVS6aU4v"	1118244823050231809	140	2019-04-16 20:08:36	Twitter for Android	71	21
El grupo parlamentario del #PRI, que coordina el diputado René Juárez Cisneros, asegura que #AMLO carece de faculta… https://t.co/HhLMi38PpY	1118215773757927430	140	2019-04-16 18:13:10	Twitter for Android	193	76
Candidato del PRI a la gubernatura de #Puebla, reprochó que los programas sociales para las personas de la tercera… https://t.co/tMSFAM8Dkx	1118194624810536960	139	2019-04-16 16:49:08	Twitter for Android	51	18
Dicen que el Presidente de Estados Unidos, Donald Trump, avaló que su país invirtiera en la construcción del… https://t.co/FnsklXEGx6	1118178915497984000	133	2019-04-16 15:46:42	Twitter for Android	23	11
#NotreDame más allá de un templo religioso, es un monumento histórico, conozcamos un poco más sobre su historia.… https://t.co/BESg2IKSGa	1118163774379261952	137	2019-04-16 14:46:32	Twitter for Android	54	16
