Tweets	id	len	date	source	likes	rt
La PF halla fentanilo que iba a Culiacán y Ecatepec por correo; la epidemia mancha todo el país… https://t.co/yqCY26zEIL	1118698388776804352	120	2019-04-18 02:10:54	TweetDeck	6	5
"Un #VIDEO capta a una niña que levita… hasta que su madre desmiente el truco
https://t.co/Wk5xjyrHB2 https://t.co/tZwpbuxFCQ"	1118696901014986752	124	2019-04-18 02:05:00	TweetDeck	5	5
Científicos del IPN desarrollan biopsia líquida para detectar con mayor eficacia el cáncer de mama… https://t.co/S9cqwr6FAM	1118694384747393025	123	2019-04-18 01:55:00	TweetDeck	23	21
#Video La sombra de corrupción acechó muchos años a Alan García, y no vio otra salida que darse un tiro… https://t.co/u12Ae2VMxm	1118691867938426881	128	2019-04-18 01:45:00	TweetDeck	1	3
Manifestantes toman la caseta México-Cuernavaca y piden a autos 50 pesos como cooperación https://t.co/GG9EHyfi50 https://t.co/8NuEd8eQOS	1118690609403813888	137	2019-04-18 01:40:00	TweetDeck	1	4
La Fiscalía cree que halló, en el centro de Veracruz, nuevas fosas clandestinas; no hay detalles… https://t.co/ga4H4GbA9m	1118689351607693312	121	2019-04-18 01:35:00	TweetDeck	4	1
AMLO y Yalitza, entre los 100 más influyentes del mundo de Time; Ramos y Cuarón hacen sus perfiles… https://t.co/qInxSqtTmN	1118688093467488256	123	2019-04-18 01:30:00	TweetDeck	21	5
El PRI intentó posicionar, entre el 16 y 17 de abril, la etiqueta #AMLOImponeMéxicoSeOpone en protesta por el memor… https://t.co/Q9sAPNVJMw	1118686835084025856	140	2019-04-18 01:25:00	TweetDeck	8	0
PRI y PAN colaboraron en Twitter para colocar una tendencia en contra del memorándum para derogar la Reforma Educat… https://t.co/BTNehvMbKx	1118684318153371648	140	2019-04-18 01:15:00	TweetDeck	5	10
Huelga en la UAM cumple 75 días; el sindicato denuncia en el Zócalo “autoritarismo” de la rectoría… https://t.co/KaU6F3tAOb	1118683059799224320	123	2019-04-18 01:10:00	TweetDeck	3	4
