Tweets	id	len	date	source	likes	rt
#NotreDame; la Catedral antes y después del infierno. https://t.co/NJYofC7InN	1118577700074139650	77	2019-04-17 18:11:20	Twitter for iPhone	27	3
"El suicidio se consumo.

Muere el expresidente @AlanGarciaPeru, por el tiro que se pegó en la cabeza. https://t.co/53CijUeiIa"	1118553842075889664	125	2019-04-17 16:36:32	Twitter for iPhone	56	10
#Rateros, #Delincuentes disfrazados de #Manifestantes. https://t.co/DhhHPHLdNK	1118553110022983680	78	2019-04-17 16:33:37	Twitter for iPhone	115	67
"Solo dos mexicanos aparecen entre las 100 personas más influyentes del mundo, según @TIME. 

@lopezobrador_ y… https://t.co/JoebWgzhmV"	1118528186382340096	134	2019-04-17 14:54:35	Twitter for iPhone	142	40
"Eso escribía el expresidente de #Perú. 24 horas después trata de suicidarse.

@AlanGarciaPeru,  se mete un balazo e… https://t.co/ogtCa5jCUx"	1118514704047960065	140	2019-04-17 14:01:01	Twitter for iPhone	35	13
"#LoMásRobado en #SemanaSanta:

- Trajes de baño
- Pescado
- Bloqueador

(@ALTOMexico) https://t.co/cQbBnBKDSL"	1118509254283972608	109	2019-04-17 13:39:21	Twitter for iPhone	47	19
"#FelizCumpleaños, @inakimanero. 

Se te quiere, compañero. Abrazo. https://t.co/OEmK0N7Yal"	1118499640020623363	90	2019-04-17 13:01:09	Twitter for iPhone	1600	80
Ayer y hoy... En la #ConferenciaPresidente, el tema ha sido #LibertadDeExpresion. https://t.co/cQtyFyd0fW	1118277842184204289	105	2019-04-16 22:19:48	Twitter for iPhone	160	47
"#Memorándum para cancelar la #ReformaEducativa. 

Hay que recordar a los vándalos de la #CNTE que el @GobiernoMX no… https://t.co/VRZBlrOC44"	1118188734288031744	140	2019-04-16 16:25:43	Twitter for iPhone	123	38
#AlertaAmber para localizar a la bebé #NancyTirzoSanchez. Tiene ocho meses y se la robaron en la #CdMx. Ya se dio a… https://t.co/ErFiX4PAf8	1118156390034563073	140	2019-04-16 14:17:12	Twitter for iPhone	280	710
