Tweets	id	len	date	source	likes	rt
.@Delamori habla de cómo fue compartir reparto con @EugenioDerbez y @chabelooficial en #ElComplotMongol https://t.co/gkeYG07Hqa	1118696340177993728	127	2019-04-18 02:02:46	TweetDeck	6	1
.@lopezobrador_ y @TorrucoTurismo, libres de delito electoral por video, determina @TEPJF_informa… https://t.co/5KWCON7Y3v	1118695746235183104	122	2019-04-18 02:00:24	TweetDeck	1	0
"#PremioFamiliarizarte | Porque la familia es #Amor 🥰 te invitamos a celebrar el Día Nacional de la Familia.
➡️… https://t.co/FzHLfn9wNg"	1118695642639941637	135	2019-04-18 02:00:00	TweetDeck	0	0
Hospitales de Venezuela reciben primer cargamento de ayuda humanitaria https://t.co/zEFKG3nR8w https://t.co/WIeZTJwmnm	1118694531820589058	118	2019-04-18 01:55:35	TweetDeck	2	2
El director de la película #ElComplotMongol, Sebastián del Amo (@El_Sx), habló de la salud de @chabelooficial https://t.co/OZDYkkHE2L	1118690127528845312	133	2019-04-18 01:38:05	TweetDeck	3	0
@SEGOB_mx acuerda creación de grupo para buscar a los 43 normalistas de #Ayotzinapa ➡ https://t.co/iFjvz6VVnn https://t.co/uO2fSGWiHp	1118689854584262657	133	2019-04-18 01:37:00	TweetDeck	0	0
.@pedroferriz3 critica zapatos sucios de @lopezobrador_ ; lo exhibe en redes sociales. ➡️  https://t.co/u5LoL0XdDW https://t.co/Igh1MY5SL2	1118688093391818752	138	2019-04-18 01:30:00	TweetDeck	2	0
#Trip Carnaval de Jamaica, una fiesta llena de cultura y reggae https://t.co/a0AnQyTSSh https://t.co/WHvOB5GWUD	1118687484488179712	111	2019-04-18 01:27:35	TweetDeck	0	0
Grupos criminales realizan bloqueos y tiroteos en #NuevoLaredo, hasta el momento  no hay reporte de víctimas ➡… https://t.co/i69zKPj5nf	1118686846437949440	135	2019-04-18 01:25:03	TweetDeck	1	0
@aribrickman habla de su personaje en #ElComplotMongol durante la #AlfombraRoja https://t.co/9ygx6P5Owb	1118685495867744256	103	2019-04-18 01:19:41	TweetDeck	1	0
