Tweets	id	len	date	source	likes	rt
Los Rockets lucen imparables esta postemporada con su poderosa ofensiva comandada por Harden y Paul, ¿qué tan lejos… https://t.co/3N2g3w1exS	1118701179175702528	140	2019-04-18 02:22:00	Twitter Media Studio	4	0
Estos son los vehículos que no circularán por la Contingencia Ambiental este jueves https://t.co/Wb9qf0pgFu https://t.co/GnPuz6YrsM	1118699418205806593	131	2019-04-18 02:15:00	TweetDeck	8	1
Estimado @RicardoMonrealA No voy a entrar en la discusión que tuve en filosofía del Derecho, pero el elemento esenc… https://t.co/zfWoYpTSfi	1118697068950958083	140	2019-04-18 02:05:40	Twitter for iPhone	185	75
Kim Jong-un personalmente guía disparo de nueva arma táctica https://t.co/7mZdB9WQSd https://t.co/vgHYwgSOMJ	1118695390998454272	108	2019-04-18 01:59:00	TweetDeck	13	0
El peso tiene ligera recuperación frente al dólar https://t.co/80Hf1WL7Ya https://t.co/PMOVrpMuXo	1118691872791126016	97	2019-04-18 01:45:01	TweetDeck	9	2
El récord que buscará romper la astronauta estadounidense Christina Koch https://t.co/IawSNcYQGf https://t.co/2FbUjs1iEO	1118688093387853825	120	2019-04-18 01:30:00	TweetDeck	15	2
Aviso. https://t.co/Yx3GZ92hBO	1118687421212831744	30	2019-04-18 01:27:20	Twitter for iPhone	23	14
RT @Cuauhtemoc_1521: Mexicano del siglo XXI, ¿te es vergonzoso que las culturas mesoamericanas realizaran sacrificios humanos? Acaso por re…	1118687131344543746	140	2019-04-18 01:26:10	Twitter for iPhone	0	174
Rayo deja cuatro lesionados en la acrópolis de Atenas https://t.co/3TrnWVFROX https://t.co/ws6OSzHOYh	1118684318451339265	101	2019-04-18 01:15:00	TweetDeck	20	5
La Profeco puso en funcionamiento el número 55-68-68-25-89 donde se podrá denunciar establecimientos que no cumplan… https://t.co/6UK3gjywGm	1118680545783840768	140	2019-04-18 01:00:00	TweetDeck	24	16
"Los manifestantes pedían ""cooperación voluntaria"" de 50 pesos, los cuales presuntamente serían utilizados para libe… https://t.co/oulqK1hZow"	1118678881676869632	140	2019-04-18 00:53:24	TweetDeck	45	20
"Suspenden deportación de niña salvadoreña de Estados Unidos.

Laura Maradiaga, de 11 años, estuvo a punto de ser en… https://t.co/oPmq8d6pv9"	1118676768787980289	140	2019-04-18 00:45:00	TweetDeck	9	0
Tras más de 12 horas, manifestantes liberan caseta de Tlalpan	1118675879494733824	61	2019-04-18 00:41:28	TweetDeck	56	16
Malas noticias para el América. El cuadro de Coapa sufrió cuatro bajas durante entrenamiento https://t.co/XZOg6FPtPf https://t.co/hLoWuPlZaD	1118672993343827968	140	2019-04-18 00:30:00	TweetDeck	4	2
El actor Xavier López ‘Chabelo’ tuvo que ser operado de emergencia https://t.co/dJFg4umJwA https://t.co/ol34TkRAdY	1118669218789019648	114	2019-04-18 00:15:00	TweetDeck	76	40
Detienen a hombre con pipa de combustible robado en el Estado de México https://t.co/V1eWwHoTmQ https://t.co/hDJJj1zmSo	1118665191950966784	119	2019-04-17 23:59:00	TweetDeck	13	4
"Detienen a 60 aficionados del Ajax armados en Turín. 

Entre los objetos asegurados a los seguidores se encuentran… https://t.co/Wi7Umdd2LL"	1118661669050290183	139	2019-04-17 23:45:00	TweetDeck	9	1
La violencia no cede en la Ciudad de México. Presunto cómplice mata a pareja de colombianos dedicados al robo… https://t.co/D9dKTV5Bty	1118657894231097345	134	2019-04-17 23:30:00	TweetDeck	47	12
"LeBron James y Saúl ‘Canelo’ Álvarez colaborarán en un ambicioso proyecto. 

Aquí los detalles:… https://t.co/vSCjiyLLON"	1118654119177101312	120	2019-04-17 23:15:00	TweetDeck	15	2
"Sorpresa en el listado de los municipios más inseguros de México. Ya no es Ecatepec ni Ciudad Juárez ni Reynosa.

D… https://t.co/TXGkoEk32h"	1118650345398386690	140	2019-04-17 23:00:00	TweetDeck	10	8
Encuentran otro laboratorio clandestino de fentanilo en México, esta terrible droga que es potencialmente mortal… https://t.co/RIl9hDswIq	1118646569539076096	137	2019-04-17 22:45:00	TweetDeck	27	9
RT @ahope71: Según INEGI, se deterioró la percepción de seguridad en zonas urbanas en el primer trimestre de 2019. Con esto, se revirtió la…	1118644261883457536	140	2019-04-17 22:35:50	Twitter for iPhone	0	115
Todavía no les llama. Pero les llamará. https://t.co/mPP0xNEMPz	1118644230405152768	63	2019-04-17 22:35:42	Twitter for iPhone	217	97
Estimado @RicardoMonrealA empezando por el Senado cuya Junta de Coordinación Política presides. Saludos. https://t.co/jvEUIdbUkZ	1118643261047017477	128	2019-04-17 22:31:51	Twitter for iPhone	247	100
Consiguen reactivar los cerebros de varios cerdos... cuatro horas después de su muerte https://t.co/szCP1y4dpP https://t.co/b8KeaU22TF	1118642795663675392	134	2019-04-17 22:30:00	TweetDeck	36	13
Les digo... https://t.co/8O3896ke7f	1118642583604027393	35	2019-04-17 22:29:09	Twitter for iPhone	200	64
La Sedena dará mantenimiento a aviones de aerolíneas canadienses. Los detalles: https://t.co/9I7yzJlq33	1118639020341387266	103	2019-04-17 22:15:00	TweetDeck	15	2
