Tweets	id	len	date	source	likes	rt
"El pleito @VicenteFoxQue vs @fernandeznorona continúa.
Ahora fue el expresidente quien envió un mensaje al diputado… https://t.co/fFUEuEtJ1x"	1118701300672122880	140	2019-04-18 02:22:29	Twitter Web Client	0	0
"Seguridad, salud y educación deben atenderse en equipo, afirma @OscarVega_MX.
Aseguró que su proyecto de gobierno p… https://t.co/ztEjggUTrA"	1118698449673781249	140	2019-04-18 02:11:09	Twitter Web Client	0	2
"A Morena se le olvida la coalición en #Puebla y les cuesta 42 mil pesos.
El TEPJF multó al partido por el spot “Arr… https://t.co/qWQKXeO21e"	1118695849117343745	140	2019-04-18 02:00:49	Twitter Web Client	2	0
"El Bronco se queja por situación en la CRE: ""trae un desmadre"".
Asegura que los conflictos de la Comisión afectan a… https://t.co/VdZUZNU8YY"	1118693695291895808	140	2019-04-18 01:52:15	Twitter Web Client	2	1
".@TorrucoTurismo y AMLO salen bien librados de polémica por logo de Morena en spot de @SECTUR_mx.
Así lo determinó… https://t.co/b2rFOvfCOQ"	1118690701263478784	139	2019-04-18 01:40:22	Twitter Web Client	0	0
".@RicardoMonrealA defiende el #memorándum de AMLO y pide cooperación de los legisladores.
Hizo un llamado para abri… https://t.co/3CkzAWOEkl"	1118689243986046977	140	2019-04-18 01:34:34	Twitter Web Client	0	1
"“No hay que permitir que Morena se convierta en un PRIMor o en un PRD”: @arddmx.
A través de un video el excoordina… https://t.co/3Ly65Tdput"	1118685986383380485	140	2019-04-18 01:21:37	Twitter Web Client	1	1
"El memorándum de AMLO levantó ámpula en el Congreso donde preparan una respuesta legal.
Sin embargo, con otro tipo… https://t.co/CPVn8sLzlI"	1118683687900602370	139	2019-04-18 01:12:29	Twitter Web Client	1	0
"Nuevas alcaldías: ¿medida necesaria o una ocurrencia?
La iniciativa contempla pasar de 16 a 20 demarcaciones para e… https://t.co/1zzDAnVBGi"	1118681009422307328	140	2019-04-18 01:01:51	Twitter Web Client	3	3
"Queda menos de un trimestre para que #BajaCalifornia elija un nuevo gobernador.
¿Cómo transcurrió la jornada de qui… https://t.co/Tzqdnq469t"	1118679328118779904	140	2019-04-18 00:55:10	Twitter Web Client	0	0
"""Ellas arriba sin violencia"": el pacto firmado por Nacho Anaya.
Rumbo al 2 de junio, el aspirante del PBC a Baja Ca… https://t.co/d1viYupNTD"	1118677127187054593	140	2019-04-18 00:46:25	Twitter Web Client	0	1
"”Estoy libre de cualquier sustancia"", presume @EnriqueAcostaBC.
El abanderado tricolor al gobierno de… https://t.co/J8XntmrPEN"	1118675834687172609	126	2019-04-18 00:41:17	Twitter Web Client	1	1
Más de 4 mil medios registrados podrán beneficiarse de la publicidad del @GobiernoMX... pero hay algunas condicione… https://t.co/RAY3qz8EB2	1118673062927450112	140	2019-04-18 00:30:16	Twitter Web Client	2	0
"A Morena se le olvida la coalición en #Puebla y les cuesta 42 mil pesos.
El TEPJF multó al partido por el spot “Arr… https://t.co/npTBAyDnIo"	1118669644729126912	140	2019-04-18 00:16:41	Twitter Web Client	2	1
