Tweets	id	len	date	source	likes	rt
"""Me da asco"": Hombre increpa a pareja homosexual en un centro comercial de Colombia (VIDEO) https://t.co/uBZXp1XJua https://t.co/git8UMtee6"	1118700928100700160	139	2019-04-18 02:21:00	TweetDeck	16	6
Costa Rica rechaza retiro de credenciales de su diplomático en Venezuela https://t.co/POb4p68Tlt https://t.co/BWDlPR9qzr	1118699166119677954	120	2019-04-18 02:14:00	TweetDeck	6	8
Parpadeos, bisagras y una corta vida: El teléfono plegable de Samsung deja 'planchados' a los expertos… https://t.co/bmxEYnRn24	1118697404255969280	127	2019-04-18 02:07:00	TweetDeck	19	10
La Policía ecuatoriana dispersa una marcha contra Lenín Moreno y a favor de Julian Assange https://t.co/0QtgPiRcMs	1118695643491467264	114	2019-04-18 02:00:00	Twitter Media Studio	165	168
"""Es un desastre"": Ciudad fronteriza de EE.UU. declara el estado de emergencia por avalancha de inmigrantes https://t.co/AwNe7qVvYs"	1118693125982003200	130	2019-04-18 01:50:00	TweetDeck	22	41
Canadá reacciona al anuncio de EE.UU. de permitir demandas a empresas extranjeras en Cuba https://t.co/2xv0Xytd7e	1118691616607428608	113	2019-04-18 01:44:00	TweetDeck	32	32
Documento: Trump podría desplegar miles de militares adicionales en la frontera con México https://t.co/wnfdYnnf4i	1118689854462685184	114	2019-04-18 01:37:00	TweetDeck	19	22
Cientos de migrantes de América Central soportan duras condiciones y hasta maltratos mientras esperan para poder cr… https://t.co/kuGkmXquzf	1118688093253656578	140	2019-04-18 01:30:00	Twitter Media Studio	31	42
"Roger Waters sobre el arresto de Assange: ""Reino Unido se ha hecho cómplice voluntario de EE.UU."" https://t.co/QZGhIRoqrN"	1118685828350447616	121	2019-04-18 01:21:00	TweetDeck	146	109
"""Un tesoro"": Difunden una foto inédita de Don Ramón de 'El Chavo del 8' https://t.co/2Vm4YBLrp4"	1118684066734379008	95	2019-04-18 01:14:00	TweetDeck	39	21
VIDEO: La NASA descubre agua en la superficie de la Luna procedente de lluvias de meteoritos https://t.co/App22LlADf https://t.co/bTcOK6oIzp	1118682305084764165	140	2019-04-18 01:07:00	TweetDeck	87	43
"El Gobierno argentino busca ""generar un alivio"" y anuncia un acuerdo de precios para combatir la inflación… https://t.co/DhzLsnb9LT"	1118680543376420864	131	2019-04-18 01:00:00	Twitter Media Studio	27	20
Un estudio muestra de quién tiene miedo el gran tiburón blanco https://t.co/Pc6PMGRpf7	1118678720531894273	86	2019-04-18 00:52:45	TweetDeck	34	18
