Tweets	id	len	date	source	likes	rt
"RT @LaSagaOficial: ¿Cómo terminaste con Enrique Guzmán?
-Pues no acabé de ninguna forma con él.
#SilviaPinal a @Adela_Micha en  #EnEFyPorAd…"	1118694880153341953	140	2019-04-18 01:56:58	Twitter for iPhone	0	5
RT @latuzita: #SilviaPinal habla con @Adela_Micha #EnEFyPorAdela  https://t.co/8rGpaLEYj1	1118694197035450369	89	2019-04-18 01:54:15	Twitter for iPhone	0	5
RT @Carlos_Chalini: #SilviaPinal platica de la amistad que su abuela tenía con #PedroInfante #EnEFyPorAdela @Adela_Micha @ElFinancieroTv ht…	1118694188307161088	140	2019-04-18 01:54:13	Twitter for iPhone	0	5
RT @LaSagaOficial: ¿Aparece Enrique Guzmán en la bioserie de Silvia Pinal? ”: #SilviaPinal en #EnEFyPorAdela	1118694179381633024	108	2019-04-18 01:54:11	Twitter for iPhone	0	5
RT @latuzita: #SilviaPinal habla con @Adela_Micha sobre las amistades que ha tenido y dice que está buscando a #JacquelineAndere @Chantalan…	1118692528218419200	140	2019-04-18 01:47:37	Twitter for iPhone	0	4
RT @josuegcortes: No sé ustedes pero estoy esperando a que #Silviapinal diga; Acompáñame a ver esta triste historia... #EnEFyPorAdela	1118692521859780608	133	2019-04-18 01:47:36	Twitter for iPhone	0	4
RT @Carlos_Chalini: #SilviaPinal y su gran amistad con #JacquelineAndere #EnEFyPorAdela @Adela_Micha @ElFinancieroTv https://t.co/s84lT0SOSz	1118692512590385152	140	2019-04-18 01:47:33	Twitter for iPhone	0	4
RT @LaSagaOficial: Silvia Pinal revela a @Adela_Micha quién ha sido el hombre que más la ha amado #EnEFyPorAdela https://t.co/38eZJUxUNL	1118692503132213248	136	2019-04-18 01:47:31	Twitter for iPhone	0	5
RT @Juniortvsa: #EnEFyPorAdela recta final de la gran entrevista con Silvia Pinal @Adela_Micha https://t.co/gZRwzM4xNX	1118692491786694656	118	2019-04-18 01:47:29	Twitter for iPhone	0	5
RT @josuegcortes: Yo viendo #EnEFyPorAdela https://t.co/yO1qp4K8Zo	1118692483406401536	66	2019-04-18 01:47:27	Twitter for iPhone	0	4
RT @latuzita: #SilviaPinal habla con @Adela_Micha sobre la edad y dice que cualquier edad es buena si la sabe uno llevar con gusto #EnEFyPo…	1118692473344286721	140	2019-04-18 01:47:24	Twitter for iPhone	0	4
RT @robblie: Viendo a la Silvina Pinal en #EnEFyPorAdela me dan ganas de irme de peda con ella. 🤣🤣🤣	1118692465941405696	99	2019-04-18 01:47:22	Twitter for iPhone	0	4
"RT @ElFinancieroTv: ""¿Cuál es el sentimiento que prevalece? ¿La melancolía, la nostalgia o la pasión por lo que haces?"", le preguntó @Adela…"	1118692448673333249	140	2019-04-18 01:47:18	Twitter for iPhone	0	10
RT @LaSagaOficial: “Yo quería ser cantante de ópera, pero me dijeron que me fuera a lo más comercial y así empecé a cantar otro tipo de can…	1118691048379883523	140	2019-04-18 01:41:44	Twitter for iPhone	0	6
RT @LaSagaOficial: Silvia Pinal cuenta a @Adela_Micha quiénes son sus mejores amigos en la actualidad #EnEFyPorAdela	1118691043560566785	116	2019-04-18 01:41:43	Twitter for iPhone	0	6
"RT @ElFinancieroTv: ""No me creo tan importante, la verdad, pero me encanta que la gente me quiera"", le dijo Silvia Pinal a @Adela_Micha, ""a…"	1118690438905520128	140	2019-04-18 01:39:19	Twitter for iPhone	0	12
RT @Juniortvsa: #EnEFyPorAdela continuamos al aire por @ElFinancieroTv con Silvia Pinal @Adela_Micha imperdible conversación https://t.co/B…	1118690196688601088	140	2019-04-18 01:38:21	Twitter for iPhone	0	3
RT @LaSagaOficial: “Cualquier edad es buena si la saber llevar con gusto y con resignación, porque tienes que tener mucha resignación”: #Si…	1118690174723084291	140	2019-04-18 01:38:16	Twitter for iPhone	0	5
RT @latuzita: #SilviaPinal la ultima gran Diva habla con @Adela_Micha de la afinidad que tiene con sus hijos, dice que  se lleva mejor con…	1118689354384379905	139	2019-04-18 01:35:00	Twitter for iPhone	0	6
RT @Carlos_Chalini: #SilviaPinal platica de la relación con sus hijos #EnEFyPorAdela @Adela_Micha @ElFinancieroTv https://t.co/HEhlC3xtxj	1118688815751815168	137	2019-04-18 01:32:52	Twitter for iPhone	0	5
RT @LaSagaOficial: “A mis hijos les choca que yo tenga un gran amor por mi trabajo”: #SilviaPinal a @Adela_Micha en  #EnEFyPorAdela https:/…	1118688804339179521	140	2019-04-18 01:32:49	Twitter for iPhone	0	8
RT @Juniortvsa: #EnEFyPorAdela continuamos al aire por @ElFinancieroTv en una Excelente entrevista con Silvia Pinal @Adela_Micha…	1118688792221765632	129	2019-04-18 01:32:46	Twitter for iPhone	0	3
