Tweets	id	len	date	source	likes	rt
"¡A tomar precauciones! Estos serán los horarios del sistema de transporte de la CDMX para los días santos
https://t.co/yfVvPjk0Qf"	1118699506843959296	129	2019-04-18 02:15:21	Twitter for Android	2	1
"Trump sí le ofreció a su hija Ivanka dirigir el Banco Mundial. Ella rechazó la oferta
https://t.co/H1bUO8B4Yk"	1118694064847765505	109	2019-04-18 01:53:44	Twitter for Android	8	5
"@pedroferriz3 le recomienda a @lopezobrador_ una boleada de zapatos y un sastre
https://t.co/H0D6QjDBL5"	1118692186240049152	103	2019-04-18 01:46:16	Twitter for Android	19	8
"¿Qué tan segura consideras la ciudad en la que vives? Esto opinan los mexicanos
https://t.co/HFJWrsYuSU"	1118682541777670146	103	2019-04-18 01:07:56	Twitter for Android	11	1
¿Para que ir todos los días a trabajar si tomando la caseta México-Cuernavaca se pueden cobrar $50 pesos por auto c… https://t.co/lOuMyln6TV	1118674829836681216	140	2019-04-18 00:37:18	Twitter for iPhone	289	134
"Ante inseguridad, gobierno de la CDMX anuncia nuevo dispositivo de seguridad en el Centro Histórico
https://t.co/0kvSZ1pbtB"	1118673445099798535	123	2019-04-18 00:31:47	Twitter for Android	8	0
"@lopezobrador_ niega que su gobierno presione a directivos de los medios para “alinear” a sus colaboradores
https://t.co/i8iDWxaYcI"	1118670741665452032	131	2019-04-18 00:21:03	Twitter for Android	7	1
"El PAN le pide al INE “cuidar las manos de los funcionarios federales” durante los procesos electorales
https://t.co/58jhlnDLVp"	1118662669140209665	127	2019-04-17 23:48:58	Twitter for Android	6	6
"Aprobación de @lopezobrador_ sigue a la baja. Su peor nivel desde diciembre: Massive Caller
https://t.co/qkoOYUROqC"	1118660712086286336	115	2019-04-17 23:41:12	Twitter for Android	81	44
"No tememos a juicios políticos: @lopezobrador_ sobre memorándum contra la reforma educativa
https://t.co/37lijpBlys"	1118650965404594176	115	2019-04-17 23:02:28	Twitter Web Client	4	2
"La CDMX espera una derrama económica de 4 mil mdp durante semana santa
https://t.co/wfRg10TI5g"	1118647071123361793	94	2019-04-17 22:46:59	Twitter Web Client	3	0
"Coparmex lamenta que @lopezobrador_ cediera ante presiones del magisterio
https://t.co/BbOaSiwkXm"	1118646177854107648	97	2019-04-17 22:43:26	Twitter Web Client	25	15
"Los ex presidentes de Perú ligados al escándalo de Odebrecht
https://t.co/AqAaNJ3v2N"	1118646080713916416	84	2019-04-17 22:43:03	Twitter Web Client	1	1
Estamos empezando, vamos a ir rectificando y ofreciendo disculpas: @lopezobrador_ https://t.co/yLnkKTT5rL	1118631632754434048	105	2019-04-17 21:45:39	Twitter Web Client	11	1
#AHORA En redes sociales circuló un video en el que aparecen varios policías capitalinos forcejeando con un motocic… https://t.co/PVNNFndMwq	1118619305845907456	140	2019-04-17 20:56:40	Twitter Web Client	5	2
"#AHORA En redes sociales se difundió el momento en que cinco policías detienen a un vendedor de gelatinas #ALas3
https://t.co/TOnk6wCXDN"	1118619109695135745	136	2019-04-17 20:55:53	Twitter Web Client	5	1
El destino de los presidentes de Perú:  #AlanGarcía 4o expresidente de ese país en ser señalado de tener vinculos d… https://t.co/MNX9m3MtHN	1118616084674961409	140	2019-04-17 20:43:52	Twitter for iPhone	29	9
#AHORA El presidente de Francia, Emmanuel Macron, se reunió con su gabinete para ajustar los detalles sobre la reco… https://t.co/NXQ3kECVOC	1118613905746604035	140	2019-04-17 20:35:12	Twitter Web Client	6	2
#AHORA El expresidente de Perú, Alan García, falleció esta mañana en un hospital, luego de dispararse en la cabeza… https://t.co/c0BRQ1Tisz	1118611950450167808	139	2019-04-17 20:27:26	Twitter Web Client	6	1
"#AHORA En la Ciudad de México, anoche, una gran rama de árbol cayó sobre un camión de cerveza #ALas3
https://t.co/TOnk6wCXDN"	1118611731742326784	124	2019-04-17 20:26:34	Twitter Web Client	3	0
"#AHORA En Villahermosa, Tabasco, un hombre armado asaltó un restaurante ubicado en la colonia Atasta #ALas3
https://t.co/TOnk6wCXDN"	1118609321183596544	131	2019-04-17 20:16:59	Twitter Web Client	5	0
"#AHORA En Naucalpan, no paran los asaltos cometidos por jóvenes a bordo de motonetas #ALas3
https://t.co/TOnk6wCXDN"	1118608923517431809	115	2019-04-17 20:15:24	Twitter Web Client	10	9
#AHORA Anoche en Coacalco, Estado de México, dos mujeres fueron heridas de bala en una camioneta del transporte púb… https://t.co/FvIBfvRWSF	1118608066373718016	140	2019-04-17 20:12:00	Twitter Web Client	4	3
"#AHORA El transporte público de la Ciudad de México tendrá horario especial con motivo de los días santos #ALas3
https://t.co/TOnk6wCXDN"	1118606676444241920	136	2019-04-17 20:06:29	Twitter Web Client	4	0
#AHORA Le recordamos que este jueves 18 y viernes 19 de abril las instituciones bancarias suspenderán sus operacion… https://t.co/13zBABsfR0	1118606542985682944	140	2019-04-17 20:05:57	Twitter Web Client	3	0
#AHORA En la alcaldía de Iztapalapa, Ciudad de México, a partir de hoy y hasta el próximo domingo 21 de abril, se s… https://t.co/CILFsE2pTf	1118606479400022016	140	2019-04-17 20:05:42	Twitter Web Client	3	0
RT @Foro_TV: Inicia #ALas3 con @AnaPOrdorica por FOROtv Canal 4.1, 104 IZZI, 149 Sky y https://t.co/yzLBXKrjuF https://t.co/D7McYExxP0	1118606342149877761	134	2019-04-17 20:05:09	Twitter Web Client	0	2
"#AHORA Se cumplen 75 días de paro en la Universidad Autónoma Metropolitana #ALas3
https://t.co/TOnk6wCXDN"	1118606246838403072	105	2019-04-17 20:04:46	Twitter Web Client	3	0
#AHORA Desde las 7:30 de la mañana, integrantes del movimiento por la libertad de presos políticos mantienen tomada… https://t.co/XLW9C9LTsY	1118606074691686411	140	2019-04-17 20:04:05	Twitter Web Client	3	0
#AHORA La medida, que normalmente está vigente de 5:00 a 22:00 horas, este miércoles opera por única ocasión de 9:0… https://t.co/iwE7Vl7NvO	1118605650618195968	140	2019-04-17 20:02:24	Twitter Web Client	4	0
"#AHORA Este miércoles se mantiene vigente la fase 1 de contingencia atmosférica en el Valle de México #ALas3
https://t.co/TOnk6wlmfd"	1118605577700032512	132	2019-04-17 20:02:07	Twitter Web Client	4	0
"Hermano de Javier Duarte se ampara para no ser detenido
https://t.co/tSRIlCjHSY"	1118605180449120256	79	2019-04-17 20:00:32	Twitter Web Client	3	0
"Assange coordinaba hackers desde encierro en la embajada de Ecuador
https://t.co/Wwf8jNl9iK"	1118598765856874496	91	2019-04-17 19:35:02	Twitter Web Client	6	3
"Sin dar motivos, otro integrante de la CRE renuncia al cargo
https://t.co/U5qP3yY2Nc"	1118596743313149957	84	2019-04-17 19:27:00	Twitter Web Client	9	0
👌🏻 ⁦@CartonCalderon⁩ https://t.co/Qltn1kfBGD	1118586910350331904	44	2019-04-17 18:47:56	Twitter for iPad	33	13
"Diputados buscan que deudores estén menos tiempo en el Buró de Crédito
https://t.co/FEjbusGaTt"	1118584299610091521	94	2019-04-17 18:37:33	Twitter Web Client	6	2
"Ante el intenso calor… policías de Texcoco llenan patrulla con cerveza
https://t.co/6p2kOfsq0L"	1118579763713540096	94	2019-04-17 18:19:32	Twitter Web Client	7	1
"Fallece expresidente de Perú tras dispararse para evitar ser detenido por caso Odebrecht
https://t.co/lGGIdBZlIQ"	1118569817085235200	112	2019-04-17 17:40:01	Twitter Web Client	10	2
Estados y municipios sí pagarán Guardia Nacional, corrige @lopezobrador_ https://t.co/uHewxwL4VQ	1118565755518423040	96	2019-04-17 17:23:52	Twitter Web Client	4	2
México no es Venezuela, @lopezobrador_ no es Maduro ni será jamás Maduro: @jorgeramosnews https://t.co/rw87rjIsih	1118556825291558912	113	2019-04-17 16:48:23	Twitter Web Client	17	2
"@lopezobrador_ aparece en la lista de las 100 personas más influyentes de Time
https://t.co/DKpvchzm2O"	1118547026659172353	102	2019-04-17 16:09:27	Twitter for Android	2	2
@lopezobrador_ perdería juicio político tras memorándum sobre Refroma Educativa: @VicenteFoxQue https://t.co/ip2uRMg64d	1118542903096369157	119	2019-04-17 15:53:04	Twitter Web Client	6	3
"RT @Univ_Opinion: Señor presidente, sin excusas por favor

#Columna de @AnaPOrdorica 

https://t.co/UnmHzNK8PM https://t.co/bxxlgFAfCC"	1118540840677171200	134	2019-04-17 15:44:52	Twitter for iPad	0	5
RT @El_Universal_Mx: Señor presidente, sin excusas por favor | #Opinión de @AnaPOrdorica https://t.co/8ViEc4XkZr https://t.co/2v5upbKuWI	1118540789955452933	136	2019-04-17 15:44:40	Twitter for iPad	0	15
"Gobierno disminuirá en 50% los gastos en publicidad oficial: @lopezobrador_
https://t.co/J0wDWl7gv3"	1118533430596206593	99	2019-04-17 15:15:25	Twitter for Android	10	0
"¿Qué dijo @lopezobrador_ en la conferencia de este 17 de abril?
https://t.co/q849ZOnvCQ"	1118527102343495680	87	2019-04-17 14:50:17	Twitter for Android	3	2
"Expresidente peruano Alan García se dispara para evitar ser detenido por la Policía
https://t.co/COKJKungeI"	1118526942473543680	107	2019-04-17 14:49:38	Twitter for Android	5	0
