Tweets	id	len	date	source	likes	rt
¿Quién era Alan García, el ex presidente de Perú que se suicidó hoy? | Perfil https://t.co/CAdQSA0ELk https://t.co/S2SOnDWxTm	1118701949686362112	125	2019-04-18 02:25:03	Hootsuite Inc.	1	1
#Entérate: Con ‘memo’, AMLO devuelve al Congreso la responsabilidad de Reforma Educativa: Reyes Orona #Video 👇 https://t.co/3TyBwddjV4	1118700690824626177	134	2019-04-18 02:20:03	Hootsuite Inc.	6	2
Se mantiene contingencia; este jueves no circulan autos con holograma 2 https://t.co/0AZOuUpktT https://t.co/PqQDYBG2UT	1118698175626346496	119	2019-04-18 02:10:04	Hootsuite Inc.	11	5
México, Reino Unido y otros 4 países, a examen en materia de tortura y tratos degradantes https://t.co/KCeJ7lh3c1 https://t.co/SEkMRu1ay2	1118696916416716802	137	2019-04-18 02:05:03	Hootsuite Inc.	12	7
La ayuda humanitaria consiste en medicamentos, equipo médico y generadores de electricidad https://t.co/Mtpb10OpN4	1118695736793862145	114	2019-04-18 02:00:22	Hootsuite Inc.	23	6
Pactan crear grupo de búsqueda, en vida y en fosas, de los 43 de Ayotzinapa https://t.co/ZCc5lfaMqb https://t.co/ayHNjwroP0	1118695090988507136	123	2019-04-18 01:57:48	Hootsuite Inc.	23	14
El periodista (@JJesusEsquivel), corresponsal de la revista Proceso en Washington, informa que el gobierno de EU av… https://t.co/HRbiKgLTqt	1118690626516729859	140	2019-04-18 01:40:04	Hootsuite Inc.	24	7
Liga MX: Estos son los árbitros para la Fecha 15 | Designaciones https://t.co/nF5Sh7q36B https://t.co/lNky57Km6O	1118688134768803840	112	2019-04-18 01:30:10	Hootsuite Inc.	7	0
Estados Unidos activará Ley Helms-Burton sobre bienes confiscados en Cuba https://t.co/ONcLVcAV87	1118685592555085824	97	2019-04-18 01:20:04	Hootsuite Inc.	8	7
Críticas al memorándum de AMLO; la muerte de Alan García y más | Lo mejor de Aristegui En Vivo https://t.co/gO39O08MAb	1118683072671756290	118	2019-04-18 01:10:03	Hootsuite Inc.	12	3
Halla Fiscalía de Veracruz predio con al menos 36 fosas clandestinas | Video https://t.co/tpt2GsoLvr https://t.co/12QMjHH4bJ	1118682234347827201	124	2019-04-18 01:06:43	Hootsuite Inc.	12	9
En su casa fue encontrado este recorte de periódico, en el que aparece retratado: https://t.co/kBafwkfPRH https://t.co/aYYV6yIR37	1118681318458396672	129	2019-04-18 01:03:05	Twitter Web Client	84	52
Asesinan en Edomex a ex secretario de Jefe del Estado Mayor Presidencial. https://t.co/kBafwkfPRH https://t.co/zQrnk34NbH	1118681316696809473	121	2019-04-18 01:03:04	Twitter Web Client	128	105
#Libros 📚: Este 17 de abril se cumplen 324 de años de su muerte https://t.co/nD6lYwcNOp	1118680603350700032	87	2019-04-18 01:00:14	Hootsuite Inc.	55	15
Busca policía nicaragüense frenar marcha “Todos somos abril” | Videos https://t.co/DqR5dcdU3p https://t.co/PORlyDIs9L	1118678049392869376	117	2019-04-18 00:50:05	Hootsuite Inc.	16	7
Investigación en Perú da vuelco tras suicidio de expresidente (@AlanGarciaPeru): Exprocurador Anticorrupción #Video… https://t.co/o8xZPHEnrj	1118675531157901312	140	2019-04-18 00:40:05	Hootsuite Inc.	15	9
Champions League: Ahogan Spurs a Citizens con lluvia de goles en el Etihad Stadium | Video https://t.co/jgQpSkv5xl https://t.co/pZefjyFZMY	1118673052806582272	138	2019-04-18 00:30:14	Hootsuite Inc.	16	2
#Entérate: Faltan límites y precisión a política de medios anunciada por AMLO (@lopezobrador_): Reyes Orona #Video 👇 https://t.co/Q7CkGQor5M	1118670503382851584	140	2019-04-18 00:20:06	Hootsuite Inc.	18	6
Si una ley es injusta, el Congreso la debe modificar: Monreal https://t.co/jUFiCdFwSz https://t.co/BHFhBs5XqG	1118667977577193472	109	2019-04-18 00:10:04	Hootsuite Inc.	32	5
#Entérate: AMLO no tiene facultades para pedir que no se apliquen partes de la Constitución: Carbonell (… https://t.co/ad3Is2RuZc	1118665510252613632	129	2019-04-18 00:00:16	Hootsuite Inc.	54	21
Champions League: Liverpool reescribe “Cómo entrenar a tu dragón 2” | Video https://t.co/dPT8yjHfH2 https://t.co/2kqrGjql2d	1118664206079991808	123	2019-04-17 23:55:05	Hootsuite Inc.	26	1
Madonna y Maluma unen sus voces; los ‘destrozan’ en redes https://t.co/6G4tVAPZpS	1118661701556166656	81	2019-04-17 23:45:08	Hootsuite Inc.	77	19
Afirman que ya no hay “chayote” desde gobierno federal; un periodista recibió 130 mdp con EPN: Galván Ochoa (… https://t.co/6Y5cpqavOy	1118660429151076353	134	2019-04-17 23:40:04	Hootsuite Inc.	144	102
#MesadeAnálisis: el ‘memo’ de AMLO es indefendible, pero puede funcionar políticamente https://t.co/BsyY02593V	1118659165277306880	110	2019-04-17 23:35:03	Hootsuite Inc.	37	15
Acusan “oídos sordos” de AMLO ante huelga en la UAM, la cual cumple 75 días https://t.co/tpYkgAaXoz https://t.co/0Hfvbi44sV	1118657943438811142	123	2019-04-17 23:30:12	Hootsuite Inc.	27	14
Congela Argentina precios de 60 productos básicos, tarifas de transporte y electricidad https://t.co/NlDk1602xn https://t.co/90w1p2bWum	1118656830526377984	135	2019-04-17 23:25:46	Hootsuite Inc.	20	6
Listos los dos primeros semifinalistas de la @ChampionsLeague #Deportes 17/04/19 #Video 👇 https://t.co/qL4rCsIqtY	1118655397131444224	113	2019-04-17 23:20:04	Hootsuite Inc.	12	2
Joy anuncia que será mamá y revela que se casó con una mujer | Video https://t.co/pS8QjGBsHC https://t.co/tSaLkhWX5B	1118655180411736064	116	2019-04-17 23:19:13	Hootsuite Inc.	84	11
Estos fueron los últimos tuits del expresidente Alan García https://t.co/ImsdoU6o6D https://t.co/yQKIyIUVnJ	1118654144917704704	107	2019-04-17 23:15:06	Hootsuite Inc.	7	6
Descanse en paz Lourdes Ruiz, la reina del albur: ‘Las Plumas de la Serpiente’ | Video https://t.co/ozV06nyNN2	1118654142220767234	110	2019-04-17 23:15:05	Hootsuite Inc.	74	16
Confirma Aguirre Abdó demanda de INRA vs Radio Centro por ratings; descarta acuerdo extrajudicial https://t.co/PQ4txzxoSV	1118652885905084419	121	2019-04-17 23:10:06	Hootsuite Inc.	12	4
LMB: Propinan endemoniada paliza a Piratas | Resultados https://t.co/F50ZjndBkj https://t.co/mCTDDiX4ff	1118651623482494977	103	2019-04-17 23:05:05	Hootsuite Inc.	16	1
#Entérate: AMLO: Memorándum no es sólo un asunto legal, es un asunto político para propósitos internos #Video 👇 https://t.co/eVako6ulZd	1118650413610356736	135	2019-04-17 23:00:16	Hootsuite Inc.	44	13
Chavela Vargas, “la mujer del poncho rojo”, cumpliría hoy 100 años de vida | Video https://t.co/5ljIozsmZ8	1118647845891072000	106	2019-04-17 22:50:04	Hootsuite Inc.	274	55
Expresidente peruano Kuczynski es operado por problemas cardíacos https://t.co/iDbyZ3ogQx https://t.co/B95zaU0H3P	1118646588832976896	113	2019-04-17 22:45:04	Hootsuite Inc.	12	2
#Entérate: Política de medios de AMLO va en el sentido correcto: Figueroa (@FigueroaAlfredo) #Video 👇 https://t.co/M4WFJ2ZmnY	1118645325693169665	125	2019-04-17 22:40:03	Hootsuite Inc.	28	14
Apuesta Aguirre Abdó por auditar a INRA mediante procesos judiciales https://t.co/tB5LMGoW3s https://t.co/ypuVUMPUox	1118644073424932864	116	2019-04-17 22:35:05	Hootsuite Inc.	25	3
@solamentejoy anuncia que será mamá y revela que se casó con una mujer | Video https://t.co/kVvwK1d73r https://t.co/EIVArKzdx1	1118642845139832833	126	2019-04-17 22:30:12	Hootsuite Inc.	4	0
Memorándum es “políticamente magistral, pero jurídicamente reprobable”: Reyes Orona https://t.co/1mu8HgUlrN https://t.co/yOFjWKcUog	1118641554242113536	131	2019-04-17 22:25:04	Hootsuite Inc.	26	12
Los Cerillos #Niñonautas con Kirén Miret (@kmiret) #Video 👇  https://t.co/vE1Om9CbOU	1118640300329717763	84	2019-04-17 22:20:05	Hootsuite Inc.	24	0
Amanecí en tus brazos, Chavela: 30 de sus canciones más conocidas y celebradas | Artículo https://t.co/4oXNTKjZdu https://t.co/O8HTKgWjTR	1118639039719116800	137	2019-04-17 22:15:05	Hootsuite Inc.	44	9
EU anuncia sanciones contra Cuba, Venezuela y Nicaragua; restringe viajes e impone límite de remesas a la isla | Vi… https://t.co/MQfWI8pIGl	1118638755328471040	140	2019-04-17 22:13:57	Hootsuite Inc.	38	21
MLB: Apalean Astros a Marco Estrada en derrota de Atléticos | Resultados https://t.co/44DPj3KVud https://t.co/CaebG7m5I7	1118637786544975873	120	2019-04-17 22:10:06	Hootsuite Inc.	9	0
Tras la caída de la “organización criminal” de Fujimori, la corrupción en Perú tomó formas distintas: ex procurador… https://t.co/eVyLM92AEp	1118636528283082754	140	2019-04-17 22:05:06	Hootsuite Inc.	22	7
Avanza @RafaelNadal sin despeinarse en el Masters 1000 de Montecarlo #Video 👇 https://t.co/fcsT6RjGWm	1118635319493107714	101	2019-04-17 22:00:18	Hootsuite Inc.	16	1
Ejemplo para México, la investigación de corrupción en Perú: Abogado | Video https://t.co/cm3ylT7shb	1118634066830606346	100	2019-04-17 21:55:19	Hootsuite Inc.	309	207
#Entérate: Memorándum no resuelve demandas ni puede estar arriba de la ley: vocero de la CNTE #Video 👇 https://t.co/a420ZUcWPi	1118630235740803072	126	2019-04-17 21:40:06	Hootsuite Inc.	92	37
El ex presidente del Perú sufrió tres paros cardio-respiratorios en la sala de operaciones del hospital Casimiro Ul… https://t.co/mbQIsfIRgM	1118625200499777536	140	2019-04-17 21:20:05	Hootsuite Inc.	28	12
#Entérate: El ‘memo’ es constitucionalmente impresentable, pero políticamente es eficaz: Reyes Orona #Video 👇 https://t.co/I4AHocqSaV	1118620215489761282	133	2019-04-17 21:00:16	Hootsuite Inc.	35	10
#Entérate: Demanda de INRA abre la puerta a auditoría de mediciones de audiencia: Aguirre Abdó #Video 👇 https://t.co/y1XXvbFMfN	1118615140079996936	127	2019-04-17 20:40:06	Hootsuite Inc.	18	3
Lima 2019: Esta es la canción oficial de los Juegos Panamericanos #Video 👇  https://t.co/ghtsaTAs7Q	1118610107674365952	99	2019-04-17 20:20:07	Hootsuite Inc.	19	3
El presidente se aventó contra la Constitución: Carbonell (@MiguelCarbonell) #Video 👇 https://t.co/tNvX5tUm4h	1118605115928326144	109	2019-04-17 20:00:16	Hootsuite Inc.	37	17
#Entérate: Alan García (@AlanGarciaPeru) tiene una “vieja pulsión” para eludir la acción de la justicia: Exprocurad… https://t.co/2ftYykqM1J	1118600035141394432	140	2019-04-17 19:40:05	Hootsuite Inc.	19	3
#Entérate: Ningún medio concentrará más de 25% del presupuesto de campañas publicitarias #Video 👇 https://t.co/frmWhez77e	1118595015331151877	121	2019-04-17 19:20:08	Hootsuite Inc.	119	26
.@lopezobrador_ y @YalitzaAparicio entre las personas más influyentes de la revista Time https://t.co/uRfHeHGxP7	1118590032464445442	112	2019-04-17 19:00:20	Hootsuite Inc.	1388	379
74% de la población se siente insegura en su ciudad: @INEGI_INFORMA https://t.co/wNWyYGws5r	1118584938813693953	91	2019-04-17 18:40:06	Hootsuite Inc.	86	38
#Entérate: Memorándum es indefendible en la división de poderes: Figueroa (@FigueroaAlfredo) #Video 👇 https://t.co/uiBAKkWDXb	1118579912825352193	125	2019-04-17 18:20:08	Hootsuite Inc.	26	5
.@NFL: Ya hay fecha y hora para el duelo Jefes vs. Cargadores 🏈 en el Estadio Azteca #Video 👇 https://t.co/lAHQfHHbGm	1118574965631201282	117	2019-04-17 18:00:28	Hootsuite Inc.	18	3
#Entérate: Sentimos que no hay problema, que es parte de nuestras facultades: AMLO (@lopezobrador_) sobre el memorá… https://t.co/VJUQ1r8Jw2	1118553485006516230	140	2019-04-17 16:35:07	Hootsuite Inc.	200	63
#Entérate: AMLO (@lopezobrador_): Me dio gusto orden de aprehensión contra Mario Marín y Kamel Nacif | #Video 👇   https://t.co/C4w6dTjElq	1118549682446315520	137	2019-04-17 16:20:00	Hootsuite Inc.	714	199
#Libros 📚: El FCE (@FCEMexico) edita las Obras completas de Sor Juana Inés de la Cruz https://t.co/nD6lYwcNOp https://t.co/BEsLz4RPnC	1118547789926080512	133	2019-04-17 16:12:29	Hootsuite Inc.	123	51
La demanda, me parece que es una gran noticia porque nos da la oportunidad de que, en términos judiciales, procedam… https://t.co/dKnXXA1ePG	1118546673008037888	140	2019-04-17 16:08:03	Hootsuite Inc.	21	7
Juan Aguirre Abdo, director de Grupo Radio Centro (@RadioCentroMX), habló de las acciones legales en su contra y de… https://t.co/Dqla4hayMD	1118545081919844353	140	2019-04-17 16:01:43	Hootsuite Inc.	17	8
🔶 Falleció Alan García; el expresidente se suicidó antes de ser detenido https://t.co/QzDpPd2xXd https://t.co/5qatKveNuL	1118541957947633666	120	2019-04-17 15:49:18	Hootsuite Inc.	152	132
Primer cargamento de ayuda humanitaria de la Cruz Roja (@CruzRojaVe) llega a Venezuela https://t.co/Mtpb10OpN4 https://t.co/aVYKKTCETV	1118535548141015040	134	2019-04-17 15:23:50	Hootsuite Inc.	48	12
Metro (@MetroCDMX), Metrobús (@MetrobusCDMX) y Tren Ligero tendrán horarios festivos esta Semana Santa… https://t.co/0FDZh02Toa	1118534427989168128	127	2019-04-17 15:19:23	Hootsuite Inc.	24	7
La acción del Ejecutivo no es una resolución que precise de fundamentación, no está dirigida a un particular, es un… https://t.co/KXJmnQqUoB	1118532734752837633	140	2019-04-17 15:12:39	Hootsuite Inc.	30	8
Reconociendo que en el pasado hubo prácticas de esta naturaleza, lo que está en expectativa de la ciudadanía es que… https://t.co/bc2JYgLozA	1118529781983846403	140	2019-04-17 15:00:55	Hootsuite Inc.	27	6
Es un asunto relevante porque pone de manifiesto que hemos vivido una simulación en donde el PRI, PAN, PRD están at… https://t.co/FAiSruLHJr	1118525372570714117	140	2019-04-17 14:43:24	Hootsuite Inc.	159	102
Alcance jurídico y político del memorándum para dejar sin efecto la Reforma Educativa, en #MesaDeAnálisis con Alfre… https://t.co/gSRlEQLVLQ	1118524016740978688	140	2019-04-17 14:38:01	Hootsuite Inc.	23	7
Monreal y la Reforma Laboral, en columnas políticas 17/04/19 https://t.co/bkmjjZcgdW https://t.co/r8MqrzYhwu	1118522164146253825	108	2019-04-17 14:30:39	Hootsuite Inc.	11	3
Se hizo público que su Jefe de la Oficina Presidencial, del 2006 al 2011, recibió al menos 4 mlls de dólares de Ode… https://t.co/uO6gAc8v0P	1118521820079120384	140	2019-04-17 14:29:17	Hootsuite Inc.	24	36
El abogado Julio Madrazo (@julio_madrazo), comenta sobre la detención e intento de suicidio del expresidente peruan… https://t.co/0vTVT1zVs1	1118518890156429312	140	2019-04-17 14:17:39	Hootsuite Inc.	33	22
“Recursos públicos no serán utilizados para premiar o castigar a ningún medio”: AMLO (@lopezobrador_)… https://t.co/Km1ChRtCt3	1118517680523366401	126	2019-04-17 14:12:50	Hootsuite Inc.	167	31
Reforma laboral; división de CFE; Tren Maya y más, en columnas financieras de este 17/04/19 https://t.co/HijOlPHQZ0 https://t.co/bhdfLb9qgd	1118516990002569216	139	2019-04-17 14:10:06	Hootsuite Inc.	12	9
El problema jurídico es que la Reforma Educativa es hoy, texto constitucional vigente. Es decir que (@lopezobrador_… https://t.co/kDP1yVp187	1118516717435510784	140	2019-04-17 14:09:01	Hootsuite Inc.	59	53
El memorándum es breve y no cita un sólo fundamento jurídico. No trae ninguna mención expresa de alguna norma que l… https://t.co/xeA2ZErMKS	1118515588186374145	140	2019-04-17 14:04:31	Hootsuite Inc.	36	26
Miguel Carbonell (@MiguelCarbonell), directivo del Centro de Estudios Jurídicos Carbonell A.C., comenta sobre el me… https://t.co/NF5zcWhip8	1118514766518083589	140	2019-04-17 14:01:15	Hootsuite Inc.	33	16
La historia del Perú es compleja en términos de la corrupción estatal y de a relación de los funcionarios públicos… https://t.co/I5Gs5LlgDB	1118511728323715072	139	2019-04-17 13:49:11	Hootsuite Inc.	26	6
La contundencia eran los cargos con los que la Fiscalía solicitó la detención preliminar de (@AlanGarciaPeru), en e… https://t.co/uuyUrInOYr	1118509391102259200	140	2019-04-17 13:39:54	Hootsuite Inc.	49	23
Julio Arbizu (@julioarbizu), ex Procurador Anticorrupción de la República del Perú, comenta sobre el panorama del p… https://t.co/pqmbZgAUiI	1118507421415112704	140	2019-04-17 13:32:04	Hootsuite Inc.	36	23
🔶 Expresidente de Perú, Alan García (@AlanGarciaPeru), es internado por intento de suicidio tras ser detenido por c… https://t.co/JPkHFoGJLQ	1118504447431327745	140	2019-04-17 13:20:15	Hootsuite Inc.	55	63
💵 Consulta aquí el tipo de cambio para este miércoles 17 de abril  https://t.co/AV76DqYAtB https://t.co/v776CqqGve	1118498882118406144	114	2019-04-17 12:58:08	Hootsuite Inc.	13	3
"Así amanecen los principales diarios en nuestro país y del mundo.
Te compartimos los titulares para este… https://t.co/yP5SBWjIo3"	1118487621414608901	129	2019-04-17 12:13:24	Hootsuite Inc.	14	3
#FelizMiércoles 🙂 así comenzamos nuestro #AristeguiEnVivo. 👉https://t.co/GnOp2yMN3S https://t.co/IeTtnbqQJN	1118484453939003394	107	2019-04-17 12:00:48	Periscope	53	20
Morena llama a maestros a alcanzar acuerdo sobre reforma educativa antes del 30 de abril https://t.co/bLcZzVLPpk	1118481759606398976	112	2019-04-17 11:50:06	Hootsuite Inc.	35	19
Memorándum de AMLO carece de sustento jurídico y viola la Constitución: PRI, PAN y PRD https://t.co/mtNcWC6F3N	1118479246341447680	110	2019-04-17 11:40:07	Hootsuite Inc.	147	52
AMLO “no es intocable”: Jorge Ramos en el ‘NYT’ https://t.co/grFk3xfO2S	1118476801297272832	71	2019-04-17 11:30:24	Hootsuite Inc.	713	273
El autómata puede combatir incendios, transportar heridos, preparar resúmenes de información y hacer reconocimiento… https://t.co/dtzejrKvlo	1118474216368680967	140	2019-04-17 11:20:08	Hootsuite Inc.	24	7
"""Veremos a la administración (de @realDonaldTrump) en la Corte de nuevo"", advirtió la @ACLU . https://t.co/8ti67N3JSn"	1118471707340279808	117	2019-04-17 11:10:09	Hootsuite Inc.	10	1
Ola de rechazo al memorándum de AMLO vs reforma educativa (Resumen) https://t.co/33zTJS2VKb	1118465409605361664	91	2019-04-17 10:45:08	Hootsuite Inc.	201	96
Al-Aqsa es el tercer lugar más importante para el islam; según la versión preliminar, el fuego fue provocado por ni… https://t.co/FH1gxZotLJ	1118461681078874112	140	2019-04-17 10:30:19	Hootsuite Inc.	41	22
En su informe trimestral, señala que la tasa de empleo aumentó en 26 de los 36 países de la OCDE; México suma su te… https://t.co/KYKZpRRoGK	1118454141758660611	140	2019-04-17 10:00:21	Hootsuite Inc.	7	4
"""Los periodistas y el presidente estamos aprendiendo a coexistir. Pero habitamos espacios distintos. El nuestro, si… https://t.co/SW3XIckylZ"	1118446582213619712	140	2019-04-17 09:30:19	Hootsuite Inc.	32	5
El 19 de abril, un juez decidirá si los dos sujetos permanecen en prisión preventiva o no; en un auto relacionado c… https://t.co/UkvGnxzDIv	1118439026938269696	140	2019-04-17 09:00:18	Hootsuite Inc.	17	7
Presume el IMSS que en lo que va del año, el salario ha crecido 4.8% en términos reales, el mejor primer trimestre… https://t.co/ZhROFyf6Xp	1118431472371814400	139	2019-04-17 08:30:17	Hootsuite Inc.	51	24
Por lo tanto, los vehículos con hologramas 2 y 1 con terminación par en su matrícula no circulan este miércoles 17… https://t.co/8VLio6V70R	1118421376216576000	139	2019-04-17 07:50:10	Hootsuite Inc.	15	9
Memorándum de AMLO es fácilmente impugnable, afirma @JRCossio   https://t.co/B44k9wyeP4	1118416359103324161	87	2019-04-17 07:30:13	Hootsuite Inc.	24	15
Con otro gol de Philippe Coutinho el marcador quedó 3-0 a favor del Barça, que no pasaba a semifinales desde la tem… https://t.co/xoELBGpGrw	1118411297215930368	140	2019-04-17 07:10:06	Hootsuite Inc.	17	4
Con el nacimiento de Chaplin en Londres lo hacía al mismo tiempo Charlot, el entrañable vagabundo de modales refina… https://t.co/gTdPEuoA4b	1118406259978403840	140	2019-04-17 06:50:06	Hootsuite Inc.	157	57
