Tweets	id	len	date	source	likes	rt
Viaja seguro en carretera con estas recomendaciones 👉 https://t.co/5mgwNl3sdF https://t.co/EkcBUl9xjl	1118700675901165568	101	2019-04-18 02:20:00	TweetDeck	3	0
Continúa contingencia; mañana otra vez Hoy No Circula de 9:00 a 18:00 horas 👉 https://t.co/z7Uvdq5dM4 https://t.co/QU1zx2bwdx	1118699244611940352	125	2019-04-18 02:14:18	TweetDeck	1	0
Ofrece ISSSTE tratamientos que reducen complicaciones de #hemofilia 👉 https://t.co/Bygwg1V4M8 https://t.co/pO6k6aC4qe	1118695643545993216	117	2019-04-18 02:00:00	TweetDeck	5	1
El líder de Corea del Norte, Kim Jong-un, estuvo presente hoy en la realización de pruebas de un nuevo tipo de arma… https://t.co/FEJmgHer0Z	1118695599963086849	140	2019-04-18 01:59:50	Twitter for Android	6	3
Al menos 28 muertos por accidente de autobús con turistas en isla de #Madeira 👉 https://t.co/KfUWLiDVEA https://t.co/naFGlGoR7e	1118690609517092864	127	2019-04-18 01:40:00	TweetDeck	5	0
Marco Antonio continúa la tradición que le heredó su papá de realizar la corona de espinas que se porta en la repre… https://t.co/FDyp3QI6eY	1118688444606074881	140	2019-04-18 01:31:24	SnappyTV.com	8	2
El primer museo de la vagina del mundo busca enfrentar tabúes 👉 https://t.co/kzeq3xUABh https://t.co/duCNbwmE1O	1118685576713076742	111	2019-04-18 01:20:00	TweetDeck	7	2
Chiapas: operativo federal frena a 6 autobuses donde viajaban cubanos hacia el centro del país; los migrantes bajar… https://t.co/o8bwlOiFIW	1118682505878605824	140	2019-04-18 01:07:48	Twitter for Android	27	11
#Incendio en fábrica de vidrio de #LosReyes #LaPaz provoca columna de humo de varios kilómetros 👉… https://t.co/ZRefXlOF4L	1118680543099441152	122	2019-04-18 01:00:00	TweetDeck	6	1
Ni López Obrador ni Torruco violaron la ley en spot de turismo: TEPJF 👉 https://t.co/GJ9iDNwxmM https://t.co/O7DL7Ve7KM	1118675510463270915	119	2019-04-18 00:40:00	TweetDeck	1	0
Padres violentos podrían perder la custodia de sus hijos: Suprema Corte 👉 https://t.co/TXiu4jwRrj https://t.co/uxrQ11dxso	1118672711956553728	121	2019-04-18 00:28:53	TweetDeck	5	5
Niño le pregunta al papa Francisco si su papá ateo está en el cielo 👉 https://t.co/QKN8xpburl https://t.co/Lmh5Y6Owcw	1118670476883025920	117	2019-04-18 00:20:00	TweetDeck	8	1
En Chiapas fue aprehendido un sujeto quien privaba de la libertad a migrantes guatemaltecos; ahora enfrenta cargos… https://t.co/NN8nbMlAlz	1118668575370358785	139	2019-04-18 00:12:26	Twitter for Android	9	3
Bomberos acuden a #LosReyes #LaPaz en el Edomex para atender un #incendio en una fábrica de fibra de vidrio. https://t.co/TD3rh33q2q	1118666616714039296	132	2019-04-18 00:04:39	SnappyTV.com	6	6
Operan a #Chabelo de emergencia y las redes recuerdan que es “inmortal”  👉 https://t.co/y788RxP4gu https://t.co/NjBIbCbuQU	1118665445639426048	122	2019-04-18 00:00:00	TweetDeck	16	6
Se registra incendio en los límites de Chimalhuacán y Los Reyes. Son desechos de una fábrica de fibra de vidrio. Al… https://t.co/eEZiwbB4JF	1118665440119492609	140	2019-04-17 23:59:59	SnappyTV.com	3	3
Año con año don Ángel se entrega a la Pasión de Cristo desde su trinchera, porque gracias a él, la Cruz que se util… https://t.co/O0NXtBeeyS	1118660605278162945	140	2019-04-17 23:40:46	SnappyTV.com	7	1
Will Smith sorprende con una visita en Yautepec, Morelos 👉 https://t.co/UTWiBg2ruV https://t.co/mmGBtPeXwV	1118660410532483073	106	2019-04-17 23:40:00	TweetDeck	2	0
Aguacate mexicano festejará Cinco de Mayo en Estados Unidos 👉 https://t.co/niXaaJ0FY5 https://t.co/ILdXZirMJ7	1118650346014777345	109	2019-04-17 23:00:00	TweetDeck	7	2
Un agente de tránsito y un automovilista hicieron algo que nunca creyeron que iba a ser grabado, evitar la multa, e… https://t.co/eaamkU5GMh	1118647996457992192	140	2019-04-17 22:50:40	SnappyTV.com	6	6
La UNAM te ayuda a crear tu propio jardín para colibríes  👉 https://t.co/tqsGXk4tdg https://t.co/5X2AHY7ZB1	1118645311227011072	107	2019-04-17 22:40:00	TweetDeck	43	11
Continúa contingencia; mañana otra vez Hoy No Circula de 9:00 a 18:00 horas 👉 https://t.co/Kc7StLiaX0 https://t.co/QpAXxrvdtw	1118640278271930370	125	2019-04-17 22:20:00	TweetDeck	5	2
Una mujer que cayó desde una altura de cinco metros fue trasladada en  una ambulancia aérea del… https://t.co/yiPHPeaZnG	1118638655868932097	120	2019-04-17 22:13:33	Twitter Web Client	1	0
La investigación en Francia por el incendio del lunes en la Catedral de Notre Dame lleva a todos los trabajadores a… https://t.co/PLIGMTVVBv	1118638167609966592	140	2019-04-17 22:11:37	Twitter for Android	9	0
Francia lanza concurso internacional para reconstruir aguja de Notre Dame 👉 https://t.co/L91mnWZw3G https://t.co/F7sqPZsxFS	1118635247480950784	123	2019-04-17 22:00:00	TweetDeck	4	4
Rescatan a mexicano en aguas del Río Bravo 👉 https://t.co/UIH8knAjFt https://t.co/MP0hbPsmqG	1118630211518550016	92	2019-04-17 21:40:00	TweetDeck	5	2
"Las vacaciones de Semana Santa ya están a todo lo que dan y Acapulco lo sabe.
@Lucero_Rdz_Mx nos da el reporte desd… https://t.co/HEXzRyFVvw"	1118626231761670147	140	2019-04-17 21:24:11	Twitter Web Client	5	2
