Tweets	id	len	date	source	likes	rt
Al menos 36 “puntos positivos” en nueva fosa clandestina hallada en el centro del estado de Veracruz, afirma el Fis… https://t.co/OwZvtHQHk4	1118685238107037696	140	2019-04-18 01:18:39	Twitter for iPhone	49	17
RT @ChampionsLeague: 🔴 Mané, Salah &amp; Firmino all score in the same #UCL game for the 5th time 👍 https://t.co/nTv5DTSop1	1118619918721847296	123	2019-04-17 20:59:06	Twitter for iPhone	0	1163
"RT @ChampionsLeague: TEAM NEWS: How Porto &amp; Liverpool start tonight ... any surprises? 👀

#UCL https://t.co/NJD4c8OJXS"	1118593781618630659	122	2019-04-17 19:15:14	Twitter for iPhone	0	312
RT @arielmou: Y saben quién escribió este perfil de @lopezobrador_ En @TIME ? Ni más ni menos que @jorgeramosnews. #TIME100 https://t.co/X2…	1118551346049880064	140	2019-04-17 16:26:37	Twitter for iPhone	0	29
RT @arielmou: Aquí el perfil de @YalitzaAparicio, escrito por @alfonsocuaron para @TIME #Time100 https://t.co/BVawJ1TYkE	1118551293960781824	120	2019-04-17 16:26:24	Twitter for iPhone	0	12
RT @arielmou: Aquí la lista de las 100 personas mas influyentes de 2019 de la revista Time. https://t.co/GJGxfm1qNh	1118544854601097216	115	2019-04-17 16:00:49	Twitter for iPhone	0	26
RT @AP_Noticias: #ULTIMAHORA Presidente peruano Martín Vizcarra informa muerte de ex mandatario Alan García tras dispararse antes de ser ar…	1118541153022939136	140	2019-04-17 15:46:07	Twitter for iPhone	0	65
"RT @RuidoEnLaRed: #LoÚltimo 
El expresidente peruano Alan García, se disparó cuando iba a ser detenido por su presunta responsabilidad en l…"	1118503032017367040	140	2019-04-17 13:14:38	Twitter for iPhone	0	38
Expresidente de Perú estaba vinculado con el caso #Odebrecht https://t.co/NfVFgtSLAe	1118502999872110593	84	2019-04-17 13:14:30	Twitter for iPhone	115	30
RT @DAGUILARFOTO: Así amanece la Ciudad de México, Zócalo capitalino.   17ABR19. #luna #moon #sony  #CDMX  PIX📸DA https://t.co/sKeV2GezOl	1118496077991350272	137	2019-04-17 12:47:00	Twitter for iPhone	0	21
RT @El_Universal_Mx: #EnPortada Destruido, 10% del arte en Notre Dame https://t.co/zlsRTTAg5n https://t.co/Z6Cvkrl9eZ	1118496047943290880	117	2019-04-17 12:46:53	Twitter for iPhone	0	9
RT @El_Universal_Mx: #EnPortada Si Sor Juana viviera, apoyaría la regulación de la cannabis: Jesusa Rodríguez https://t.co/A4D08SAugN https…	1118496026460135424	140	2019-04-17 12:46:48	Twitter for iPhone	0	3
Decide AMLO cancelación. https://t.co/OhTKILu3KD	1118199384833806336	48	2019-04-16 17:08:03	Twitter for iPhone	422	105
#BuenMartes	1118141535516860416	11	2019-04-16 13:18:10	Twitter for iPhone	288	12
RT @NTelevisa_com: El organismo detectó situaciones contrarias al respeto a los derechos humanos de las personas extranjeras ubicadas en la…	1117967000876118017	140	2019-04-16 01:44:38	Twitter for iPhone	0	8
RT @Foro_TV: Dan a conocer las primeras imágenes del interior de la catedral de Notre Dame tras incendio https://t.co/WO5ulAkl3P	1117933609757937666	128	2019-04-15 23:31:57	Twitter for iPhone	0	1641
RT @m_ebrard: Lamentamos profundamente el incendio en la catedral de Notre Dame de Paris. Pueblo y Gobierno de México expresan su solidarid…	1117853078173016069	140	2019-04-15 18:11:57	Twitter for iPhone	0	1994
RT @el_pais: ÚLTIMA HORA | Cae la aguja de la Catedral de Notre Dame, en París https://t.co/UKy41TlI7N https://t.co/VqgUpRf74e	1117851910701080581	126	2019-04-15 18:07:18	Twitter for iPhone	0	1216
RT @eucopresident: Notre-Dame de Paris est Notre-Dame de toute l’Europe. We are all with Paris today.	1117851781982191616	101	2019-04-15 18:06:48	Twitter for iPhone	0	8436
Hasta Trump está impactado. https://t.co/h013Xw8CPt	1117851525995347968	51	2019-04-15 18:05:47	Twitter for iPhone	204	44
Un emblema de #París. https://t.co/DaHDPfhZgY	1117851088156184578	45	2019-04-15 18:04:02	Twitter for iPhone	479	148
RT @revistaetcetera: #ÚltimaHora: Se registra incendio en la catedral de #NotreDame de París, Francia. https://t.co/QVEUfKgy7t	1117843937681604609	126	2019-04-15 17:35:37	Twitter for iPhone	0	195
RT @shivmalik: https://t.co/0wWInSiY26	1117843423166439424	38	2019-04-15 17:33:35	Twitter for iPhone	0	368
RT @ccasacub: #notredame https://t.co/FgU3uAr3PJ	1117843114444587008	48	2019-04-15 17:32:21	Twitter for iPhone	0	34258
RT @Foro_TV: Incendio en la catedral de Notre Dame, en París https://t.co/ZN4kFiTDSF https://t.co/RD47g389Hz	1117842715444641793	108	2019-04-15 17:30:46	Twitter for iPhone	0	101
La colaboración de ⁦@aaguirre_g⁩  https://t.co/XwwypJZkpx	1117826926339678209	57	2019-04-15 16:28:02	Twitter for iPhone	66	31
La colaboración de ⁦@luisovaller⁩  https://t.co/EQ7cwTXC6S	1117826799101202432	58	2019-04-15 16:27:31	Twitter for iPhone	18	2
La colaboración de ⁦@DiegoBonetG⁩  https://t.co/2QrZqOnsHX	1117826619782172675	58	2019-04-15 16:26:49	Twitter for iPhone	32	13
La colaboración de @arelipaz  https://t.co/GgheESV13q	1117826490761191431	53	2019-04-15 16:26:18	Twitter for iPhone	31	8
RT @duendepregunton: Les comparto mi columna de hoy en @diario24horas 👇🏼 https://t.co/UExoiZSy5F	1117812508256083968	96	2019-04-15 15:30:44	Twitter for iPhone	0	4
RT @El_Universal_Mx: Al menos tres personas, incluidas dos niños, murieron este fin de semana en Texas y Misisipi como consecuencia del pas…	1117560199341015040	140	2019-04-14 22:48:09	Twitter for iPhone	0	16
#SoyDePumas https://t.co/GQinEXd6eg	1117501566792159233	35	2019-04-14 18:55:10	Twitter for iPhone	137	8
RT @CarlosLoret: El Gobierno anticipa peores apagones. #MiColumna de hoy:  https://t.co/B0kOw9tTbV	1117488678299893760	98	2019-04-14 18:03:57	Twitter for iPhone	0	82
RT @el_pais: ¿Por qué no puedes entrar a Facebook? ¿Y el #Whatsappdown? ¿Y también Instagram? Como siempre, el público ha corrido a Twitter…	1117406865577730049	140	2019-04-14 12:38:51	Twitter for iPhone	0	464
