Tweets	id	len	date	source	likes	rt
En este periodo vacacional de Semana Santa, el Museo Casa Estudio Diego Rivera y Frida Kahlo ofrece distintas activ… https://t.co/NA42eKNEDW	1118700676077559813	140	2019-04-18 02:20:00	TweetDeck	9	4
"RT @Vive_USA: La cantidad de masa muscular influye sobre la tasa metabólica encargada de controlar el apetito.  
https://t.co/Gdw2qdiTwN"	1118698285374558209	136	2019-04-18 02:10:30	Twitter Web Client	0	5
#SabíasQue por cada 100 kilogramos de peso adicional que se transporte en un vehículo, el consumo de combustible pu… https://t.co/EJI8UX42ei	1118698159121653760	140	2019-04-18 02:10:00	TweetDeck	7	3
Mantienen Fase I de Contingencia en zona metropolitana https://t.co/tWdobJnMaf https://t.co/VZFGKFZV8y	1118696901291986944	102	2019-04-18 02:05:00	TweetDeck	10	4
🔴Pasa la voz 🗣 @El_Universal_Mx te manda la información más importante a tu celular  📲 ➡ https://t.co/zKwFpgKO4u https://t.co/VU0I9HyHRZ	1118695644661731328	136	2019-04-18 02:00:00	Twitter Media Studio	7	1
#Video 📹 Bomberos de Los Reyes, Neza y Chimalhuacán atendieron la emergencia en un predio lleno de desperdicios, ll… https://t.co/xAsNUcnQ7W	1118695487769591809	140	2019-04-18 01:59:23	Twitter Media Studio	8	3
#Video 📹 Policía de Tránsito atropella a una mujer en Coyoacán https://t.co/hHKbpYCLbP https://t.co/z7iGq8kBrc	1118694384554446848	110	2019-04-18 01:55:00	Twitter Media Studio	26	15
Freno de AMLO a la #ReformaEducativa no es válido: expertos https://t.co/VU3MlznHns https://t.co/nsRGkTX2So	1118693126179176449	107	2019-04-18 01:50:00	Twitter Media Studio	11	4
RT @elbotiquinmx: Éstas pueden aparecer en varias etapas de la vida. https://t.co/m6tALd6X9Y	1118692663656632321	92	2019-04-18 01:48:09	Twitter Web Client	0	4
"RT @elbotiquinmx: La mejor forma de obtener sus propiedades es tomándolo en forma de infusión. 
https://t.co/b8wUyhiihq"	1118692644337672193	119	2019-04-18 01:48:05	Twitter Web Client	0	8
RT @elbotiquinmx: Uno de los tipos de herpes es mejor conocido como “fuego” y aparece en los labios. https://t.co/WgLnxEFyGz	1118692625324879873	124	2019-04-18 01:48:00	Twitter Web Client	0	4
El actor y comediante Xavier López #Chabelo dijo a sus seguidores que no crean los cuentos chinos pues está recuper… https://t.co/0zpNPYlXkR	1118691868005621760	140	2019-04-18 01:45:00	TweetDeck	69	20
#Video 📹 Ya está aquí el tráiler de la nueva película de los mutantes ⬇ https://t.co/cxu0udkss2	1118690609655701505	95	2019-04-18 01:40:00	TweetDeck	12	1
A principios del 2014, Sandra Luz le pidió el divorcio su esposo, pero este se opuso porque “no quería compartir lo… https://t.co/du0XV9f74V	1118689351481856001	140	2019-04-18 01:35:00	TweetDeck	39	14
RT @Univ_inenglish: Good night! 🌔🌃🗞️ Be sure to read #Wednesday's edition of @Univ_inenglish for @El_Universal_Mx here: https://t.co/rr5cOt…	1118688864686809088	140	2019-04-18 01:33:04	Twitter Web Client	0	1
Espías veían comunista a López Obrador | #PRIEspía https://t.co/Jf6Ruz58Rt https://t.co/T27KKbIImJ	1118688092800421888	98	2019-04-18 01:30:00	Twitter Media Studio	23	6
👩‍🍳 ¿Ya conoces la colección “Nuestra Cocina”? ésta semana está circulando el especial de Vigilia, en el encontrará… https://t.co/9r3dJQEOcI	1118686834865913856	140	2019-04-18 01:25:00	Twitter Media Studio	5	0
