Tweets	id	len	date	source	likes	rt
En la Catedral de #NotreDame se coronó Napoleón y ahí se encuentran las reliquias de la Corona de espinas, nos dice… https://t.co/4fjjQS9Fdg	1117877573944532993	140	2019-04-15 19:49:17	Twitter Web Client	92	27
La construcción de #NotreDame se inició en 1163. Es además el templo de peregrinación Guadalupano más importante de… https://t.co/o6OItg2JQj	1117855568448847872	140	2019-04-15 18:21:50	Twitter Web Client	475	122
El presidente @EmmanuelMacron lamenta el incendio de #NotreDame. El fuego sigue causando daños a la estructura. La… https://t.co/NKRDNsNWMI	1117854577422893057	139	2019-04-15 18:17:54	Twitter Web Client	394	135
Se incendia la Catedral de Notre Dame en #París. La zona ha sido evacuada. https://t.co/Hc5sOF1TKT	1117844268356386820	98	2019-04-15 17:36:56	Twitter Web Client	261	134
Mala calidad del aire en la CDMX. Se activa Fase I de #ContingenciaAmbiental para la Zona Metropolitana del Valle d… https://t.co/VIBt79AYcE	1116133073882701830	140	2019-04-11 00:17:16	Twitter Web Client	145	62
Solo hay flujo lento pero no hay garitas cerradas en la frontera con EEUU, confirma Roberto Velasco, Director de Co… https://t.co/OmuYF8tjH8	1113572083106291712	140	2019-04-03 22:40:48	Twitter Web Client	112	28
Un paso importante para las personas trabajadoras del hogar. Inicia hoy el programa piloto para el acceso a la segu… https://t.co/EV1AM0ryEy	1112867008377470976	140	2019-04-01 23:59:05	Twitter Web Client	84	15
El ISSSTE con deudas millonarias y un presupuesto pobre. Se prepara para más despidos. Una conversación con… https://t.co/VSgMdBStRr	1111757628575809537	132	2019-03-29 22:30:48	Twitter Web Client	47	24
El @Infonavit anuncia que devolverá dinero a los trabajadores que hayan cotizado de 1972 a 1992, y que no hayan adq… https://t.co/AeAk34Ppzz	1111359833217908736	140	2019-03-28 20:10:06	Twitter Web Client	156	55
El #Popocatépetl con muy fuerte actividad. La alerta volcánica cambia a amarillo fase 3. https://t.co/3DOG9bIaNK	1111286803791642625	112	2019-03-28 15:19:55	Twitter for iPhone	218	55
Sigue desacuerdo de la #CNTE y bloquean otra vez la Cámara de Diputados. Wilbert Santiago, de la Sección 22, dice q… https://t.co/DL1Hbswi7H	1110641446615429122	140	2019-03-26 20:35:30	Twitter Web Client	39	11
Ni López Obrador quiere reelegirse ni está permitido en la Constitución, nos dice @mario_delgado en una conversació… https://t.co/YWe2h2CFyM	1106653542205612032	140	2019-03-15 20:28:59	Twitter for iPhone	91	25
Movilizaciones en 105 países hacen un llamado a los líderes del mundo a tomar medidas contundentes para detener el… https://t.co/3GmaWsbCNz	1106637533557985280	139	2019-03-15 19:25:22	Twitter Web Client	178	51
Todos los Estados dan el sí a la Guardia Nacional. Los 32 Congresos Locales del país aprueban la reforma constituci… https://t.co/es1nam1TR1	1105917573865066496	140	2019-03-13 19:44:31	Twitter for iPhone	163	29
En unos minutos te espero en #LasNoticasConJavierAlatorre. Acompáñanos por radio desde tu ciudad, o sigue la transm… https://t.co/nFMuZ5KtX5	1105166294280691712	140	2019-03-11 17:59:12	Twitter for iPhone	72	8
Hoy es el Día Internacional de la Mujer, un momento para reflexionar sobre temas como la economía invisible, el tra… https://t.co/AUwVWBKlzx	1104084207989673984	140	2019-03-08 18:19:22	Twitter for iPhone	376	51
Medalla de plata para Mexico. @Rommel_Pacheco y @jahir_ochampion se suben al podio en la Serie Mundial de Clavados… https://t.co/Kth6TkMQBO	1103766990563495937	139	2019-03-07 21:18:52	Twitter for iPhone	396	59
#JustoAhora iniciamos #LasNoticiasConJavierAlatorre. Te espero por radio, o por streaming en https://t.co/oEEmqtzokT	1103354841236164609	116	2019-03-06 18:01:08	Twitter Web Client	55	8
Guanajuato es el Estado con más problemas de seguridad para llevar a cabo los #CensosEconómicos2019 que realiza el… https://t.co/uMhExxIdHR	1103083143370809344	139	2019-03-06 00:01:30	Twitter Web Client	49	10
Game of Thrones, la serie que en su última temporada costó 90 millones de dólares, se acerca al final. La última ba… https://t.co/VPDP6z0NGf	1103022620579115008	140	2019-03-05 20:01:00	Twitter Web Client	189	31
"#JustoAhora inicia por radio #LasNoticiasConJavierAlatorre

🔹 Investigan 50 casos de corrupción en la compra de med… https://t.co/j4T5shDdln"	1102992570802688001	140	2019-03-05 18:01:36	Twitter Web Client	62	16
"#JustoAhora inicia #LasNoticiasConJavierAlatorre

”Yo sí temía que le hicieran algo (a AMLO)”. Hoy una conversación… https://t.co/0Dw5t8eXPl"	1102629595449356289	140	2019-03-04 17:59:16	Twitter Web Client	66	9
Sismo  magnitud 5.6 con  epicentro cercano a Huetamo Michoacán.	1102230509843820551	63	2019-03-03 15:33:26	Tweetbot for iΟS	365	69
"Me gustan los retos y voy a ganar: Saúl @Canelo Álvarez en #HECHOS. 

Vuelve a ver la entrevista completa en… https://t.co/eUY647FB1p"	1101942852370817024	133	2019-03-02 20:30:23	Twitter Web Client	114	11
El @Canelo va por @DanielJacobsTKO en Las Vegas. Esta noche en #HECHOS nos cuenta de su preparación en busca del kn… https://t.co/ZghMx397rD	1101692942085963776	140	2019-03-02 03:57:20	Twitter for iPhone	295	14
#JustoAhora inicia #LasNoticiasConJavierAlatorre. Acompáñanos por radio desde tu ciudad, o en streaming a través de https://t.co/2tcStw3i88	1101542615995109376	139	2019-03-01 17:59:59	Twitter Web Client	45	3
"▪️A pesar de la controversia, Senado aprueba candidatos para la CRE.
▪️Con 34,027 millones de pesos liquidan Fibra… https://t.co/xNQ6ni1Spm"	1101534149628870657	139	2019-03-01 17:26:21	Twitter for iPhone	64	30
Muere Christian Bach. La familia Zurita Bach informa que la actriz falleció el pasado 26 de febrero, de un paro res… https://t.co/rXYlptax2n	1101474015472963585	140	2019-03-01 13:27:24	Twitter for iPhone	754	122
Se aprueba la Guardia Nacional Civil. En San Lázaro se alcanza la mayoría calificada para reformar la Constitución,… https://t.co/NiPX38xlVs	1101253289499377664	140	2019-02-28 22:50:19	Twitter for iPhone	121	30
El PRI se adapta a las nuevas circunstancias, nos dice Claudia Ruiz Massieu en una conversación en vivo en estos mo… https://t.co/DGFo08V9uC	1101196860520304640	140	2019-02-28 19:06:05	Twitter for iPhone	78	28
▪Presentan Plan de apoyo a #migrantes. Quieren apoyar a mexicanos que mandan desde EEUU 30 mil millones USD en reme… https://t.co/6G78i86772	1101179473494491136	140	2019-02-28 17:57:00	Twitter Web Client	76	9
El buen cine y el talento no tiene fronteras. #ROMA gana 3 premios #Oscars. Felicidades @AlfonsoCuaron y @Netflix. https://t.co/W3sXlbQfHe	1099885974593683456	138	2019-02-25 04:17:05	Twitter Web Client	963	130
Alfonso Cuarón es el Mejor Director del año. Gana el #Oscar por su trabajo en #Roma. @alfonsocuaron #Oscars… https://t.co/IlwdlATGwg	1099883922966630401	132	2019-02-25 04:08:56	Twitter Web Client	1509	221
Es #Roma la Mejor Película Extranjera. Segundo Oscar para @alfonsocuaron y su equipo. #Oscars #Oscars2019 https://t.co/TME3NXalIP	1099853752746606593	129	2019-02-25 02:09:03	Twitter Web Client	1241	173
Primer Oscar de la noche para @alfonsocuaron por Mejor Fotografía en #Roma #Oscars #Oscars2019 https://t.co/GQDPQ8I4hx	1099849980637077506	118	2019-02-25 01:54:04	Twitter Web Client	570	90
@SalinasBenjamin Gracias por tu generosidad. Tu talento y dedicación abren el nuevo horizonte de #TVAZTECA… https://t.co/VH2Ifl9goz	1099065566948663296	131	2019-02-22 21:57:05	Tweetbot for iΟS	32	4
Gracias por tu confianza. #Hechos25años @AztecaNoticias @Aztecauno https://t.co/zkvA7qoBDu	1098802187952480256	90	2019-02-22 04:30:31	Twitter for iPhone	1073	117
