Tweets	id	len	date	source	likes	rt
Estudiantes de la UAM van por amparo https://t.co/ilTW1CIkTx https://t.co/WHqq1jboZa	1118700693051924480	84	2019-04-18 02:20:04	Hootsuite Inc.	7	3
Hospitalizan a Chabelo; le envían mensajes de apoyo https://t.co/xiXzxRuA8F https://t.co/fMjjJAFB4b	1118692214467641345	99	2019-04-18 01:46:22	Hootsuite Inc.	22	6
El Tottenham elimina al City en una noche loca (4-3) https://t.co/4EdJSMvV1o https://t.co/5B9oBeh5nd	1118676792146108418	100	2019-04-18 00:45:05	Hootsuite Inc.	2	1
Reportan varios muertos por accidente de autobús turístico en Portugal https://t.co/aHhPJg8nyH https://t.co/iaAoIR5Qh7	1118671750676537346	118	2019-04-18 00:25:03	Hootsuite Inc.	2	2
Mantienen Fase 1 de Contingencia Ambiental en el Valle de México https://t.co/2NnrquhGld https://t.co/qw0NWB7pyX	1118654878098821120	112	2019-04-17 23:18:01	Hootsuite Inc.	13	5
Estudiantes de la UAM van por amparo https://t.co/ilTW1CIkTx https://t.co/nfuKDHFfT6	1118654000872742913	84	2019-04-17 23:14:32	Hootsuite Inc.	5	5
Consulta los horarios del transporte público en Semana Santa https://t.co/AGSA9x5C2B https://t.co/hdfbUgS0iC	1118639057620414465	108	2019-04-17 22:15:09	Hootsuite Inc.	3	0
¿Cómo va #AMLO?...	1118637300307697666	18	2019-04-17 22:08:10	Twitter Web Client	219	238
El Tottenham elimina al City en una noche loca (4-3) https://t.co/4EdJSMvV1o https://t.co/ntAuI4tH58	1118628647282327552	100	2019-04-17 21:33:47	Hootsuite Inc.	3	0
Reportan varios muertos por accidente de autobús turístico en Portugal https://t.co/aHhPJg8nyH https://t.co/D1hKagqDC2	1118624673456107520	118	2019-04-17 21:17:59	Hootsuite Inc.	2	1
Preparan concierto a beneficio de Notre Dame https://t.co/w237qr3qVU https://t.co/XcJvTS3VZi	1118623957366779904	92	2019-04-17 21:15:09	Hootsuite Inc.	14	5
#ParaEscuchar QUE a decir del presidente de la Junta de Coordinación Política en el Senado, Ricardo Monreal, la Cám… https://t.co/QNN3EaHN5I	1118613888763944961	140	2019-04-17 20:35:08	Hootsuite Inc.	3	0
Arabia Saudita encarcela a candidatas al Nobel de la Paz https://t.co/qxdUoU7bze https://t.co/j904Th3F8x	1118608856094060546	104	2019-04-17 20:15:08	Hootsuite Inc.	4	10
RT @ECSH_TECCEM: Las universidades con más impacto en el mundo https://t.co/eOmAY4dyKj vía @TecReview	1118607803550183425	101	2019-04-17 20:10:57	Twitter Web App	0	1
Reportan aumento en aforo vehicular en casetas de cobro https://t.co/lBYxqCKbmC https://t.co/U2aeR02F5w	1118607597089824770	103	2019-04-17 20:10:08	Hootsuite Inc.	1	0
¿Tienes auto con placas de la Ciudad de México? A partir del lunes no te podrán poner la ‘araña’… https://t.co/uPVw3WiTRK	1118601308884406272	121	2019-04-17 19:45:09	Hootsuite Inc.	11	11
Expresidente peruano Kuczynski hospitalizado por problemas cardíacos https://t.co/dFt8bAYuMC https://t.co/lX8WMltqNw	1118593765072044032	116	2019-04-17 19:15:10	Hootsuite Inc.	3	3
Manifestantes toman caseta de cobro de la México-Cuernavaca en Tlalpan https://t.co/rEbSenBzxq https://t.co/vICXpdMlGp	1118592502276218880	118	2019-04-17 19:10:09	Hootsuite Inc.	9	6
Cinco años sin Gabriel García Márquez https://t.co/8R4y3lE360 https://t.co/IE0r6FbTP7	1118586219288498176	85	2019-04-17 18:45:11	Hootsuite Inc.	9	1
Exhorta Secretaría de Obra Pública a mexiquenses a no desperdiciar agua en Semana Santa https://t.co/lXub2iaWbb https://t.co/ZbRKplhJjZ	1118584859881086976	135	2019-04-17 18:39:47	Hootsuite Inc.	1	0
Pide el Presidente privilegiar justicia por encima de ley https://t.co/nVOLcPtBSE https://t.co/RcEiYvWdFM	1118577402198798339	105	2019-04-17 18:10:09	Hootsuite Inc.	13	4
Consulta los horarios del transporte público en Semana Santa https://t.co/AGSA9x5C2B https://t.co/WKOnpWGLlQ	1118575355353288709	108	2019-04-17 18:02:01	Hootsuite Inc.	1	0
Preparan concierto a beneficio de Notre Dame https://t.co/w237qr3qVU https://t.co/hArTDFBPX8	1118575144816062464	92	2019-04-17 18:01:11	Hootsuite Inc.	17	8
Arabia Saudita encarcela a candidatas al Nobel de la Paz https://t.co/qxdUoU7bze https://t.co/ncaO3JziRz	1118574773162913792	104	2019-04-17 17:59:42	Hootsuite Inc.	6	5
Expresidente peruano Kuczynski hospitalizado por problemas cardíacos https://t.co/dFt8bAYuMC https://t.co/4x0JRYunns	1118574591809654784	116	2019-04-17 17:58:59	Hootsuite Inc.	2	1
Maestros de la UAM se reúnen en el Zócalo para asamblea por huelga https://t.co/T3qFkhhcQ0 https://t.co/O7APHcHtnT	1118574432879091714	114	2019-04-17 17:58:21	Hootsuite Inc.	3	3
Reportan aumento en aforo vehicular en casetas de cobro https://t.co/lBYxqCKbmC https://t.co/mV8Jg9ZxW0	1118574250456223751	103	2019-04-17 17:57:38	Hootsuite Inc.	1	3
