Tweets	id	len	date	source	likes	rt
▶ VIDEO | Nuevo Samsung plegable se rompe al doblarse https://t.co/vZjmm9X4l4 https://t.co/ocuJ0P8WzL	1118701179117002757	101	2019-04-18 02:22:00	TweetDeck	3	1
Descubren cementerio de dinosaurios de 220 millones de años en #Argentina https://t.co/DXessdWIe8 https://t.co/0qNJ4Mj1oi	1118700048009826310	121	2019-04-18 02:17:30	TweetDeck	19	2
México exportará 25% más aguacate a #EstadosUnidos por la celebración de 5 de mayo https://t.co/BgPd10OWbJ https://t.co/if1pur7ath	1118698159356538880	130	2019-04-18 02:10:00	TweetDeck	10	5
No sólo fue AMLO, ellos son los líderes mundiales más influyentes, según #Time100 https://t.co/pVJz7CWlsC https://t.co/keWki766w9	1118697438817214464	129	2019-04-18 02:07:08	TweetDeck	2	1
Reforma laboral impulsa aprobación de T-MEC, pero también inflación: Bank of America https://t.co/HFS7sY6lTn https://t.co/rKKPX0ooN0	1118696649788936192	132	2019-04-18 02:04:00	TweetDeck	9	3
Asesinan en su casa a ex particular del ex jefe del Estado Mayor Presidencial https://t.co/utk2Aho5wN https://t.co/ybBvsBGbvf	1118696348000366592	125	2019-04-18 02:02:48	TweetDeck	10	5
Declaran 3 días de luto en Perú por muerte de Alan García https://t.co/xInMOlQrX4 https://t.co/O8zITQqQAn	1118695647811477504	105	2019-04-18 02:00:01	TweetDeck	8	4
¡No caigas en trampas! Este es el peligro de cargar tu celular en lugares públicos https://t.co/dYlekRYWHS https://t.co/bf5Tz91NSi	1118694404355776512	130	2019-04-18 01:55:04	TweetDeck	14	26
Integrantes del SITUAM toman la caseta México-Cuernavaca https://t.co/ozCZxFwPcK https://t.co/PvGn6iPUYz	1118694132686286848	104	2019-04-18 01:54:00	TweetDeck	7	5
Hallan predio con fosas clandestinas en #Veracruz https://t.co/H4m4RsGG5D https://t.co/Kwv0h9sA3k	1118693091387564033	97	2019-04-18 01:49:51	TweetDeck	6	4
El luchador mexicano Humberto Garza fue presentado en la WWE https://t.co/8LNjZ2MRT7 https://t.co/dr69fo6RcA	1118691009297375233	108	2019-04-18 01:41:35	TweetDeck	17	1
#NotreDame tendrá nueva aguja y el arquitecto podrías ser tú https://t.co/5YE8p7Gfr3 https://t.co/527cbS8Cx4	1118689194224885760	108	2019-04-18 01:34:22	TweetDeck	11	5
"▶ ¿Quieres cocinar pescado para #SemanaSanta pero no sabes cómo? https://t.co/qj2UvxTF7v 

Directamente desde el me… https://t.co/tkLMVhdzIW"	1118688344676782080	140	2019-04-18 01:31:00	Twitter Media Studio	5	5
El carbón activado para blanquear los dientes es nocivo para la salud https://t.co/t9u3PQTiPA https://t.co/NKTIeLibx2	1118688093299781633	117	2019-04-18 01:30:00	TweetDeck	6	3
RT @laaficion: 😎 Humberto Garza fue presentado en la WWE 👉 https://t.co/DhOEdsmL7T https://t.co/jfL3QtMjUm	1118687946515857409	106	2019-04-18 01:29:25	TweetDeck	0	5
▶ Policías someten a vendedor y lo bajan de vagón del #Metro https://t.co/JJmSO3UgtF https://t.co/epKeAioARr	1118687871328751624	108	2019-04-18 01:29:07	TweetDeck	28	12
#ElDato | Peso y Bolsa Mexicana de Valores avanzan tras alentadores datos en #China https://t.co/HIOwOYVMhX https://t.co/PXRJ73sldq	1118686583270416384	131	2019-04-18 01:24:00	TweetDeck	7	2
Sancionan a Morena con 42 mil pesos por spot de Barbosa https://t.co/cgAoMo1Xt3 https://t.co/JfXQTBrPlw	1118685431426633728	103	2019-04-18 01:19:25	TweetDeck	17	23
¿Crees padecer trastorno bipolar? Estos son sus verdaderos síntomas y su tratamiento https://t.co/7TGfKaifkV https://t.co/KR3miCoE07	1118685059035410435	132	2019-04-18 01:17:56	TweetDeck	3	3
Facebook busca competir con Siri y Alexa; trabaja en su propio asistente de voz https://t.co/lHAzkggEbC https://t.co/9k4sK5vDeP	1118684066469928960	127	2019-04-18 01:14:00	TweetDeck	5	1
¡Anticipa tus compras! Éstas son las alcaldías donde habrá #LeySeca esta #SemanaSanta https://t.co/5BIuJ0VdqT https://t.co/MVzwRVFGhw	1118683489560350720	133	2019-04-18 01:11:42	TweetDeck	8	16
Ivanka le da 'la espalda' a #Trump, rechaza propuesta de dirigir el Banco Mundial https://t.co/nzDUYkVAwY https://t.co/TbycutDMLg	1118682646090010625	129	2019-04-18 01:08:21	TweetDeck	10	5
César Duarte no se quiere ir del #PRI, envía carta para que no lo expulsen del partido https://t.co/ORBqM47Pkt https://t.co/APvjdnqeHh	1118681523505512449	134	2019-04-18 01:03:53	TweetDeck	4	15
La #NFL dio a conocer su calendario para la temporada 2019 https://t.co/uCtmKKIoeF https://t.co/5EwosL5GlT	1118680911636307970	106	2019-04-18 01:01:28	TweetDeck	4	1
Lanzan concurso en Francia para reconstruir aguja de Notre Dame https://t.co/5YE8p7Gfr3 https://t.co/eUrFIn0O8T	1118679033406009344	111	2019-04-18 00:54:00	TweetDeck	15	2
¡Anticipa tus compras! Éstas son las alcaldías donde habrá #LeySeca esta #SemanaSanta https://t.co/VudoAtqXWT https://t.co/pTL4sUpxJb	1118678026563117056	133	2019-04-18 00:50:00	TweetDeck	3	0
¿Quién es Adam Warlock, uno de los superhéroes que luchó contra #Thanos? https://t.co/eUvUM08JYu https://t.co/wkWRX932ZA	1118677009973088259	120	2019-04-18 00:45:57	TweetDeck	11	15
Encuentran predio con 36 puntos de posibles fosas clandestinas en #Veracruz https://t.co/H4m4RsGG5D https://t.co/UEcr2DIwW5	1118675572643782656	123	2019-04-18 00:40:15	TweetDeck	8	3
¡No caigas en trampas! Este es el peligro de cargar tu celular en lugares públicos https://t.co/dYlekRHlji https://t.co/ChDjfc8Fxu	1118675006584541184	130	2019-04-18 00:38:00	TweetDeck	9	11
Se filtra la posible nueva playera de visitante del Club América https://t.co/K1u70el76p https://t.co/NnR0iepvk6	1118674000299745280	112	2019-04-18 00:34:00	TweetDeck	5	0
Tener sexo una vez a la semana te ayudará a rejuvenecer https://t.co/ESPArBlj0U https://t.co/G4wGuPf6p1	1118673271589867520	103	2019-04-18 00:31:06	TweetDeck	106	36
"▶ ¿Quieres cocinar pescado para #SemanaSanta pero no sabes cómo? https://t.co/qj2UvxC4fX 

Directamente desde el me… https://t.co/Wlceg3WweP"	1118672178986328064	140	2019-04-18 00:26:46	Twitter Media Studio	22	23
¡Que no te suceda! Esto puede pasarle a tu coche si lo estacionas en lugares prohibidos https://t.co/grLKPauHbD https://t.co/iLaDPni9E9	1118671187335438336	135	2019-04-18 00:22:49	TweetDeck	52	19
Más millonarios mexicanos pero con menos millones, así es el ranking de #Forbes https://t.co/5bZCen7LMN https://t.co/f0XisIASto	1118670178819112960	127	2019-04-18 00:18:49	TweetDeck	9	1
"¡Evita el uso del celular mientras manejas! 

Tips de seguridad para viajar en carretera en #SemanaSanta… https://t.co/Oqit0jqML9"	1118668463923503104	129	2019-04-18 00:12:00	TweetDeck	8	5
"""La goleada fue la mejor forma de respetar a Veracruz"": Víctor Guzmán https://t.co/6avmpJCM9i https://t.co/oa1HEyNBjJ"	1118667457072263169	117	2019-04-18 00:08:00	TweetDeck	6	0
No tengas errores de novato y sigue estos consejos si planeas viajar en carretera https://t.co/dqYf71YZUa https://t.co/TpmgY9ypQU	1118666547676045312	129	2019-04-18 00:04:23	TweetDeck	11	6
Fiestas clandestinas con menores de edad por 150 pesos en #Acapulco https://t.co/IJpIfiYOlw https://t.co/FH8FNVTFCE	1118665947462754304	115	2019-04-18 00:02:00	TweetDeck	9	6
¿Crees padecer trastorno bipolar? Estos son sus verdaderos síntomas y su tratamiento https://t.co/7TGfKazQct https://t.co/L760DGoKwa	1118664940468838406	132	2019-04-17 23:58:00	TweetDeck	13	4
Tres sitios de América Latina ya son geoparques de Unesco https://t.co/Zs7r0RovL9 https://t.co/XWcJ7n9sAa	1118663933882183680	105	2019-04-17 23:54:00	TweetDeck	14	5
"¡Toma tus precauciones!

Avenida 20 de noviembre en la #CdMx será peatonal en #SemanaSanta https://t.co/E4krbkW1oW https://t.co/NVuujpwJ9Q"	1118662927240892421	138	2019-04-17 23:50:00	TweetDeck	5	7
