Tweets	id	len	date	source	likes	rt
"RT @PleyersTV: 🚨Imágenes fuertes🚨

El luchador tuvo que recibir 32 puntadas tras el impacto 😥 https://t.co/8iTFB6I0Fl"	1118699684485369856	117	2019-04-18 02:16:03	Twitter Web Client	0	4
#LoMásVisto Fuentes de la iglesia católica confirmaron que el altar dedicado a la Virgen de Guadalupe en la Catedra… https://t.co/Ps2kGHEO3O	1118698870031171585	140	2019-04-18 02:12:49	Hootsuite Inc.	33	9
RT @Foro_TV: Continúa la búsqueda de la bebé Nancy, quien fue raptada el pasado fin de semana afuera del Hospital General. Foro TV obtuvo i…	1118698509551788032	140	2019-04-18 02:11:23	Twitter Web Client	0	19
El joven británico, de 23 años de edad, dijo en su correo póstumo que no pudo soportar la “mutilación genital mascu… https://t.co/nk9IyAlna6	1118695555234979840	140	2019-04-18 01:59:39	Hootsuite Inc.	5	2
https://t.co/zM9iirIEdF	1118694397862924288	23	2019-04-18 01:55:03	Hootsuite Inc.	8	4
https://t.co/oKKUadzshO	1118692622548258816	23	2019-04-18 01:48:00	Hootsuite Inc.	9	3
Accidente en Carretera San Pedro Tláhuac - Chalco #Trafico. Tráfico 21m más lento de lo habitual.… https://t.co/eDbvlGhsOC	1118691501679218688	122	2019-04-18 01:43:32	Waze Incidents Server	3	0
RT @Foro_TV: Una marquesina cayó sobre un vehículo particular afuera de una tienda ubicada en Barranca del Muerto, en la CDMX. Por fortuna,…	1118689446919049216	140	2019-04-18 01:35:23	Twitter Web Client	0	6
El líder norcoreano, Kim Jong-un, supervisó este miércoles las pruebas de un nuevo tipo de arma táctica guiada, inf… https://t.co/6W06s4aYzV	1118688112148910080	140	2019-04-18 01:30:04	Hootsuite Inc.	10	0
RT @Foro_TV: La tarde de este miércoles fue liberada  la caseta de la autopista México-Cuernavaca, luego de ser tomada por manifestantes de…	1118687152928325632	140	2019-04-18 01:26:16	Twitter Web Client	0	3
El gobierno de la Ciudad de México inició lanzó una serie de recomendaciones para los que salen de vacaciones duran… https://t.co/lLb8n9L5TC	1118686063034294272	140	2019-04-18 01:21:56	Twitter Media Studio	1	1
RT @PleyersTV: ¡Lo que tienen entre manos luce a que será espectacular! 🤩 https://t.co/yygbKUPTXl	1118684468473102336	97	2019-04-18 01:15:36	Twitter Web Client	0	3
"En esta tercera edición de la feria, se firmará un convenio de mantenimiento de aeronaves con Canadá.

https://t.co/Nec8IgyI9I"	1118684328781910016	126	2019-04-18 01:15:02	Hootsuite Inc.	6	1
#LoMásVisto No, este joven español no es terrorista, ni provocó el incendio que casi destruyó la catedral de Notre… https://t.co/db7SE697iT	1118682147999690753	139	2019-04-18 01:06:22	Hootsuite Inc.	15	3
RT @Foro_TV: Levantan bloqueo de la caseta de la Autopista México-Cuernavaca, luego de ser tomada por manifestantes del Estado de Guerrero…	1118677526379991040	139	2019-04-18 00:48:00	Twitter Web Client	0	5
Accidente en MEX-15 / México - Toluca #Trafico. Tráfico 1h 9m más lento de lo habitual. https://t.co/evF3YL0AXK https://t.co/dqvzxCcKnH	1118675848926769152	135	2019-04-18 00:41:21	Waze Incidents Server	2	1
