Tweets	id	len	date	source	likes	rt
"Las primeras indagatorias señalan que se resistió a un asalto 
https://t.co/xRtqlfMAl2"	1118685847681892354	86	2019-04-18 01:21:04	TweetDeck	3	2
"Coachella 2019 se electrifica con BMW i
---&gt;https://t.co/0xnCu7K5N8
@AutosRPMoficial https://t.co/MgluyF4AlZ"	1118685075875360768	111	2019-04-18 01:18:00	TweetDeck	2	0
RT @Publisport_MX: #VIDEO: ¡WOW! Maradona demuestra que todavía tiene magia en los pies y ¡anota un gol olímpico! 🙌 https://t.co/Y7PJsIChgt…	1118684845331423233	140	2019-04-18 01:17:05	TweetDeck	0	2
"RT @Publisport_MX: ¡ATENCIÓN!
La #NFL dio a conocer el calendario completo de la temporada 2019
https://t.co/hWS5wPuYZP"	1118681088048680960	119	2019-04-18 01:02:10	TweetDeck	0	1
"Christina Koch, la astronauta que marcará récord para una mujer en el espacio 👩‍🚀
 https://t.co/feev7Hg7mj https://t.co/WpAKFtWPmt"	1118675510240976902	130	2019-04-18 00:40:00	TweetDeck	2	0
RT @Publisport_MX: El directivo del Rebaño confía en sus jugadores https://t.co/Q9Gx95f7g5	1118673852379357186	90	2019-04-18 00:33:25	TweetDeck	0	2
"Toma tus precauciones 

https://t.co/U0rF1whyoY"	1118670476895670274	47	2019-04-18 00:20:00	TweetDeck	3	3
¿Por qué lo hicieron? 😞🙏 https://t.co/sDTb5xhEBB	1118669219107880960	48	2019-04-18 00:15:00	TweetDeck	0	1
"Los edificios fueron construidos de forma ilegal 
https://t.co/1TIb842s3X"	1118663369270099968	73	2019-04-17 23:51:45	TweetDeck	1	1
"Supuestamente se trataba de una ceremonia religiosa 
https://t.co/S4DPU4TE3Y"	1118663120006844416	76	2019-04-17 23:50:46	TweetDeck	2	3
RT @Publisport_MX: Éste sería el nuevo plumaje del #América para la próxima campaña https://t.co/Ij3I2IGHNC	1118658347069259776	107	2019-04-17 23:31:48	TweetDeck	0	2
