Tweets	id	len	date	source	likes	rt
La contingencia ambiental sigue y mañana no podrán circular autos con holograma 1 terminación non, holograma 2 y en… https://t.co/vSbNxk2BIN	1118700946186547200	140	2019-04-18 02:21:04	GRFeed	2	1
Antes de las vacaciones de Semana Santa, una rata se metió a las oficinas de la bancada de @PartidoMorenaMx en la C… https://t.co/ACfczarD6y	1118699431640084480	140	2019-04-18 02:15:03	Hootsuite Inc.	8	7
📹 #NotiMinutoSeguridad Por un infarto, un hombre de la tercera edad falleció en la estación del Metrobús Colonia De… https://t.co/Yz8b1IGr88	1118695735422267392	140	2019-04-18 02:00:22	Hootsuite Inc.	4	3
Estados Unidos elevó la alerta a sus ciudadanos y turistas en México por el incremento de secuestros y toma de rehe… https://t.co/FQR3E6e37K	1118694733486940161	140	2019-04-18 01:56:23	GRFeed	13	16
La Comisión Presidencial para la Verdad y la Justicia del caso Ayotzinapa acordó crear un grupo para la búsqueda en… https://t.co/SD3QRLgwsu	1118694731641425920	140	2019-04-18 01:56:23	GRFeed	5	2
#LoÚltimo La @CAMegalopolis informó que se mantiene la contingencia ambiental en el Valle de México por mala calida… https://t.co/rUuCq5hQsM	1118693769757515776	140	2019-04-18 01:52:33	Hootsuite Inc.	5	4
Chavela Vargas renunció a cantar las rancheras con tacones y falda. Armó revuelo cuando comenzó a presentarse con p… https://t.co/SSNWaQd30i	1118691885877485569	140	2019-04-18 01:45:04	Hootsuite Inc.	27	2
El ex Presidente de Perú Alan García se disparó antes de ser arrestado, pero él era sólo uno de los cuatro ex Manda… https://t.co/lFKY25CuFO	1118688995389603840	140	2019-04-18 01:33:35	Hootsuite Inc.	24	8
#LoÚltimo La comisión del caso Ayotzinapa acordó crear un grupo de búsqueda para dar con el paradero de los 43 norm… https://t.co/BRPrJlKmKW	1118684817720270848	140	2019-04-18 01:16:59	Hootsuite Inc.	7	7
Con amparos y en autobuses, este 17 de abril, alrededor de 300 cubanos partieron de Tapachula, Chiapas hacia el nor… https://t.co/P9s1sxlo9u	1118684333798195202	140	2019-04-18 01:15:03	Hootsuite Inc.	3	5
La Secretaría del Trabajo y Previsión Social otorgó la toma de nota a la Confederación Internacional de Trabajadore… https://t.co/HSge9ZJzDI	1118682085143777280	140	2019-04-18 01:06:07	GRFeed	9	6
¿Cómo es vivir sin luz? Aunque los apagones en Venezuela son frecuentes, la extensión de los últimos ha obligado a… https://t.co/Q6Q56fEP8U	1118680599630426112	139	2019-04-18 01:00:13	Hootsuite Inc.	3	1
📹 #NotiMinutoSeguridad Una ambulancia chocó contra un taxi en el Centro y el pasajero resulto herido https://t.co/IGVSSa2cYR	1118680594567913472	124	2019-04-18 01:00:12	Hootsuite Inc.	4	1
