Tweets	id	len	date	source	likes	rt
"Embajada de Rusia en Ecuador no sabe nada de #hackers rusos vinculados con #Assange
#AssangeenPeligro #FreeAssange
https://t.co/S868QYxvN7"	1118701179440128000	138	2019-04-18 02:22:00	TweetDeck	2	3
"Presidente @DiazCanelB: #Cuba resistirá a la aplicación total de la ley Helms-Burton 
#HelmsBurton
https://t.co/kzH3FcZZYB"	1118698662815776773	122	2019-04-18 02:12:00	TweetDeck	2	4
"Justicia peruana suspende audiencia sobre prisión preventiva para expresidente #Kuczynski
https://t.co/oBnooiRQ5u"	1118696146161917953	113	2019-04-18 02:02:00	TweetDeck	3	7
"Comandantes del #ELN a juicio por ordenar asesinato de agentes colombianos
https://t.co/Ymkz9hZGqY"	1118693635552202753	98	2019-04-18 01:52:01	TweetDeck	2	2
"Editora del Grupo Clarín de Argentina despide a 56 trabajadores de prensa
#GrupoClarín #Clarín #DespidosEnClarín
https://t.co/ZOPQxYUnia"	1118691112711884801	136	2019-04-18 01:42:00	TweetDeck	11	21
"Gobierno de #Madeira decreta tres días de luto regional por accidente de autobús
https://t.co/w9zkXd7ynN"	1118689854512959488	104	2019-04-18 01:37:00	TweetDeck	3	5
"El presidente brasileño @jairbolsonaro, entre los 100 más influyentes de la revista @TIME
#100mostinfluentialpeople
https://t.co/ucUDl3AVGU"	1118688345251614720	139	2019-04-18 01:31:00	TweetDeck	2	1
"Gobierno de Colombia lamenta la muerte del expresidente peruano Alan García
#AlanNoEsUnMartir #AlanGarcía 
https://t.co/aisXSl2nq8"	1118686587406233601	130	2019-04-18 01:24:01	TweetDeck	2	0
"Asciende a 20 el número de muertos tras derrumbe de edificios en Río de Janeiro, Brasil
#BrasilUrgente
https://t.co/ZzE2TYvo93"	1118684821600051201	126	2019-04-18 01:17:00	TweetDeck	3	7
"La @NASA enciende las alarmas sobre el calentamiento global
https://t.co/zuidZmgsiB

#CalentamientoGlobal… https://t.co/30ANXGrReT"	1118683311478464513	130	2019-04-18 01:11:00	TweetDeck	8	12
📎📷🎥 Así es la sexi rutina de baile de @shakira https://t.co/Nv1a4uraRG https://t.co/vfMfiOY3Yt	1118681549958828032	94	2019-04-18 01:04:00	TweetDeck	2	0
"El 17 de abril de 1961 comenzó la invasión de EEUU a Cuba por Playa Girón
#PlayaGirón 
https://t.co/MYMOHAXX9N"	1118679788284043265	110	2019-04-18 00:57:00	TweetDeck	23	30
"Día de la Lucha Campesina: el mundo necesita una reforma agraria
https://t.co/lcqDYTun4b

#DerechosCampesinosYa… https://t.co/2XQ9KcIVwK"	1118678530152386560	136	2019-04-18 00:52:00	TweetDeck	10	8
📻 La robótica aleja a los niños de la violencia en #Colombia. Escucha todo sobre este tema en:… https://t.co/MzzBSAaJTU	1118677272146391040	119	2019-04-18 00:47:00	TweetDeck	3	0
"Canciller cubano: las medidas de EEUU contra #Cuba dañan a las familias de ambos países
https://t.co/9cwm9TiDUm"	1118676013213343744	111	2019-04-18 00:42:00	TweetDeck	6	12
Corea del Norte realiza pruebas de su nueva arma táctica guiada https://t.co/u741pLdx5g	1118674755211673601	87	2019-04-18 00:37:00	TweetDeck	13	8
"Las medidas del Gobierno argentino no paliarán la crisis porque ""el objetivo es electoral""
#Macrisis 
https://t.co/6jGUWtgLAm"	1118673245509758980	125	2019-04-18 00:31:00	TweetDeck	13	19
📷 Así ensayan los militares rusos para el Desfile de la Victoria. Todas las imágenes en: https://t.co/iunzjwxGBl https://t.co/rapx1QprAH	1118671987092676608	136	2019-04-18 00:26:00	TweetDeck	15	16
"Una 'halcón' de @realDonaldTrump realiza una visita sorpresa a Moscú
https://t.co/GoWPdU0VJJ https://t.co/AIOuKS1kYC"	1118670728897945600	116	2019-04-18 00:21:00	TweetDeck	4	4
"La mano oscura de #Odebretch se extiende por Latinoamérica 
#AlanGarcia #AlanNoEsUnMártir 
https://t.co/GWtDdJMSjP"	1118669470678028288	114	2019-04-18 00:16:00	TweetDeck	12	15
📻 El violento 2018 le costó a México el equivalente al 24% de su PBI. Escucha más información en:… https://t.co/DnOZJH5Mmy	1118667708978159616	122	2019-04-18 00:09:00	TweetDeck	5	5
🎥 Este vídeo inédito arroja luz sobre la estrategia que suelen utilizar los tiburones blancos a la hora de cazar en… https://t.co/1Ruu4ASZAn	1118666450422484992	140	2019-04-18 00:04:00	TweetDeck	6	2
"Putin afirma no saber nada de la posible reunión en el formato de Normandía
https://t.co/Md54PjfMwK"	1118665192466939904	99	2019-04-17 23:59:00	TweetDeck	3	5
"Gobierno de Perú decreta 3 días de duelo nacional por la muerte de Alan García
#AlanGarcia #AlanNoEsUnMártir… https://t.co/zDbVHvTVcP"	1118663933718458373	133	2019-04-17 23:54:00	TweetDeck	6	3
"París estudia con interés la propuesta de ayuda en restauración de Norte Dame de #Putin 
#NotreDame… https://t.co/swRHAKhMC6"	1118662675519533057	124	2019-04-17 23:49:00	TweetDeck	5	3
🎥 Cada dos años se dan cita en Shanghái los autos más modernos del mundo. El lema de este año es ‘La creación de un… https://t.co/NxqOApNtGn	1118661417140285441	140	2019-04-17 23:44:00	Twitter Media Studio	58	37
"📻 Muerte de Alan García: ""Una ficha de peón que se inmola"". Esta y otras noticias en el programa de hoy:… https://t.co/N1J09u9ok9"	1118660159004401664	129	2019-04-17 23:39:00	TweetDeck	5	4
"Ministerio de Exteriores de Alemania confirma muerte de sus ciudadanos en Portugal 
#Madeira
https://t.co/h4kPA5b0Dc"	1118657642107248640	116	2019-04-17 23:29:00	TweetDeck	1	2
🎥  Fuertes imágenes: un motociclista sobrevive al caer de una roca en Gales https://t.co/07Qt1XKtUg https://t.co/JUkR2k9iO3	1118655126049316864	123	2019-04-17 23:19:00	TweetDeck	3	2
Muerte de expresidente García genera reacciones en líderes políticos peruanos https://t.co/5kzihXyMkw	1118653867628146689	101	2019-04-17 23:14:00	TweetDeck	2	4
"Primer ministro portugués @antoniocostapm  expresa condolencias tras un accidente de autobús en #Madeira
https://t.co/9kNeULFVKK"	1118652609496264705	128	2019-04-17 23:09:00	TweetDeck	1	1
"El funeral del expresidente peruano Alan García se realizará en la sede de su partido
#AlanGarcía #AlanNoEsUnMártir 
https://t.co/OKp4WBtZxS"	1118650847678697472	140	2019-04-17 23:02:00	TweetDeck	4	2
"📎📷 La fotografía satelital nos ha permitido ver la magnitud del incendio en #NotreDame
#NotreDameCathedral… https://t.co/M0fseJojaD"	1118649589433868289	131	2019-04-17 22:57:00	TweetDeck	1	4
#Messi se convierte en 'Diablo' en la voz de un relator que pone la piel de gallina https://t.co/Z5LKxLFdPk https://t.co/DjkydBhTmR	1118648079178055680	131	2019-04-17 22:51:00	TweetDeck	2	1
"Rusia asignará 20 millones de dólares para el desminado de Serbia
https://t.co/taroCWRgtD"	1118646821348417536	89	2019-04-17 22:46:00	TweetDeck	13	16
"Consejero de Seguridad de la Casa Blanca @AmbJohnBolton reafirma la vigencia de la Doctrina #Monroe
https://t.co/IG95ZBBMDX"	1118645059719704578	123	2019-04-17 22:39:00	TweetDeck	5	5
"📻 Los bebés robados por militares argentinos ""están repartidos por todo el mundo"". Escucha el programa en:… https://t.co/rS9m7JoHbS"	1118643549942288384	131	2019-04-17 22:33:00	TweetDeck	6	11
📷 A todo gas: inauguración del Salón del Automóvil de Shanghái https://t.co/dtYjPaNIkV https://t.co/aPAuZyOgDY	1118641787738791938	110	2019-04-17 22:26:00	TweetDeck	3	6
"Muerte de expresidente García genera reacciones en líderes políticos peruanos
#AlanNoEsUnMartir #AlanGarcía… https://t.co/HsxFfkoqhl"	1118640529863057409	132	2019-04-17 22:21:00	TweetDeck	4	9
"Retención en Portugal de dinero de #Venezuela evidencia ""un mundo sin ley""
https://t.co/gUh4gVPoaR https://t.co/yOSUUEg29x"	1118638516832034817	122	2019-04-17 22:13:00	TweetDeck	20	38
"🎥 Un bebé hipopótamo intimida a los cocodrilos, pero un búfalo lo pone en su lugar
https://t.co/LKSknG6RIq https://t.co/ncmiy5R1Zr"	1118637258393911297	130	2019-04-17 22:08:00	TweetDeck	3	3
"@jairbolsonaro movilizará a la Fuerza Nacional en #Brasilia para contener manifestaciones
#ATL19 #DireitosIndígenas… https://t.co/uHqqklSMQr"	1118635497037889537	140	2019-04-17 22:01:00	TweetDeck	1	1
"La astronauta Koch podría batir el récord femenino de duración de estancia en el espacio
https://t.co/Qm9VagJzDF… https://t.co/x38UHWGxhW"	1118634238457327622	137	2019-04-17 21:56:00	TweetDeck	7	6
📎📷🎥 Mientras se amplifica una imagen violenta de la Caravana migrante, mucha gente espera aún su entrada regular a… https://t.co/SmA5oMhjzK	1118632987677978625	139	2019-04-17 21:51:02	TweetDeck	3	4
"Presidente de #Israel encarga a @netanyahu formar el nuevo Gobierno
https://t.co/rvPGPoBrSO"	1118631721497350144	91	2019-04-17 21:46:00	TweetDeck	0	2
"La Cruz Roja venezolana reitera solicitud de no politizar llegada de ayuda humanitaria
#Venezuela #AyudaHumanitaria
https://t.co/Grv8jbPYbT"	1118629708176871426	139	2019-04-17 21:38:00	TweetDeck	17	24
"Congreso chileno avanza en la ratificación del tratado TPP11
https://t.co/HJ1bKtMiyc"	1118628450061828096	84	2019-04-17 21:33:00	TweetDeck	2	4
"Médicos hallan 10 tumores en el ojo de una niña en EEUU
https://t.co/iYF0whVnSy https://t.co/ASHQNA8weI"	1118627191837741056	103	2019-04-17 21:28:00	TweetDeck	3	6
"Alan García, dos veces presidente de Perú, se quita la vida bajo la sombra de Odebrecht
#AlanGarcía… https://t.co/JDslysfNRj"	1118625933324275712	124	2019-04-17 21:23:00	TweetDeck	20	17
📎📷 Este 12 de abril el club San Lorenzo se convirtió en el primer club de Argentina en firmar contratos con 15 muje… https://t.co/OpICRF6DpC	1118624675284733952	140	2019-04-17 21:18:00	TweetDeck	4	4
"🎥 ¿Le temes a las alturas? Entonces no mires abajo porque este camino en China no es apto para cardíacos 😖

Más inf… https://t.co/yhkFbosCdM"	1118623165066797056	140	2019-04-17 21:12:00	Twitter Media Studio	67	56
"⚠️📎📷🎥 Varios muertos en accidente de bus turístico en la isla portuguesa de #Madeira 
https://t.co/laPz1rD7Cq"	1118621906721099776	109	2019-04-17 21:07:00	TweetDeck	1	2
"Agricultores bolivianos: los #biocombustibles ayudan a producir más alimentos
#Bolivia 
https://t.co/vk42GfVeWI https://t.co/8QPdFNq6k8"	1118620648614481920	135	2019-04-17 21:02:00	TweetDeck	5	4
"✒️ FIRMAS por Francisco Herranz
@vox_es se ha convertido en la bestia negra del Partido Popular… https://t.co/k1lEDMTMHv"	1118619390214172672	120	2019-04-17 20:57:00	TweetDeck	0	3
¿Qué consecuencias traerá la muerte de Alan García para la investigaciones por corrupción en Perú?… https://t.co/itq3Bow1Z2	1118618131885244418	123	2019-04-17 20:52:00	TweetDeck	20	16
"EEUU sanciona al hijo del presidente de #Nicaragua y al Banco Corporativo 
#Ortega 
https://t.co/4q4gz5HWu2"	1118616873900240896	107	2019-04-17 20:47:00	TweetDeck	3	10
¿Vida en Marte? Encuentran huellas de bacterias dentro de un meteorito hallado en la Antártida… https://t.co/Q4dlHrduC6	1118615615613353986	119	2019-04-17 20:42:00	TweetDeck	4	3
"✏️  Facebook explota datos de usuarios en su lucha contra la competencia
 https://t.co/hmBmKxMVMA https://t.co/aqNyGrphbK"	1118613099370745856	121	2019-04-17 20:32:00	TweetDeck	6	7
"El sistema de defensa antiaérea S-350 es ""un sistema digno y moderno"" que además de todo cuesta menos que el S-400… https://t.co/7BRJjh472u"	1118610582138015744	139	2019-04-17 20:22:00	TweetDeck	17	15
".@wikileaks refuta las acusaciones del presidente ecuatoriano contra #Assange  
#FreeAssange #AssangeenPeligro 
https://t.co/f41dwxbgZB"	1118609497604468737	135	2019-04-17 20:17:41	TweetDeck	20	26
🎥 A medida que se acerca el final de la fase clasificatoria del biatlón de tanques, se intensifica la lucha por rep… https://t.co/rY1LEpnylq	1118609324291567616	140	2019-04-17 20:17:00	Twitter Media Studio	13	15
En México cada día desaparecen cuatro niñas, niños o adolescentes, y más de tres son asesinados.  https://t.co/XwQBcza3sm	1118605549161963521	121	2019-04-17 20:02:00	TweetDeck	3	14
Un tribunal argentino autoriza a Cristina Fernández @CFKArgentina a viajar a Cuba durante diez días https://t.co/AUYIcE3La4	1118604542331895809	123	2019-04-17 19:58:00	TweetDeck	18	12
Lavrov: la Comisión Constituyente de Siria debe formarse pronto https://t.co/YSlM13qWFh	1118603032462147584	87	2019-04-17 19:52:00	TweetDeck	4	8
. @IvanDuque rechaza atentados contra excombatientes de las FARC en el que murió un bebé https://t.co/Xk37jOfN1f	1118602026336829440	112	2019-04-17 19:48:00	TweetDeck	4	3
La Fundación del Rey Balduino de Bélgica empieza a recaudar fondos para restaurar Notre Dame https://t.co/yQ6MFFfuvl	1118600515917496321	116	2019-04-17 19:42:00	TweetDeck	1	2
Detienen en Alemania a un presunto reclutador de ISIS https://t.co/htUJ7pmEXW	1118599509863538688	77	2019-04-17 19:38:00	TweetDeck	2	6
El riesgo país de Ecuador cae 298 puntos tras acuerdos con el FMI y el Banco Mundial https://t.co/yLRP7wQ8fa	1118597999322484737	108	2019-04-17 19:32:00	TweetDeck	8	12
. @realDonaldTrump expulsó a los diplomáticos rusos por el caso Skripal tras ver... ¿patos muertos?… https://t.co/CCIFbVHiOw	1118596993012596736	124	2019-04-17 19:28:00	TweetDeck	1	7
📻  @NicolasMaduro : ayudas humanitarias deben realizarse por medios legales - Escuche el programa completo en:… https://t.co/yCZBJRpCUa	1118595482681372672	135	2019-04-17 19:22:00	TweetDeck	5	8
"✒️ ¿Está Brasil perdiendo su estatus de ""global player""? https://t.co/zrYLTmIo2Y"	1118594476723834881	80	2019-04-17 19:18:00	TweetDeck	7	10
La UE prevé invertir unos 11.300 millones de dólares en proyectos digitales https://t.co/dCIveLifP5	1118592966208004096	99	2019-04-17 19:12:00	TweetDeck	2	4
Moscú pide a Londres confirmar o refutar la información sobre niños envenenados en Salisbury https://t.co/G1vDqq6GNv	1118591959558262785	116	2019-04-17 19:08:00	TweetDeck	7	12
España promete trabajar desde la UE para mitigar el impacto de la ley Helms-Burton https://t.co/Zhz5BPpkO0	1118590450003169280	106	2019-04-17 19:02:00	TweetDeck	4	5
El Gobierno argentino explica medidas económicas para contener la crisis https://t.co/pUdhoInFyf	1118587933756416000	96	2019-04-17 18:52:00	TweetDeck	0	3
