Tweets	id	len	date	source	likes	rt
Las autoridades recibieron una llamada al 911 hecha por una hermana de Juan Torres, quien pidió ayuda para tranquil… https://t.co/6Kv4msrU5H	1118699725799206912	140	2019-04-18 02:16:13	Hootsuite Inc.	9	3
"El gobernador Greg Abbott emitió este miércoles la declaración de emergencia para nueve condados para ""garantizar q… https://t.co/ae1h373PnD"	1118686197898010624	140	2019-04-18 01:22:28	Hootsuite Inc.	5	2
La víctima asegura que fue contratado por una mujer para realizar reparaciones en su vivienda. Al llegar al lugar,… https://t.co/OKe1SGEY62	1118681108047114240	139	2019-04-18 01:02:14	Hootsuite Inc.	8	4
El candidato presidencial de Guatemala, Mario Amilcar Estrada Orellana, fue arrestado este miércoles en Miami, Flor… https://t.co/fgFmGSQWjP	1118671828933804032	140	2019-04-18 00:25:22	Hootsuite Inc.	39	28
Esta reportera trabajó durante años en Sinaloa y allí no solo fue amenazada sino que vio cómo algunos de sus compañ… https://t.co/rvT7Qp5FUR	1118671630002262017	140	2019-04-18 00:24:35	Hootsuite Inc.	7	6
US National Security Advisor John Bolton tells Univision's @patriciajaniot that it's time foreign companies were ma… https://t.co/4LC21LS1DZ	1118668196863778817	140	2019-04-18 00:10:56	Hootsuite Inc.	14	7
La petrolera española Repsol suspende intercambio con Venezuela bajo presión de EEUU. https://t.co/v3nZaQbPjX https://t.co/wMbTDYz04w	1118667066301661189	133	2019-04-18 00:06:27	Hootsuite Inc.	26	13
"After 23 years, White House National Security Adviser John Bolton says Americans who lost their property in Cuba ""s… https://t.co/p3tC3vEr1x"	1118665226579251205	140	2019-04-17 23:59:08	Hootsuite Inc.	5	2
La víctima denunció que solicitó el servicio de taxi a través de una aplicación y el conductor le quiso cobrar apar… https://t.co/mHT5eOOTJC	1118664567926734848	140	2019-04-17 23:56:31	Hootsuite Inc.	7	1
Las imágenes se volvieron virales y muchos opinan que hubo exceso de fuerza por parte de las autoridades. https://t.co/clF0ld6hDD	1118663900822745089	129	2019-04-17 23:53:52	Hootsuite Inc.	16	9
La ceremonia se celebraba en un río de México cuando dos niñas cayeron a las enfurecidas aguas y fueron arrastradas. https://t.co/nAAkGVuJH4	1118663429693292545	140	2019-04-17 23:52:00	Hootsuite Inc.	3	3
El secretario interino de Seguridad Nacional, anunció que se usarán todas las herramientas para investigar la verac… https://t.co/ZBTOBErKLx	1118661962664222720	140	2019-04-17 23:46:10	Hootsuite Inc.	8	6
.@_franciscocantu fue durante cinco años agente fronterizo en Arizona y Texas. Hoy ayuda a los inmigrantes en centr… https://t.co/OpbWq7mcnU	1118661772330852353	140	2019-04-17 23:45:24	Hootsuite Inc.	6	6
Las autoridades creen que una disputa doméstica habría dado lugar al incidente. https://t.co/3W8bZ6EM3Z	1118661344558034951	103	2019-04-17 23:43:42	Hootsuite Inc.	4	2
Las imágenes muestran cómo el oficial le lanzó una descarga eléctrica, pero acabó disparándole. https://t.co/f2feCHMATe	1118660999630946304	119	2019-04-17 23:42:20	Hootsuite Inc.	4	5
El sujeto cruzó la calle sin poner atención al tráfico y una motocicleta lo embistió. https://t.co/u24dFzqjbA	1118659583600463874	109	2019-04-17 23:36:43	Hootsuite Inc.	3	2
