Tweets	id	len	date	source	likes	rt
"[En la opinión de @lrubiof] Notre Dame debe hacernos pensar en cómo México trata su patrimonio

👉… https://t.co/FWcEGG0mH1"	1118700676018778115	122	2019-04-18 02:20:00	Twitter Media Studio	2	0
Un #Bronceado sin protector solar es una forma segura de perjudicar tu piel ❌👉 @SaluddeUNO https://t.co/gngfbq0Bkf https://t.co/N8Et4YK1Nb	1118695894965194752	138	2019-04-18 02:01:00	Twitter Ads	1	1
"La intérprete de “Sapito” vestía un top negro con lentejuelas 

https://t.co/meN81CgyVV"	1118693126359658496	87	2019-04-18 01:50:00	TweetDeck	1	0
A partir de este miércoles y hasta el viernes, otro golpe de condiciones climáticas afectará en el centro y sur de… https://t.co/v1ybfTYpY2	1118690886055907328	139	2019-04-18 01:41:06	TweetDeck	2	1
"Promocional de Sectur donde sale AMLO no violó ley: TEPJF

https://t.co/LDkj6YXJri"	1118689718097465344	82	2019-04-18 01:36:27	TweetDeck	3	1
"Policías someten a vendedor en el metro 😱😱😱

https://t.co/0cu5v17O0k"	1118689214093086720	68	2019-04-18 01:34:27	TweetDeck	1	1
"Hallan predio con 36 probables fosas clandestinas en Veracruz

https://t.co/Us5RmJ6thI"	1118688718863233024	86	2019-04-18 01:32:29	TweetDeck	1	1
"Asesinan a militar retirado dentro de su vivienda en Edomex

https://t.co/ZtOmCG2KQm"	1118688354697015297	84	2019-04-18 01:31:02	TweetDeck	4	3
"Fase uno de contingencia en el Valle de México se mantendrá 

https://t.co/Q0UEb2O1g1"	1118688273415544833	85	2019-04-18 01:30:43	TweetDeck	5	3
"Sindicato de la UAM libera carriles de la Picacho-Ajusco

https://t.co/tAxvHHjVtv"	1118688062446243842	81	2019-04-18 01:29:52	TweetDeck	2	0
"[En la opinión de @AnaPaulaCinta] Lydia Cacho: justicia tardía y problema electoral para otros

👉… https://t.co/85qMkKrprB"	1118685576415174656	122	2019-04-18 01:20:00	Twitter Media Studio	0	4
"[En la opinión de @PamCerdeira] Memorándum: la buena voluntad de cumplir la promesa de campaña

👉… https://t.co/8QTEmQ5ujK"	1118675510190432256	122	2019-04-18 00:40:00	Twitter Media Studio	12	6
"[Todo en Uno] Las noticias en un minuto:

✅ Las carreteras más inseguras para tomar en Semana Santa
✅ Expresidente… https://t.co/Jq3pC9HrdD"	1118672218546827264	139	2019-04-18 00:26:55	Twitter Media Studio	0	1
"¡Sayulita! un buen lugar para vacacionar 😍😍😍

https://t.co/mFxt1pJK0L"	1118670478904680448	69	2019-04-18 00:20:00	TweetDeck	3	1
"Christina Koch, astronauta de la NASA, está a punto de de romper un récord 👩‍🚀👩‍🚀👩‍🚀

https://t.co/ReHfSfYFya"	1118665446184632321	109	2019-04-18 00:00:00	TweetDeck	5	1
"Operan a ""Chabelo"" de la espalda; su estado de salud es estable

https://t.co/7H6izKdXhm"	1118665096664719360	88	2019-04-17 23:58:37	TweetDeck	12	3
"Investigadores de Estados Unidos crean un dispositivo único capaz de generar electricidad a partir de nieve 😱😱😱

https://t.co/AZ6yHc4yEP"	1118660410796802051	136	2019-04-17 23:40:00	TweetDeck	1	3
Sophie Turner, actriz que da vida a Sansa Stark en “Game of Thrones”, reveló que llegó a considerarse “fea, gorda y… https://t.co/G1u8Fvx55O	1118655377606946818	140	2019-04-17 23:20:00	TweetDeck	4	0
