Tweets	id	len	date	source	likes	rt
Muere el hombre que descubrió la transmisión de la alegría (y con el premio $$$ de su Nobel, creó becas para mujere… https://t.co/cbAVCer8zs	1118663654474428417	140	2019-04-17 23:52:53	Twitter Web App	65	17
"Hoy: @madonna + @maluma 
😍😍❤️❤️👊👊🎉🎉 https://t.co/Iu2em08QsE"	1118563072040243200	59	2019-04-17 17:13:12	Instagram	2	0
"Aquí el “regreso de la Reina”: #Medellín Hoy @Madonna + @maluma ....😍😍😍
https://t.co/IYHbizfdXA"	1118562545265250304	95	2019-04-17 17:11:07	Twitter for iPhone	7	0
El ‘caso Odebrecht’ acorrala a cuatro expresidentes peruanos https://t.co/tLdHbnVHc2 vía @elpais_inter	1118519271183847425	102	2019-04-17 14:19:09	Twitter for iPhone	8	2
RT @solamentejoy: https://t.co/sxMASip7Hl	1118518873945444353	41	2019-04-17 14:17:35	Tweetbot for iΟS	0	11083
Alan García, en estado crítico tras pegarse un tiro cuando iba a ser detenido https://t.co/U2eGgHU2P6 vía @elpais_inter	1118503584629448706	119	2019-04-17 13:16:50	Twitter for iPhone	8	4
Andrés Manuel López Obrador @TIME... https://t.co/ZWSr9FY5wV	1118502416620695552	60	2019-04-17 13:12:11	Twitter for iPhone	27	4
Libros que quitan el sueño.... https://t.co/c0huxluJ7h	1118390850231439363	54	2019-04-17 05:48:52	Instagram	8	0
"El texto de @jorgeramosnews sobre su intercambio con el presidente @lopezobrador_ en ""la mañanera"":  https://t.co/x3TGBVuQWA via @nytimesES"	1118379099112734720	139	2019-04-17 05:02:10	Twitter Web Client	56	16
Ahora en @Imagen_Mx platico con @yolaseg de su nuevo (hermosísimo) poemario: “Persona”, ed. @Almadia_Edit … https://t.co/5uEtuevMSq	1118342645003235329	131	2019-04-17 02:37:19	Tweetbot for iΟS	25	4
¿Y entonces? ¿Qué rolita se quieren llevar a su vacación? 🎼🎸,🎹🎵🎶	1118337251946246146	64	2019-04-17 02:15:53	Tweetbot for iΟS	32	3
@PonchoAlmaraz #Sicierto 😂	1118336930914230272	26	2019-04-17 02:14:36	Tweetbot for iΟS	1	0
"“Los educadores, más que cualquier otra clase de profesionales, son los guardianes de la civilización.”

(Lo dijo B… https://t.co/aHhe1aN9xu"	1118331553548050433	140	2019-04-17 01:53:14	Tweetbot for iΟS	411	86
Evalúa Francia apoyo de México en reconstrucción de Notre Dame https://t.co/u4JU8NqMU8	1118300383309389825	86	2019-04-16 23:49:23	Tweetbot for iΟS	32	3
"RT @ImagenTVMex: Giran orden de aprehensión contra Mario Marín, ""el Gober Precioso"", y Kamel Nacif ¡por tortura! #ImagenNoticias con @Yurir…"	1118249152998023168	140	2019-04-16 20:25:48	Tweetbot for iΟS	0	11
RT @ImagenTVMex: Así es el retrato hablado de la mujer que se robó a una bebé de ocho meses. #ImagenNoticias con @YuririaSierra https://t.c…	1118249090712686593	140	2019-04-16 20:25:33	Tweetbot for iΟS	0	7
RT @ImagenTVMex: En la #UNAM, un profesor es señalado por acoso sexual. ¡Esta es la historia de las mujeres que lo acusan! #ImagenNoticias…	1118249055564390400	139	2019-04-16 20:25:25	Tweetbot for iΟS	0	4
"RT @imagenYuri: Giran orden de aprehensión contra “El Gober precioso” y Kamel Nacif
#ImagenNoticias con @YuririaSierra https://t.co/rdb2YZb…"	1118249041286926337	140	2019-04-16 20:25:22	Tweetbot for iΟS	0	7
RT @imagenYuri: Dos alumnas de la Prepa 6 de la @UNAM_MX acusan a profesor de acoso sexual, el maestro acumula más de 20 señalamientos en e…	1118248999473934336	140	2019-04-16 20:25:12	Tweetbot for iΟS	0	17
RT @ImagenTVMex: Se estiman varios miles de millones de dólares para la reconstrucción de #NotreDame. #ImagenNoticias con @YuririaSierra @R…	1118248966217289728	140	2019-04-16 20:25:04	Tweetbot for iΟS	0	1
"RT @imagenYuri: Detienen a dos militares, habrían asesinado a su compañera. 
#ImagenNoticias con @YuririaSierra https://t.co/PmQvJgqthC"	1118248940032290816	135	2019-04-16 20:24:58	Tweetbot for iΟS	0	4
RT @ImagenTVMex: Asociación de Empresarios Gasolineros asegura que no se han incrementado los márgenes de ganancia. #ImagenNoticias con @Yu…	1118248916204392448	140	2019-04-16 20:24:52	Tweetbot for iΟS	0	2
RT @myrnarossana: @YuririaSierra hola! Puedes ayudarnos a difundir por favor! 🙏 Es miembro de la orquesta sinfónica juvenil de Guadalajara!…	1118241691541090304	140	2019-04-16 19:56:09	Tweetbot for iΟS	0	41
RT @ImagenTVMex: El gobierno de Francia ya recauda donaciones para la reconstrucción de la Catedral de #NotreDame. ¡Ellos son los que ya hi…	1118241669156098048	140	2019-04-16 19:56:04	Tweetbot for iΟS	0	10
RT @ImagenTVMex: La embajadora de Francia en México, Anne Grillo, nos platica qué acciones se tomarán para la reconstrucción de #NotreDame.…	1118232093358739456	140	2019-04-16 19:18:01	Tweetbot for iΟS	0	3
RT @imagenYuri: En estos momentos, ciudadanos realizan una vigila tras el incendio de Notre Dame. #ImagenNoticias con @YuririaSierra https:…	1118230690213109767	140	2019-04-16 19:12:26	Tweetbot for iΟS	0	1
RT @ImagenTVMex: ¡Buenas tardes! Ya inicia #ImagenNoticias con @YuririaSierra. Esta es la información de hoy con @ehiramhurtado  @Rodpac  @…	1118229895602163712	140	2019-04-16 19:09:17	Tweetbot for iΟS	0	1
"RT @ImagenTVMex: El rescate de #NotreDame es nuestra #ImagenDelDía en #ImagenNoticias con @YuririaSierra

Sigue la transmisión #EnVivo aquí…"	1118229858767855618	140	2019-04-16 19:09:08	Tweetbot for iΟS	0	4
"Del gran Gérard de Nerval
#NotreDame
❤️ https://t.co/kFdICv2YFn"	1118200975402184704	63	2019-04-16 17:14:22	Instagram	6	1
"Desgraciadamente… 
(Porque las redes sociales son el espejo exacto de su alma, su mente y su corazón, chav@s. Un so… https://t.co/FKlchhBq3B"	1118191150022656002	140	2019-04-16 16:35:19	TweetDeck	76	15
En #NotreDame ya eran de pilas todas, pero la neta es que deben prohibir las veladoras de cera y fuego al interior… https://t.co/w5YeDIkUsP	1118184403002380288	139	2019-04-16 16:08:31	TweetDeck	71	22
Aplaudo la donación de 100 millones de euros que hará Francois Pinault (esposo de @salmahayek ) para #NotreDame...… https://t.co/H7UnAI2OM3	1118154172858109960	139	2019-04-16 14:08:23	TweetDeck	367	43
La de hoy de @ArturoZaldivarL : “La defensa de los olvidados”...  https://t.co/gRyR61alkC	1118146237579108357	89	2019-04-16 13:36:51	Twitter for iPhone	6	2
Ahora en @Imagen_Mx platico con el escritor @AlbertoRuy sobre la tragedia en la catedral de #NotreDame…	1117974311443271681	103	2019-04-16 02:13:41	Tweetbot for iΟS	9	1
RT @el_pais: DIRECTO https://t.co/UKy41TDjwn El billonario Francois-Henri Pinault, uno de los hombres más ricos de Francia, ha anunciado qu…	1117966921285152770	140	2019-04-16 01:44:19	Tweetbot for iΟS	0	3958
Les premières images de Notre-Dame après l’incendie https://t.co/C0hZOinytM via @lemondefr	1117957745028816896	90	2019-04-16 01:07:51	Twitter Web Client	22	3
"Mi #NotreDame... 💙😍❤️
(Así te recuerdo siempre, con ese cielo) https://t.co/Xi3A67ON5f"	1117925322278621185	86	2019-04-15 22:59:01	Instagram	7	1
"❤️😍🙏
#NotreDame https://t.co/T5hdkDSacb"	1117907180676534272	39	2019-04-15 21:46:56	Instagram	15	0
"💔💔😭😭
#NotreDame https://t.co/iWLPy65dya"	1117883643584630784	39	2019-04-15 20:13:24	Instagram	14	1
RT @ImagenTVMex: El presidente @lopezobrador_ anuncia que jueves, viernes y sábado no tendrá actividades habituales. #ImagenNoticias con @Y…	1117878926515351553	140	2019-04-15 19:54:39	Tweetbot for iΟS	0	8
RT @ImagenTVMex: Secretaría de la Función Pública transparenta sueldos de más de 1.4 millones de servidores públicos. #ImagenNoticias con @…	1117878873754963968	140	2019-04-15 19:54:27	Tweetbot for iΟS	0	1
"RT @imagenYuri: El presidente @lopezobrador_  tomará vacaciones de Semana Santa. 
#ImagenNoticias con @YuririaSierra https://t.co/JwQZGe0Zww"	1117878852594749440	140	2019-04-15 19:54:22	Tweetbot for iΟS	0	1
RT @imagenYuri: Presentan el portal “Nómina transparente”, se muestran sueldos y declaraciones de más de 1 millón de servidores públicos en…	1117878829572186114	140	2019-04-15 19:54:16	Tweetbot for iΟS	0	1
RT @ImagenTVMex: @Tu_IMSS da a conocer que la creación de empleos cae 46% en marzo de 2019. #ImagenNoticias con @YuririaSierra https://t.co…	1117878789201989632	140	2019-04-15 19:54:07	Tweetbot for iΟS	0	4
RT @ImagenTVMex: El precio de la gasolina es distinto en todas las zonas de México, ¿cómo hicieron el análisis? #ImagenNoticias con @Yuriri…	1117878740250447872	140	2019-04-15 19:53:55	Tweetbot for iΟS	0	1
RT @ImagenTVMex: Algunos datos de la Catedral de #NotreDame antes del desastroso incendio. #ImagenNoticias con @YuririaSierra @Rodpac https…	1117878723515224065	140	2019-04-15 19:53:51	Tweetbot for iΟS	0	2
RT @ImagenTVMex: ¿Qué encontramos en las calles sobre los precios de la gasolina? ¡Esto opinan los consumidores! #ImagenNoticias con @Yurir…	1117878697724301312	140	2019-04-15 19:53:45	Tweetbot for iΟS	0	1
RT @ImagenTVMex: Estas son las gasolineras más caras y más baratas en México... #ImagenNoticias con @YuririaSierra https://t.co/7soocyoaLp	1117878552949485568	138	2019-04-15 19:53:10	Tweetbot for iΟS	0	3
RT @ImagenTVMex: La inseguridad también afectó a la #CruzRoja de Salamanca, Guanajuato, pues fueron interceptados por un comando armado. #I…	1117874135890182146	140	2019-04-15 19:35:37	Tweetbot for iΟS	0	3
"RT @imagenYuri: Voluntarios de la @CruzRoja_MX piden respeto a su seguridad. 
#ImagenNoticias con @YuririaSierra https://t.co/zl7QVwwezh"	1117874103522697217	136	2019-04-15 19:35:30	Tweetbot for iΟS	0	2
RT @imagenYuri: ¡El colmo! La inseguridad también afecta a la Cruz Roja de Salamanca, Guanajuato. #ImagenNoticias con @YuririaSierra https:…	1117874028159442946	140	2019-04-15 19:35:12	Tweetbot for iΟS	0	4
RT @ImagenTVMex: De enero a marzo de 2019, aumentaron las carpetas de investigación por secuestro en México. #ImagenNoticias con @YuririaSi…	1117874005313064960	140	2019-04-15 19:35:06	Tweetbot for iΟS	0	5
"RT @imagenYuri: Aumentan en un 55% las carpetas de investigación por secuestro durante el primer trimestre del 2019.  
#ImagenNoticias con…"	1117873940938891264	139	2019-04-15 19:34:51	Tweetbot for iΟS	0	1
"RT @imagenYuri: Abren carpeta de investigación por la desaparición de una bebé, fue robada por una mujer en la colonia Doctores. 
#ImagenNo…"	1117873838799446017	140	2019-04-15 19:34:26	Tweetbot for iΟS	0	6
RT @ImagenTVMex: Separación de familias migrantes ocurre también en México… ¡Esta es la historia! @YuririaSierra https://t.co/y0QMtgrSWR	1117873640240865280	136	2019-04-15 19:33:39	Tweetbot for iΟS	0	5
RT @ImagenTVMex: Bomberos logran bajar la intensidad de las llamas en la Catedral de Notre Dame #ImagenNoticias con @YuririaSierra https://…	1117873610205614081	140	2019-04-15 19:33:32	Tweetbot for iΟS	0	9
RT @imagenYuri: Arde la Catedral de Notre Dame, las llamas consumen parte de la historia de Francia. Esta es la terrible #ImagenDelDía con…	1117869196585529345	139	2019-04-15 19:16:00	Tweetbot for iΟS	0	7
@iChePolo San Pedro es Basílica, no Catedral… Saludos	1117868141231501312	53	2019-04-15 19:11:48	Tweetbot for iΟS	1	0
RT @ImagenTVMex: Ya iniciamos con la información más actualizada en #ImagenNoticias con @YuririaSierra. Sigue la transmisión en: https://t.…	1117867547657895938	140	2019-04-15 19:09:26	Tweetbot for iΟS	0	1
RT @ImagenTVMex: La Catedral de Notre Dame está en llamas… Esta es la #ImagenDelDía en  #ImagenNoticias con @YuririaSierra. Sigue la transm…	1117866424930906116	140	2019-04-15 19:04:59	Tweetbot for iΟS	0	8
RT @m_ebrard: Lamentamos profundamente el incendio en la catedral de Notre Dame de Paris. Pueblo y Gobierno de México expresan su solidarid…	1117858727732940803	140	2019-04-15 18:34:24	Twitter for iPhone	0	1994
"¡Gran experiencia en #MotoGP ! 😍🏁🏍🚩
#MissionWinNow
#Ducati https://t.co/fIZbrceYM6"	1117535617762639872	82	2019-04-14 21:10:28	Instagram	11	0
Que el #MotoGP podría ir a #Cdmx 🏍🇲🇽... (ccp. @PabloCarrilloL @Rodpac ) https://t.co/rAsIujHSl0	1117470553126817792	95	2019-04-14 16:51:56	Tweetbot for iΟS	33	2
RT @ImagenTVMex: #LoMásVisto | @YuririaSierra entrevistó a quien es reconocido como presidente de #Venezuela en 55 países: @jguaido. ¿Cuále…	1117272559966466048	140	2019-04-14 03:45:10	Tweetbot for iΟS	0	12
Con @vetustamorla firmamos #ElTratadoDeCopilico : “Amor incondicional entre 🇲🇽y 🇪🇸 por los próximos 500 años” 🌎🌍 https://t.co/CYnEysnj2C	1116462388230926337	136	2019-04-11 22:05:50	Instagram	29	1
RT @ImagenTVMex: ¡Directo desde España! Nos visita @vetustamorla en el foro de #ImagenNoticias y platican con @YuririaSierra para invitarno…	1116446657321811969	140	2019-04-11 21:03:20	Tweetbot for iΟS	0	21
"RT @ImagenTVMex: ¿Qué le diría Juan Guaidó a Nicolás Maduro si lo tuviera enfrente?

@YuririaSierra #GuaidóenImagen https://t.co/UpBkYYSanG"	1116431050270490631	139	2019-04-11 20:01:19	Tweetbot for iΟS	0	3
RT @imagenYuri: ¿Estados Unidos está detrás del movimiento para ir por el petróleo de #Venezuela? @jguaido responde y envía un mensaje a to…	1116424642191876098	140	2019-04-11 19:35:51	Tweetbot for iΟS	0	6
"RT @ImagenTVMex: Este es el mensaje que @jguaido le envía a todos los venezolanos que se encuentran en México

@YuririaSierra #GuaidóenImag…"	1116423633759604736	140	2019-04-11 19:31:51	Tweetbot for iΟS	0	8
RT @ImagenTVMex: ¿Cuál es el estado de la oposición venezolana en este momento? El líder opositor y presidente interino venezolano @jguaido…	1116423579724341248	140	2019-04-11 19:31:38	Tweetbot for iΟS	0	2
RT @ImagenTVMex: ¡Botellita de Jerez podría no desaparecer! “El Mastuerzo”, Santiago Ojeda y el “Sr. González”, hicieron un llamado para qu…	1116420411774971904	140	2019-04-11 19:19:02	Tweetbot for iΟS	0	3
RT @imagenYuri: No al odio, sí al amor: Botellita de Jerez. La banda podría continuar en la escena musical. #ImagenNoticias con @YuririaSie…	1116420363557244930	140	2019-04-11 19:18:51	Tweetbot for iΟS	0	2
RT @imagenYuri: Se derrama la sangre al interior de la Universidad Autónoma de Zacatecas. Profesores y estudiantes exigen justicia por la j…	1116420342770278407	140	2019-04-11 19:18:46	Tweetbot for iΟS	0	1
RT @ImagenTVMex: Asesinan en el campus de la Universidad de #Zacatecas a Nayeli Noemí, estudiante de la Facultad de Derecho. @YuririaSierra…	1116420326437605389	140	2019-04-11 19:18:42	Tweetbot for iΟS	0	7
RT @imagenYuri: La madre de Ariel Vélez Cordoba “El Phantom” asegura que han difamado a su familia, tiene la estrategia para sacar a su hij…	1116418668584370181	140	2019-04-11 19:12:07	Tweetbot for iΟS	0	4
RT @imagenYuri: El General Luis Rodríguez Bucio será el nuevo comandante de la #GuardiaNacional, aquí te presentamos su formación y experie…	1116417911994888193	140	2019-04-11 19:09:06	Tweetbot for iΟS	0	4
"RT @imagenYuri: ¡Buenas tardes! Iniciamos con la información. 
#ImagenNoticias con @YuririaSierra https://t.co/Wx9vWScex7"	1116417198644441088	121	2019-04-11 19:06:16	Tweetbot for iΟS	0	1
RT @ImagenTVMex: ¡Entre gritos y forcejeos! Detienen al fundador de #Wikileaks, Julian Assange acusado de conspiración por el Gobierno de E…	1116417174694965250	140	2019-04-11 19:06:11	Tweetbot for iΟS	0	4
RT @maguififi: Chidísima tu T-shirt de #GOT @YuririaSierra	1116417162007257095	58	2019-04-11 19:06:08	Tweetbot for iΟS	0	1
RT @ImagenTVMex: En unos minutos #GuaidóenImagen @jguaido en entrevista con @YuririaSierra en @imagenYuri por @ImagenTVMex y #ExcelsiorTv h…	1116412838715719681	140	2019-04-11 18:48:57	Tweetbot for iΟS	0	7
"RT @imagenYuri: ¡No te pierdas la entrevista exclusiva con @jguaido! 
#GuaidóenImagen #ALas2PorEl3 con @YuririaSierra https://t.co/G2yb9nE0…"	1116409837578014722	140	2019-04-11 18:37:01	Tweetbot for iΟS	0	2
RT @ImagenTVMex: Conoce la lucha de @jguaido en #Venezuela esta tarde a las 2:00 pm en #ImagenNoticias con @YuririaSierra en @ImagenTVMex y…	1116385276379770880	140	2019-04-11 16:59:25	TweetDeck	0	21
Hoy me voy a llevar una TShirt de #GOT al noti… ¿Me llevaré la de todas las casas o la del dragón?	1116383783308206081	98	2019-04-11 16:53:30	TweetDeck	181	3
"RT @javieraparicio: Ya me confundí.

Primero, Jiménez Espriú dijo que la cancelación del NAICM no había sido por corrupción.

Luego el pres…"	1116382308687384580	140	2019-04-11 16:47:38	TweetDeck	0	747
Los espero hoy #ALas2EnEl3 por @ImagenTVMex … Una conversación con @jguaido — #GuaidóEnImagen ... https://t.co/gmhbM8smsj	1116375273346338816	121	2019-04-11 16:19:41	TweetDeck	48	13
RT @Imagen_Mx: Hoy no te pierdas la #entrevista de @YuririaSierra con @jguaido por Imagen Noticias @imagenYuri ➡ #GuaidóenImagen 14:00 hrs…	1116357038123167746	139	2019-04-11 15:07:13	TweetDeck	0	3
RT @ImagenTVMex: ¿Estados Unidos está detrás del movimiento de @jguaido? Mañana lo aclara con @YuririaSierra a las 2:00 pm en @ImagenTVMex…	1116206784539185153	139	2019-04-11 05:10:10	TweetDeck	0	6
RT @Imagen_Mx: No te pierdas mañana la #entrevista de @YuririaSierra con @jguaido por Imagen Noticias @imagenYuri ➡ #GuaidóenImagen 14:00 h…	1116193165051092993	140	2019-04-11 04:16:03	TweetDeck	0	2
¿Quién se sentará en el #TronoDeHierro en esta última temporada de #GOT? ¿Será hombre o será mujer?	1116165605504241664	99	2019-04-11 02:26:32	TweetDeck	99	6
RT @imagenYuri: ¿Habrá negociación con Nicolás Maduro? @YuririaSierra platicó con @jguaido en entrevista exclusiva. #ImagenNoticias https:/…	1116075495458856961	140	2019-04-10 20:28:28	Tweetbot for iΟS	0	9
RT @imagenYuri: El Secretario de Relaciones Exteriores de México @m_ebrard dice que es mala idea frenar el flujo de personas y mercancías e…	1116075196572676097	140	2019-04-10 20:27:17	Tweetbot for iΟS	0	2
"RT @imagenYuri: Otro apagón masivo afecta a 20 estados de Venezuela. El suministro de agua potable también está colapsando… 
#ImagenNoticia…"	1116075177555693569	140	2019-04-10 20:27:12	Tweetbot for iΟS	0	2
RT @imagenYuri: Estados Unidos pide a la @ONU_es reconocer a @jguaido como presidente de Venezuela. Destinarán 60 millones de dólares para…	1116075157188173824	139	2019-04-10 20:27:07	Tweetbot for iΟS	0	6
RT @ImagenTVMex: ¡AMLO contradice a Jiménez Espriú! El presidente reitera #corrupción en el Aeropuerto de Texcoco. @YuririaSierra https://t…	1116075136485142531	140	2019-04-10 20:27:02	Tweetbot for iΟS	0	13
RT @imagenYuri: ¡Inminente extinción! Se calcula que quedan entre 6 y 22 ejemplares de la vaquita marina, vive sus últimos días en el Mar d…	1116075074350661632	140	2019-04-10 20:26:48	Tweetbot for iΟS	0	15
RT @ImagenTVMex: ¡Fuego! Captan el momento en el que se incendia un taxi que se encontraba en un verificientro. Esta es ardiente #ImagenDel…	1116075028972474371	140	2019-04-10 20:26:37	Tweetbot for iΟS	0	3
RT @imagenYuri: Ariel Michel “El Phantom” ha estado detenido 4 veces en los últimos 14 meses. Humberto Padgett lo entrevistó en las entraña…	1116074956377468928	140	2019-04-10 20:26:19	Tweetbot for iΟS	0	1
"RT @ImagenTVMex: AMLO celebra a  #EmilianoZapata con un timbre postal, boleto del metro y ""cachitos” de lotería"". @YuririaSierra https://t.…"	1116074926543339520	140	2019-04-10 20:26:12	Tweetbot for iΟS	0	1
RT @imagenYuri: ¡Si hubo corrupción en el Aeropuerto de Texcoco! Asegura el presidente @lopezobrador_ #ImagenNoticias con @YuririaSierra ht…	1116074910143664128	140	2019-04-10 20:26:08	Tweetbot for iΟS	0	1
RT @imagenYuri: Los drones más sofisticados de México y utilizados para combatir el crimen organizado no están en funciones… El gobierno de…	1116074890791198723	140	2019-04-10 20:26:04	Tweetbot for iΟS	0	22
