Tweets	id	len	date	source	likes	rt
RT @CNNEE: El expresidente de Perú Alan García murió este miércoles tras dispararse en la cabeza, https://t.co/cEPjhkWXtt	1118542595792228352	121	2019-04-17 15:51:51	Tweetbot for iΟS	0	626
El Museo Universitario de Arte Contemporáneo exhibió el trabajo de Weiwei en su décimo aniversario. Con su arte, We… https://t.co/NL6HpgIvkn	1118355763846680580	140	2019-04-17 03:29:26	TweetDeck	170	50
Fidel Narváez, excónsul de Ecuador en Londres, y Pedro Miguel, articulista del periódico mexicano La Jornada, coinc… https://t.co/IHI0lAiF8U	1118160991433515009	140	2019-04-16 14:35:29	TweetDeck	313	120
RT @CNNEE: Mira EN VIVO las imágenes del incendio en Notre Dame → https://t.co/phlRm5byqX https://t.co/YYHD1aTnPn	1117860562728357895	113	2019-04-15 18:41:41	TweetDeck	0	145
Trump dio un año al gobierno de México para controlar la inmigración indocumentada y el narcotráfico https://t.co/tJJ4QYgmaV	1115383097804169217	124	2019-04-08 22:37:07	TweetDeck	157	35
La organización Artículo 19 presentó su informe anual 'Ante el silencio, ni borrón ni cuenta nueva' en el que cuent… https://t.co/b9PrqZiqBX	1113971025614704640	140	2019-04-05 01:06:03	TweetDeck	236	82
"""Multilateralismo es cooperación, es acción colectiva"", dice María Fernanda Garcés https://t.co/WnKLF3lIal"	1113595471585579008	106	2019-04-04 00:13:44	TweetDeck	130	22
Esta noche hablaremos con María Fernanda Espinosa @UN_PGA, presidenta de la Asamblea General de las Naciones Unidas… https://t.co/u6rnI31h1N	1113227335472381952	140	2019-04-02 23:50:54	TweetDeck	146	27
Trump anunció que eliminará la ayuda económica a Honduras, Guatemala y El Salvador. Analizamos la situación en la f… https://t.co/xoAPOPVQHB	1113222930048143360	140	2019-04-02 23:33:23	TweetDeck	183	53
"""Disparos"" cuenta la historia de Jair Cabrera, un joven que a través de un taller de fotografía logra salir del cír… https://t.co/vLdPUqRY86"	1113147107949637633	140	2019-04-02 18:32:06	TweetDeck	177	44
Arnaldo Otegi: España no va a poder pagar su deuda https://t.co/q1Q0LKceka	1111789464425246720	74	2019-03-30 00:37:19	TweetDeck	160	43
"""Requerimos justicia para nuestros abuelos"", dice César Cruz Benítez, representante legal del pueblo Hñähñu. https://t.co/epyZbYJwFC"	1111112676585803776	132	2019-03-28 03:48:00	TweetDeck	252	71
El gobierno de España respondió al reclamo de López Obrador lamentando que se haya hecho público el envío de la car… https://t.co/jziJerjOyZ	1111090001457147905	140	2019-03-28 02:17:54	TweetDeck	303	59
RT @CNNEE: En https://t.co/phlRm5byqX encuentras toda la información que necesitas en un formato claro, dinámico y visual. Sigue en vivo el…	1111042093789646854	140	2019-03-27 23:07:31	Tweetbot for iΟS	0	36
Experto: Intervención rusa en elecciones está comprobada https://t.co/vEDZaqtntD	1110736066082996230	80	2019-03-27 02:51:29	TweetDeck	192	47
A 25 años del asesinato de Luis Donaldo Colosio, Carmen Aristegui entrevistó a @LauraSanchezLey sobre la desclasifi… https://t.co/E4wsJZWLQh	1110321559137329152	140	2019-03-25 23:24:23	TweetDeck	270	87
"Alberto Pfeifer dice que el poder judicial en Brasil es bastante independiente y que hace valer la ley.
https://t.co/9w3ouvHMmB"	1109293690055524352	127	2019-03-23 03:20:00	TweetDeck	142	22
"Un informe llevado a cabo por la Comisión 'The Lancet' señala interacción o ""sindemia global"" entre la obesidad, de… https://t.co/bBfkxhyqpj"	1108921039503929344	140	2019-03-22 02:39:13	TweetDeck	174	48
"La reunión Trump-Bolsonaro fue un encuentro entre ""dos líderes populistas y ultraconservadores"" con ideas y estilo… https://t.co/rTxJlh7blB"	1108457086663438341	139	2019-03-20 19:55:38	TweetDeck	151	46
Un experto de la OIT habló con @AristeguiCNN sobre el trabajo de esta organización para establecer mejores condicio… https://t.co/wE0urzShKV	1108097155808546817	140	2019-03-19 20:05:24	TweetDeck	127	26
El arquitecto Alejandro Aravena habló con Carmen Aristegui sobre su participación en la sexta edición del Festival… https://t.co/HzRwWGaPcJ	1107801164928729088	139	2019-03-19 00:29:14	TweetDeck	183	39
Todo el gabinete de AMLO hizo pública sus declaraciones patrimoniales. https://t.co/IgStU9yZxy	1106678632272068608	94	2019-03-15 22:08:41	TweetDeck	623	209
Estos son los escenarios económicos a los que se enfrentaría Gran Bretaña si sale de la Unión Europea sin un acuerdo https://t.co/UihlRIb9wK	1106035854710132738	140	2019-03-14 03:34:31	TweetDeck	277	83
