Tweets	id	len	date	source	likes	rt
La revista #Time revela a los 100 personajes más influyentes del 2019. Ahí esta @YalitzaAparicio y el texto lo escr… https://t.co/bICJVd7faR	1118534626518208512	140	2019-04-17 15:20:10	Twitter for iPhone	103	19
"Esto es poder.
La rutina de gimnasia más bella y asombrosa de esta semana!!! https://t.co/WBV2lhAF9k"	1118533311175983105	100	2019-04-17 15:14:57	Twitter for iPhone	649	130
Yo en pijama casi jajaja. Pero son vacaciones 🤦‍♀️🤦‍♀️🤦‍♀️ https://t.co/yRmcGmT8w8	1118524405707993095	82	2019-04-17 14:39:34	Instagram	33	1
Aquí la paseada ayer con Yeme luego de tanta emoción de los MayaTino’s #pitbull #bassethound #dogsofinstagram… https://t.co/3RH5JmUoPq	1118524037989322762	134	2019-04-17 14:38:06	Instagram	13	1
"#fábulaperruna 
La anatomía del amor en tres imágenes. 
Ayer vino al sureño hogar la dueña original de Tino, Yeme,… https://t.co/n3Mzi3BtxB"	1118522563372695552	139	2019-04-17 14:32:14	Instagram	34	6
No he buscado a ningún directivo de medios. Ni por el ataque un día sí y otro no Uno TV, ni el golpeteo diario de R… https://t.co/IoB96l0aAr	1118516563185942528	140	2019-04-17 14:08:24	Twitter for iPhone	430	103
"Una propuesta para mejorar la salud de los capitalinos podría ser el #HoyNoRespira… 
Algún genio se le ocurrirá, cr… https://t.co/42Pv4Om77W"	1118515177811513344	140	2019-04-17 14:02:54	TweetDeck	50	13
"Al irse a pasear el mundo en su Porsche, el exprocurador Cervantes cerró el caso Odebrecht en México. 
Su interino… https://t.co/HoB0OdtY6D"	1118514031206256642	139	2019-04-17 13:58:20	TweetDeck	197	108
En México ni la justicia se asoma en caso Odebrecht y mucho menos la conciencia (o arrepentimiento) en el corrupto.… https://t.co/WbSd0Eaxl7	1118512127445221378	140	2019-04-17 13:50:46	TweetDeck	158	55
"Huímos al silencio...
Huímos de esa voz que se prende casi ensordecedora cuando todo queda callado y el entorno ha sido sofocado."	1118343301432848386	129	2019-04-17 02:39:55	Twitter for iPhone	175	17
"#Frontera:

La CBP (protección de fronteras EU) informó ayer que a las filas en cruces de carga y personas ahora ve… https://t.co/cZEAxr2L5R"	1118164355282026497	140	2019-04-16 14:48:51	TweetDeck	26	7
Este sábado Yo Yo ma ofreció un concierto gratuito en la frontera de los dos Laredos. Recordó que la cultura no con… https://t.co/R0PaWcfBud	1118162268347346944	140	2019-04-16 14:40:33	Twitter for iPhone	108	26
Las imágenes dentro de Notre Dame luego de que se controló el fuego. Muchas de las obras rescatadas están en el Lou… https://t.co/kHIAK18pv4	1118146541410189315	140	2019-04-16 13:38:04	Twitter for iPhone	72	18
Las autoridades descartan que los de NotreDame fuera un incendio provocado. https://t.co/srK5Wcaxfv	1118145037769031687	99	2019-04-16 13:32:05	Twitter for iPhone	44	9
RT @megustaleermex: ¡Hoy arranca nuestro #MaratónDeLectura! Por cada 10 minutos que lean o escuchen en nuestra página nosotros donaremos un…	1118144652039864320	140	2019-04-16 13:30:33	Twitter for iPhone	0	90
@ninamenocal Se adoran. Parecen novios.	1118144041928073216	39	2019-04-16 13:28:08	Twitter for iPhone	0	0
RT @brendaruiza: Porque OBVIOOOOOOO con logos nuevos de acabarán los asaltos, funcionarán las escaleras eléctricas, no habrá retrasos, no v…	1118143365726523392	140	2019-04-16 13:25:27	Twitter for iPhone	0	27
"#lamañanera
“La única dictadura que existe es la dictadura de la verdad” asegura AMLO en la mañana tras una defensa… https://t.co/kS2A5Zg3hk"	1118143124986060800	140	2019-04-16 13:24:29	Twitter for iPhone	359	97
"Solo una noticia enciende este día a los medios:
‘El desastre’ ‘la lucha contra las llamas’ ‘símbolo de la cultura’ https://t.co/0vwpTGS07K"	1118141539153321994	139	2019-04-16 13:18:11	Twitter for iPhone	66	10
Las tres mosqueteras como dice @julioastillero ! En gruporadiocentromx https://t.co/LI7gh3BkDp	1118139678090256386	94	2019-04-16 13:10:47	Instagram	46	9
@brendaruiza vivir sin permiso	1118138272176320512	30	2019-04-16 13:05:12	Twitter Web Client	3	0
Y sin ser religiosa cuanto se duele mi corazón y lloran mis ojos por una catedral. #NotreDameEnLlamas	1117957596391120896	101	2019-04-16 01:07:16	Twitter for iPhone	416	46
Les dije que tino copió a Maya y brincó al agua. No entiene como funciona eso y trata de brincar en ella. Se me aho… https://t.co/UDy02hAgkG	1117846507737223169	140	2019-04-15 17:45:50	Instagram	58	7
Selfie con los tres!!! Pd: vomito la cara de pescado jajaja. Sabe porque la hice pero ¡ohhhh cuánto daño hiciste Ki… https://t.co/VouKHsftp1	1117576448250748928	140	2019-04-14 23:52:43	Instagram	113	8
Tino se resiste a mis besos y selfies 🤦‍♀️🤦‍♀️🤦‍♀️😎😎😎 https://t.co/k0ESpbgWX4	1117575212017573888	77	2019-04-14 23:47:48	Instagram	63	6
