Tweets	id	len	date	source	likes	rt
Sectur afirma que durante el primer bimestre de este año, la captación de divisas turísticas aumentó 17.7%, en comp… https://t.co/oQ3s24iIku	1118700773213229062	140	2019-04-18 02:20:23	Socialbakers	2	0
"Esta serie de imágenes cuentan la historia del Atila del Sur, compiladas en el libro ""Zapata en Morelos"". 📸🎨 
https://t.co/cXJqqpov0p"	1118698317242724353	133	2019-04-18 02:10:37	Socialbakers	4	7
"#NuestrasPlumas 🖊🖋 ""El nuevo papel de Notimex"", por @RubenAguilar
https://t.co/UORiDn0Q9x"	1118695880956104704	89	2019-04-18 02:00:57	Socialbakers	0	3
El superávit primario de la administración anterior se logró a costa de reducciones presupuestarias, principalmente… https://t.co/7ZxQJVNNRe	1118693128049811456	140	2019-04-18 01:50:00	Socialbakers	5	3
Las autoridades de la India prohibieron la red social TikTok, muy popular entre niños y adolescentes, por difundir… https://t.co/JyxecdWIQY	1118690617477828609	139	2019-04-18 01:40:02	Socialbakers	1	3
"López Obrador anuncia una alternativa para la población que carece de seguro social. 🏥
https://t.co/A9mA3DDwst"	1118688275458166784	110	2019-04-18 01:30:43	Socialbakers	3	4
"La cinta mexicana ""El complot mongol"", basada en el libro de Rafael Bernal, se estrenará este jueves 18 de abril en… https://t.co/4DYd7zq1pJ"	1118685579833528321	140	2019-04-18 01:20:01	Socialbakers	3	3
La película mexicana Día de Muertos competirá en el Festival International du Film d’Animation d’Annecy, el evento… https://t.co/nYI3QA3goA	1118683061086904321	139	2019-04-18 01:10:00	Socialbakers	11	6
"Te explicamos la diferencia entre finiquito y liquidación, dos conceptos que frecuentemente son confundidos.
https://t.co/At6LpA6IBm"	1118680546031194112	132	2019-04-18 01:00:00	Socialbakers	7	9
La directora del Festival Internacional de Cine de Guanajuato afirmó que harán ajustes a la convocatoria Profest, p… https://t.co/WtEwskl6pg	1118678027292958720	140	2019-04-18 00:50:00	Socialbakers	5	2
"#Cartón ""La salvación"", por Perujo. https://t.co/NeN2I2DQ5N https://t.co/CcvAPjt1HP"	1118675682345668609	83	2019-04-18 00:40:41	Socialbakers	3	5
"“México tiene cifras de muertes violentas propias de un país en guerra: 252,538 desde el 2006”: Michelle Bachelet.
https://t.co/DxQNt02iww"	1118673069441077248	138	2019-04-18 00:30:18	Socialbakers	33	30
El encuentro de la NFL que corresponde a México se disputará el próximo lunes 18 de noviembre, en el Estadio Azteca… https://t.co/u171KorX0B	1118670508675854336	140	2019-04-18 00:20:07	Socialbakers	3	1
El 44 informe mensual del Observatorio de Futbol dedujo que la Liga MX es la competencia más popular, fuera de las… https://t.co/UtpOJ0o9zl	1118668010808467456	139	2019-04-18 00:10:12	Socialbakers	1	1
"A México le hacen falta especialistas en salud mental y hospitales psiquiátricos. 🧠

https://t.co/28ogKZAKbC"	1118665673062805504	108	2019-04-18 00:00:54	Socialbakers	23	16
"Dos cuadros de Vincent van Gogh, robados hace 14 años, son recuperados y vuelven a exhibirse en Amsterdam. 🎨

https://t.co/mJgV2t7FUh"	1118663030504472576	133	2019-04-17 23:50:24	Socialbakers	22	19
Empresas de Chetumal se están poniendo al corriente en sus obligaciones fiscales para ser beneficiarias de la zona… https://t.co/3UKIf8VfE3	1118660688606576641	139	2019-04-17 23:41:06	Twitter Web Client	3	2
"#Cartón ""Crucifixión 2019"", por @Nerilicon  https://t.co/VLXATILyx5 https://t.co/8UmFOi1jyC"	1118660651625267200	91	2019-04-17 23:40:57	Socialbakers	2	3
"Estados Unidos aplicará sanciones al Banco Central de Venezuela, a Cuba y a Nicaragua, a los que llamó la ""troika d… https://t.co/aipTC2xafV"	1118660376307093504	140	2019-04-17 23:39:52	Twitter Web Client	11	4
Proponen cancelar la construcción de la refinería en Dos Bocas, ya que la inversión sólo tiene 2% de probabilidades… https://t.co/tyEh3Kz2Yd	1118657897515212800	140	2019-04-17 23:30:01	Socialbakers	34	27
"Este es el recuento de daños del incendio de #NotreDame, Patrimonio de la Humanidad y recinto de reliquias. 
https://t.co/3jjDSntLIy"	1118655479079505921	132	2019-04-17 23:20:24	Socialbakers	0	1
RT @HorlogerMx: El acero reviste este reloj de colección de MB&amp;F, dándole un aire exótico. Las esferas de horas y minutos también lucen una…	1118655214721089536	144	2019-04-17 23:19:21	Twitter Web Client	0	2
RT @CapitalHumanoEE: De acuerdo con el estudio Estrés financiero, uno de cada dos mexicanos sufre de endeudamiento, situación que afecta la…	1118655164175605763	140	2019-04-17 23:19:09	Twitter Web Client	0	4
"RT @elempresariomx: ¿No tienes suficiente tiempo para hacer #networking? Esta app vino a cambiar las reglas del juego.

https://t.co/fFF9k2…"	1118655070118260736	140	2019-04-17 23:18:46	Twitter Web Client	0	4
México dará mantenimiento a aeronaves de Canadá y el país se beneficiará con la generación de nuevos empleos y una… https://t.co/MRIZZ5uMcS	1118654211833716736	139	2019-04-17 23:15:22	Twitter Web Client	26	23
El jugador Nicolás Castillo sumará cinco partidos sin jugar en la jornada 15 de la Liga MX. ⚽… https://t.co/t7aF2yQpYq	1118653564753199105	118	2019-04-17 23:12:48	Twitter Web Client	0	1
"¿Te quedas en la ciudad en #SemanaSanta2019? Te proponemos esta agenda cultural en la #CDMX. 💫🎭

https://t.co/aWTj8Te4BW"	1118652863033397248	120	2019-04-17 23:10:00	Socialbakers	2	0
"RT @TermoEE: El peso mexicano arranca la #SemanaSanta2019 con avances de 4.70 centavos frente al dólar. #TipoDeCambio
https://t.co/DKWlxcCe…"	1118652622087573505	140	2019-04-17 23:09:03	Twitter Web Client	0	5
"RT @TermoEE: En la jornada de este #FelizMiércoles el petróleo mexicano de exportación avanzó 21 centavos de dólar.

https://t.co/GWueUXG4fA"	1118652598477828096	140	2019-04-17 23:08:57	Twitter Web Client	0	6
#PorSiTeLoPerdiste López Obrador presentó en su última #ConferenciaMatutina de la semana la política de comunicació… https://t.co/rz7xIy1ZMv	1118650348103540738	140	2019-04-17 23:00:01	Socialbakers	3	1
"#NuestrasPlumas 🖋🖊 ""AMLO: el mercado laboral es más que la cifra de empleos formales"", por Luis Miguel González, Di… https://t.co/S2aJboR9W4"	1118647854627606528	140	2019-04-17 22:50:06	Socialbakers	5	3
López Obrador presume que el primer trimestre tuvo la mayor generación de empleos en los últimos 10 años, pero el… https://t.co/l5HXeRcWeO	1118645364695818240	138	2019-04-17 22:40:13	Socialbakers	62	46
"#Cartón ""La ley de Herodes"", por @chavodeltoro  https://t.co/G6LehX34FA https://t.co/MyB7EBz5Y9"	1118642803565686784	95	2019-04-17 22:30:02	Socialbakers	4	2
La importación de la gasolina se redujo 16% en febrero, con un repunte simultáneo de 30% en la producción de combus… https://t.co/sOe9nVF6Wx	1118640381229326337	140	2019-04-17 22:20:24	Socialbakers	11	4
El próximo lanzamiento de Facebook será un asistente de voz e inteligencia artificial que sea compatible con toda s… https://t.co/85pV0sYQlg	1118639586958368768	140	2019-04-17 22:17:15	Twitter Web Client	2	2
La delincuencia continúa como una de las problemáticas que más preocupan a los mexicanos y cada vez se sienten más… https://t.co/Y944ZgvDpU	1118637852508606464	139	2019-04-17 22:10:21	Socialbakers	13	13
RT @elempresariomx: La tendencia a aislarse o a relacionarse es algo que depende de cada profesional. Sin embargo, es importante tener una…	1118637818232877057	139	2019-04-17 22:10:13	Twitter Web Client	0	4
RT @TurismoEE: ¿Qué nos espera en el próximo #TianguisTurístico? https://t.co/1FkIoXGoOk	1118637745730203649	88	2019-04-17 22:09:56	Twitter Web Client	0	2
El presidente de la Confederación internacional de Trabajadores dijo que los cambios de la reforma laboral no son s… https://t.co/5G68GIDuI7	1118637681767059463	140	2019-04-17 22:09:41	Twitter Web Client	3	1
El FCE organiza e inaugura la primera Feria del Libro en el AICM, con publicaciones desde los 9 hasta los 700 pesos… https://t.co/RCNPuM8egJ	1118637172540702721	140	2019-04-17 22:07:39	Twitter Web Client	6	1
"¿Todo listo para disfrutar tus vacaciones? ¡No te quedes con el pendiente de dónde dejar a tu mascota! 🐾
https://t.co/2J2s7ujCeY"	1118635250043641859	128	2019-04-17 22:00:01	Socialbakers	1	2
Se han sumado esfuerzos de 600 millones de euros para reconstruir la Catedral de #NotreDame. Ubisoft, la desarrolla… https://t.co/swDRjdhDNI	1118635119860957188	140	2019-04-17 21:59:30	Twitter Web Client	17	8
