Tweets	id	len	date	source	likes	rt
"RT @Vahooos: JAJAJAJAJA SE CAYO HBO CUANDO LOS TENÍA VIENDO GOT
https://t.co/mhIFcbzq6s"	1117596191380787200	87	2019-04-15 01:11:10	Twitter for Android	0	23
RT @marieecasanova: Me acaban de parar en la Ciudad de México y les dije ponme mi infracción y me dijeron $400 y te dejo ir ! @CulturaCiuda…	1117573107802202112	140	2019-04-14 23:39:27	Twitter for Android	0	2
"RT @ESPN_Cronometro: ⏱ #Cronómetro
🏆 #LigaMX
📍 Toluca
🏟 Nemesio Diez 
🆚  #Toluca 😈 5-1 Ⓜ #Rayados

🤔 ¿Ricardo La Volpe logrará colarse a la…"	1114969024759255040	140	2019-04-07 19:11:45	Twitter for Android	0	16
@OvejaEIectrica Acaso eres tú, @marieecasanova ?	1113679633885614081	48	2019-04-04 05:48:10	Twitter for Android	0	0
"RT @OvejaEIectrica: Lista de cosas que haré cuando vaya a México. 
Abrazar a mi familia.
Comer:
Tacos
Birria
Barbacoa
Enchiladas
Mole
Pozol…"	1113679411805675522	140	2019-04-04 05:47:17	Twitter for Android	0	222
@RespectfulMemes @JackWolfZ Balance well doggo	1112172167452639232	46	2019-03-31 01:58:02	Twitter for Android	0	0
RT @DiegoKermit: Información relevcante acerca de los jotqueis https://t.co/j9LeeHGCpG	1111127506340372480	86	2019-03-28 04:46:55	Twitter for Android	0	8881
"RT @Thrones_Memes: Nobody:

Jaime Lannister:
https://t.co/iMRkR1qXqR"	1110213586935341058	68	2019-03-25 16:15:20	Twitter for Android	0	11590
2 people followed me // automatically checked by https://t.co/XerkaanWN6	1109627660009918470	72	2019-03-24 01:27:04	fllwrs	0	0
"RT @InvictosSomos: DINÁMICA | NUEVO JERSEY DE LA SELECCIÓN DE MÉXICO.

1. Dar RT y LIKE a este tuit.
2. Seguirnos en Twitter: @InvictosSomo…"	1108721978880479234	140	2019-03-21 13:28:13	Twitter for Android	0	7660
"RT @ElPanditaRojo_: “Reinicia tu computadora.”

— El paracetamol de los ingenieros en sistemas."	1108200593229795328	95	2019-03-20 02:56:25	Twitter for Android	0	230
@marccrosas Tanto Cruz Azul como América tienen equipos con los que debería sobrarles para entrar a liguilla. Chiva… https://t.co/MRTsQdXMdt	1108089954104680448	140	2019-03-19 19:36:47	Twitter for Android	2	0
@Alo_tov No invitaste 😥	1107538372724248579	23	2019-03-18 07:04:59	Twitter for Android	0	0
"@Bonmaxima @MAXIMA1067FM @Rockporlavida 1. Eduardo Méndez Santa Ana
2. #RockXLaVida13 
3. El Origen https://t.co/pN6Idq8Yod"	1106189150699573249	123	2019-03-14 13:43:40	Twitter for Android	1	0
RT @GutiLa5ta: Xolos con la regla de menores de la Copa MX. https://t.co/vgce6Gue6N	1105866956761165825	83	2019-03-13 16:23:23	Twitter for Android	0	219
@GutiLa5ta @Vahooos @Bastiann_Mendez así tu equipo jaja	1105866244748689409	55	2019-03-13 16:20:33	Twitter for Android	1	0
one person unfollowed me // automatically checked by https://t.co/XerkaanWN6	1102752424601767936	76	2019-03-05 02:07:20	fllwrs	0	0
"RT @AlexPelayo_: Ojalá la historia de Gio dos Santos se hubiera dado a la inversa.
Esa sí sería una historia de ensueño:
-Debuta en el Gala…"	1102226834605826049	140	2019-03-03 15:18:50	Twitter for Android	0	81
RT @Profiterol500mg: 1) Durante la segunda guerra mundial, en un intento por reducir el numero de aviones derribados por el enemigo, los al…	1101876741486927872	140	2019-03-02 16:07:41	Twitter for Android	0	19508
one person unfollowed me // automatically checked by https://t.co/XerkaanWN6	1100578937934094336	76	2019-02-27 02:10:41	fllwrs	0	0
"@Bonmaxima @Rockporlavida @MAXIMA1067FM Eduardo Méndez Santa Ana
#RockXLaVida13
Vivo - Fobia"	1100391014295064576	92	2019-02-26 13:43:56	Twitter for Android	4	0
"@IrkenMaxima @Rockporlavida 1. 38333838
2. Los Pericos
3. Eduardo Méndez Santa Ana
#MaximaRXLV"	1100223095313518592	94	2019-02-26 02:36:41	Twitter for Android	0	0
one person followed me // automatically checked by https://t.co/XerkaanWN6	1099491937982255104	74	2019-02-24 02:11:20	fllwrs	0	0
"@TragosDeRock @Rockporlavida Eduardo Méndez Santa Ana
#RockxLaVida
Porque me encanta la música y que mejor que cele… https://t.co/w2kZVWPd9M"	1099372861364543488	140	2019-02-23 18:18:10	Twitter for Android	1	0
RT @Faitelson_ESPN: La Liga española le muestra “el camino” al futbol mexicano: un contrato colectivo de televisión que termine beneficiand…	1099101482249568257	140	2019-02-23 00:19:48	Twitter for Android	0	90
@SoyNovioDeTodas El hubiera	1098404504582668288	27	2019-02-21 02:10:15	Twitter for Android	1	0
one person followed me // automatically checked by https://t.co/XerkaanWN6	1098397823500980224	74	2019-02-21 01:43:43	fllwrs	0	0
"@Bonmaxima @Rockporlavida @MAXIMA1067FM Eduardo Méndez Santa Ana
#RockXLaVida13 
#BonMorning https://t.co/HPSc8oUuN9"	1098224218959826944	116	2019-02-20 14:13:52	Twitter for Android	0	0
"@Bonmaxima @MAXIMA1067FM @Rockporlavida Eduardo Méndez Santa Ana
#RockXLaVida13 
#MaximaGif https://t.co/BJbDzKY5n6"	1097853632538701826	115	2019-02-19 13:41:17	Twitter for Android	1	0
RT @tioironhomie: 5 con todo, mi Bob. https://t.co/GkcTDUSTJA	1096813148391333890	61	2019-02-16 16:46:47	Twitter for Android	0	1357
RT @ochocinco: Mexico has a wall they already pay for: Guillermo Ochoa 🇲🇽 https://t.co/J4vVkXPzt9	1096775104472801280	97	2019-02-16 14:15:36	Twitter for Android	0	2504
RT @ochocinco: Trump es muy chistoso con sus demandas de que paguemos la construcción de un muro cuando Guillermo Ochoa es el único muro qu…	1096556792434384896	140	2019-02-15 23:48:07	Twitter for Android	0	1885
"@Bonmaxima @MAXIMA1067FM Eduardo Méndez Santa Ana
#MaximaRadio #LaRadioEs aquella vocecita que te acompaña que te a… https://t.co/j68eBJgUeG"	1095676347475734528	140	2019-02-13 13:29:32	Twitter for Android	0	0
RT @SancadillaNorte: Ni modo que dijera que no... https://t.co/BpdMcSwLpv	1095161617938087937	73	2019-02-12 03:24:11	Twitter for Android	0	25
RT @damplin: No sé si hacer caso a la propuesta del diputadito ese. ¿Dejo de publicar las ubicaciones de los puestos de alcoholinetría? Ust…	1094722330532687873	140	2019-02-10 22:18:37	Twitter for Android	0	3
RT @AnaFloreess: Una amiga insistió en meter a su novio al grupo de WhatsApp de niñas  porque el wey no confía en lo que hablamos ahí y así…	1091455368482484224	140	2019-02-01 21:56:52	Twitter for Android	0	32016
RT @FauxNFLnetwork: Welp, I’m sold 🤣🤣🤣 https://t.co/XARepPLlbT	1090764712495722496	62	2019-01-31 00:12:27	Twitter for Android	0	440
@Vahooos El que jugó hoy es Edgar	1090473105993142273	33	2019-01-30 04:53:43	Twitter for Android	0	0
@AlexItesm @arnemx No es por ser abogado del diablo pero, no es la misma camisa. Los botones de una son blancos y d… https://t.co/kSvxHEeQq0	1090459954639790080	140	2019-01-30 04:01:27	Twitter for Android	0	0
"RT @SoyReferee: Recuento de lo que ha pasado en las últimas horas en el futbol mexicano:

➔ Un tlacuache invadió la cancha y se lesionó
➔ E…"	1089332725364994048	140	2019-01-27 01:22:15	Twitter for Android	0	55
