Tweets	id	len	date	source	likes	rt
RT @informador_MEX: Urgen a López Obrador a nombrar magistrados anticorrupción https://t.co/5leFpv3XtI	1118700213185798149	102	2019-04-18 02:18:09	Hootsuite Inc.	0	1
RT @informador_DEP: #ParaSaber: Se vienen modificaciones en @Chivas https://t.co/AANMQxNEvh	1118694718404214791	91	2019-04-18 01:56:19	Hootsuite Inc.	0	1
RT @informador_INT: #ParaSaber: Ayuda de la Cruz Roja comienza a llegar a hospitales venezolanos https://t.co/tOXS9vAtFj	1118690918427713537	120	2019-04-18 01:41:13	Hootsuite Inc.	0	1
RT @informador_JAL: #SiNoLoViste: González de los Santos deja la @FiscaliaJal https://t.co/depmBtKRFa	1118690907094700032	101	2019-04-18 01:41:11	Hootsuite Inc.	0	2
RT @informador_ENT: ¿Es #CeliaLora la indicada para prender el ambiente en la casa Shore? https://t.co/jODgZIqjYL	1118690902829084673	113	2019-04-18 01:41:10	Hootsuite Inc.	0	1
RT @informador_ECO: Presumen gasolinera con precio más bajo del país; tiene dos años cerrada 🤦‍♂️ https://t.co/7SWrq8P38y	1118690858256207873	121	2019-04-18 01:40:59	Hootsuite Inc.	0	3
RT @informador_MEX: Hallan fosa clandestina en zona centro de Veracruz https://t.co/Cdf71ZZsBC	1118690844838699009	94	2019-04-18 01:40:56	Hootsuite Inc.	0	3
#ENTÉRATE: Jesús Isijara es tajante al señalar que esta situación vuelve raras las reglas del descenso en México https://t.co/C4OcC7yfto	1118688132369510401	136	2019-04-18 01:30:09	Hootsuite Inc.	1	0
RT @informador_TEC: Científicos reactivaron células cerebrales de cerdos muertos https://t.co/R0qhtBqdQq	1118687175841857536	104	2019-04-18 01:26:21	Hootsuite Inc.	0	1
RT @informador_INT: #VuelveALeer: Fallece el ex presidente peruano Alan García https://t.co/fLdkxQaSEv	1118687168849960961	102	2019-04-18 01:26:19	Hootsuite Inc.	0	1
RT @informador_JAL: Localizan en Jalisco a menor desaparecida en Nayarit https://t.co/udUDfkzcWv	1118684896065662977	96	2019-04-18 01:17:18	Hootsuite Inc.	0	3
RT @informador_MEX: Descartan delito electoral por video promocional de la Sectur https://t.co/bHIXv7kT4d	1118682241306112001	105	2019-04-18 01:06:45	Hootsuite Inc.	0	3
RT @informador_JAL: ¡Qué no se te pase! Desde mañana comienza el mega corte de agua en la ZMG, checa si tu colonia será de las afectadas  💧…	1118682238378479616	140	2019-04-18 01:06:44	Hootsuite Inc.	0	4
RT @informador_INT: Kim Jong-un supervisa la prueba de un arma táctica https://t.co/Prxrmv9PR0	1118677085885796352	94	2019-04-18 00:46:15	Hootsuite Inc.	0	2
"RT @informamon: El #SIAPA interrumpirá la ""tradición"" de cerrar la #SemanaSanta mojándose a apenas 957 colonias de la #ZMG ¡Buena suerte!…"	1118677083486597120	138	2019-04-18 00:46:15	Hootsuite Inc.	0	3
RT @informador_ENT: Como cada año, la revista @TIME presentó su lista de las cien personas más influyentes en diversos ámbitos, y @YalitzaA…	1118676204394024961	140	2019-04-18 00:42:45	Hootsuite Inc.	0	1
RT @informador_DEP: Las acciones del club de futbol italiano Juventus Turín cotizaron este miércoles a la baja en la Bolsa milanesa 🙄 https…	1118676200417845249	140	2019-04-18 00:42:44	Hootsuite Inc.	0	1
RT @informador_JAL: Atacan tercer incendio en el día, ahora en Bugambilias https://t.co/ZnTe5gdQd2	1118674390302982147	98	2019-04-18 00:35:33	Hootsuite Inc.	0	5
RT @informador_DEP: Pelea co-estelar de Canelo vs Jacobs tendrá modificaciones https://t.co/RqoljpYa5i	1118674388893798402	102	2019-04-18 00:35:32	Hootsuite Inc.	0	1
RT @informador_INT: #VuelveALeer: Hospitalizan al presidente peruano Kuczynski por problemas cardíacos https://t.co/6yMRCJCAB7	1118674380068982785	126	2019-04-18 00:35:30	Hootsuite Inc.	0	1
RT @informador_CUL: Aunque aún no está listo el dictamen sobre el daño a las piezas que #NotreDame guarda en sus interiores, este será el d…	1118674377942421506	140	2019-04-18 00:35:30	Hootsuite Inc.	0	1
RT @informador_MEX: Asesinan a un ex guardia de Peña Nieto en Edomex https://t.co/9ACuZVK2wa	1118674371613216768	92	2019-04-18 00:35:28	Hootsuite Inc.	0	2
RT @informamon: Con que un tercer incendio en #BosqueLaPrimavera ¿eh? Pronto podrán recibir el 'brochure' quienes deseen invertir en una he…	1118674363073560576	140	2019-04-18 00:35:26	Hootsuite Inc.	0	5
RT @informador_INT: #VuelveALeer: Presidentes de América Latina lamentan muerte de #AlanGarcía https://t.co/my9U36DmMp	1118674360338911232	118	2019-04-18 00:35:26	Hootsuite Inc.	0	1
RT @informador_ECO: Ahora sí, el incremento al precio de @NetflixLAT está por convertirse en una realidad https://t.co/NUQcvledGM	1118674328894279680	129	2019-04-18 00:35:18	Hootsuite Inc.	0	1
"RT @informador_INT: Guardaespaldas del hijo de ""El Chapo"" se declara culpable https://t.co/xuAHryFpp2"	1118667838212984833	101	2019-04-18 00:09:31	Hootsuite Inc.	0	3
RT @informador_ECO: #ElDato: Cuatro de cada 10 nuevos empleos formales creados en Jalisco este año son trabajos eventuales o temporales htt…	1118667802112610308	140	2019-04-18 00:09:22	Hootsuite Inc.	0	3
RT @informador_ECO: La BMV cierra al alza; vuelve a su mayor nivel desde noviembre https://t.co/byXYqrmmUF	1118666393124261888	106	2019-04-18 00:03:46	Hootsuite Inc.	0	1
RT @informador_MEX: Gobierno federal habilita albergue en Chiapas para atender a migrantes https://t.co/rXQUtOCAfX	1118666384483995648	114	2019-04-18 00:03:44	Hootsuite Inc.	0	1
RT @informador_JAL: #IMPORTANTE: Luego del incendio en el #BosqueLaPrimavera, la fauna que escapó del fuego, ha comenzado a regresar a su h…	1118666381220876289	140	2019-04-18 00:03:43	Hootsuite Inc.	0	11
RT @informador_INT: Aumentan a 29 los fallecidos en accidente carretero en Portugal https://t.co/MrAR43ww9D	1118661567413927936	107	2019-04-17 23:44:36	Hootsuite Inc.	0	1
RT @informador_ECO: #OjoAlDato: Seis mil empresas usan #outsourcing para evadir impuestos 💵🤨 https://t.co/syaGVwyLE2	1118661559046299649	116	2019-04-17 23:44:34	Hootsuite Inc.	0	4
RT @informador_ENT: Todos los #Avengers llegan a Twitter para acompañar tus reacciones al estreno de su última entrega en cines https://t.c…	1118661552935186432	140	2019-04-17 23:44:32	Hootsuite Inc.	0	1
"RT @informador_ENT: Kit Harington casi pierde un testículo grabando ""Game of Thrones"" https://t.co/HNqA3HaYSv"	1118661533737857024	109	2019-04-17 23:44:28	Hootsuite Inc.	0	2
"RT @informador_ENT: Lanzan pósters exclusivos de ""Avengers: Endgame""  https://t.co/3HGl84dw9q"	1118657932680364032	93	2019-04-17 23:30:09	Hootsuite Inc.	0	1
RT @informador_INT: #VuelveALeer: Washington anuncia restricciones a viajes y remesas a Cuba https://t.co/5twcLAngaf	1118657924719611904	116	2019-04-17 23:30:07	Hootsuite Inc.	0	1
RT @informador_CUL: ¡Agéndalo! ¿En la ciudad durante la #SemanaSanta? Te recomendamos este evento en el Panteón de Belén https://t.co/dRXv2…	1118657917304152064	140	2019-04-17 23:30:05	Hootsuite Inc.	0	1
RT @informador_MEX: Detienen a los presuntos homicidas del periodista Omar Camacho https://t.co/IgWzZNP9Tr	1118657912157757440	106	2019-04-17 23:30:04	Hootsuite Inc.	0	3
RT @informador_TEC: Si eres de los que les gusta hacer capturas de pantalla de tus conversaciones para compartirlas con otros usuarios o en…	1118654346961522689	140	2019-04-17 23:15:54	Hootsuite Inc.	0	1
