Tweets	id	len	date	source	likes	rt
@jesussh16 https://t.co/jwG999hZ0i	1118678305979293698	34	2019-04-18 00:51:06	Twitter for iPhone	0	0
@jesussh16 https://t.co/I4KmQ7Ur7I	1118677464870313984	34	2019-04-18 00:47:46	Twitter for iPhone	0	0
@Lic_Robledo Felices los cuatro	1118665904508661765	31	2019-04-18 00:01:50	Twitter for iPhone	1	0
@Lic_Robledo @OficialYuri https://t.co/nxFGG6ueBS	1118663015283298304	49	2019-04-17 23:50:21	Twitter for iPhone	1	0
@chavodeltoro Ya viste mis calcetines 🧦???	1118642026436710400	42	2019-04-17 22:26:57	Twitter for iPhone	3	1
@Lic_Robledo @Changolion_ 😎😎😎	1118634953955086336	29	2019-04-17 21:58:50	Twitter for iPhone	2	0
@JesusArellanoT Nada que traiga Maluma puede ser bueno, parece que le está ofreciendo el parachute a la gringa	1118624083569037312	110	2019-04-17 21:15:39	Twitter for iPhone	3	1
Venga #Tottenham ! #ChampionsLeague	1118613974503706624	35	2019-04-17 20:35:29	Twitter for iPhone	8	0
@palaciosruben23 @pedroferriz3 🤟🤟🤟	1118611938441752576	34	2019-04-17 20:27:23	Twitter for iPhone	1	0
@KarlTiGa @pedroferriz3 🤟🤟🤟	1118606214839980032	27	2019-04-17 20:04:38	Twitter for iPhone	1	0
@distorsiongay @pedroferriz3 🤣🤣🤣	1118605834617937920	32	2019-04-17 20:03:08	Twitter for iPhone	0	0
@Lic_Robledo Es lo malo Jajajaja	1118597531846365184	32	2019-04-17 19:30:08	Twitter for iPhone	5	0
A ver si no me regaña Pedrito Ill @pedroferriz3 y su tribu por salir a chambear así para #SergioEnMILENIO… https://t.co/i8rg7ZlrVc	1118589090264281088	130	2019-04-17 18:56:36	Twitter for iPhone	1213	258
O sea que si un presidente calza esta bonita imitación de Crocs quiere decir que no sigue los lineamientos del Manu… https://t.co/2Xy3Xn4sU5	1118582030424391681	140	2019-04-17 18:28:32	Twitter for iPhone	104	13
No se vale! #PolíticaCero https://t.co/Kn58GuCAUo	1118547748838502401	49	2019-04-17 16:12:19	Twitter for iPhone	0	0
