Tweets	id	len	date	source	likes	rt
#NoTeLoPierdas. El reportaje #YoTambien, producido en @canalcatorcemx y conducido por @estelalivera sobre el germen… https://t.co/nsiUd5QI5u	1118701424156848128	140	2019-04-18 02:22:58	Twitter for iPhone	10	6
RT @canalcatorcemx: El presidente @lopezobrador_ se comprometió a reducir un 50% la inversión en publicidad y a distribuirla con equidad en…	1118694881764024320	140	2019-04-18 01:56:58	Twitter for iPhone	0	23
#NoTeLoPierdas. En memoria del compañero Virgilio Caballero, retransmitimos en @canalcatorcemx la serie “Revelacion… https://t.co/hrpjcMZrxF	1118694770686275589	140	2019-04-18 01:56:32	Twitter for iPhone	12	7
"RT @dw_espanol: #AlanGarcia: figura clave en la política peruana

Presidente en dos mandatos, responsable de la peor crisis económica de #P…"	1118694242690449408	140	2019-04-18 01:54:26	Twitter for iPhone	0	63
"RT @Notimex: VIDEO 📽 | Ataques con ácido a mujeres, la peor marca de posesión machista.

➡️ https://t.co/fRgec2KBEo

|| #Notimex https://t.…"	1118690274102980610	140	2019-04-18 01:38:40	Twitter for iPhone	0	17
#MediosPublicos. Esta mañana avanzamos con la doctora @Irma_Sandoval sobre una serie de auditorías de la @SFP_mx en… https://t.co/c8rkpQjlrV	1118683252582174720	140	2019-04-18 01:10:46	Twitter for iPhone	111	50
RT @Irma_Sandoval: Revisando los pendientes para combatir la corrupción en los medios públicos. En las @SFP_mx estamos muy contentos por la…	1118682529148612614	140	2019-04-18 01:07:53	Twitter for iPhone	0	100
RT @SPRMexico: Aquí te mostramos dos frases para recordar a Gabriel García Márquez. #5AñosSinGabo | #MediosPúblicos 📝📖👇 https://t.co/XQt1wj…	1118667018431946752	140	2019-04-18 00:06:15	Twitter for iPhone	0	6
"RT @dw_espanol: Crónica de la muerte de #AlanGarcia 

Tras darse un disparo fue llevado al hospital, donde murió horas después de una hemor…"	1118627524739649536	140	2019-04-17 21:29:19	Twitter for iPhone	0	179
El suicidio de Alan García, ex presidente del Perú, demuestra el grado de corrosión al que llegó la trasnacional de… https://t.co/caJx1oKYPb	1118627474286321665	140	2019-04-17 21:29:07	Twitter for iPhone	670	545
RT @SPRMexico: A 5 años de su muerte recordamos a Gabriel García Márquez (#Gabo). Fue un escritor, guionista, editor y periodista colombian…	1118566157848580099	140	2019-04-17 17:25:28	Twitter for iPhone	0	24
RT @sdpnoticias: Del Gabinete de @lopezobrador_, el primero y segundo mejor evaluados son los integrantes de las Fuerzas Armadas; el tercer…	1118566057705443330	140	2019-04-17 17:25:04	Twitter for iPhone	0	17
RT @lydiacachosi: https://t.co/HRkSjAqEkQ	1118526028027179009	41	2019-04-17 14:46:00	Twitter for iPhone	0	232
RT @revistaproceso: Reportan detención del marinista Juan Sánchez, la primera ligada al caso de Lydia Cacho https://t.co/BeG9XKFqgh	1118525741111685130	131	2019-04-17 14:44:52	Twitter for iPhone	0	85
RT @canalcatorcemx: Una científica mexicana descubre una nanoparticula capaz de eliminar virus, bacterias, hongos y esporas. Este desarroll…	1118524622314594304	140	2019-04-17 14:40:25	Twitter for iPhone	0	28
Sobre el #Memorandum de la #ReformaEducativa https://t.co/M3ctzPdO36	1118514105948753920	68	2019-04-17 13:58:38	Twitter for iPhone	79	42
"RT @informador_MEX: Jesús Ramírez da a conocer los gastos de publicidad desde 2007. Así mismo menciona que ""el objetivo de la política de c…"	1118513876734234624	140	2019-04-17 13:57:43	Twitter for iPhone	0	23
RT @NoticiasMVS: #EnVivo Ningún medio de comunicación puede tener más del 25% de una campaña: coordinador General de Comunicación Social de…	1118513844211597312	140	2019-04-17 13:57:36	Twitter for iPhone	0	26
RT @canalcatorcemx: #ConferenciaPresidente  | “Al 15 de abril se han hecho 62 campañas de radio y televisión y no se ha gastado un solo pes…	1118511101124251649	140	2019-04-17 13:46:42	Twitter for iPhone	0	16
Queremos tanto a Gabo. Hoy hace cinco años, mariposas amarillas que vuelan liberadas se llevaron al autor de nuestr… https://t.co/77zCrVAnNO	1118508123344572416	140	2019-04-17 13:34:52	Twitter for iPhone	184	53
#ConferenciaAMLO. “Queremos la reconciliación con el magisterio”, afirma y revela que se han liberado a 10 maestros… https://t.co/HvEYLD0MDy	1118506212608311297	140	2019-04-17 13:27:16	Twitter for iPhone	73	48
#ConferenciaAMLO. Explica que el #Memorándum tiene un objetivo de dirección interna del gobierno. No se cancela la… https://t.co/iaTz8AzlRm	1118505904184483841	139	2019-04-17 13:26:03	Twitter for iPhone	236	156
#ConferenciaAMLO. “No vamos a sentarnos para negociar la libertad de expresión”, sentencia. Abunda sobre el papel d… https://t.co/1c54oQCLh6	1118504740516708353	140	2019-04-17 13:21:25	Twitter for iPhone	95	54
#ConferenciaAMLO. “Para nada”, nunca le voy a llamar a ningún dueño o medio de comunicación por sus críticas al gob… https://t.co/w0VYWnUqKz	1118503597552144384	140	2019-04-17 13:16:53	Twitter for iPhone	482	244
RT @revistaproceso: “No me voy a rendir hasta que se haga justicia”: Lydia Cacho  https://t.co/OlYq0JuMxA	1118500879274000385	105	2019-04-17 13:06:05	Twitter for iPhone	0	290
#ConferenciaAMLO. El día 20 de abril se darán a conocer los datos oficiales en materia de inseguridad, para saber c… https://t.co/gFC3s9AtJ2	1118500583391014914	140	2019-04-17 13:04:54	Twitter for iPhone	102	49
#ConferenciaAMLO. Explica el objetivo de haber redactado un #Memorándum para echar abajo la #ReformaEducativa. “Con… https://t.co/cqJCATL3rf	1118496591990497280	140	2019-04-17 12:49:02	Twitter for iPhone	58	30
#ConferenciaAMLO. Celebra la decisión del Poder Judicial de dar trámite a la denuncia en contra de los delitos come… https://t.co/e8Inlk9M9W	1118495867378503680	140	2019-04-17 12:46:10	Twitter for iPhone	33	21
"RT @politicomx: #ACTUALIZADO:
""Los medios usados para campañas deben tener una relación con los ciudadanos"": @JesusRCuevas.
Reveló que el ú…"	1118495048583254016	140	2019-04-17 12:42:54	Twitter for iPhone	0	8
RT @IMER_Noticias: Escucha lo más relevante de la información nacional, internacional, cultural y deportiva. Acompaña a @luisalaouija en es…	1118494538341998592	140	2019-04-17 12:40:53	Twitter for iPhone	0	6
RT @canalcatorcemx: #ConferenciaPresidente | “Vamos a actuar con austeridad en el manejo de los fondos dedicados a la publicidad, de acuerd…	1118493272597569536	140	2019-04-17 12:35:51	Twitter for iPhone	0	27
#ConferenciaAMLO. La primera campaña publicitaria oficial que usó la pauta privada es la del @SATMX:… https://t.co/C0ywCTeAr5	1118493111464992768	125	2019-04-17 12:35:13	Twitter for iPhone	13	14
#ConferenciaAMLO. Este es el padrón de medios que se encuentra en el @IFT_MX y en @Segob. Ningún medio podrá tener… https://t.co/s3zD7ZKS6R	1118491461027282946	139	2019-04-17 12:28:39	Twitter for iPhone	12	16
#ConferenciaAMLO. Para la producción de las campañas publicitarias se privilegiarán a los #MediosPublicos, sin real… https://t.co/E0nEoM0pCs	1118490894255251457	140	2019-04-17 12:26:24	Twitter for iPhone	35	33
#ConferenciaAMLO. El gasto publicitario en 2019 se disminuyó a la mitad de lo ejercido el año pasado. El crecimient… https://t.co/59Dl2rraQ7	1118490110440497152	140	2019-04-17 12:23:17	Twitter for iPhone	39	28
#ConferenciaAMLO. Los objetivos específicos de comunicación social del presente gobierno son los siguientes. https://t.co/lf47AHj3kU	1118489116507824130	132	2019-04-17 12:19:20	Twitter for iPhone	17	12
#ConferenciaAMLO. El director de comunicación social @JesusRCuevas explica la importancia de las conferencias matut… https://t.co/ecPRg3D06R	1118488293572792321	140	2019-04-17 12:16:04	Twitter for iPhone	127	62
#ConferenciaAMLO. Afirma que la publicidad oficial no debe ser un mecanismo para premiar o castigar a un medio de c… https://t.co/TFlhtTfJOQ	1118487031166984194	140	2019-04-17 12:11:03	Twitter for iPhone	36	24
