Tweets	id	len	date	source	likes	rt
"#VideocharlaAstillada de miércoles:
¿Debe dar la 4T convenios de publicidad a yutuberos? https://t.co/wXKl4TSN0J"	1118703183449161729	112	2019-04-18 02:29:58	Facebook	3	1
RT @1985yiyo: @julioastillero @NachoRgz @_VicenteSerrano @JucaNoticias @Edd_Campe @elcaporal_ver Para mi el youtuber q reciba publicidad of…	1118698537053769730	140	2019-04-18 02:11:30	Twitter for iPhone	0	5
"RT @angelica9091: @julioastillero @NachoRgz @_VicenteSerrano @JucaNoticias @Edd_Campe @elcaporal_ver Dan flojera  !!!
Ojalá y no te hubiera…"	1118698522071707649	140	2019-04-18 02:11:26	Twitter for iPhone	0	1
Ya está @ElMariachiNinja bien puesto: https://t.co/VYvuq98AIm	1118698144408248326	61	2019-04-18 02:09:56	Twitter for iPhone	16	2
RT @julioastillero: Un poco después de las 9 pm, #Videocharla Astillada: ¿Debe dar la 4T convenios de publicidad a yutuberos? Con las postu…	1118698036111257600	140	2019-04-18 02:09:30	Twitter for iPhone	0	9
Un poco después de las 9 pm, #Videocharla Astillada: ¿Debe dar la 4T convenios de publicidad a yutuberos? Con las p… https://t.co/tgUvBcqyut	1118691662216167425	140	2019-04-18 01:44:11	Twitter for iPhone	29	9
#Astillero a publicarse este jueves en @LaJornada y, en versión amplia, en @JornadaSanLuis : &gt;&gt;Chayote, discreciona… https://t.co/8HAJwUvvK4	1118689969550368769	146	2019-04-18 01:37:27	TweetDeck	10	8
Pretender hacerle a @lopezobrador_ un #ZapatoGate , por su calzado sin bolear, es fijar la vista en lo menos import… https://t.co/CUSdOAgrAe	1118673799942168576	140	2019-04-18 00:33:12	TweetDeck	769	261
RT @acasiafar: Muy preocupados por Notradame, mientras se quema la reserva de la biosfera el Triunfo. @julioastillero @lhan55 https://t.co/…	1118672146673303552	140	2019-04-18 00:26:38	TweetDeck	0	57
Reporte de @c4jimenez : https://t.co/t5DkypKcu3	1118669607991169024	47	2019-04-18 00:16:33	TweetDeck	8	6
"RT @JornadaSanLuis: #Astillero El memorándum impugnado
#Columna de @julioastillero
https://t.co/puu5bSqVhs https://t.co/YurqC5CEMr"	1118665937769594881	130	2019-04-18 00:01:58	TweetDeck	0	6
RT @ElMariachiNinja: @jingenierosc @julioastillero Uhhh, si leyeras las mentadas de madre que me llevo por hacer crítica. Y aclaro, soy de…	1118665835252473857	139	2019-04-18 00:01:33	TweetDeck	0	4
