Tweets	id	len	date	source	likes	rt
"RT @SEGOB_mx: 🔴 COMUNICADO | Habilita @INAMI_mx albergue temporal en Tapachula

En este espacio se proyecta atender a familias completas, l…"	1118699735181819905	140	2019-04-18 02:16:15	Twitter for iPhone	0	13
Declara Fiscal de Veracruz que habría 36 puntos positivos o con alta probabilidad de contener restos humanos.… https://t.co/Hl4TtEdi6j	1118699423012356097	134	2019-04-18 02:15:01	Twitter for iPhone	5	2
RT @USAenEspanol: A partir del 2 de mayo, en virtud del Título III de la Ley Helms-Burton (LIBERTAD), ciudadanos de Estados Unidos podrán e…	1118698638258130944	140	2019-04-18 02:11:54	Twitter for iPhone	0	765
RT @SenSanders: This is exactly the kind of future we must fight for. We have 11 short years to come together to massively transition away…	1118698401716158464	139	2019-04-18 02:10:58	Twitter for iPhone	0	1737
Circulan primeras imágenes de mujer que presuntamente tendría en su poder a bebé de 8 meses robada en exteriores de… https://t.co/z19ONhgGrp	1118698170962280448	140	2019-04-18 02:10:03	Twitter for iPhone	14	26
RT @Slate: A disputed last-minute goal shouldn’t take away from the beauty of Wednesday’s Man City - Tottenham game. https://t.co/KayyHgljle	1118692714554503169	140	2019-04-18 01:48:22	Twitter for iPhone	0	3
URGENTE: https://t.co/v1nkxtocTQ	1118650638798336003	32	2019-04-17 23:01:10	Twitter for iPhone	11	12
RT @juliopatan09: Yo felicito a mi carnal @HolaLuison porque hoy se clasificó su Tottenham, y nos felicito a todas las personas de bien por…	1118625409938202626	140	2019-04-17 21:20:55	Twitter for iPhone	0	3
RT @NTelevisa_com: Se cumplen 4 días del robo de una bebé a afuera del Hospital General de México. Autoridades difunden retrato hablado de…	1118606274340454405	139	2019-04-17 20:04:53	Twitter Web Client	0	18
RT @NTelevisa_com: Óscar Moctezuma, director y fundador de Naturalia A.C., nos platica sobre las especies mexicanas en peligro de extinción…	1118605386813198336	140	2019-04-17 20:01:21	Twitter Web Client	0	6
"¿Dónde están pasando sus vacaciones?
Suspenden actividades en alberca de #Iztapalapa por contingencia ambiental de… https://t.co/rhhwlovhlU"	1118605318987165697	139	2019-04-17 20:01:05	Twitter Web Client	3	1
RT @NTelevisa_com: En España, fue detenido un joven formado en una organización extremista que planeaba un atentado en la feria de Sevilla,…	1118603890931400706	140	2019-04-17 19:55:24	Twitter Web Client	0	6
Grupo Interdisciplinario de Expertos Independientes podría integrarse en mayo a la Comisión de la Verdad que invest… https://t.co/2D11qORUo8	1118603820442038272	140	2019-04-17 19:55:08	Twitter Web Client	6	3
RT @NTelevisa_com: #Ahora Crisis de extinción de especies en México: el caso del jaguar y la vaquita marina. Platicamos sobre el tema con e…	1118603512387121152	140	2019-04-17 19:53:54	Twitter Web Client	0	9
RT @NTelevisa_com: Francia anuncia que se hará una convocatoria para participar en un concurso arquitectónico internacional para rehacer la…	1118602916225605634	140	2019-04-17 19:51:32	Twitter Web Client	0	3
"La revista #Time incluye en la lista de las 100 personas más influyentes del mundo a AMLO y Yalitza Aparicio. 
El p… https://t.co/5FblnvAkZ7"	1118602641309872129	140	2019-04-17 19:50:26	Twitter Web Client	15	3
Reunión entre Gobierno Federal y CNTE programada para hoy, se pospone para el próximo lunes. Los maestros insisten… https://t.co/x5lL4QjEvv	1118600139923443712	139	2019-04-17 19:40:30	Twitter Web Client	0	2
RT @NTelevisa_com: El presidente de Ecuador, Lenin Moreno, acusó al fundador de Wikileaks, Julian Assange de abusar de su asilo político en…	1118599734544011264	140	2019-04-17 19:38:53	Twitter Web Client	0	3
Automovilistas en todo el país protestan por los bloqueos a casetas, demandan acción por parte del gobierno. El rep… https://t.co/4GDozlJcp5	1118599525348839430	140	2019-04-17 19:38:04	Twitter Web Client	4	10
Diseños 3D e incluso un videojuego, serían pieza clave para la posible reconstrucción de la catedral de #NotreDame.… https://t.co/FmU6FpdY88	1118599070875095040	140	2019-04-17 19:36:15	Twitter Web Client	8	1
#ENVIVO: ¿Cómo avanza el caso del expresidente de #Perú, Alan García, que se disparó previo a ser detenido por el c… https://t.co/GSJUs7KmRM	1118598479146823683	140	2019-04-17 19:33:54	Twitter Web Client	2	2
RT @NTelevisa_com: Mañana es jueves santo... se mantiene la contingencia ambiental, pero a partir de las 6 de la tarde todos los autos podr…	1118597348039516161	140	2019-04-17 19:29:24	Twitter Web Client	0	4
RT @NTelevisa_com: Inician #LasNoticiasConKarlaIberia. Síguelo por el @ElNueveOf 9.1 de TV abierta, 109 izzi, 150 Sky y por #FBLive https:/…	1118597294159536128	140	2019-04-17 19:29:12	Twitter Web Client	0	2
"RT @Pevelasco: Ready for Kerry’s Conference at @Yale! “Challenge of Democracy at Home and Abroad” wt Secretaries of State &amp; Defense 
John K…"	1118592946310402051	144	2019-04-17 19:11:55	Twitter for iPhone	0	3
"Mr Heiung Min-Son.
Señores, con mayúsculas.
Doblete en menos de 4 minutos.
#Tottenhan"	1118592743972978691	85	2019-04-17 19:11:07	Twitter for iPhone	10	1
RT @nytimes: Breaking News: Researchers removed the brains from 32 dead pigs and, hours later, restored some cellular activity. An ethicist…	1118587625043058688	140	2019-04-17 18:50:46	Twitter for iPhone	0	1018
RT @CesarCantuQ: Por si andan de desvelados en estos días vacacionales y tienen la suerte de estar en algún lugar libre de contaminación lu…	1118575394410717184	140	2019-04-17 18:02:10	Twitter for iPhone	0	80
RT @el_pais: Si Puigdemont es elegido eurodiputado en las próximas elecciones europeas, está obligado a prometer la Constitución en España.…	1118575032215769088	140	2019-04-17 18:00:44	Twitter for iPhone	0	28
‘Ni fronteras, ni banderas ni guerras, pero se libra la batalla más compleja de nuestra era.” Precioso texto de Nuñ… https://t.co/LGbnmJn7RY	1118573276668801024	140	2019-04-17 17:53:45	Twitter for iPhone	3	5
#Time100 sobre Guaidó:  https://t.co/UtVd1i3209	1118572779580862464	47	2019-04-17 17:51:47	Twitter for iPhone	2	0
"RT @SalvadorZA: Se realiza filmación con escenas violentas en #Polanco. Informan que todo es utileria.

Vía @israellorenzana https://t.co/X…"	1118567343737704449	140	2019-04-17 17:30:11	Twitter Web Client	0	22
"RT @fedroguillen: En la vida no hay premios ni castigos, sino consecuencias.

Robert Green Ingersoll"	1118567158353727493	100	2019-04-17 17:29:27	Twitter Web Client	0	6
RT @amadonegro: “Estoy muriendo por encima de mis posibilidades”. Oscar Wilde	1118544771247693824	77	2019-04-17 16:00:29	Twitter for iPhone	0	12
ALAN GARCÍA HA MUERTO. Confirman fuentes a Associated Press: https://t.co/I9st9MbLjX	1118543358098644992	84	2019-04-17 15:54:52	Twitter Web Client	7	5
"RT @ElyangelicaNews: #AHORA Médico del hospital Casimiro Ulloa sobre estado de salud de Alan García ""no es cierto que ha muerto, lo siguen…"	1118514171174428672	139	2019-04-17 13:58:54	Twitter for iPhone	0	440
RT @EdgarMunozS: Se suspende por ahora la orden de deportación a Laura Maradiaga de 11 años y un juez decide reabrir su caso que parecía ab…	1118386824777433088	140	2019-04-17 05:32:52	Twitter for iPhone	0	4
RT @nytimes: In a miracle of timing, the sculptures of the Twelve Apostles and 4 New Testament evangelists that were on Notre-Dame's spire…	1118383970301956097	139	2019-04-17 05:21:31	Twitter for iPhone	0	476
RT @liber_ray: A 14th-cent manuscript copy of Les Grandes chroniques de France shows Louis IX receiving the Crown of Thorns and other relic…	1118373936327200772	140	2019-04-17 04:41:39	Twitter for iPhone	0	250
RT @GaryLineker: The incomparable Messi gives @FCBarcelona the lead. The nutmeg alone was exquisite, the finish sublime. Nobody else can do…	1118372190712487936	140	2019-04-17 04:34:43	Twitter for iPhone	0	7817
Que suerte presenciar la última -temporal- noche de #3DiasEnMayo. https://t.co/aEZRDZdSYO	1118363459698270213	89	2019-04-17 04:00:01	Twitter for iPhone	50	7
"RT @jguaido: Le mintieron a Venezuela y el mundo, negaron la emergencia y le negaron la ayuda a un pueblo que pide comida y medicinas.

Per…"	1118322083216470016	140	2019-04-17 01:15:36	Twitter for iPhone	0	10395
RT @FastCompany: In a major reversal, Netflix is about to reveal how many people watch its most popular shows https://t.co/8A6NVG1mLr	1118321526539993090	133	2019-04-17 01:13:23	Twitter for iPhone	0	11
RT @CNDH: #OmbudspersonNacional demandó propiciar el derecho a la consulta #Indígena frente a proyectos o construcciones, presas, carretera…	1118316725081079808	140	2019-04-17 00:54:19	Twitter for iPhone	0	11
"RT @thehill: Rep. @AOC: ""I think 'Abolish ICE' is a call to action on several levels. One is the literal interpretation of all abolishing I…"	1118316184645120002	140	2019-04-17 00:52:10	Twitter for iPhone	0	140
RT @juanmartinmx: @lydiacachosi #GraciasLydiaCacho por tu compromiso y resistencia ante el poder impune, sabes qué no estás sola. Somos mil…	1118307821672701953	140	2019-04-17 00:18:56	Twitter for iPhone	0	9
RT @dvalades: La derogación de preceptos constitucionales sólo la puede hacer el poder revisor de la Constitución, y la derogación de las l…	1118301299257352192	140	2019-04-16 23:53:01	Twitter for iPhone	0	1520
RT @jguaido: Nos comprometimos con que #SíOSí la #AyudaHumanitaria entraría a nuestro país. Hoy el régimen se ve obligado a reconocer su fr…	1118301055534682112	140	2019-04-16 23:52:03	Twitter for iPhone	0	11410
