Tweets	id	len	date	source	likes	rt
"Reabren casa de exilio de Víctor Hugo #ParisFire
https://t.co/M98tve4Emc https://t.co/cQUhr1xdGN"	1118700676060798976	96	2019-04-18 02:20:00	TweetDeck	2	2
En la sección 'Venecia Clásicos' de la #66Muestra, la @CinetecaMexico exhibe 'Ven y mira' (Elem Klímov, 1985), uno… https://t.co/X10gyjCpxb	1118700395868622848	139	2019-04-18 02:18:53	TweetDeck	3	2
Detenidos por su presunta responsabilidad en la muerte del reportero deportivo Omar Ivan Camacho Mascareño, cuyo cu… https://t.co/6VS6wfM6jh	1118698153249792000	140	2019-04-18 02:09:58	Twitter Web Client	6	5
Dijo que tres hombres se colocaron muy cerca de ella, uno la sujetó de los brazos y otro la hirió en la mano con un… https://t.co/HC62bOutZP	1118693312012128257	140	2019-04-18 01:50:44	Twitter Web Client	13	31
Pide México a @CIDH que expertos del @GIEIAYOTZINAPA se reintegren al caso #Iguala #Ayotzinapa… https://t.co/HDnW4aqtb7	1118690609672355840	119	2019-04-18 01:40:00	TweetDeck	10	11
El régimen de #Trump anunció otra ofensiva contra #Cuba entre medidas extraterritoriales para frenar la inversión i… https://t.co/0bpnxVG1Pw	1118687581380718593	140	2019-04-18 01:27:58	Twitter Web Client	12	14
Emotivo discurso de #GretaThunberg en el #ParlamentoEuropeo  / #VideosLaJornada https://t.co/v5BwUpoTyX	1118685576364904448	103	2019-04-18 01:20:00	TweetDeck	73	53
Las autoridades mexiquenses se hacen cargo de la investigación, luego de que el cadáver del exmilitar del Estado Ma… https://t.co/NzjycSZsOw	1118681994093899778	140	2019-04-18 01:05:46	Twitter Web Client	42	44
"Cerrará @SOBSECDMX carriles del Circuito Interior para reparaciones
https://t.co/QwBsWj004v https://t.co/GQEcj6LgbF"	1118679285412368384	115	2019-04-18 00:55:00	TweetDeck	4	4
Con dos goles del surcoreano Heung-Min Son a los 7 y 10 minutos, y uno más del español Fernando Llorente al 73´, fu… https://t.co/Idfteye5PF	1118675104072962049	140	2019-04-18 00:38:23	Twitter Web Client	8	1
“Los dragones” fueron ampliamente superiores al club inglés durante los primeros 20 minutos del encuentro, pero fue… https://t.co/9cjta3i2i3	1118672324520230912	140	2019-04-18 00:27:20	Twitter Web Client	3	0
El jefe de la policía comentó que la SSC participa en una mesa conjunta con funcionarios de  la secretaría de la Mo… https://t.co/WlYDNqlvcw	1118668795533565952	140	2019-04-18 00:13:19	Twitter Web Client	3	3
"#Opinión de @Jarandaluna | La novela que salvó a Notre Dame

""Víctor Hugo pretendía inspirar en #Francia el amor po… https://t.co/xyY8byegy4"	1118665445324668928	140	2019-04-18 00:00:00	TweetDeck	14	6
Dicha medida opera aunque continúe la contingencia ambiental declarada ayer por la Came, por altas concentraciones… https://t.co/UewmCevE0z	1118662064103403520	139	2019-04-17 23:46:34	Twitter Web Client	2	5
"""El crecimiento económico y sus benéficos efectos sobre el bienestar de la población se mantienen como una costosís… https://t.co/z9ril7rvk3"	1118659152350302208	140	2019-04-17 23:35:00	TweetDeck	4	5
El diputado Enrique Ochoa Reza alerta que la caída en la producción de gas para el mercado nacional, por parte de… https://t.co/pP8rZHk63F	1118651602728972290	138	2019-04-17 23:05:00	TweetDeck	2	4
Christina Koch permanecerá 11 meses en la Estación Espacial Internacional, con lo que batirá el récord de permanenc… https://t.co/YDbpqVXvrb	1118649086360608773	140	2019-04-17 22:55:00	TweetDeck	44	14
Tras lamentar el ataque a balazos en el restaurante Los Estanques de Cuautla, @cuauhtemocb10 garantizó la seguridad… https://t.co/skx9PCcWIr	1118646569186672640	140	2019-04-17 22:45:00	TweetDeck	11	4
La #Rayuela de #LaJornada #4T https://t.co/l4sC5V5mzV	1118645226745233408	53	2019-04-17 22:39:40	Twitter Web Client	9	6
