Tweets	id	len	date	source	likes	rt
@AlejandroSanz Gracias amigo querido @AlejandroSanz Un abrazo lleno de cariño.	1118690237411016704	78	2019-04-18 01:38:31	Twitter for iPad	29	2
Investigar es importante: Nassar Daw se deslinda de la defensa de Mario Marín - https://t.co/wU7EWcr8Az	1118675208565510146	103	2019-04-18 00:38:48	Twitter for iPad	66	29
https://t.co/HRkSjAqEkQ	1118272095341826048	23	2019-04-16 21:56:58	Twitter for iPad	447	231
Mexican journalist Lydia Cacho: 'I don't scare easily' https://t.co/6oabRK3sMT And still not scared but stronger than ever.	1118254788800466944	123	2019-04-16 20:48:12	Twitter for iPad	1754	632
My name is Lydia Cacho.I am a journalist &amp; Human Rights defender I will never quit until Justice is served.This is… https://t.co/wC53WAcUpf	1118254260674674688	143	2019-04-16 20:46:06	Twitter for iPad	789	363
Mi nombre es Lydia Cacho, soy periodista, defensora de los Derechos Humanos y no me voy a rendir hasta que se haga… https://t.co/XwljckgJOK	1118250628646445056	139	2019-04-16 20:31:40	Twitter for iPad	15212	8577
@Viriloz El mejor resumen, corto, claro y realista que he leído en mucho tiempo.	1117831170203369472	80	2019-04-15 16:44:53	Twitter for iPad	72	18
"RT @Viriloz: Los días de Mario Marín y los torturadores de @lydiacachosi están por terminar #Justicia 

https://t.co/9nq7BY67pv"	1117831053123567620	127	2019-04-15 16:44:26	Twitter for iPad	0	293
RT @Mare_Terra: Gracias a vosotros por aportar ese puntito de luz que traéis de serie. Los premiados de este año ya veréis que son un autén…	1117829460034609152	140	2019-04-15 16:38:06	Twitter for iPad	0	8
Escritoras de renombre encumbraron jornada inicial del Festival de Libros https://t.co/F8xn7nOvk9	1117641769368186880	97	2019-04-15 04:12:17	Twitter for iPad	91	32
Video 👉🏼Las llamadas telefónicas en que la juez se vende con la mafia mexicana de pederastas y políticos. Cómo mani… https://t.co/37ADYzHJFS	1117639958892650496	140	2019-04-15 04:05:05	Twitter for iPad	908	802
Gracias querido @juanmartinmx años de trabajo contra el abuso a la niñez mexicana, los mismos dedicados también a s… https://t.co/AWZEB1KnEa	1117339618477666310	140	2019-04-14 08:11:38	Twitter for iPad	185	57
RT @contralinea: México tiene cifras de muertes violentas de un país en guerra: Bachelet https://t.co/dL86PNu0e5 https://t.co/ucbprDCiKF	1117337724023787522	136	2019-04-14 08:04:07	Twitter for iPad	0	63
Estoy hablando del segundo policía detenido, que se amparó y no logró salir de prisión porque la tortura es un deli… https://t.co/NFMTYo00ab	1117330871114055681	140	2019-04-14 07:36:53	Twitter for iPad	338	87
RT @Miguel__Lorente: El problema del machismo es que no es capaz de diferenciar “hombre” de “maltratador”, lo cual indica que para el machi…	1117270003022057473	140	2019-04-14 03:35:01	Twitter for iPad	0	391
@_anapastor_ Me sumo a la felicitación querida @_anapastor_	1117269926199218176	59	2019-04-14 03:34:42	Twitter for iPad	4	0
@anonopshispano Ya veremos	1117265879572463616	26	2019-04-14 03:18:38	Twitter for iPad	242	41
Sí, son 14 años de persecusión, de abogadas y abogados, de pelear con el Sistema https://t.co/JMI8SlewFa salir corr… https://t.co/8bJsR1gLtz	1117263688463831040	140	2019-04-14 03:09:55	Twitter for iPad	2251	870
RT @RedPaPaz: Reporte en https://t.co/0EMzVBhhR2 o en el App #TeProtejo casos de #Ciberacoso u otros contenidos que pongan en riesgo a meno…	1117172253001601024	140	2019-04-13 21:06:35	Twitter for iPad	0	35
RT @ElLibreroDeAL: El Búfalo de la Noche de Guillermo Arriaga. Historia de un triángulo pasional al borde de la locura, la destrucción, los…	1117172022612611072	140	2019-04-13 21:05:40	Twitter for iPad	0	8
"RT @hoylosangeles: ⚠️¡HOY! #Gratis ⚠️ 
📚Ven al #FestivalDeLibros de Los Angeles Times en Español en la Universidad del Sur de California 
📚…"	1117170020545482752	140	2019-04-13 20:57:43	Twitter for iPad	0	9
@GerardoRuizInc @MMTPUE Mentira	1117140288227557376	31	2019-04-13 18:59:34	Twitter for iPad	22	5
@miapelaez @jlieberman1 @DePacotilla Es en mi libro “Esclavas del poder”, ella tuvo gran fuerza en impulsar la escl… https://t.co/OviUzqEHpr	1117126945559302145	140	2019-04-13 18:06:33	Twitter for iPad	3	2
Gracias mi querido @GaelGarciaB me debes un abrazo. https://t.co/dSVXJ7EAee	1117126499973210113	75	2019-04-13 18:04:47	Twitter for iPad	82	6
RT @ValeriaLuiselli: Sometimes there's good news! https://t.co/Yp3SEtKOq5	1117124356218343424	73	2019-04-13 17:56:16	Twitter for iPad	0	14
RT @jorgeramosnews: Creo que los periodistas debemos ser contrapoder. Y siempre he tratado de hacerle preguntas duras a presidentes y expre…	1117124305446244352	140	2019-04-13 17:56:04	Twitter for iPad	0	4714
De acuerdo querida @heraclesmigato #LlegóLaHora https://t.co/MHpm0CEVUq	1117124073702617088	71	2019-04-13 17:55:08	Twitter for iPad	7	0
MeToo: lo que nos toca hacer a los hombres | Internacional | EL PAÍS https://t.co/bdJ93RRt1p  👇🏽👇🏽👇🏽👇🏽👇🏽👇🏽✍🏼👀 #MeTooEscritoresMexicanos	1117123781254713344	135	2019-04-13 17:53:59	Twitter for iPad	55	19
@lewisrimart Gracias querido Lewis! Un abrazo de vuelta	1117119339449049088	55	2019-04-13 17:36:20	Twitter for iPad	1	0
"A empezar mi nuevo año! 
Mirando a lo posible
Recordando con agradecimiento a quienes abrieron el camino para las m… https://t.co/TYT49SiLah"	1117098914509754368	140	2019-04-13 16:15:10	Instagram	313	43
@javiervg27 @marianagc @jorgeramosnews Es un buen video que documenta un momento y ¿ En qué momento ha creído usted… https://t.co/D3vmf4dSab	1117087274372517888	140	2019-04-13 15:28:55	Twitter for iPad	3	0
@tonchititito @pilargomezmx Non stop le #EllosHablan antes de enojarte y discutir conmigo.	1117086372852977664	90	2019-04-13 15:25:20	Twitter for iPad	15	1
@AntonioOrtugno @andres_ramirez0 Gracias queridos! Abrazos hasta Alemania.	1117086129226862592	74	2019-04-13 15:24:22	Twitter for iPad	2	0
@betotavira Gracias @betotavira  🤣🤣🤣 AFA	1116970684079411201	40	2019-04-13 07:45:38	Twitter for iPad	1	0
@bufy_hap Gracias Haide	1116970434547732481	23	2019-04-13 07:44:38	Twitter for iPad	3	1
@f_solorzano Graciasquerida @f_solorzano Besos	1116970172005277697	46	2019-04-13 07:43:35	Twitter for iPad	3	0
@genarolozano Gracias! Saludos	1116969721868406784	30	2019-04-13 07:41:48	Twitter for iPad	7	1
@PabloReinah Gracias Pablo	1116969631732736000	26	2019-04-13 07:41:27	Twitter for iPad	1	0
@andres_ramirez0 Gracias Andrés. Esa foto me la guardo para siempre	1116969151308783616	67	2019-04-13 07:39:32	Twitter for iPad	1	0
@DiegoEOsorno Gracias querido! Abrazos	1116968977677242368	38	2019-04-13 07:38:51	Twitter for iPad	3	0
@mafermunguia Gracias!	1116968882621706240	22	2019-04-13 07:38:28	Twitter for iPad	3	0
"RT @mafermunguia: Feliz cumpleaños a una mujer admirable, feroz, imparable y además, con un estilazo.
Soy muy fan de @lydiacachosi 
👇🏼 http…"	1116968750001995776	140	2019-04-13 07:37:56	Twitter for iPad	0	40
@a_legorreta Gracias querido Alex.	1116968652480208896	34	2019-04-13 07:37:33	Twitter for iPad	1	0
@juanmartinmx @katedelcastillo @tiare_scanda @warkentin @jrisco Gracias querido @juanmartinmx siempre cerca y solidario	1116968398938755072	119	2019-04-13 07:36:33	Twitter for iPad	1	0
RT @juanmartinmx: @lydiacachosi feliz cumpleaños!! Celebremos la vida en medio de tanta muerte y dolor, celebremos la amistad entre el odio…	1116968220668219393	140	2019-04-13 07:35:50	Twitter for iPad	0	3
@Pancho_Cordova Nunca es tarde para desear felicidad! Gracias	1116968171842473985	61	2019-04-13 07:35:39	Twitter for iPad	1	0
@danielabr3 Gracias por leerlo y comentar	1116967966434660353	41	2019-04-13 07:34:50	Twitter for iPad	1	0
RT @danielabr3: @lydiacachosi Gracias por este libro. https://t.co/8ArJEbuwr2	1116967911942447104	77	2019-04-13 07:34:37	Twitter for iPad	0	2
@skinnyofgold Gracias @skinnyofgold  Saludos	1116760560857600000	44	2019-04-12 17:50:40	Twitter for iPad	3	0
@Cactmood Gracias Esmeralda! Abrazos	1116760348831305728	36	2019-04-12 17:49:50	Twitter for iPad	1	0
@JessAyala17 Gracias @JessAyala17 Un abrazo para ti.	1116760236977573890	52	2019-04-12 17:49:23	Twitter for iPad	3	0
Gracias querida @pilargomezmx  Estaab buscando respuestas efectivas y constructivas ante el #MeToo https://t.co/SxWGl2fMYU	1116760118635319297	122	2019-04-12 17:48:55	Twitter for iPad	28	6
@lunamaya_chable Gracias amiga querida. Un abrazo enorme para ti	1116759726396542976	64	2019-04-12 17:47:21	Twitter for iPad	1	0
RT @marthasosa: Hoy es cumpleaños de una mujer querida y muy valiente.   Aquí una muestra de su contribución para transformar la violencia…	1116759638651707392	139	2019-04-12 17:47:00	Twitter for iPad	0	8
@marthasosa Mil gracias mi querida @marthasosa 🥰	1116759595752382464	48	2019-04-12 17:46:50	Twitter for iPad	4	0
@IvonneCrdenas1 Gracias Ivonne	1116742742044921856	30	2019-04-12 16:39:52	Twitter for iPad	1	0
@marisol_mg Gracias Marisol	1116742687074312192	27	2019-04-12 16:39:39	Twitter for iPad	1	0
Gracias mi querida Gaby, celebraremos pues. https://t.co/X5ec3ysb5D	1116742593340006400	67	2019-04-12 16:39:16	Twitter for iPad	381	26
@betotavira @adn40 @cunadegrillos Feliz aniversario por @cunadegrillos querido @betotavira gran esfuerzo periodístico!	1116739804387889155	118	2019-04-12 16:28:12	Twitter for iPad	3	1
Gracias! Aquí celebrando con la presentación de #EllosHablan en Los Ángeles https://t.co/Nl3dGuaF9y	1116739420932038656	99	2019-04-12 16:26:40	Twitter for iPad	41	4
RT @miapelaez: Acabo de comprar el último libro de lydia cacho #Elloshablan y estoy feliz. Mi lectura de semana santa junto a orgullo y pre…	1116739090131505152	140	2019-04-12 16:25:21	Twitter for iPad	0	3
@Bolavsky Gracias mi querido Juan Carlos! Abrazos para ti	1116739053456515072	57	2019-04-12 16:25:13	Twitter for iPad	2	0
Gracias querido! Aquí celebrando un año más. Abrazos https://t.co/Z4EDdkLbZD	1116738813051564032	76	2019-04-12 16:24:15	Twitter for iPad	26	3
RT @lagunes28: No se lo pierdan un espacio para  avanzar #MeTooMx https://t.co/72Yf7V1u4R	1116549817042292738	89	2019-04-12 03:53:15	Twitter for iPad	0	9
#EllosHablan es un libro sobre hombres latinoamericanos. No solamente mexicanos. De hecho también lo hay de España,… https://t.co/mDPyqQbmq1	1116548281813757953	140	2019-04-12 03:47:09	Twitter for iPad	101	31
