Tweets	id	len	date	source	likes	rt
Javier López “Chabelo”, tuvo que ser sometido a una cirugía de emergencia https://t.co/TeYpPn6Df1	1118633686159720449	97	2019-04-17 21:53:48	TweetDeck	32	10
".@jorgeramosnews a @lopezobrador_ ""(...) tarde o temprano se dará cuenta de que solo una persona no puede salvar a… https://t.co/Hy91YtJvkE"	1118627088540536833	139	2019-04-17 21:27:35	TweetDeck	98	33
Ya se puede consultar cuánto ganan los servidores públicos en México https://t.co/yfHszzOLEn	1118623001493348352	92	2019-04-17 21:11:21	TweetDeck	16	8
Así llegó Will Smith a Morelos y se robó las miradas [VIDEOS] https://t.co/sqKkrr2dJV	1118616884956618753	85	2019-04-17 20:47:02	TweetDeck	20	6
¡ATENCIÓN! Desde las 1800 horas, todos los coches podrán circular en el Valle de México  https://t.co/gSYOUc4UFU	1118576632095178752	112	2019-04-17 18:07:05	TweetDeck	6	3
Alan García, expresidente de Perú se suicida por caso #Odebrecht. Conoce todos los detalles https://t.co/QWtIBhpj3V	1118574028107677696	115	2019-04-17 17:56:45	TweetDeck	9	4
#WhatsApp le dice 'adiós' a las capturas de pantalla de tus chats https://t.co/bBMoCjmS87	1118571025220997121	89	2019-04-17 17:44:49	TweetDeck	3	0
Ordenan captura del ex gobernador de Puebla, Mario Marin y del empresario de textiles, Kamel Nacif por el agravio a… https://t.co/xqfizfHN9g	1118569010671570945	140	2019-04-17 17:36:48	Twitter for iPhone	83	9
"ASÍ DI LA NOTICIA de la muerte de Gabriel García Márquez ... 
17 de abril 2014. 
Era un Jueves Santo. 
FernandaF https://t.co/KxY23gdHnc"	1118562870554517504	136	2019-04-17 17:12:24	Twitter for iPhone	16	4
Hermano de Javier Duarte se ampara para no ser detenido https://t.co/lHgJWYDF0G	1118558430808170496	79	2019-04-17 16:54:46	TweetDeck	6	3
"Excelente explicación sobre el incendio de la catedral de Notre Dame.
¡Vean hilo completo!
FernandaF https://t.co/HaVlx7QVoh"	1118557711686406144	124	2019-04-17 16:51:54	Twitter for iPhone	73	30
"Murió Alan García ... se dió un tiro al ser detenido por el caso Odebrecht.
FernandaF https://t.co/9t4f9pl6kZ"	1118557428520452096	109	2019-04-17 16:50:47	Twitter for iPhone	6	1
@YalitzaAparicio entre los 100 líderes más influyentes de la revista @TIME. La destacan como una mujer que desafía… https://t.co/qlDdOSeRNE	1118556104982781953	139	2019-04-17 16:45:31	TweetDeck	2	1
@CSaizar Mariposas Amarilla siempre entre nosotros. Te abrazo.	1118556045570392065	62	2019-04-17 16:45:17	Twitter for iPhone	3	1
Los mexicanos dentro de la lista de las 100 personas más influyentes de Time https://t.co/FDMskKCdP4	1118554037841010688	100	2019-04-17 16:37:19	TweetDeck	9	0
"17 de abril 2014
Gabriel García Márquez 
Un día donde todas las mariposas amarillas se fueron al cielo... un día qu… https://t.co/zwEnpGOV43"	1118548341820985344	140	2019-04-17 16:14:40	Twitter for iPhone	196	16
"IMAGEN 3D 
Desliza tu dedo sobre la foto para moverla. 
Notre Dame un día después del incendio.
https://t.co/A6vOA9VHxd 
#NotreDame"	1118547086822268931	131	2019-04-17 16:09:41	Twitter for iPhone	9	4
RT @Imagen_Mx: 🎙🇫️🇫️ ¡Qué tal Fernanda! Escucha a @qtf #ALAIRE por Imagen Radio y en línea: https://t.co/KHEYfaXFDJ #MásGrandeQueNunca http…	1118545973326884866	140	2019-04-17 16:05:16	TweetDeck	0	1
Se suicida el expresidente peruano Alan García https://t.co/yQcBcEJUcn	1118541607173853186	70	2019-04-17 15:47:55	TweetDeck	15	7
#ÚLTIMAHORA | El expresidente peruano Alan García muere tras pegarse un tiro cuando iba a ser detenido al ser inves… https://t.co/dt5oRaOhlC	1118540702923857926	140	2019-04-17 15:44:19	TweetDeck	18	5
