Tweets	id	len	date	source	likes	rt
RT @ProcesoCultura: Lo de #NotreDame: descuido por priorizar al turismo. Columna #Patrimonio #MásquePiedras de #JudithAmadorTello. https://…	1118701439356997635	140	2019-04-18 02:23:02	Twitter for iPhone	0	1
Argentina congela precios de 60 productos básicos y tarifas de transporte, luz y gas https://t.co/NRz6p16let	1118700687779618816	108	2019-04-18 02:20:03	Hootsuite Inc.	6	0
RT @SomosProceso: Así es como se veían los periódicos el día de la ejecución de #EmilianoZapata, encuentra más datos e imágenes en la edici…	1118691994224799750	140	2019-04-18 01:45:30	Twitter Web Client	0	14
Extinguen fuego en el Bosque La Primavera https://t.co/HRX3K08t0m	1118691693799378944	65	2019-04-18 01:44:18	Hootsuite Inc.	22	6
Padres de los 43 normalistas acusan que “no hay avances” en la Segob sobre búsqueda https://t.co/zyTGUVAhHD	1118687613869805568	107	2019-04-18 01:28:06	Hootsuite Inc.	72	47
Matan a exsecretario del jefe del Estado Mayor Presidencial en Condado de Sayavedra https://t.co/l4bxzrlCqp	1118685600373252096	107	2019-04-18 01:20:05	Hootsuite Inc.	21	33
#ReportajeEspecial En el limbo, la denuncia contra el general León Trauwitz/ Por Patricia Dávila https://t.co/QgIEB229ms	1118685592575983616	120	2019-04-18 01:20:04	Hootsuite Inc.	8	4
Cae tamaulipeco en Texas con 1.4 millones de dólares en metanfetaminas https://t.co/KNjj56s9Wv	1118683071375659011	94	2019-04-18 01:10:02	Hootsuite Inc.	16	5
#MemoriaPública El fantasma del fraude en el PRI/ Por @GilOlmos https://t.co/ynntQBixqb	1118680595708694528	87	2019-04-18 01:00:12	Hootsuite Inc.	22	10
Sindicalizados denuncian cerrazón de las autoridades de la UAM… a 75 días de huelga https://t.co/BmVbNOTq14	1118679307499577345	107	2019-04-18 00:55:05	Hootsuite Inc.	16	11
TEPJF exonera a @lopezobrador_ y a @TorrucoTurismo  por spot con logo de Morena https://t.co/bbzDcX9UJi	1118676789616939008	103	2019-04-18 00:45:05	Hootsuite Inc.	24	7
