id	text	len	date	source	likes	rt
1118942167752413184	Irán presume de sus cazas de producción propia en el desfile del Día del Ejército 🎥 ↓ https://t.co/i1hwPF4AvD	109	2019-04-18 18:19:36	TweetDeck	13	9
1118939919752343553	Un estudio sugiere quiénes fueron los ancestros de los constructores del Stonehenge https://t.co/wFzj2rUwBm	107	2019-04-18 18:10:40	TweetDeck	24	15
1118937738521251840	El entrenador de un equipo aficionado de polo acuático comienza una pelea colectiva en una piscina de Moscú al salt… https://t.co/3E3dBvkiTg	140	2019-04-18 18:02:00	Twitter Media Studio	45	23
1118935842616221696	Informe revela cómo reaccionó Trump en 2017 cuando se enteró del nombramiento de Mueller https://t.co/wi3N1zsmog	112	2019-04-18 17:54:28	TweetDeck	11	12
1118933964301975552	La limitación del turismo en unas islas españolas levanta críticas de navieros y hoteleros https://t.co/PXuhJie042	114	2019-04-18 17:47:00	TweetDeck	13	11
1118932453824004096	"¿Cuáles son las raíces del conflicto en la Franja de Gaza?

Para entender las razones por las que cientos de person… https://t.co/hXkxj7M21T"	140	2019-04-18 17:41:00	Twitter Media Studio	133	106
1118930691549384705	¿Dónde se originan los agujeros negros y qué pasaría si una persona cayera dentro? https://t.co/gYK5BkcSWC	106	2019-04-18 17:34:00	TweetDeck	51	35
1118930616530153473	"- ""Después de las secuelas y la destrucción por el incendio de Notre Dame, el altar y la cruz permanecieron intacto… https://t.co/9kwqehMEY1"	140	2019-04-18 17:33:42	TweetDeck	66	25
1118928678170185728	La cruz y el altar de la catedral de Notre Dame desatan una 'batalla' religiosa en la red https://t.co/BOXM6raA4Z	113	2019-04-18 17:26:00	TweetDeck	53	33
1118926916709281792	¡Un experto cocinero! Este anciano indio de 62 años tiene más vistas en YouTube que la población del estado donde v… https://t.co/HQb7aHxXtK	140	2019-04-18 17:19:00	Twitter Media Studio	619	321
1118926308984217602	La causa más probable del incendio en Notre Dame, según la Policía francesa https://t.co/etD5P5ymy0 https://t.co/ZcknPea64Z	123	2019-04-18 17:16:35	TweetDeck	21	25
1118924720290902023	El principal foro de la industria de Internet en Rusia reúne a los 'gurús' tecnológicos del país https://t.co/ARfS94Pmt6	120	2019-04-18 17:10:16	TweetDeck	15	15
1118922576527593472	Los Niños Gritones, las voces de la fortuna entre los mexicanos 🎥 ↓ https://t.co/dZ5P1m0crM	91	2019-04-18 17:01:45	TweetDeck	22	8
