id	text	len	date	source	likes	rt
1118932257526484993	"¿Cuál es tu serie cómica favorita?
HOY jueves 18 de abril a las 6:45 pm te esperamos en MILENIO Televisión… https://t.co/uRtcPksojK"	131	2019-04-18 17:40:13	Hootsuite Inc.	1	0
1118843750531457025	“Game of Thrones” y la producción https://t.co/Ic5X0FmPkX  Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/gKf8ny1JMi	140	2019-04-18 11:48:31	Twitter for iPhone	7	0
1118705728288624640	"¿Cuál es tu serie juvenil favorita?
MAÑANA jueves 18 de abril a las 6:45 pm te esperamos en MILENIO Televisión… https://t.co/Yfh8fbDk6e"	135	2019-04-18 02:40:04	Hootsuite Inc.	7	1
1118692611072589824	https://t.co/PSWk9DTi1t Póngase a pensar en la reacción de los ejecutivos de HBO, que venían de hacer Rome y Sex an… https://t.co/mtl6x32Pf9	140	2019-04-18 01:47:57	Buffer	25	2
1118615159046586368	"¿Cuál es tu serie favorita de Netflix?
MAÑANA jueves 18 de abril a las 6:45 pm te esperamos en MILENIO Televisión… https://t.co/3OZfPh2RHg"	138	2019-04-17 20:40:11	Hootsuite Inc.	2	0
1118603442384244736	https://t.co/PSWk9DTi1t Quiero que se imagine usted, por favor, la cara de los ejecutivos de HBO cuando llegaron lo… https://t.co/FouBoEzVvJ	140	2019-04-17 19:53:37	Hootsuite Inc.	28	2
1118569895829045248	https://t.co/PSWk9DTi1t Hay muchas cosas que me fascinan de Game Of Thrones y quiero aprovechar estos días, en que… https://t.co/2jtpHkKaAH	139	2019-04-17 17:40:19	Buffer	17	1
1118559925804969985	"¡""Game of Thrones"" y su dinero! https://t.co/c7qZoVMpYu @GameOfThrones @HBO @HBOLAT #GameofThrones #Bran #Daenerys… https://t.co/hzLH1uCdB2"	139	2019-04-17 17:00:42	Hootsuite Inc.	2	1
1118544858757652490	"""Game of Thrones"" y su dinero! https://t.co/c7qZoVMpYu @GameOfThrones @HBO @HBOLAT #GameofThrones #Bran #Daenerys… https://t.co/4TU55TBm53"	138	2019-04-17 16:00:50	Hootsuite Inc.	3	0
1118529734311329792	"¡""Game of Thrones"" y su dinero https://t.co/c7qZoVMpYu @GameOfThrones @HBO @HBOLAT #GameofThrones #Bran #Daenerys… https://t.co/E5wZlKUINr"	138	2019-04-17 15:00:44	Hootsuite Inc.	2	1
1118514595994509312	"""Game of Thrones"" y su dinero https://t.co/c7qZoVMpYu @GameOfThrones @HBO @HBOLAT #GameofThrones #Bran #Daenerys… https://t.co/wlL0rsqeZA"	137	2019-04-17 14:00:35	Hootsuite Inc.	8	2
1118499505316429824	"¡""Game of Thrones"" y el dinero! https://t.co/c7qZoVMpYu @GameOfThrones @HBO @HBOLAT #GameofThrones #Bran #Daenerys… https://t.co/8IfkSIHIh8"	139	2019-04-17 13:00:37	Hootsuite Inc.	3	0
1118494380715913217	"¿Cuál es tu serie de Amazon Prime favorita?
MAÑANA jueves 18 de abril a las 6:45 pm te esperamos en MILENIO Televis… https://t.co/8p5P3KV0kL"	140	2019-04-17 12:40:15	Hootsuite Inc.	0	0
1118484361547059207	"""Game of Thrones"" y el dinero! https://t.co/c7qZoVMpYu @GameOfThrones @HBO @HBOLAT #GameofThrones #Bran #Daenerys… https://t.co/198kkpt3kO"	138	2019-04-17 12:00:26	Hootsuite Inc.	3	1
1118469230284943360	"¡""Game of Thrones"" y el dinero https://t.co/c7qZoVMpYu @GameOfThrones @HBO @HBOLAT #GameofThrones #Bran #Daenerys… https://t.co/TFTF7cQ5hN"	138	2019-04-17 11:00:19	Hootsuite Inc.	2	1
1118454109399601152	"""Game of Thrones"" y el dinero https://t.co/c7qZoVMpYu @GameOfThrones @HBO @HBOLAT #GameofThrones #Bran #Daenerys… https://t.co/UhkJoFNbjV"	137	2019-04-17 10:00:14	Hootsuite Inc.	2	0
1118439983403163648	Ya salió mi nueva #crítica: https://t.co/EVSvTKAnnU @tdn_twit @PonteFitTDN @diegodimarcos @Milenio #surtidorico… https://t.co/7WtRVNqjag	136	2019-04-17 09:04:06	Twitter Web Client	2	1
1118439629907288064	"RT @mileniotv: ▶ #MilenioAlMomento 

¡Al diablo con los que se alegran con el incendio de #NotreDame! ¡Dense cuenta de la magnitud de la tr…"	140	2019-04-17 09:02:42	Twitter Web Client	0	53
1118358438159974405	"¿Cuál es tu serie de los 90s favorita?
Este jueves 18 de abril a las 6:45 pm te esperamos en MILENIO Televisión… https://t.co/4h9A6peZJH"	136	2019-04-17 03:40:04	Hootsuite Inc.	3	0
1118298048516505600	"¿Cuál es tu serie de ciencia ficción favorita?
Este jueves 18 de abril a las 6:45 pm te esperamos en MILENIO Televi… https://t.co/pzI8yCovJo"	140	2019-04-16 23:40:06	Hootsuite Inc.	2	1
1118268151496679425	https://t.co/UhbL9rCNLb Qué vergüenza que mientras muchos de nuestros productores piensan que somos entidades pasiv… https://t.co/iHqxVPvZQB	140	2019-04-16 21:41:18	Hootsuite Inc.	14	3
1118197523884199944	"¡""Game of Thrones"" y su público! https://t.co/Qott3mxzZi @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/u1lVqQVKbw"	139	2019-04-16 17:00:39	Hootsuite Inc.	2	0
1118192398239182848	"¿Cómo está transformando el #MeToo a las nuevas generaciones?
Este jueves 18 de abril a las 6:45 pm te esperamos en… https://t.co/znO5nGuPIS"	140	2019-04-16 16:40:17	Hootsuite Inc.	2	0
1118182453145894913	"""Game of Thrones"" y su público! https://t.co/Qott3mxzZi @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/WkXxdfgtKy"	138	2019-04-16 16:00:46	Hootsuite Inc.	4	0
1118167315617591297	"¡""Game of Thrones"" y su público https://t.co/Qott3mxzZi @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/f6erKVbkLd"	138	2019-04-16 15:00:37	Hootsuite Inc.	4	1
1118152203900981249	"""Game of Thrones"" y su público https://t.co/Qott3mxzZi @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/06tQr5OlaW"	137	2019-04-16 14:00:34	Hootsuite Inc.	4	1
1118137081392398336	"¡""Game of Thrones"" y el público! https://t.co/Qott3mxzZi @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/XhMVq2bmpW"	139	2019-04-16 13:00:28	Hootsuite Inc.	5	0
1118121946649178112	"""Game of Thrones"" y el público! https://t.co/Qott3mxzZi @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/9UpD6TD4si"	138	2019-04-16 12:00:20	Hootsuite Inc.	5	1
1118106825604382721	"¡""Game of Thrones"" y el público https://t.co/Qott3mxzZi @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/U09hqXf6qy"	138	2019-04-16 11:00:15	Hootsuite Inc.	3	0
1118102288583753730	@Ayvar11 ¡Gracias!	18	2019-04-16 10:42:13	Twitter Web Client	0	0
1118102230027182080	@QUIMICOFIGUEROA ¡Bien hecho!	29	2019-04-16 10:41:59	Twitter Web Client	0	0
1118102130198499328	@augustob77 Enorme reflexión. ¡Gracias!	39	2019-04-16 10:41:35	Twitter Web Client	0	0
1118102022467858432	@RuloCure Gracias!	18	2019-04-16 10:41:10	Twitter Web Client	1	0
1118096762399539200	"""Game of Thrones"" y el público https://t.co/Qott3mxzZi @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/nULLX763bj"	137	2019-04-16 10:20:16	Twitter Web Client	1	0
1118085013864685568	https://t.co/wZ1hnDkxXI Mentira que las audiencias de la televisión actual sean conservadoras, que se asusten cuand… https://t.co/XwMelIZh7n	140	2019-04-16 09:33:34	Buffer	9	3
1118007296737591297	https://t.co/roijOBVOaF  “Game of Thrones” no es cine y ya dejó de competir con los niveles de espectacularidad que… https://t.co/HjJeosA7dt	140	2019-04-16 04:24:45	Buffer	34	6
1117998743696048133	"RT @A_mirandam: El fuego no consume los bienes culturales, lo hace la falta de protocolos, de coordinación de equipos, de contención...
No,…"	140	2019-04-16 03:50:46	Twitter for iPad	0	60
1117993106274750464	https://t.co/roijOBVOaF Ahora a la gente no le gusta nada, las redes sociales son la meca del del odio. Nadie escuc… https://t.co/Kxr4VQLGMp	140	2019-04-16 03:28:22	Buffer	53	6
1117976829057470465	https://t.co/roijOBVOaF “Game of Thrones” todavía se transmite, obliga a hombres y mujeres de todo el planeta a sen… https://t.co/lPCg9k1xZc	140	2019-04-16 02:23:41	Buffer	66	11
1117974352404807680	https://t.co/roijOBVOaF “Game of Thrones” fue un escándalo que se metió en muchos problemas por sus sanguinarias es… https://t.co/dSMjzmO9C0	140	2019-04-16 02:13:51	Buffer	13	3
1117960467220193280	https://t.co/roijOBVOaF  “Game of Thrones” apareció cuando los grandes empresarios de la industria estaban dispuest… https://t.co/H5iQ45HGfr	140	2019-04-16 01:18:40	Buffer	23	2
1117944933338345472	RT @ppzepeda: Larga vida @losmetromx @marianagarza70 @escenosergio Un proyecto que debe sobrevivir!!! El teatro es la vida misma!!! RT http…	140	2019-04-16 00:16:57	Twitter for iPhone	0	23
1117941675442212864	"¿Quién hace los peores noticiarios de México?
https://t.co/BgmYSryjr5 @PaolaBarquet @CarlosZup @MultimediosTV… https://t.co/xVeuHua3F2"	134	2019-04-16 00:04:00	Buffer	15	2
1117941009877471237	https://t.co/roijOBVOaF  “Game of Thrones” salió el mercado cuando HBO era la cúspide de la televisión premium, cua… https://t.co/0rz7jV7Ozu	140	2019-04-16 00:01:21	Buffer	16	2
1117925865072021504	https://t.co/roijOBVOaF Game of Thrones, esta obra maestra de David Benioff y D. B. Weiss nació en un contexto comp… https://t.co/tVk0CdvKTr	140	2019-04-15 23:01:10	Buffer	6	1
1117921460918603782	https://t.co/roijOBVOaF ¿A usted ya se le olvidó cómo fue que comenzó este fenómeno? #GOT #GameofThrones #GOT8 https://t.co/YNNb3mUXDd	134	2019-04-15 22:43:40	Buffer	19	3
1117914429499166721	https://t.co/roijOCdp2d Con esta emisión no sólo se está yendo una serie, se está yendo una era. https://t.co/SDTh8mo0qL	120	2019-04-15 22:15:44	Buffer	15	1
1117908123409215488	https://t.co/roijOCdp2d Más allá de lo que sucedió en el capítulo de anoche, el hecho de que ya se esté transmitien… https://t.co/BDnTsL6dY0	140	2019-04-15 21:50:41	Buffer	7	1
1117876780969410560	Les comparto esto de una amiga muy querida: gracias! https://t.co/yZyi00GKD5.	77	2019-04-15 19:46:08	Twitter for iPhone	5	0
1117847304835407874	Avengers no solo es una cuestión cultural es por sí mismo una industria que genera cualquier cantidad de contenidos… https://t.co/hFhMU7H3un	140	2019-04-15 17:49:00	Buffer	16	2
1117835150312841217	"¡Adiós, mi ""Game of Thrones""! https://t.co/lIGlYB3tjY @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/8hJZqwshfB"	136	2019-04-15 17:00:42	Hootsuite Inc.	13	3
1117820086511972353	"Adiós, mi ""Game of Thrones""! https://t.co/lIGlYB3tjY @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/6BEvFlB2k1"	135	2019-04-15 16:00:51	Hootsuite Inc.	16	3
1117804940230037504	"¡Adiós, mi ""Game of Thrones"" https://t.co/lIGlYB3tjY @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/HSmOjJ0Sqn"	135	2019-04-15 15:00:40	Hootsuite Inc.	11	2
1117789817100734464	"Adiós, mi ""Game of Thrones"" https://t.co/lIGlYB3tjY @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/dlStz9HuQH"	134	2019-04-15 14:00:34	Hootsuite Inc.	10	0
1117784648225050625	Los Avengers son un juego de consumo y esto es nuestra responsabilidad https://t.co/qtsD2cxgvK #altadefinicion… https://t.co/Hup2yRouI8	135	2019-04-15 13:40:02	Buffer	2	0
1117774699533094913	"¡Adiós, ""Game of Thrones""! https://t.co/lIGlYB3tjY @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/Ya53Zwofoe"	133	2019-04-15 13:00:30	Hootsuite Inc.	3	1
1117759564059901952	"Adiós, ""Game of Thrones""! https://t.co/lIGlYB3tjY @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/EI2JUm9v4b"	132	2019-04-15 12:00:21	Hootsuite Inc.	5	0
1117744447385690112	"¡Adiós, ""Game of Thrones"" https://t.co/lIGlYB3tjY @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/YEGsNCpXgm"	132	2019-04-15 11:00:17	Hootsuite Inc.	3	0
1117732005104574464	"Adiós, ""Game of Thrones"" https://t.co/lIGlYB3tjY @Milenio @HBO @HBOLAT @GameOfThrones #GameofThrones #Bran… https://t.co/xc2mlt7W6i"	131	2019-04-15 10:10:51	Twitter Web Client	3	0
1117657736051855360	GRACIAS a mi maravillosa y talentosa familia que siempre da más de sí para hacer este programa. Los amo de verdad… https://t.co/eESDhmA53G	138	2019-04-15 05:15:44	Buffer	32	2
1117656172407021568	Revive nuestro especial de #Avengers aquí  #altadefinicion @ADN40 #Avengers #Comics #Superheroe #ADN40 #Marvel https://t.co/sIkIAJAsMr	134	2019-04-15 05:09:31	Buffer	7	2
1117638599292399616	RT @janet_veloz: @AlvaroCueva buen programa #AltaDefinición	59	2019-04-15 03:59:41	Twitter for iPhone	0	2
1117638590387949568	RT @Montse_Avalos: @AlvaroCueva «Marvel» nos ha enseñado que no hay una única forma de ver, entender y leer a los superhéroes. #altadefinic…	140	2019-04-15 03:59:39	Twitter for iPhone	0	2
1117638583370887168	RT @aantooniioo: #AltaDefinición me gusta el contenido pero escuchar tantas veces Chequelo es molesto muy molesto.	114	2019-04-15 03:59:37	Twitter for iPhone	0	2
1117638575791714304	RT @OctavioFcoSalci: #AltaDefinicion, Thanos no duraría ni 10 minutos frente a Ghost Rider &amp; Mefistófeles	109	2019-04-15 03:59:35	Twitter for iPhone	0	2
1117638166926778369	RT @alez_lora: @AlvaroCueva #AltaDefinicion concuerdo con tus comentarios y todo el análisis de la saga Marvel, pero realmente sentí que no…	140	2019-04-15 03:57:58	Twitter for iPhone	0	1
1117638161717518336	"RT @adn40: Black Panther puso a los superhéroes en otro nivel: @AlvaroCueva.

#AltaDefinición | https://t.co/5arGxkpqJq https://t.co/tGyz4A…"	140	2019-04-15 03:57:57	Twitter for iPhone	0	2
1117638150770368512	RT @GeorginaDamin: @AlvaroCueva @adn40 Soy fan de los comics y se lo he transmitido a mi hijo. El nuevo Spiderman, bien adaptado a las nuev…	140	2019-04-15 03:57:54	Twitter for iPhone	0	1
1117638140632674304	RT @Irving_CH21: A pesar de toda la parafernalia de Marvel sólo Black Phanter se consagró como la que más ganó premios, una cosecha muy raq…	140	2019-04-15 03:57:52	Twitter for iPhone	0	1
1117638133036802050	RT @armando_navarro: #altadefinicion Infinity War es el ensamble de Súper Héroes mas grande de la historia. Le dejaron el techo muy alto a…	139	2019-04-15 03:57:50	Twitter for iPhone	0	1
1117638102204416000	RT @armando_navarro: #altadefinicion Captain Marvel fue la respuesta de Marvel al éxito de la película de La Mujer Maravilla	124	2019-04-15 03:57:42	Twitter for iPhone	0	1
1117638092528267264	RT @Irving_CH21: Yo cuando salí del cine de ver Infinity War, sentía que podía volar y con la ansiedad de que faltaba 1 año para la continu…	140	2019-04-15 03:57:40	Twitter for iPhone	0	1
1117638081157447680	RT @XmanAlan: #AltaDefinición en lo personal a mi me gustaría que explotaran más el potencial de los superheroes, de todas las peliculas la…	140	2019-04-15 03:57:37	Twitter for iPhone	0	1
1117638075801272320	RT @EGG_Mackloud: #AltaDefinicion... La neta!... Las películas de Marvel, así como las de rápidos y furiosos... son el reggetton del cine..…	140	2019-04-15 03:57:36	Twitter for iPhone	0	1
1117638067010048000	RT @Antton58184128: Impresionante lo que se ve venir de marvel estudios #altadefinicion	87	2019-04-15 03:57:34	Twitter for iPhone	0	2
1117638057233125378	RT @armando_navarro: #altadefinicion Avengers Endgame ya rompió récord de preventa para su estreno, y busca ser la película mas taquillera…	139	2019-04-15 03:57:32	Twitter for iPhone	0	1
1117638046663479301	RT @aracelifloresu3: @AlvaroCueva @adn40 Todas #altadefinicion	62	2019-04-15 03:57:29	Twitter for iPhone	0	1
1117638040653107200	RT @Montse_Avalos: @AlvaroCueva Lo que amo de «La Capitana Marvel» es la visibilidad, el empoderamiento y el lugar que se le da a las mujer…	140	2019-04-15 03:57:28	Twitter for iPhone	0	1
1117638019656441856	RT @EGG_Mackloud: #AltaDefinicion... prefiero mil veces interstellar, inception, la teoría del todo, matrix, súper héroes?, the Dark knight…	140	2019-04-15 03:57:23	Twitter for iPhone	0	1
1117637966292234240	RT @yMartnezcom1: @AlvaroCueva @adn40 Dios!!! La verdad no quiero un final.. para el...porque el es Ironman...Que no sea un final..Que sea…	139	2019-04-15 03:57:10	Twitter for iPhone	0	1
1117637847517941760	"RT @adn40: ¿Qué esperas de Avengers: Endgame? ¡Participa!: @AlvaroCueva.

#AltaDefinición | https://t.co/5arGxkpqJq https://t.co/QzIY4aQCwA"	139	2019-04-15 03:56:42	Twitter for iPhone	0	2
1117637838470729729	RT @ArturoGarHue: #AltaDefinición extrañándote y admirado de este súper programón!!!	84	2019-04-15 03:56:40	Twitter for iPhone	0	1
1117637827238465536	RT @armando_navarro: #altadefinicion Avengers Endgame es el resultado de 10 años de una mercadotecnia brutal. El manual de construcción de…	139	2019-04-15 03:56:37	Twitter for iPhone	0	1
1117637814580072448	RT @Montse_Avalos: @AlvaroCueva  «Marvel» ha modificado la forma de ver a los superhéroes. #altadefinicion	106	2019-04-15 03:56:34	Twitter for iPhone	0	2
