id,text,len,date,source,likes,rt
1118987596770742278,#Entérate: Memo retoma banderas de la CNTE y regresa la ‘papa caliente’ al magisterio: Leonel Manzano #Video 👇 https://t.co/84omqfm2KW,134,2019-04-18 21:20:07,Hootsuite Inc.,2,0
1118982595541372928,"Gabino Cué y @EPN, responsables de que fuera preso político; procederé en consecuencia: Maestro CNTE https://t.co/aZr5awhQvY",124,2019-04-18 21:00:15,Hootsuite Inc.,58,21
1118977538548748288,Quedan definidas las semifinales de la @ChampionsLeague #Deportes (18/04/19) #Video 👇 https://t.co/fYGWgGwoko,109,2019-04-18 20:40:09,Hootsuite Inc.,20,6
1118972491760832515,Vladimir Putin y Kim Jong-un se reunirán en Rusia este mes https://t.co/AbZQW8VJYz,82,2019-04-18 20:20:06,Hootsuite Inc.,102,33
1118967497808592897,Información de Brasil y Perú puede enriquecer indagatoria sobre Odebrecht en México: Olmos (@RaulOlmos_mx) #Video 👇 https://t.co/OLgm5buw4x,139,2019-04-18 20:00:15,Hootsuite Inc.,66,39
1118962428929290240,19 heridos por volcadura de tráiler que transportaba migrantes centroamericanos en Veracruz #Video 👇 https://t.co/WKpR2DlAVq,124,2019-04-18 19:40:07,Hootsuite Inc.,41,20
1118957391519932418,Se queja Trump de ‘acoso judicial’ ante liberación del reporte Mueller: Esquivel (@JJesusEsquivel) #Video 👇 https://t.co/MwWP3aPLub,131,2019-04-18 19:20:06,Hootsuite Inc.,21,9
1118952459630718976,Donará COI 500 mil euros para la reconstrucción de Notre Dame #Video 👇 https://t.co/yfE3nmky8j,94,2019-04-18 19:00:30,Hootsuite Inc.,22,9
1118915152248803330,Autoridades deben investigar a sexenios anteriores por caso Odebrecht: Olmos  (@RaulOlmos_mx)… https://t.co/4XMNvOO82m,118,2019-04-18 16:32:15,Hootsuite Inc.,107,54
1118913354913992705,"#Entérate: La vida en Puente Grande para un preso político: todo es muy difícil, muy coercitivo | #Video 👇 https://t.co/YeUKMgd10i",130,2019-04-18 16:25:06,Hootsuite Inc.,31,9
1118911230218055680,Mueller analizó 10 episodios en los que Trump (@realDonaldTrump) pudo haber obstruido la justicia; pero no veo deli… https://t.co/A55Iss85CR,140,2019-04-18 16:16:40,Hootsuite Inc.,21,3
1118906543125278720,#Libros 📚: Inicia la 9ª Feria del Libro en la Alameda Central https://t.co/KijnW3XR0E https://t.co/uWEzXXTRGj,109,2019-04-18 15:58:02,Hootsuite Inc.,32,12
