id,text,len,date,source,likes,rt
1118986482704965632,"Se dio a conocer una versión editada del informe del fiscal especial Robert Muller, quién investigó la presunta cor… https://t.co/cIoh2vgdQ8",140,2019-04-18 21:15:41,Twitter for Android,4,0
1118986308427354129,"Homenaje a los bomberos que combatieron incendio de Notre Dame. 👇
https://t.co/wvQLRvCAG9 https://t.co/Fq5isSqTh3",113,2019-04-18 21:15:00,TweetDeck,3,0
1118983885055037442,"Peruanos dan último adiós al expresidente Alan García. 👇
https://t.co/DlUI7qaBb6 https://t.co/8eIhL0qyvN",104,2019-04-18 21:05:22,Twitter Web Client,5,1
1118982167290351629,El Jueves Santo llegó y en la macroplaza Cuitláhuac todo está listo para la 176 representación de la Pasión de Cris… https://t.co/aFHRVBA0TO,140,2019-04-18 20:58:33,Twitter Web App,6,1
1118974547003412481,#UltimaHora Reabren circulación en ambos sentidos de la autopista México-Tulancingo: Después de más de 12 horas fue… https://t.co/cRMo7LrqrI,140,2019-04-18 20:28:16,Twitter Web Client,9,5
1118972495703543815,"Sin acuerdo todavía en la UAM. Se cumplen 76 días de paro de labores. 👇
https://t.co/2iVMIekZiV https://t.co/qiuSdwPPtN",119,2019-04-18 20:20:07,Twitter Web Client,1,2
1118966497903349763,"🔴¡ATENCIÓN! 🔴
#VerificacionVehicular No laborarán 79 verificentros del 18 al 20 de abril en la CDMX. 🚗… https://t.co/ivYwoEWOXa",127,2019-04-18 19:56:17,Twitter Web Client,5,2
1118962820576698368,"#ParaTomarloEnCuenta Emite volcán Popocatépetl 57 exhalaciones con gas y ceniza. 👇
https://t.co/e0G0A9gghn https://t.co/G2kcyAOADo",130,2019-04-18 19:41:40,Twitter Web Client,8,1
1118957800686796803,"Ya es Jueves Santo y los vacacionistas lo saben 🌞☀️🧖‍♀️🧖‍♂️
@Lucero_Rdz_Mx nos da el reporte desde el bello puerto… https://t.co/lILeClV6Yy",139,2019-04-18 19:21:43,Twitter Web Client,15,5
1118957186309349376,#TomePrecauciones Cierres viales por la Representación 176 de la Pasión de Cristo en Iztapalapa. 👇… https://t.co/GJpz4fF4B7,123,2019-04-18 19:19:17,Twitter Web Client,6,3
1118949928900943873,#AutopistasAbarrotadas #SalidaVacacionistas Policía Federal reporta gran afluencia en todas las carreteras que sale… https://t.co/Q4UxJz3wPf,140,2019-04-18 18:50:26,Twitter for Android,12,7
1118948499285061632,"RT @RicardoBSalinas: Ha tenido tanto éxito, que ya cuenta con cuatro ediciones. Muchas gracias Aracely por compartir con nosotros  las deli…",140,2019-04-18 18:44:45,Twitter Web Client,0,2
1118948485993201664,"RT @RicardoBSalinas: En #Campeche, Aracely Castillo emprendió la tarea de preservar la comida típica de este estado, a través de un libro c…",140,2019-04-18 18:44:42,Twitter Web Client,0,2
1118948469413117952,RT @RicardoBSalinas: #México tiene una diversidad cultural enorme y entre sus muchas manifestaciones la gastronómica es una de mis favorita…,140,2019-04-18 18:44:38,Twitter Web Client,0,8
1118944927063388162,Inicia FGR investigación tras aseguramiento de avioneta con casi media tonelada de marihuana. 👇… https://t.co/ks0q9Wj3Dg,120,2019-04-18 18:30:34,Twitter Web Client,1,2
1118938689789419521,"En Filipinas devotos católicos emulan el Calvario de Cristo como parte de sus tradiciones.
#ResumendelosHechos https://t.co/EZH6RgA5ZJ",134,2019-04-18 18:05:47,Twitter for Android,10,1
1118937114530414592,"Aseguran droga y detienen a dos personas en Los Cabos. 👇
https://t.co/HgFhpUsXlK https://t.co/zLpjvDC05M",104,2019-04-18 17:59:31,Twitter Web Client,1,0
1118934462883147776,#ExodoVacacionistas #SemanaSanta Aumenta la afluencia de pasajeros desde la Terminal de Autobuses de Taxqueña en la… https://t.co/7UViGrXSnA,140,2019-04-18 17:48:59,Twitter for Android,5,4
