id,text,len,date,source,likes,rt
1118984309371736064,Rusia anuncia encuentro entre Kim Jong Un y Putin https://t.co/aGJrMR4Cik,73,2019-04-18 21:07:03,SocialFlow,35,19
1118982558832840705,Las tradiciones más coloridas de Semana Santa en América Latina https://t.co/cIZ9iK7Ozq,87,2019-04-18 21:00:06,SocialFlow,17,11
1118982549164953613,Nace gran número de loros Kakapo en vía de extinción en Nueva Zelandia https://t.co/LGHyEsm0FL,94,2019-04-18 21:00:04,SocialFlow,77,16
1118981282384482315,"Científicos detectan la primera molécula del Big Bang en el espacio
 https://t.co/ZuRUsnTHWI",92,2019-04-18 20:55:02,SocialFlow,98,50
1118981047163736065,"""A él todo lo que lo quise y respeté, se lo dije en vida"", dijo Carla García. Este fue su mensaje:  https://t.co/TcmtklUzwS",123,2019-04-18 20:54:05,SocialFlow,33,11
1118978043261988866,"Trump tras designación de Mueller: ""Estoy j****o"" https://t.co/uoJJrMaJrk",73,2019-04-18 20:42:09,SocialFlow,23,3
1118975498049159170,5 películas que te harán recordar la Semana Santa de antaño. ¿Cuál sumarías a la lista?: https://t.co/MgMtfVaZ2S,112,2019-04-18 20:32:02,SocialFlow,74,28
1118971970639532035,"En la misa de Jueves Santo, en el Vaticano, el papa Francisco pidió a los sacerdotes que mantengan el contacto y la… https://t.co/4vLqSn8zrF",140,2019-04-18 20:18:01,SocialFlow,114,25
1118970586649321473,Un raro descubrimiento abre la posibilidad de clonar un caballo que vivió hace 42.000 años https://t.co/uFlOuvrvVW,114,2019-04-18 20:12:31,SocialFlow,243,107
1118969471937462273,"¿Qué significan los ramos, los huevos de pascua y por qué se hace ayuno en Semana Santa? Algunas claves de la seman… https://t.co/GWWgHBtx62",140,2019-04-18 20:08:06,SocialFlow,54,26
1118968954733694981,Escuela de ballet en Nairobi enriquece el alma de jóvenes bailarines https://t.co/ZpCL3a6Dt5,92,2019-04-18 20:06:02,SocialFlow,44,9
1118965438061346817,Buzo que ayudó a salvar a los niños de la cueva de Tailandia quedó atrapado en una cueva y tuvo que ser rescatado https://t.co/bzxnjqyrn9,137,2019-04-18 19:52:04,SocialFlow,124,56
1118965174654906369,Esto es lo que debes saber sobre el informe de Mueller https://t.co/9pRRD3ulGj,78,2019-04-18 19:51:01,SocialFlow,14,9
1118964685326438400,Cuatro enseñanzas de Jesús que nadie entiende https://t.co/bZDWz2GNoJ,69,2019-04-18 19:49:04,SocialFlow,109,37
1118962415343996932,4 conclusiones clave del reporte editado de Robert Mueller https://t.co/vWnraVHETA,82,2019-04-18 19:40:03,SocialFlow,16,7
1118962165942300674,"Rocío Vélez, estratega del partido republicano, dijo que el presentación del informe editado del fiscal especial Ro… https://t.co/IxwAyn5TUM",140,2019-04-18 19:39:04,SocialFlow,16,3
1118961784533213190,"Mueller: Trump quiso obstruir, pero su equipo lo desafió https://t.co/5irajSjEcO https://t.co/HUPJ7grBF7",104,2019-04-18 19:37:33,SocialFlow,20,3
1118960916530454528,Las reacciones en Latinoamérica tras la muerte del expresidente de Perú Alan García https://t.co/uZPmXIzBQO,107,2019-04-18 19:34:06,SocialFlow,22,11
1118958570249302017,Avance de la ciencia podría curar grave enfermedad conocida como el síndrome del niño burbuja https://t.co/vTKrUApnpv,117,2019-04-18 19:24:47,SocialFlow,68,18
1118956637014900736,¿Sabes el origen y qué se celebra en Semana Santa? https://t.co/86nKEFVfvf,74,2019-04-18 19:17:06,SocialFlow,35,18
1118954864904757248,Muere ballena en una playa de Chile tras pasar más de 6 horas varada https://t.co/yGorkGx2R4,92,2019-04-18 19:10:03,SocialFlow,47,35
1118954110273896448,4 conclusiones clave del reporte editado de Robert Mueller https://t.co/A8kSTkohrw,82,2019-04-18 19:07:03,SocialFlow,15,2
1118953870842040321,A un año de la crisis en Nicaragua: ¿hay avances en las negociaciones? https://t.co/c5lwdxxmaU,94,2019-04-18 19:06:06,SocialFlow,21,10
1118952402185531394,Las primeras imágenes aéreas de Notre Dame tras el incendio https://t.co/ZTEoYFfBfy,83,2019-04-18 19:00:16,SocialFlow,26,9
1118952362016636928,¿Sabes el origen y qué se celebra en Semana Santa? https://t.co/aJfXmenbqT,74,2019-04-18 19:00:06,SocialFlow,18,9
1118950893767069696,"""A él todo lo que lo quise y respeté, se lo dije en vida"", dijo Carla García. Este fue su mensaje:  https://t.co/ZQ7XAZgrLt",123,2019-04-18 18:54:16,SocialFlow,47,11
1118949839960780801,"20 años de Columbine, la matanza que marcó un hito en ataques a escuelas de EE.UU. https://t.co/HknfDAuWvC",106,2019-04-18 18:50:05,SocialFlow,38,15
1118947581185462272,BTS rompe récords y se apodera de YouTube https://t.co/78Hijj8rZ1,65,2019-04-18 18:41:07,SocialFlow,52,11
1118946573134835714,Sigue a ➡️ @serhumanocnn https://t.co/zd6bD44iqa,48,2019-04-18 18:37:06,TweetDeck,9,4
1118945331864068096,5 películas que te harán recordar la Semana Santa de antaño. ¿Cuál sumarías a la lista?: https://t.co/NZuYMHEl9j,112,2019-04-18 18:32:10,SocialFlow,85,41
1118941792076955648,¿Existió Jesús?: separando al hombre del mito https://t.co/PQJXg9Xlo1,69,2019-04-18 18:18:06,SocialFlow,148,43
1118940287894732801,Dra. Azaret: Es necesario abrir un diálogo sobre lo que es querer quitarse la vida https://t.co/tJwii4OhQb,106,2019-04-18 18:12:08,SocialFlow,32,14
1118937299948118017,Así reaccionaron los peruanos tras el suicidio de Alan García https://t.co/KtEK3SpXun,85,2019-04-18 18:00:15,SocialFlow,11,9
1118935987307057157,"Científicos detectan la primera molécula del Big Bang en el espacio
 https://t.co/zvJLeti5vB",92,2019-04-18 17:55:02,SocialFlow,172,74
1118934220397850624,¿Cuántos indocumentados están cumpliendo condenas en cárceles estadounidenses? https://t.co/6TbZMwovLp,102,2019-04-18 17:48:01,SocialFlow,12,16
1118934211568652288,¿Qué hay de verdad sobre la cruz de Jesús? https://t.co/jjmJUkPjSY,66,2019-04-18 17:47:59,SocialFlow,53,20
1118932219807051777,Francia lanzará un concurso para reconstruir la aguja de Notre Dame https://t.co/Zb2ddZxYP4,91,2019-04-18 17:40:04,SocialFlow,113,38
1118929728428228613,Cientos de arrestos en protestas por cambio climático en Londres https://t.co/TmRVyDkTy2,88,2019-04-18 17:30:10,SocialFlow,44,22
1118928455188533248,Zacatecas ofrece un Festival Cultural para estas vacaciones de Semana Santa y de Pascua https://t.co/7FVa4dtqX0,111,2019-04-18 17:25:07,SocialFlow,17,13
1118928192243404801,"Así se celebra la Semana Santa en Taxco, México, una población que conjuga tradición y belleza https://t.co/z3XUX8dUdv",118,2019-04-18 17:24:04,SocialFlow,62,14
1118927936957161473,Los tendidos de Cristo: conoce esta misteriosa tradición de Semana Santa en México https://t.co/IZInQjcK7m,106,2019-04-18 17:23:03,SocialFlow,22,15
1118927681528242178,"La devoción de San Cristóbal de las Casas, Chiapas, en Semana Santa https://t.co/rzLeFMuYZv",91,2019-04-18 17:22:02,SocialFlow,29,12
1118926686517714945,"Mueller: La obstrucción de la justicia por parte de Trump falló porque otros se negaron a ""cumplir órdenes"" https://t.co/t8IaHhSFFx",131,2019-04-18 17:18:05,SocialFlow,40,18
1118925940418129926,El grupo de K-pop BTS toma el control de Saturday Night Live https://t.co/2YUTY7qW3R,84,2019-04-18 17:15:07,SocialFlow,38,10
1118925675216424960,¿Sabes el origen y qué se celebra en Semana Santa? https://t.co/I0g531KJfx,74,2019-04-18 17:14:04,SocialFlow,43,22
1118924917821583361,Analista: El presidente tiene todo lo necesario para terminar el tema de la colusión https://t.co/Jlia6363Lk,108,2019-04-18 17:11:03,SocialFlow,22,11
1118923150295801857,ICE debe tener una orden emitida por un juez para hacer arrestos de inmigrantes dentro de las cortes del Estado de… https://t.co/escMS0f5oM,139,2019-04-18 17:04:02,SocialFlow,32,13
1118922177695354883,¿Quién era realmente Alan García? Hacemos un breve recorrido por su vida https://t.co/A9BOAAvvYm,96,2019-04-18 17:00:10,SocialFlow,29,7
1118922147584512000,Las tradiciones más coloridas de Semana Santa en América Latina https://t.co/55ouAUJM8t,87,2019-04-18 17:00:03,SocialFlow,22,6
1118920899502256129,Puebla espera 170.000 asistentes a la Procesión de Viernes Santo https://t.co/qMr5vewr6u,88,2019-04-18 16:55:05,SocialFlow,44,7
1118920144556896256,Buzo que ayudó a salvar a los niños de la cueva de Tailandia quedó atrapado en una cueva y tuvo que ser rescatado https://t.co/h9tn9xZz2C,137,2019-04-18 16:52:05,SocialFlow,150,51
1118918644539564035,"Cientos parten con la ""Caravana del Viacrucis"" sin completar trámites migratorios https://t.co/UuatP5bOZE",105,2019-04-18 16:46:08,SocialFlow,12,5
1118918643369295873,"Rocío Vélez, estratega del partido republicano, dijo que el presentación del informe editado del fiscal especial Ro… https://t.co/dgkLrHJ7OD",140,2019-04-18 16:46:07,SocialFlow,22,7
1118916368697561088,Puedes leer el informe completo de Mueller aquí: https://t.co/gt76DxA1uK,72,2019-04-18 16:37:05,SocialFlow,25,14
1118915944661884928,Sigue a ➡️ @serhumanocnn https://t.co/krIhtFY11C,48,2019-04-18 16:35:24,TweetDeck,20,5
1118914860413222912,"Un número creciente de compañías minoristas están cerrando sus tiendas para ser más selectivos, dónde abren o forta… https://t.co/r9syGT5hdJ",140,2019-04-18 16:31:05,SocialFlow,23,16
1118914597644308480,"""Este es el final de mi presidencia"", dijo Trump cuando Mueller fue nombrado para el cargo, según el informe https://t.co/5CF4udooGm",132,2019-04-18 16:30:03,SocialFlow,49,27
1118913167466344448,Lo que sabemos hasta el momento del informe de Mueller https://t.co/vko4SxaGkh,78,2019-04-18 16:24:22,SocialFlow,17,12
1118912851920457728,"Las 5 batallas que se esperan después que se publique el informe Mueller
 https://t.co/wHAjbEu9iF",97,2019-04-18 16:23:06,SocialFlow,20,17
1118912096127922181,Netflix registra récord de nuevas suscripciones https://t.co/tQRaJyeGgm,71,2019-04-18 16:20:06,SocialFlow,71,17
1118908326400659457,A un año de la crisis en Nicaragua: ¿hay avances en las negociaciones? https://t.co/75ngvbR9G3,94,2019-04-18 16:05:07,SocialFlow,32,13
1118906549223686144,El tratamiento hormonal para la menopausia no siempre es necesario y puede estar contraindicado. Este sábado este y… https://t.co/Y5BQ7Iek5Q,140,2019-04-18 15:58:04,SocialFlow,34,17
1118905044756238338,Estados Unidos anuncia un cambio a su política de asilo https://t.co/K46ZhcF8PQ,79,2019-04-18 15:52:05,SocialFlow,30,19
1118902274946994177,"Abogado de Alan García: ""Prefirió el honor ante la indignidad"" https://t.co/EOb23mIJP0",86,2019-04-18 15:41:05,SocialFlow,66,33
1118901269169680384,La familia de Alan García declina hacer un funeral de Estado para el expresidente de Perú https://t.co/pP2xgrVgfa,113,2019-04-18 15:37:05,SocialFlow,45,25
1118899997448245248,"Diego Boneta incursiona como narrador en la serie ""Dinastías"" de Discovery Channel y BBC Studios https://t.co/fteIFaSiUT",120,2019-04-18 15:32:02,SocialFlow,91,24
1118899755977932813,Barr: Rusia intentó interferir en las elecciones de EE.UU. https://t.co/yvM4fcPy4i,82,2019-04-18 15:31:04,SocialFlow,35,20
1118897739092430848,"Las 5 batallas que se esperan después que se publique el informe Mueller
 https://t.co/cotVH1oork",97,2019-04-18 15:23:03,SocialFlow,32,17
1118897480878514183,Buzo que ayudó a salvar a los niños de la cueva de Tailandia quedó atrapado en una cueva y tuvo que ser rescatado https://t.co/ZRPboXZTfz,137,2019-04-18 15:22:02,SocialFlow,63,19
1118897243950583809,A un año de la crisis en Nicaragua: ¿hay avances en las negociaciones? https://t.co/N3iVGTBaPO,94,2019-04-18 15:21:05,SocialFlow,29,13
1118896521141993472,"ÚLTIMA HORA
Las comisiones de Senado y Cámara ya tienen el informe de Mueller https://t.co/EVitQvEXoP https://t.co/OdiTMFULIw",125,2019-04-18 15:18:13,SocialFlow,22,25
1118895469554556930,¿Sabes el origen y qué se celebra en Semana Santa? https://t.co/i0DVXiYEX0,74,2019-04-18 15:14:02,SocialFlow,32,18
