id	text	len	date	source	likes	rt
1118932364619583488	RT @aaguirre_g: Poco después de una tensa conferencia de prensa mañanera, donde el Presidente regresó más cansado de lo habitual a su despa…	140	2019-04-18 17:40:39	Twitter for iPhone	0	9
1118919395890401282	RT @AP_Noticias: #ÚLTIMAHORA La policía dice que lo que más probablemente causó el fuego en la Catedral de Notre Dame habría sido un corto…	139	2019-04-18 16:49:07	Twitter for iPhone	0	79
1118895926297362433	Así Trump. https://t.co/LKjL9dCp4s	34	2019-04-18 15:15:51	Twitter for iPhone	58	4
1118893127421575169	#BuenJueves	11	2019-04-18 15:04:44	Twitter for iPhone	153	5
1118685238107037696	Al menos 36 “puntos positivos” en nueva fosa clandestina hallada en el centro del estado de Veracruz, afirma el Fis… https://t.co/OwZvtHQHk4	140	2019-04-18 01:18:39	Twitter for iPhone	158	44
1118619918721847296	RT @ChampionsLeague: 🔴 Mané, Salah &amp; Firmino all score in the same #UCL game for the 5th time 👍 https://t.co/nTv5DTSop1	123	2019-04-17 20:59:06	Twitter for iPhone	0	1347
1118593781618630659	"RT @ChampionsLeague: TEAM NEWS: How Porto &amp; Liverpool start tonight ... any surprises? 👀

#UCL https://t.co/NJD4c8OJXS"	122	2019-04-17 19:15:14	Twitter for iPhone	0	319
1118551346049880064	RT @arielmou: Y saben quién escribió este perfil de @lopezobrador_ En @TIME ? Ni más ni menos que @jorgeramosnews. #TIME100 https://t.co/X2…	140	2019-04-17 16:26:37	Twitter for iPhone	0	32
1118551293960781824	RT @arielmou: Aquí el perfil de @YalitzaAparicio, escrito por @alfonsocuaron para @TIME #Time100 https://t.co/BVawJ1TYkE	120	2019-04-17 16:26:24	Twitter for iPhone	0	13
1118544854601097216	RT @arielmou: Aquí la lista de las 100 personas mas influyentes de 2019 de la revista Time. https://t.co/GJGxfm1qNh	115	2019-04-17 16:00:49	Twitter for iPhone	0	33
1118541153022939136	RT @AP_Noticias: #ULTIMAHORA Presidente peruano Martín Vizcarra informa muerte de ex mandatario Alan García tras dispararse antes de ser ar…	140	2019-04-17 15:46:07	Twitter for iPhone	0	65
1118503032017367040	"RT @RuidoEnLaRed: #LoÚltimo 
El expresidente peruano Alan García, se disparó cuando iba a ser detenido por su presunta responsabilidad en l…"	140	2019-04-17 13:14:38	Twitter for iPhone	0	38
1118502999872110593	Expresidente de Perú estaba vinculado con el caso #Odebrecht https://t.co/NfVFgtSLAe	84	2019-04-17 13:14:30	Twitter for iPhone	130	31
1118496077991350272	RT @DAGUILARFOTO: Así amanece la Ciudad de México, Zócalo capitalino.   17ABR19. #luna #moon #sony  #CDMX  PIX📸DA https://t.co/sKeV2GezOl	137	2019-04-17 12:47:00	Twitter for iPhone	0	23
1118496047943290880	RT @El_Universal_Mx: #EnPortada Destruido, 10% del arte en Notre Dame https://t.co/zlsRTTAg5n https://t.co/Z6Cvkrl9eZ	117	2019-04-17 12:46:53	Twitter for iPhone	0	11
1118496026460135424	RT @El_Universal_Mx: #EnPortada Si Sor Juana viviera, apoyaría la regulación de la cannabis: Jesusa Rodríguez https://t.co/A4D08SAugN https…	140	2019-04-17 12:46:48	Twitter for iPhone	0	4
1118199384833806336	Decide AMLO cancelación. https://t.co/OhTKILu3KD	48	2019-04-16 17:08:03	Twitter for iPhone	427	108
1118141535516860416	#BuenMartes	11	2019-04-16 13:18:10	Twitter for iPhone	290	12
