id	text	len	date	source	likes	rt
1118942911914229761	RT @nytimes: The Mueller report explicitly states that the investigation did not clear President Trump https://t.co/LSB0TzueZr https://t.co…	140	2019-04-18 18:22:33	Twitter for iPhone	0	631
1118942884403789830	"RT @washingtonpost: The seven people mentioned most often in the redacted version of the Mueller report: 
Donald Trump: 277 times 
Paul Man…"	140	2019-04-18 18:22:27	Twitter for iPhone	0	510
1118942841131212800	RT @nowthisnews: Banana leaves have become a sustainable alternative to plastic bags in Thailand https://t.co/UiZSpoOKnb	120	2019-04-18 18:22:16	Twitter for iPhone	0	672
1118942750018293761	RT @washingtonpost: Mueller considered Trump's written answers 'inadequate' but knew subpoena would impose 'substantial delay,' report says…	140	2019-04-18 18:21:55	Twitter for iPhone	0	511
1118941967528923136	Un senador de la República, siguiendo órdenes del presidente, decidirá cuáles son las leyes injustas, cúales son la… https://t.co/Hn1YrCsRin	140	2019-04-18 18:18:48	Twitter for iPhone	113	56
1118675172133883905	RT @archillect: https://t.co/m9bpw4oXwt	39	2019-04-18 00:38:39	Twitter for iPhone	0	2932
1118674632926691328	"RT @revistaproceso: AMLO y Yalitza, en el top 100 de “Time” de personas más influyentes del mundo
https://t.co/QZ2UW4FdrE"	121	2019-04-18 00:36:31	Twitter for iPhone	0	235
1118674466958192640	RT @nytimes: Breaking News: White House and Justice Department officials discussed Robert Mueller’s findings several times ahead of his rep…	140	2019-04-18 00:35:51	Twitter for iPhone	0	4643
1118674270417313792	RT @el_pais: Ha muerto el Nobel Paul Greengard, que utilizó todo el dinero del premio (unos 300.000 dólares) para crear otro premio para mu…	140	2019-04-18 00:35:04	Twitter for iPhone	0	2147
1118674156999122944	@Enea_Salgado Jajajajaja 👏	26	2019-04-18 00:34:37	Twitter for iPhone	144	7
1118610526723031041	RT @cataperezcorrea: Un expresidente de Perú se suicidó cuándo lo iban a detener por delitos de corrupción relacionados al caso Odebrecht.…	139	2019-04-17 20:21:47	Twitter for iPhone	0	1373
1118606987581956096	"RT @NewYorker: An early look at next week’s cover, ""Our Lady,"" by Bob Staake: https://t.co/cz6ZkERreq https://t.co/84MQzoRVrY"	125	2019-04-17 20:07:43	Twitter for iPhone	0	1564
1118603501007986688	“AMLO esperó 12 años para llegar a ser presidente y tiene prisa para actuar. Pero tarde o temprano se dará cuenta q… https://t.co/L8T2qkJypl	140	2019-04-17 19:53:51	Twitter for iPhone	2668	974
1118601386193821696	RT @Santiago_Arau: Oaxaca (2019). https://t.co/y1BOYJo5oy	57	2019-04-17 19:45:27	Twitter for iPhone	0	117
1118583901121695744	"RT @PoetasHispanos: Yo no puedo tenerte 
ni dejarte, ni sé por qué, 
al dejarte o al tenerte, 
se encuentra un no sé qué 
para quererte y m…"	140	2019-04-17 18:35:58	Twitter for iPhone	0	632
1118582200876666880	@PabloGomez1968 @lopezobrador_ Sí, ya. Queremos un estilo de gobernar que no mimetice lo peor del pasado, que no de… https://t.co/QVMVBkMjtq	140	2019-04-17 18:29:13	Twitter for iPhone	5081	1168
1118569100513615872	RT @nytimes: Breaking News: Peru’s former leader shot himself in the head and died as the police tried to arrest him. President Alan García…	140	2019-04-17 17:37:10	Twitter for iPhone	0	821
1118562726899527682	"RT @AOC: Climate change is here + we’ve got a deadline: 12 years left to cut emissions in half.

A #GreenNewDeal is our plan for a world an…"	140	2019-04-17 17:11:50	Twitter for iPhone	0	27106
1118561725857529856	RT @erederbez: Plis no sean este señor: https://t.co/AUlDEUwgu9	63	2019-04-17 17:07:51	Twitter for iPhone	0	215
1118559999675052032	RT @revistaproceso: #Análisis Ni @FelipeCalderon ni @EPN pudieron en 12 años lo que el presidente @lopezobrador_ en unos meses: reformar la…	140	2019-04-17 17:01:00	Twitter for iPhone	0	766
1118559864651952128	RT @el_pais: ÚLTIMA HORA | Muere el expresidente peruano Alan García tras pegarse un tiro cuando iba a ser detenido por su presunta implica…	140	2019-04-17 17:00:28	Twitter for iPhone	0	1455
1118559706438615040	RT @el_pais: El ‘caso Odebrecht’ acorrala a cuatro expresidentes peruanos. La Fiscalía pide 36 meses de prisión preventiva para Pedro Pablo…	140	2019-04-17 16:59:50	Twitter for iPhone	0	256
1118544648727924737	RT @warkentin: En la lista de las 100 personas más influyentes del mundo, según la revista @TIME, está @lopezobrador_. Su perfil fue escrit…	140	2019-04-17 16:00:00	Twitter for iPhone	0	391
1118538047329636352	RT @nytimeses: “El presidente, para dejarlo claro, no es nuestro jefe”, escribe @jorgeramosnews. “Los periodistas nos debemos a la verdad”.…	140	2019-04-17 15:33:46	Twitter for iPhone	0	2754
