id,text,len,date,source,likes,rt
1118982535017406465,#EFBajío En Querétaro será la premier de la 'biopic' del autor de El Señor de los Anillos. https://t.co/elCXrg2rFt https://t.co/DvS7l8a68H,138,2019-04-18 21:00:00,TweetDeck,2,0
1118974988692836352,"#Opinión Debemos reconocer que venimos de décadas de maltrato, abandono e ingratitud con respecto de maestras y mae… https://t.co/WfIPsdJAE6",140,2019-04-18 20:30:01,TweetDeck,2,3
1118973947771596800,Las principales instituciones de Perú colocaron las banderas izadas a media asta en señal de duelo por la muerte de… https://t.co/cZmfgBQwJG,140,2019-04-18 20:25:53,Twitter Web Client,4,3
1118967436282347521,"Y tú, ¿estás a favor o en desacuerdo con que el Gobierno federal constituya un grupo de gasolineras? ⛽ https://t.co/OABARyRXOS",126,2019-04-18 20:00:00,TweetDeck,13,2
1118965205306732544,"Israel intentará de nuevo ir a la Luna, pese a que en la primera ocasión la aeronave, conocida como Génesis, se est… https://t.co/1soVDchVIC",140,2019-04-18 19:51:08,TweetDeck,6,2
1118964229221044226,'Ontas' se ha convertido en un fenómeno viral mexicano con el que famosos como Drake Bell han interactuado. Te cont… https://t.co/Gc8l5lR5uh,140,2019-04-18 19:47:16,Twitter Web Client,222,49
1118963119294951426,"Las ventas son la última señal de la creciente dependencia del Gobierno de Venezuela con Rusia, en momentos en que… https://t.co/LJE8vHsTF7",139,2019-04-18 19:42:51,Twitter Web Client,5,5
1118956518559363084,"Yuan, CEO de Zoom, se une a Sergey Brin de Alphabet y Elon Musk de Tesla, también inmigrantes que se convirtieron e… https://t.co/XPu7x0ynDK",140,2019-04-18 19:16:37,Twitter Web Client,12,5
1118952340613206021,"Por géneros, el 79.6 por ciento de las mujeres revelaron sentirse inseguras, mientras que en el caso de los hombres… https://t.co/Ki9wY08wiS",140,2019-04-18 19:00:01,TweetDeck,2,4
1118946187518681089,"""Se tomaron imágenes cada 10 minutos a partir del lunes a las dos de la tarde"", comentó Marc Eskenazi, representant… https://t.co/LZy5da142e",140,2019-04-18 18:35:34,TweetDeck,12,3
1118938407860932612,"Todavía tenemos a 'Chabelo' para rato, el actor, conductor y cantante acabó con las especulaciones. https://t.co/6RgZT1wv0U",123,2019-04-18 18:04:39,Twitter Web Client,29,1
1118937234936348674,#EFPenínsula ¿No sabes qué hacer o a dónde ir en estas vacaciones? Esta podría ser tu opción. 😉👇https://t.co/0KCoXfIMfJ,119,2019-04-18 18:00:00,TweetDeck,2,1
1118935011485474819,"El Gobierno de Trump ha impuesto sanciones a Cuba y países que negocian con este, entre ellos al Reino Unido, en bu… https://t.co/bk6caweHwW",140,2019-04-18 17:51:10,Twitter Web Client,8,6
1118930562276892672,El incendio en la Catedral de Notre Dame hará que dicho inmueble representé un símbolo desagradable de los aconteci… https://t.co/YSz3gI17hg,140,2019-04-18 17:33:29,Twitter Web Client,8,3
1118928316386488321,Las acciones de @Pinterest debutaron en 23.75 dólares y tocaron un máximo de 24.97 dólares poco antes del mediodía. https://t.co/D9TOo8j57o,139,2019-04-18 17:24:33,Twitter Web Client,9,2
1118926301212086273,"""Entendemos su euforia, pero..."", así contestó HBO al peculiar 'meme' publicado por Trump. https://t.co/jyKvdawrM3",114,2019-04-18 17:16:33,Twitter Web Client,5,1
1118922218556100608,.@Amazon tiene más posibilidades de... ¿convertirse en un operador dominante en India? 🤔 https://t.co/HBKueETMWi,112,2019-04-18 17:00:20,Twitter for Android,2,1
1118922164747608064,Dijo que urge separar al poder político del económico y lamentó que la corrupción se haya convertido en la 'peste d… https://t.co/scEIliQ3wv,140,2019-04-18 17:00:07,Twitter Web Client,6,2
1118919297072549890,El fiscal general defendió al presidente de EU argumentando que no hay pruebas para decir que cometió un delito. És… https://t.co/jsP4lF83um,140,2019-04-18 16:48:43,Twitter Web Client,3,3
1118916408589602818,Competirá por el galardón con el filme 'Dolor y Gloria' protagonizado por Antonio Banderas y Penélope Cruz. https://t.co/yfeFs0XaiJ,131,2019-04-18 16:37:14,Twitter Web Client,0,1
1118908099648196608,"El secretario de Justicia de EU, William Barr, dijo que las pruebas no son suficientes para decir que Trump cometió… https://t.co/vu7bW1sPTG",140,2019-04-18 16:04:13,Twitter Web Client,1,1
1118907038044696576,"Un estudio citado por el @SATMX, indicó que algunos médicos aprovechan la dificultad para rastrear el uso de efecti… https://t.co/q9AxrqD0mT",140,2019-04-18 16:00:00,TweetDeck,29,20
1118905988923514885,"La ciudad de Hualien, en Taiwán, fue sacudida este jueves por un fuerte terremoto. https://t.co/DK5spUNNhn",106,2019-04-18 15:55:50,Twitter Web Client,3,4
1118903807554011137,La salida de la México-Cuernavaca es un caos en este Jueves Santo por la alta afluencia de vacacionistas y por una… https://t.co/kDmiqP21yD,139,2019-04-18 15:47:10,Twitter Web Client,14,14
1118891944866795523,"#EFPenínsula 'El Cuyo' enamoró tanto a una pareja que dejaron su vida en Playa del Carmen, para iniciar una nueva e… https://t.co/FMA6E9txh4",140,2019-04-18 15:00:02,TweetDeck,35,9
1118737510157443073,"El Gobierno de México dijo que protegerá a las empresas mexicanas que pudieran verse afectadas por estas medidas.
https://t.co/Mg5U5T59lY",137,2019-04-18 04:46:22,TweetDeck,49,21
