id,text,len,date,source,likes,rt
1118987571525107712,#Video 📹 Checa estás “Santas” Curiosidades #VlogBuster https://t.co/bviOC7Demr https://t.co/pQv0lqWN2E,102,2019-04-18 21:20:01,Twitter Media Studio,0,0
1118986308284747782,Fuentes policiales indicaron que es posible que el incendio se debiera a una falla eléctrica https://t.co/elhBELw1up,116,2019-04-18 21:15:00,TweetDeck,2,1
1118985100748783616,RT @UnivDeportes: #Fusión #UDMT - El Universal Deportes / Medio Tiempo  - 18 de Abril de 2019    https://t.co/m36aL2qidL https://t.co/9pszQ…,140,2019-04-18 21:10:12,Twitter Web Client,0,1
1118985049607561221,#MochilazoEnElTiempo Los bomberos trabajaron entre tesoros carbonizados https://t.co/eNSB1VFIxf https://t.co/4XvOmFGqyD,119,2019-04-18 21:10:00,Twitter Media Studio,15,2
1118983828725469193,"RT @Revista_Clase: Salma Hayek pide ayuda para localizar a Luis Miguel 😱⬇
https://t.co/9FB87SIUmm https://t.co/bELyXfTEaa",121,2019-04-18 21:05:09,Twitter Web Client,0,3
1118983792121843712,"Concepción “N” e Isabel “N” se refugiaron en las habitaciones de la parte alta de la casa y, fueron auxiliadas por… https://t.co/j6n50aZqVi",139,2019-04-18 21:05:00,TweetDeck,5,6
1118982535575265282,"📰 @El_Universal_Mx y @Milenio se unen en #ConLosDeEnfrente, programa de análisis y debate 🔷

◾️Con @hdemauleon,… https://t.co/SfIXs3AYE9",136,2019-04-18 21:00:00,Twitter Media Studio,5,1
1118981275057033216,Demostraron que la muerte de las células cerebrales podía detenerse e incluso restablecer algunas conexiones en el… https://t.co/kl56B6qC4k,139,2019-04-18 20:55:00,TweetDeck,18,11
1118980676081070081,"RT @Vive_USA: Los patines eléctricos superaron ya a las bicicletas ancladas en el mercado de “micromovilidad”.  
https://t.co/nhIwLYFGay",136,2019-04-18 20:52:37,Twitter Web Client,0,3
1118980017009102868,"Senadores y diputados federales de oposición advirtieron que para dejar sin efecto la reforma educativa, incurriría… https://t.co/GPwc6wFPMO",140,2019-04-18 20:50:00,TweetDeck,26,12
1118979636136955905,RT @elbotiquinmx: La falta de nutrientes y vitaminas en su alimentación diaria son las causas principales que detonan la enfermedad. https:…,140,2019-04-18 20:48:29,Twitter Web Client,0,4
1118979559620272128,"RT @elbotiquinmx: La mejor forma de obtener sus propiedades es tomándolo en forma de infusión. 
https://t.co/b8wUyhiihq",119,2019-04-18 20:48:11,Twitter Web Client,0,3
1118979534823526409,"RT @elbotiquinmx: En esta cirugía los precios pueden llegar a variar mucho según el paciente y sus necesidades. 
https://t.co/YMjOJM1yYV",136,2019-04-18 20:48:05,Twitter Web Client,0,1
1118978971620773897,"RT @universalqro: #VidaQ 💃😀 Ana y Laura son dos participantes de los dos mil 449 bailarines, desde niños hasta profesionales, que celebrará…",140,2019-04-18 20:45:51,Twitter Web Client,0,4
1118977500430897152,Aseguran laboratorio clandestino y drogas sintéticas en Sinaloa https://t.co/1XfJiWIit5 https://t.co/gdIvjhU8o3,111,2019-04-18 20:40:00,TweetDeck,12,2
1118976241715965952,Estos tips son ideales para planear maratones estas vacaciones 🍿 https://t.co/bJ6XAbXyRR,88,2019-04-18 20:35:00,TweetDeck,12,4
1118974983269601280,#Video 📹 Este es el futuro de los videojuegos 🎮 👾  https://t.co/QrNqPHJL2M https://t.co/E3XY8OmKWN,98,2019-04-18 20:30:00,Twitter Media Studio,6,4
