id	text	len	date	source	likes	rt
1118942355690799104	"Atravesarán el país hasta llegar a Estados Unidos. 

https://t.co/wTeXqUQ2rj"	76	2019-04-18 18:20:21	TweetDeck	0	0
1118938313191084032	"Abandonan a migrantes mexicanos: Cierran oficinas del Programa Paisano en Estados Unidos. 

Vía @martinespinosa por… https://t.co/IgHL6AOZAO"	140	2019-04-18 18:04:17	SnappyTV.com	6	8
1118934590641639424	"La circulación aún es complicada. 

https://t.co/4CYSaESrvH"	59	2019-04-18 17:49:29	TweetDeck	15	8
1118929453437149185	"Difunden el video de la mujer que se robó a la pequeña  Nancy Tirzo 👇  

https://t.co/rfFG8m2hbZ"	96	2019-04-18 17:29:05	TweetDeck	10	26
1118926283814182912	"El presidente @lopezobrador_ señaló que 'la corrupción es la nueva peste del mundo'. 

https://t.co/oWsbYzhRT8"	110	2019-04-18 17:16:29	TweetDeck	14	4
1118922603584991232	"Donald Trump volvió a recurrir a la popular serie 'Game of Thrones'.

https://t.co/tkU2eNtbIf"	93	2019-04-18 17:01:51	TweetDeck	3	0
1118922140680515584	Sabemos que al momento de dormir tampoco se quieren separar de ti 🐾😅 https://t.co/qoM5zcfTVD	92	2019-04-18 17:00:01	TweetDeck	25	7
1118918351449935879	"Te compartimos los cartones de #Excélsior 🖊👇 

Gregorio: Sueeeña... con un mañana
Franco: Siniestro https://t.co/83ZIIQTjZB"	123	2019-04-18 16:44:58	TweetDeck	14	3
1118915144921174016	"Por vacaciones, avenida 20 de noviembre será peatonal #SemanaSanta

¿Qué opinas? 👇 

https://t.co/7mC6Yl67qr https://t.co/trEriWddMu"	132	2019-04-18 16:32:13	TweetDeck	4	3
1118914223701151745	"Retomarán actividades el 22 de abril. 

https://t.co/0NtAhd1AAs"	63	2019-04-18 16:28:34	TweetDeck	2	1
1118912568712732674	"No olvides hidratarte 💦

https://t.co/FqWuMVJopy"	48	2019-04-18 16:21:59	TweetDeck	3	2
1118911960135995392	"La pequeña recibió 40 puntos de sutura 😰

https://t.co/4HilUY6bHr"	65	2019-04-18 16:19:34	TweetDeck	8	0
1118911507159506944	"Los trabajos de mantenimiento concluirán el viernes 19 de abril. 

https://t.co/FaveQVNrkL"	90	2019-04-18 16:17:46	TweetDeck	2	1
1118911141311336449	"¡No te acabes tu saldo! 👇 

https://t.co/yjpx3vVOsp"	51	2019-04-18 16:16:19	TweetDeck	6	4
1118910025978695687	Javier López #Chabelo aclaró que no está grave y que se encuentra recuperándose, agradeció la preocupación del públ… https://t.co/cfPYbF0mTW	140	2019-04-18 16:11:53	SnappyTV.com	7	1
1118906993689841664	El actor Will Smith filmó en Morelos parte de 'Bad Boys for Life', película en la que comparte créditos con las mex… https://t.co/vteY8s6rMT	140	2019-04-18 15:59:50	SnappyTV.com	12	4
1118904093462761474	Los delincuentes no tienen vacaciones; en esta época se incrementan los delitos en el país, particularmente en la C… https://t.co/nZmPXDZXnb	140	2019-04-18 15:48:18	SnappyTV.com	13	9
1118902794478596097	"Disfruta las vacaciones pero no descuides tu salud 😎

https://t.co/uVkLV54XD3"	77	2019-04-18 15:43:09	TweetDeck	2	1
1118898628062478336	"¡Escapa de la rutina! ¡Participa en la #CarreraImagen! 🏃‍♂ Te esperamos el 5 de mayo en la Ciudad de México.

Más i… https://t.co/S5BJFOAoRW"	140	2019-04-18 15:26:35	Twitter Media Studio	1	0
1118895903258107904	"Han provocado severos problemas vehiculares. 

https://t.co/wZHtEGKPhd"	70	2019-04-18 15:15:46	TweetDeck	7	5
1118893406460182534	"Entre los detenidos se encontraban dos policías preventivos. 

https://t.co/Nxzb0k4Tyy"	86	2019-04-18 15:05:50	TweetDeck	3	3
1118893022958190594	"Cada uno de los sabores te sorprenderá... 🍦

https://t.co/INMPv1DS6U"	68	2019-04-18 15:04:19	TweetDeck	9	4
1118891105091825664	"Resultaron lesionadas 19 personas. 

https://t.co/QEgTgMTHl2"	60	2019-04-18 14:56:42	TweetDeck	10	3
1118889550909194240	"El hombre intentó explicarles pero no lo escucharon. 

https://t.co/HmmbpFAsc1"	78	2019-04-18 14:50:31	TweetDeck	73	65
1118888099403014149	"Un tráiler que transportaba migrantes se volcó en Veracruz, todavía se desconoce la cifra de lesionados. 

Vía… https://t.co/BNNXESLWIy"	135	2019-04-18 14:44:45	SnappyTV.com	10	3
1118885645408247813	"El cobro no se concretó gracias a una patrulla. 

https://t.co/V3Qi88jo8H"	73	2019-04-18 14:35:00	TweetDeck	15	8
1118883129014587393	"Busca alternativas viales 

https://t.co/kDaoNxBjJ2"	51	2019-04-18 14:25:00	TweetDeck	2	1
1118879543132086274	"¡Calcula tus tiempos! 🚗

https://t.co/n96N2ci7LK"	48	2019-04-18 14:10:45	TweetDeck	4	1
1118878966373335043	"Nada justifica estas acciones. 

https://t.co/35jOTMT6wu"	56	2019-04-18 14:08:28	TweetDeck	40	53
1118878397588037634	"¡No olvides aplicarte bloqueador! ☀

https://t.co/vgSKvOTgM6"	60	2019-04-18 14:06:12	TweetDeck	8	6
1118878055131426817	"Samsung no ha respondido por el momento.

https://t.co/ktzST2q5xI"	65	2019-04-18 14:04:50	TweetDeck	6	1
1118877876194091009	"Alejandro Aguerrebere (@Alejou), escribe: Coctel explosivo de 2019… 

https://t.co/ZLggZcmjJj https://t.co/1sDqt2ucRo"	117	2019-04-18 14:04:08	TweetDeck	2	1
1118876673800376320	"André Marín (@andremarinpuig), escribe: 'Un ridículo llamado Veracruz' 

https://t.co/CpF2wIxZFc https://t.co/Y3xBRS7fEZ"	120	2019-04-18 13:59:21	TweetDeck	7	3
1118874831406149632	"Daniel Aceves Villagrán, escribe: 'Más prohibido, más deseado' 

https://t.co/G2Eatb81FE https://t.co/J1OSBz3H6Y"	112	2019-04-18 13:52:02	TweetDeck	2	0
1118871927542693888	"Humberto Musacchio (@larepublicadela), escribe: Sindicatos y reforma laboral 

https://t.co/kHp3yjpnR7 https://t.co/zR9Y93y7bG"	126	2019-04-18 13:40:29	TweetDeck	2	1
1118871387630915585	"Luis de la Barreda Solórzano, escribe: Ciudadanía

 https://t.co/pMFJwhLQmS https://t.co/GrZXCprHi2"	99	2019-04-18 13:38:21	TweetDeck	3	1
1118869572260630528	"Carlos Elizondo Mayer-Serra (@carloselizondom), escribe: Un país normal. 

https://t.co/bXKCdhIECE https://t.co/wCZXqCjMzc"	122	2019-04-18 13:31:08	TweetDeck	4	2
1118868968645824512	"Juan José Rodríguez Prats (@rodriguezprats), escribe: El desorden 

https://t.co/yfrWTAn8l9"	91	2019-04-18 13:28:44	TweetDeck	6	2
1118867362957144065	"Javier Aparicio (@javieraparicio) escribe: 'Falacias mañaneras' 

https://t.co/4RYhrkfYZX"	89	2019-04-18 13:22:21	TweetDeck	7	3
1118866342227136512	"Ángel Verdugo(@AngelVerdugoB ), escribe: ¿Cómo anda su religiosidad? 

https://t.co/Z5f7nwnWIE https://t.co/NP2Hvs8qfQ"	118	2019-04-18 13:18:18	TweetDeck	1	1
1118865780307832832	"Jesús Sesma Suárez, escribe: No basta con visibilizar la violencia 

https://t.co/0EJrPOjRF3"	92	2019-04-18 13:16:04	TweetDeck	4	1
1118863784305680384	No te pierdas la columna de Alfredo La Mont (@ckaspia), #SinMaquillaje. Puedes mandarle tus preguntas a:  arlamont@… https://t.co/HYLaFDQcPN	140	2019-04-18 13:08:08	TweetDeck	5	1
1118861745219690496	"Checa los horarios que tendrá el transporte público de la #CDMX durante la #SemanaSanta. 👇

https://t.co/4eMTPWTZ12 https://t.co/KXhBHsUwnl"	139	2019-04-18 13:00:02	TweetDeck	1	1
1118860501344239616	"Ya fueron sancionados. 

https://t.co/MQhIkjKNuc"	48	2019-04-18 12:55:05	TweetDeck	6	3
1118858296902017024	"Paola Virrueta (@PaolaVirrueta) escribe: 'Una muerte anunciada' 

https://t.co/MGUucLzibF"	89	2019-04-18 12:46:20	TweetDeck	10	1
1118854167047606272	"Checa la información completa 👇

https://t.co/k0cAdB7pcf"	56	2019-04-18 12:29:55	TweetDeck	6	2
1118853482847571968	El mundo de los deportes lo encontrarás en nuestra portada de #Adrenalina ⚽️🏀🏈⚾️ https://t.co/KvVnbrwOnJ ¡… https://t.co/cGFhU7NJTm	131	2019-04-18 12:27:12	TweetDeck	2	2
1118853070472065025	Entérate de los espectáculos más relevantes de este #FelizJueves en nuestra portada de #Función 🎤🎞… https://t.co/q3tG2bD5KC	123	2019-04-18 12:25:33	TweetDeck	4	2
1118852984832708615	La información cultural más importante del día la encuentras en nuestra portada de #Expresiones 🎭🎨🎼… https://t.co/kH8bjTa9aI	124	2019-04-18 12:25:13	TweetDeck	2	2
1118851569418686465	Las noticias más relevantes de la #CDMX en portada de #Comunidad 🌇  https://t.co/xE3WUmjuSi ¡#FelizJueves! https://t.co/NVLlpsXeQe	130	2019-04-18 12:19:36	TweetDeck	2	1
1118850771276173312	El mundo de las finanzas está en nuestra portada de #Dinero 💰💳  https://t.co/KB20qUvHn4 ¡#FelizJueves! https://t.co/ItXQmI7KD2	126	2019-04-18 12:16:25	TweetDeck	5	1
1118849726122745858	La información internacional más relevante del día la encontrarás en nuestra portada de #Global 🌎… https://t.co/kveKFsJ463	122	2019-04-18 12:12:16	TweetDeck	6	5
1118848771427848192	📰 #BuenosDías Empieza tu día bien informado con nuestra portada de #Excélsior https://t.co/8PcuaO9Sak ¡#FelizJueves! https://t.co/pirn2iPACr	140	2019-04-18 12:08:28	TweetDeck	6	3
1118847421910532102	"¡Toma precauciones! ☔

https://t.co/4SMCNSxUPa"	46	2019-04-18 12:03:07	TweetDeck	20	5
1118831538332930049	Tranquilos, 'Chabelo' está bien. https://t.co/XIRFrRPkE4	56	2019-04-18 11:00:00	TweetDeck	31	1
1118816440566652929	La mexicana se enfoca en ser una fuerza de cambio 💪 https://t.co/WSJgZtOkYf	75	2019-04-18 10:00:00	TweetDeck	6	2
1118786241313382400	Cientos de peregrinos de todas partes del mundo se dieron cita para presenciar el momento. https://t.co/gx2jzpLYiF	114	2019-04-18 08:00:00	TweetDeck	7	4
1118771141705916417	Sin comentarios. https://t.co/eLdU7PGrQm	40	2019-04-18 07:00:00	TweetDeck	19	20
1118756041850859520	Es el colmo 😡 https://t.co/xfjNd8pGCA	37	2019-04-18 06:00:00	TweetDeck	34	20
1118740942746341382	También compartió el video del ultrasonido ❤ https://t.co/XASGyZXiXj	68	2019-04-18 05:00:00	TweetDeck	13	1
1118725841502912512	#QueNoSeTePase Estos vehículos no circularán este jueves por Contingencia Ambiental https://t.co/4V1xXPci5P https://t.co/0yN2cKMIIO	131	2019-04-18 04:00:00	TweetDeck	10	2
1118710505944829954	"7 mil policías vigilarán las calles de la alcaldía para mantener la seguridad. 
 https://t.co/X1Uvf3W3gK"	104	2019-04-18 02:59:03	TweetDeck	8	2
1118710351460216834	Fue acusado en una corte federal de Nueva York de conspirar para importar cocaína. https://t.co/otFSxssWXb	106	2019-04-18 02:58:27	TweetDeck	29	11
1118710068764119041	Los conductores presuntamente se dedicaban al tráfico de personas y cobraban una suma importante de dinero https://t.co/Csw9iUlyge	130	2019-04-18 02:57:19	TweetDeck	8	2
1118709791503912960	¡Te toma menos de un minuto ayudarnos a compartir! https://t.co/Nau3MlHaeU	74	2019-04-18 02:56:13	TweetDeck	58	472
1118704021672427521	También se anunció el lanzamiento de un concurso internacional para la reconstrucción de la aguja de #NotreDame https://t.co/kP0nZc3rDS	135	2019-04-18 02:33:17	TweetDeck	14	0
1118702365358612480	Los isleños viajaban a bordo de una docena de autobuses desde la ciudad de Tapachula. https://t.co/fp8RHWO0ew	109	2019-04-18 02:26:43	TweetDeck	18	5
1118702253345595392	Afortunadamente no había nadie en la camioneta. https://t.co/tjKfqHyn6v	71	2019-04-18 02:26:16	TweetDeck	13	4
1118701797277863938	¡Adiós a la comida chatarra! https://t.co/7uFqVKpVMG	52	2019-04-18 02:24:27	TweetDeck	46	15
1118694025148739587	Estos son los vehículos que no podrán circular mañana.  👇https://t.co/jPXTXw5RXO	80	2019-04-18 01:53:34	TweetDeck	4	6
1118693429700067328	Tranquilos, 'Chabelo' está bien. https://t.co/XIRFrRPkE4	56	2019-04-18 01:51:12	TweetDeck	43	10
1118692532102287360	En las últimas horas ya se regularizó el pago de las tres quincenas pendientes. https://t.co/soUYtoSRi5	103	2019-04-18 01:47:38	TweetDeck	13	8
