id,text,len,date,source,likes,rt
1118863891843428353,"La calificación de los diferentes sitios mexicanos de noticias a nivel mundial y nacional, según Alexa… https://t.co/VuDQcwpC7h",127,2019-04-18 13:08:33,Twitter for iPhone,7,3
1118820356163284999,"RT @esquivelancona_: Vacaciones. Andrés Manuel y Jesús Ramírez, hartos ya de estar hartos https://t.co/FNV1Je1gbo a través de @FedericoArre…",140,2019-04-18 10:15:34,Twitter for iPhone,0,5
1118655999018139648,"Alfaro, gobernador a distancia https://t.co/ORENPT6K0m vía @salvadorcosio1",74,2019-04-17 23:22:28,Twitter for iPhone,5,6
1118653638535254018,Un llamado de auxilio: No hay licencias laborales para padres de niños con cáncer https://t.co/EszlW3ECio vía @panaclo,118,2019-04-17 23:13:05,Twitter for iPhone,13,7
1118652923695775744,Operan a Chabelo de emergencia https://t.co/AWCuyFiDgu vía @sdpnoticias,71,2019-04-17 23:10:15,Twitter for iPhone,4,3
1118647850089500672,Matan a ex integrante del Estado Mayor Presidencial de Peña Nieto https://t.co/AaCbBLRLCI vía @sdpnoticias,106,2019-04-17 22:50:05,Twitter for iPhone,1,9
1118592546907807744,Esposo de Salma Hayek dona 100 millones de dólares a Notre Dame y Slim responde con TODO https://t.co/gYEJ118QE4,112,2019-04-17 19:10:20,Twitter for iPhone,6,2
1118587082937634821,"AMLO y el arte de la guerra: reforma, contra-reforma y memorándum. La estrategia https://t.co/ixKR1wWN1m vía @maloguzmanvero",124,2019-04-17 18:48:37,Twitter for iPhone,4,4
1118582910406336514,¿Fifís aceptarán éxito de 4T? (Ojalá) https://t.co/4wz5euG4gl vía @sdpnoticias,78,2019-04-17 18:32:02,Twitter for iPhone,20,8
1118556987166527490,La revista TIME incluye a AMLO en su lista de personajes más influyentes del mundo https://t.co/kI2dVyH1eX vía @sdpnoticias,123,2019-04-17 16:49:02,Twitter for iPhone,75,37
1118511543614881794,Expresidente de Perú se pega un tiro para evitar arresto por caso Odebrecht https://t.co/BIUBv5VJcu vía @sdpnoticias,116,2019-04-17 13:48:27,Twitter for iPhone,6,13
1118504161459539970,"Vacaciones. Andrés Manuel y Jesús Ramírez, hartos ya de estar hartos https://t.co/7EwFsQopid vía @FedericoArreola",113,2019-04-17 13:19:07,Twitter for iPhone,12,3
1118502031390642176,"RT @Mar_Morales_: Vacaciones. Andrés Manuel y Jesús Ramírez, hartos ya de estar hartos https://t.co/6CBP0ZpPkS vía @FedericoArreola",131,2019-04-17 13:10:39,Twitter for iPad,0,2
1118502009450172416,"Vacaciones. Andrés Manuel y Jesús Ramírez, hartos ya de estar hartos  https://t.co/7EwFsQopid /Columna",102,2019-04-17 13:10:34,Twitter for iPad,4,0
1118368587264200706,AMLOVEmetrics: Evaluando el desempeño del gabinete en las mañaneras https://t.co/mXzw7fkE8C vía @sdpnoticias,108,2019-04-17 04:20:24,Twitter for iPhone,0,0
1117983320812466177,Vuelo de Aeroméxico se declara en emergencia y regresa a aeropuerto de Ámsterdam https://t.co/YTNKDYrlNl vía @sdpnoticias,121,2019-04-16 02:49:29,Twitter for iPhone,6,7
1117946791264124930,No todo https://t.co/9fteWhSktI,31,2019-04-16 00:24:20,Twitter for iPhone,2,3
1117946619138330629,Ya ve https://t.co/ujpaImrq0a,29,2019-04-16 00:23:39,Twitter for iPhone,2,0
1117928083171028992,La historia de la mexicana que se mató en la Catedral de Notre Dame https://t.co/OU1kup3pna vía @sdpnoticias,108,2019-04-15 23:09:59,Twitter for iPhone,16,12
1117911605147136002,"Estructura de catedral de Notre Dame se ha salvado, aseguran bomberos https://t.co/8t2Y9uaueV vía @sdpnoticias",110,2019-04-15 22:04:31,Twitter for iPhone,3,2
1117895893322096641,No es seguro salvar catedral de Notre Dame https://t.co/4ozCLmwwDO vía @sdpnoticias,83,2019-04-15 21:02:05,Twitter for iPhone,1,1
1117889569913880577,"RT @cdesquivel: Mañaneras, AMLO, Jorge Ramos y los buenos reporteros mexicanos a los que desprecia El Güero Castañeda https://t.co/oFmHNbcA…",140,2019-04-15 20:36:57,Twitter for iPhone,0,6
1117854343250706439,AMLO exige a El Deforma revelar sus fuentes https://t.co/Fd18uqdL9Y,67,2019-04-15 18:16:58,Twitter for iPhone,26,13
1117845883138318336,Se incendia Catedral de Notre Dame https://t.co/RFZ9O9pKjv vía @sdpnoticias,75,2019-04-15 17:43:21,Twitter for iPhone,0,0
1117837416948281344,Hombre vende su automóvil para poder pagar gasolina de la Shell https://t.co/fg8A3ZTSCV,87,2019-04-15 17:09:43,Twitter for iPhone,41,12
1117808486992306176,"Mañaneras, AMLO, Jorge Ramos y los buenos reporteros mexicanos a los que desprecia El Güero Castañeda https://t.co/k5qz5sZ83U /columna",134,2019-04-15 15:14:45,Twitter for iPad,3,2
1117808435934965760,"Mañaneras, AMLO, Jorge Ramos y los buenos reporteros mexicanos a los que desprecia El Güero Castañeda… https://t.co/tEgZk26CZQ",126,2019-04-15 15:14:33,Twitter for iPad,0,0
1117782300996059139,Primera baja. ¿Quién sigue? Y por qué a Beatriz la agreden en Twitter... ¡y en las grillas del joven gabinete!… https://t.co/QsdA0pkkOR,135,2019-04-15 13:30:42,Twitter for iPhone,4,5
1117782165931139072,Columnistas en vacaciones (o huevones) https://t.co/4nO0hfTLuC vía @FedericoArreola ...,87,2019-04-15 13:30:10,Twitter for iPhone,1,2
1117768645969612800,RT @Mar_Morales_: Columnistas en vacaciones (o huevones) https://t.co/TJ9x5xp6ik vía @FedericoArreola,101,2019-04-15 12:36:26,Twitter for iPhone,0,2
1117711142749708289,RT @jlca007: Columnistas en vacaciones (o huevones) https://t.co/dCuKyx5XRl vía @FedericoArreola,96,2019-04-15 08:47:57,Twitter for iPhone,0,1
1117709768888651776,Columnistas en vacaciones (o huevones) https://t.co/4nO0hfTLuC / Columna,72,2019-04-15 08:42:29,Twitter for iPhone,1,0
1117709699137310720,Columnistas en vacaciones (o huevones) https://t.co/4nO0hfTLuC vía @FedericoArreola,83,2019-04-15 08:42:12,Twitter for iPhone,2,0
1117698262939635718,Reforma Laboral y la pasividad sindical. https://t.co/oGEyFU5kGQ vía @riclandero,80,2019-04-15 07:56:46,Twitter for iPad,1,2
1117694835866177536,Primera baja. ¿Quién sigue? Y por qué a Beatriz la agreden en Twitter... ¡y en las grillas del joven gabinete!… https://t.co/BNECkU3Rhx,135,2019-04-15 07:43:09,Twitter for iPhone,1,1
1117489013609390080,A gritos y sombrerazos https://t.co/aQQnc77wqI vía @maloguzmanvero,66,2019-04-14 18:05:17,Twitter for iPhone,2,3
1117488564290445312,A gritos y sombrerazos https://t.co/aQQnc77wqI vía @maloguzmanvero,66,2019-04-14 18:03:30,Twitter for iPad,4,2
