id,text,len,date,source,likes,rt
1118746402786545664,RT @maximilianoreyz: Comunicado de la Cruz Roja venezolana #neutralidad #imparcialidad #independencia https://t.co/N7UYhNaXmq,125,2019-04-18 05:21:42,Twitter for Android,0,13
1118746339385462784,"RT @DiazCanelB: No cambiará la actitud frente a los que sostienen la espada contra nosotros. Los cubanos no nos rendimos, ni aceptamos leye…",140,2019-04-18 05:21:27,Twitter for Android,0,926
1118686195607797760,RT @JohnMAckerman: Es muy peligroso que la oposición en México esté apostando al golpismo. No saben vivir sin privilegios y desde hoy hacen…,140,2019-04-18 01:22:27,Twitter for Android,0,1467
1118614261335568385,"Al principio me sentía mal por haber asistido a la #TomaDePosesion de @lopezobrador_ con zapatos desgastados, pero… https://t.co/u2YXL50YGa",139,2019-04-17 20:36:37,Twitter for Android,5632,1755
1118613406292951040,Es muy peligroso que la oposición en México esté apostando al golpismo. No saben vivir sin privilegios y desde hoy… https://t.co/e1KBkJX0b7,139,2019-04-17 20:33:13,Twitter Web Client,2723,1467
1118538246089334784,"RT @revistaproceso: El memorándum sobre reforma educativa es un asunto político, no legal: @lopezobrador_  https://t.co/6Er8jxSZSB",130,2019-04-17 15:34:33,Twitter for Android,0,165
1118530090130915333,"Otro bot de altísimo nivel que desconoce mi nacionalidad y compromiso con la justicia.👇🏾

Estuvimos en las calles,… https://t.co/xq6T1qfN0O",139,2019-04-17 15:02:09,Twitter for Android,246,84
1118512733622874112,RT @JohnMAckerman: #Memorandum @lopezobrador_ #ReformaEducativa es un acto humanitario a favor de #PresosPolíticos y los derechos de los ma…,140,2019-04-17 13:53:11,Twitter for Android,0,626
1118510573443067920,"Efectivamente, #Memorandum @lopezobrador_ no deroga ni viola artículo constitucional o disposición legal alguno.

L… https://t.co/CNErpBhmph",140,2019-04-17 13:44:36,Twitter for Android,1816,1088
1118508356694630401,"Órale, un verdadero Trumpista a la mexicana, simultáneamente xenófobo y malinchista, me corre de ""su"" país en inglé… https://t.co/bgYvZcxc3s",140,2019-04-17 13:35:47,Twitter for Android,551,159
1118507533646336000,"RT @PabloGomez1968: A quienes descalifican a @lopezobrador_ por el Memorándum enviado a 3 secretarios, les respondo que añoran el pasado, n…",140,2019-04-17 13:32:31,Twitter for Android,0,3196
1118366160729276418,Conozco algunos casos...🤔😂 https://t.co/Rmj9DNOBr0,50,2019-04-17 04:10:45,Twitter for Android,6414,2629
1118365800333815808,"RT @jgnaredo: Siguen sin comprender la sagacidad de @lopezobrador_. 

Mientras lo llaman dictador y bla bla bla, él, con un memorándum y si…",140,2019-04-17 04:09:19,Twitter for Android,0,1107
1118349854714023937,¿Dónde estaban quienes hoy reclaman supuesta ilegalidad del #Memorandum @lopezobrador_ #ReformaEducativa cuando… https://t.co/i4afNRQWLA,136,2019-04-17 03:05:57,Twitter Web Client,2244,1456
1118348209842196482,#Memorandum @lopezobrador_ #ReformaEducativa es un acto humanitario a favor de #PresosPolíticos y los derechos de l… https://t.co/exOnb7PCst,140,2019-04-17 02:59:25,Twitter Web Client,1118,626
1118294872086106113,"RT @lopezobrador_: La libertad será completa, con respeto al derecho a disentir, a la crítica. No habrá censura. Conferencia de prensa. htt…",140,2019-04-16 23:27:29,Twitter for Android,0,1989
1118198881529892865,"Exijamos cuentas, austeridad y transparencia a las autoridades de las universidades públicas, pero no tiremos al be… https://t.co/TshRKPpV2S",140,2019-04-16 17:06:03,Twitter Web Client,358,181
1117961643760033792,"¿Cuál es el plan del @GobiernoMX para defender a los migrantes mexicanos que viven en Estados Unidos? 

Sobre este… https://t.co/CDByH19wls",139,2019-04-16 01:23:21,Twitter Web Client,228,106
1117884219911364608,"RT @lajornadaonline: #VideosLaJornada Este lunes, durante la conferencia de prensa que encabeza @lopezobrador_, la titular de la @SFP_mx, @…",140,2019-04-15 20:15:41,Twitter for Android,0,81
1117770602247593985,"RT @lajornadaonline: .@Irma_Sandoval no cree que los hombres sean más corruptos que las mujeres, porque es lejana al esencialismo. Señala q…",140,2019-04-15 12:44:13,Twitter Web Client,0,89
1117598183046230016,RT @Morenoemmiux: @tvunam @JohnMAckerman Muy interesante la entrevista e invitado en                                    #dialogosporlademoc…,140,2019-04-15 01:19:05,Twitter for Android,0,4
1117595426721607680,"RT @JohnMAckerman: ¡Hoy a las 8pm inicia la transmisión del programa de @DialogosUNAM en YouTube!

No te pierdas la conversación de hoy con…",140,2019-04-15 01:08:08,Twitter for Android,0,51
1117590608342933504,"RT @DialogosUNAM: Esta noche tienes que nuestro programa en @TVUNAM!

Hoy @JohnMAckerman conversa con @Jorge_IslasLo, el cónsul de México…",138,2019-04-15 00:48:59,Twitter for Android,0,14
1117574278717874177,"RT @DialogosUNAM: Es un destacado jurista formado en la @UNAMmx.

Fue abogado general de nuestra máxima casa de estudios y recientemente lo…",140,2019-04-14 23:44:06,Twitter for Android,0,12
1117574109255426048,"RT @tvunam: La relación entre México🇲🇽 y Estados Unidos🇺🇸, derechos de los migrantes y retos del Consulado General de México en Nueva York…",139,2019-04-14 23:43:25,Twitter for Android,0,16
1117557158382534656,"¡Hoy a las 8pm inicia la transmisión del programa de @DialogosUNAM en YouTube!

No te pierdas la conversación de ho… https://t.co/hvPWurO7FF",140,2019-04-14 22:36:04,Twitter for Android,164,51
1117533384127975424,Se equivocan diputados locales de Morena que pretenden reformar unilateralmente las leyes orgánicas de las universi… https://t.co/ftcwYqj5mD,140,2019-04-14 21:01:36,Twitter for Android,386,167
1117283967781281792,RT @tvunam: ¿Qué retos enfrenta el Consulado General de México en Nueva York? @JohnMAckerman charla con @Jorge_IslasLo sobre derechos de lo…,140,2019-04-14 04:30:30,Twitter for Android,0,35
1117202152433303559,RT @wikileaks: Is Julian Assange not a journalist? Is WikiLeaks not a media organization? If so it is amazing how many journalism awards ha…,140,2019-04-13 23:05:24,Twitter for Android,0,3400
1117171336613261312,"RT @AlPunto: ¿Qué ha demostrado AMLO en sus primeros tres meses como presidente? @jorgeramosnews habla con dos periodistas, uno que apoya a…",140,2019-04-13 21:02:57,Twitter for Android,0,65
1117146890934652930,"RT @lajornadaonline: #VideosLaJornada Sobre la petición ""sincera y honesta"" de @lopezobrador_ a la corona española de pedir perdón a los pu…",140,2019-04-13 19:25:49,Twitter for Android,0,214
1117126753930174467,"RT @ActualidadRT: A pesar de los intentos de AMLO de establecer las relaciones de amistad con la hermana España, la Corona no parece ser re…",140,2019-04-13 18:05:48,Twitter for Android,0,313
1117123381227397120,"RT @DialogosUNAM: ¡No te pierdas este domingo el programa de #DiálogosporlaDemocracia en @tvunam!

@JohnMAckerman conversará con el cónsul…",139,2019-04-13 17:52:23,Twitter for Android,0,47
1116875629629181953,RT @JesusRCuevas: El @GobiernoMX debate públicamente y comparece como nunca ha ocurrido. Un ejemplo fue el diálogo abierto del Pdte. @lopez…,140,2019-04-13 01:27:55,Twitter for Android,0,2374
1116522790499303424,RT @jeremycorbyn: The extradition of Julian Assange to the US for exposing evidence of atrocities in Iraq and Afghanistan should be opposed…,140,2019-04-12 02:05:51,Twitter for Android,0,28464
1116508788591398913,"¿Cuáles son los retos que tiene el @GobiernoMX en su relación con los Estados Unidos? 

Sobre esto conversaré este… https://t.co/kMAHBLEMmb",139,2019-04-12 01:10:13,Hootsuite Inc.,447,166
1116164008413925377,"RT @ActualidadRT: ""Como durante la misma colonia, el viejo continente expresa su desdén y desprecio hacia las Américas. Mientras, el Nuevo…",139,2019-04-11 02:20:11,Twitter Web Client,0,129
1116147617921150978,"Si tanto les molesta que exijamos una disculpa, tan sencillo como acabar con la institución responsable de los crím… https://t.co/VMQ3Q3Wv5W",140,2019-04-11 01:15:03,Hootsuite Inc.,3073,1291
1116110343384764417,"RT @lopezobrador_: En Cuernavaca, Morelos, realizamos un acto conmemorativo por el Centenario Luctuoso de Emiliano Zapata. Hicimos el compr…",140,2019-04-10 22:46:56,Twitter for Android,0,2104
1116109222620561408,"Importante comunicado de @fisgonmonero a propósito del impasse que se vive hoy en @ifpmorena.

@yeidckol @diazpol… https://t.co/lcGI69SRg9",138,2019-04-10 22:42:29,Twitter for Android,141,89
1116092112129466376,RT @jenarovillamil: Tengo toda la documentación que acredita las razones por las que pedí la remoción de @Fercoca. Se informará ante la Jun…,140,2019-04-10 21:34:30,Twitter for Android,0,615
1116047001676685312,"RT @nestora_salgado: Hoy vine a la #UNAM al Foro: Retos en materia de derechos laborales para la juventud: precarización, subcontratación y…",140,2019-04-10 18:35:15,Twitter for Android,0,19
1116046972882829312,"RT @DialogosUNAM: Los jóvenes son el presente y futuro del país, y se encuentran en una situación precaria. Debemos fortalecer las leyes la…",140,2019-04-10 18:35:08,Twitter for Android,0,12
1116046907967557632,RT @NapoleonGomezUr: Agradezco la invitación de los estudiantes de la @EAyCFEUNAM y @RELEVOXXI_AC para hablar sobre el futuro laboral de lo…,140,2019-04-10 18:34:52,Twitter for Android,0,11
