id,text,len,date,source,likes,rt
1118980161049890826,Detienen a sujeto con gasolina en iglesia de NY https://t.co/o6gKkg8yvX,71,2019-04-18 20:50:34,Hootsuite Inc.,2,5
1118973292289888266,Rector de UAM niega acusaciones por corrupción https://t.co/VLhmaV86xa,70,2019-04-18 20:23:17,Twitter for iPhone,7,6
1118960079686864896,RT @JoseCardenas1: ¿Cómo va #AMLO?...,37,2019-04-18 19:30:46,Twitter for iPhone,0,810
1118955744399888384,Impugna Armenta ratificación de Barbosa https://t.co/IvrouRNLlZ,63,2019-04-18 19:13:33,Hootsuite Inc.,13,12
1118945861734666242,Saturan salidas de la Ciudad de México https://t.co/w9ufi3JK1C,62,2019-04-18 18:34:17,Hootsuite Inc.,11,5
1118934338551390209,Lamenta López Obrador suicidio de Alan García https://t.co/Hs9KosTnUp,69,2019-04-18 17:48:29,Hootsuite Inc.,4,1
1118926609145319424,Activan alerta amarilla por altas temperaturas en nueve alcaldías https://t.co/iRUWgfjbvf,89,2019-04-18 17:17:46,Hootsuite Inc.,6,1
1118926110576787456,Velan a ex presidente peruano https://t.co/Pm4Ds0myGD,53,2019-04-18 17:15:48,Hootsuite Inc.,8,0
1118915550221152262,"Casa Blanca “cooperó” en investigación sobe trama rusa, determina Fiscal de EU https://t.co/W2Y6gyIyLv",102,2019-04-18 16:33:50,Hootsuite Inc.,4,1
1118908270612221952,Anuncian reunión entre los presidentes de Rusia y Norcorea https://t.co/hbMutKEyJl,82,2019-04-18 16:04:54,Hootsuite Inc.,2,1
1118905122782875648,Continúa la contingencia ambiental https://t.co/0pmwmVlrhw,58,2019-04-18 15:52:24,Hootsuite Inc.,2,3
1118903855402692608,Difunden video de robo de bebé en el Metro https://t.co/HybFyt7Ztd,66,2019-04-18 15:47:22,Hootsuite Inc.,4,6
1118903370897600512,Difunden video de robo de bebé en el Metro https://t.co/hmE2i8574y,66,2019-04-18 15:45:26,Hootsuite Inc.,3,5
1118893345185648640,Trabajadores de la UAM toman de nuevo caseta de la México-Cuernavaca https://t.co/Z5MgKkDDwB,92,2019-04-18 15:05:36,Hootsuite Inc.,13,19
1118890816217518082,Vuelca tráiler con migrantes en Veracruz; 19 heridos https://t.co/WtowDmKVpS,76,2019-04-18 14:55:33,Hootsuite Inc.,7,5
1118875613379559424,Deja seis heridos sismo de 6.1 en Taiwán https://t.co/4eqy3nBaQm,64,2019-04-18 13:55:08,Hootsuite Inc.,9,8
1118845410922180610,Hospitalizan a Chabelo; le envían mensajes de apoyo https://t.co/xiXzxRuA8F https://t.co/tuHLmnksLa,99,2019-04-18 11:55:07,Hootsuite Inc.,20,2
1118800107380539393,Hospitalizan a Chabelo; le envían mensajes de apoyo https://t.co/xiXzxRuA8F https://t.co/3kYfGkhfcM,99,2019-04-18 08:55:06,Hootsuite Inc.,19,3
1118745999655280640,Estudiantes de la UAM van por amparo https://t.co/ilTW1CIkTx https://t.co/IbxVFPxIN6,84,2019-04-18 05:20:06,Hootsuite Inc.,25,17
1118739702025207809,Hospitalizan a Chabelo; le envían mensajes de apoyo https://t.co/xiXzxRuA8F https://t.co/FEI06F1PL8,99,2019-04-18 04:55:04,Hootsuite Inc.,64,13
1118722093540093952,El Tottenham elimina al City en una noche loca (4-3) https://t.co/4EdJSMvV1o https://t.co/je8WIZ5Es6,100,2019-04-18 03:45:06,Hootsuite Inc.,9,1
1118717046869626880,Reportan varios muertos por accidente de autobús turístico en Portugal https://t.co/aHhPJg8nyH https://t.co/zO4N9T8RhB,118,2019-04-18 03:25:03,Hootsuite Inc.,4,3
1118700693051924480,Estudiantes de la UAM van por amparo https://t.co/ilTW1CIkTx https://t.co/WHqq1jboZa,84,2019-04-18 02:20:04,Hootsuite Inc.,21,8
1118692214467641345,Hospitalizan a Chabelo; le envían mensajes de apoyo https://t.co/xiXzxRuA8F https://t.co/fMjjJAFB4b,99,2019-04-18 01:46:22,Hootsuite Inc.,63,12
1118676792146108418,El Tottenham elimina al City en una noche loca (4-3) https://t.co/4EdJSMvV1o https://t.co/5B9oBeh5nd,100,2019-04-18 00:45:05,Hootsuite Inc.,3,1
1118671750676537346,Reportan varios muertos por accidente de autobús turístico en Portugal https://t.co/aHhPJg8nyH https://t.co/iaAoIR5Qh7,118,2019-04-18 00:25:03,Hootsuite Inc.,2,2
1118654878098821120,Mantienen Fase 1 de Contingencia Ambiental en el Valle de México https://t.co/2NnrquhGld https://t.co/qw0NWB7pyX,112,2019-04-17 23:18:01,Hootsuite Inc.,14,5
1118654000872742913,Estudiantes de la UAM van por amparo https://t.co/ilTW1CIkTx https://t.co/nfuKDHFfT6,84,2019-04-17 23:14:32,Hootsuite Inc.,7,5
1118639057620414465,Consulta los horarios del transporte público en Semana Santa https://t.co/AGSA9x5C2B https://t.co/hdfbUgS0iC,108,2019-04-17 22:15:09,Hootsuite Inc.,3,0
1118637300307697666,¿Cómo va #AMLO?...,18,2019-04-17 22:08:10,Twitter Web Client,671,810
1118628647282327552,El Tottenham elimina al City en una noche loca (4-3) https://t.co/4EdJSMvV1o https://t.co/ntAuI4tH58,100,2019-04-17 21:33:47,Hootsuite Inc.,3,0
1118624673456107520,Reportan varios muertos por accidente de autobús turístico en Portugal https://t.co/aHhPJg8nyH https://t.co/D1hKagqDC2,118,2019-04-17 21:17:59,Hootsuite Inc.,2,1
1118623957366779904,Preparan concierto a beneficio de Notre Dame https://t.co/w237qr3qVU https://t.co/XcJvTS3VZi,92,2019-04-17 21:15:09,Hootsuite Inc.,18,6
1118613888763944961,"#ParaEscuchar QUE a decir del presidente de la Junta de Coordinación Política en el Senado, Ricardo Monreal, la Cám… https://t.co/QNN3EaHN5I",140,2019-04-17 20:35:08,Hootsuite Inc.,3,0
1118608856094060546,Arabia Saudita encarcela a candidatas al Nobel de la Paz https://t.co/qxdUoU7bze https://t.co/j904Th3F8x,104,2019-04-17 20:15:08,Hootsuite Inc.,4,11
1118607803550183425,RT @ECSH_TECCEM: Las universidades con más impacto en el mundo https://t.co/eOmAY4dyKj vía @TecReview,101,2019-04-17 20:10:57,Twitter Web App,0,2
1118607597089824770,Reportan aumento en aforo vehicular en casetas de cobro https://t.co/lBYxqCKbmC https://t.co/U2aeR02F5w,103,2019-04-17 20:10:08,Hootsuite Inc.,2,2
1118601308884406272,¿Tienes auto con placas de la Ciudad de México? A partir del lunes no te podrán poner la ‘araña’… https://t.co/uPVw3WiTRK,121,2019-04-17 19:45:09,Hootsuite Inc.,16,13
1118593765072044032,Expresidente peruano Kuczynski hospitalizado por problemas cardíacos https://t.co/dFt8bAYuMC https://t.co/lX8WMltqNw,116,2019-04-17 19:15:10,Hootsuite Inc.,3,3
1118592502276218880,Manifestantes toman caseta de cobro de la México-Cuernavaca en Tlalpan https://t.co/rEbSenBzxq https://t.co/vICXpdMlGp,118,2019-04-17 19:10:09,Hootsuite Inc.,10,6
1118586219288498176,Cinco años sin Gabriel García Márquez https://t.co/8R4y3lE360 https://t.co/IE0r6FbTP7,85,2019-04-17 18:45:11,Hootsuite Inc.,11,2
1118584859881086976,Exhorta Secretaría de Obra Pública a mexiquenses a no desperdiciar agua en Semana Santa https://t.co/lXub2iaWbb https://t.co/ZbRKplhJjZ,135,2019-04-17 18:39:47,Hootsuite Inc.,2,0
1118577402198798339,Pide el Presidente privilegiar justicia por encima de ley https://t.co/nVOLcPtBSE https://t.co/RcEiYvWdFM,105,2019-04-17 18:10:09,Hootsuite Inc.,21,8
1118575355353288709,Consulta los horarios del transporte público en Semana Santa https://t.co/AGSA9x5C2B https://t.co/WKOnpWGLlQ,108,2019-04-17 18:02:01,Hootsuite Inc.,1,1
1118575144816062464,Preparan concierto a beneficio de Notre Dame https://t.co/w237qr3qVU https://t.co/hArTDFBPX8,92,2019-04-17 18:01:11,Hootsuite Inc.,17,8
1118574773162913792,Arabia Saudita encarcela a candidatas al Nobel de la Paz https://t.co/qxdUoU7bze https://t.co/ncaO3JziRz,104,2019-04-17 17:59:42,Hootsuite Inc.,7,5
1118574591809654784,Expresidente peruano Kuczynski hospitalizado por problemas cardíacos https://t.co/dFt8bAYuMC https://t.co/4x0JRYunns,116,2019-04-17 17:58:59,Hootsuite Inc.,2,2
1118574432879091714,Maestros de la UAM se reúnen en el Zócalo para asamblea por huelga https://t.co/T3qFkhhcQ0 https://t.co/O7APHcHtnT,114,2019-04-17 17:58:21,Hootsuite Inc.,3,3
1118574250456223751,Reportan aumento en aforo vehicular en casetas de cobro https://t.co/lBYxqCKbmC https://t.co/mV8Jg9ZxW0,103,2019-04-17 17:57:38,Hootsuite Inc.,1,3
1118573979990745089,Manifestantes toman caseta de cobro de la México-Cuernavaca en Tlalpan https://t.co/rEbSenBzxq https://t.co/gX9alVCJhY,118,2019-04-17 17:56:33,Hootsuite Inc.,3,1
1118571331220647937,RT @JoseCardenas1: ¿México debe frenar la migración indocumentada?...,69,2019-04-17 17:46:02,Twitter for iPhone,0,155
1118569867093975040,Persistirá onda de calor en la mayoría del país https://t.co/DBBTxBIb19 https://t.co/WuM5KnMSl0,95,2019-04-17 17:40:12,Hootsuite Inc.,2,0
1118569858634010625,Reúne 995 mdd colecta para Notre Dame https://t.co/5kIJ7MyVGC https://t.co/jv5OLtgzkZ,85,2019-04-17 17:40:10,Hootsuite Inc.,10,1
1118568595200540672,Papa agradece a bomberos que salvaron Notre Dame https://t.co/jEfjV3POm1 https://t.co/q6esy5VZiy,96,2019-04-17 17:35:09,Hootsuite Inc.,22,1
1118564658598825985,@agronoticiasmx Pescados y mariscos más accesibles en Cuaresma #TuInterésPorElCampo https://t.co/cRrLYQuKLV https://t.co/v7Mmn3Ac3f,131,2019-04-17 17:19:31,Hootsuite Inc.,1,0
1118562307196555266,"Memorándum, mensaje claro del gobierno en tema educativo: AMLO https://t.co/O03rJWO0T4 https://t.co/bKWgLeSnUZ",110,2019-04-17 17:10:10,Hootsuite Inc.,4,0
1118554756061044737,Un videojuego para reconstruir Notre Dame https://t.co/pI57mfAXs0 https://t.co/qSNica4XuT,89,2019-04-17 16:40:10,Hootsuite Inc.,7,0
1118553492417843207,Percibe 74.6% de población inseguridad en marzo https://t.co/fMZxLE2Oci https://t.co/A4Sx0HHXqC,95,2019-04-17 16:35:08,Hootsuite Inc.,12,6
1118552844205010946,Delincuentes matan a mujer durante asalto a transporte público en Coacalco https://t.co/nCRrhWUhQC https://t.co/0ymiqh0dLh,122,2019-04-17 16:32:34,Hootsuite Inc.,4,2
1118552663929573377,¿Tienes auto con placas de la Ciudad de México? A partir del lunes no te podrán poner la ‘araña’… https://t.co/afdW9OCIWu,121,2019-04-17 16:31:51,Hootsuite Inc.,10,6
1118552460468129792,Cinco años sin Gabriel García Márquez https://t.co/8R4y3lE360 https://t.co/MDvGYfTTkV,85,2019-04-17 16:31:02,Hootsuite Inc.,8,1
1118552243039604736,"Alan García, ex presidente peruano, fallece tras intentar suicidarse https://t.co/YQfrFuHEKU",92,2019-04-17 16:30:11,Hootsuite Inc.,7,2
1118552116451270656,Reúne 995 mdd colecta para Notre Dame https://t.co/5kIJ7MyVGC https://t.co/URdWctTgVE,85,2019-04-17 16:29:40,Hootsuite Inc.,3,2
1118547216816328704,Gobierno Federal fijan reglas de difusión en medios y publicidad https://t.co/wDeIDHCdfS https://t.co/367Llbvgum,112,2019-04-17 16:10:12,Hootsuite Inc.,4,3
1118544754889904130,Se acaba la paciencia en Veracruz: Alejandro Aguirre https://t.co/zQ29s6AmhX,76,2019-04-17 16:00:25,Hootsuite Inc.,6,4
1118543434023886848,Ya hay fecha para el Chiefs vs Chargers en México https://t.co/ayeu2Cfg3u https://t.co/1X73yoo2XO,97,2019-04-17 15:55:10,Hootsuite Inc.,2,2
1118539648740073473,"Pescado y trajes de baño, de lo más robado en Semana Santa https://t.co/FXHiRdrXfo https://t.co/pGJYJBr7NO",106,2019-04-17 15:40:08,Hootsuite Inc.,0,0
1118538388737490944,UE prevé hasta 12 mdd de aranceles tras ayuda de EU a Boeing https://t.co/8SGFTXLWp9 https://t.co/x7hmfuwTAX,108,2019-04-17 15:35:07,Hootsuite Inc.,1,0
1118537164294369280,Francia lanza concurso para reconstruir aguja de Notre-Dame https://t.co/KuKTbVdVEJ https://t.co/lbyfYjq2OC,107,2019-04-17 15:30:16,Hootsuite Inc.,9,2
1118535877364473858,Dos mexicanos están en la lista de las 100 personas más influyentes de Time https://t.co/rbUwoMVco7 @lopezobrador_… https://t.co/CGvzG63C4N,139,2019-04-17 15:25:09,Hootsuite Inc.,21,8
1118534710089662470,"Alan García, ex presidente peruano, fallece tras intentar suicidarse https://t.co/YQfrFuHEKU https://t.co/d7lpkyrJwT",116,2019-04-17 15:20:30,Hootsuite Inc.,14,10
1118532062548516864,#ParaEscuchar No todos en Morena quieren la reforma laboral #ColumnasPolíticas https://t.co/6PlI1SCBgF,102,2019-04-17 15:09:59,Hootsuite Inc.,3,3
1118530022388719616,Papa agradece a bomberos que salvaron Notre Dame https://t.co/jEfjV3POm1 https://t.co/R6C1qZIMF8,96,2019-04-17 15:01:53,Hootsuite Inc.,16,2
1118529793870499840,Percibe 74.6% de población inseguridad en marzo https://t.co/fMZxLE2Oci https://t.co/nEB9WFNeiR,95,2019-04-17 15:00:58,Hootsuite Inc.,21,8
1118529592929726465,Pide el Presidente privilegiar justicia por encima de ley https://t.co/nVOLcPtBSE https://t.co/xJvYt0zyio,105,2019-04-17 15:00:10,Hootsuite Inc.,3,0
1118529392186097664,"Memorándum, mensaje claro del gobierno en tema educativo: AMLO https://t.co/O03rJWO0T4 https://t.co/dFSWxk7laD",110,2019-04-17 14:59:23,Hootsuite Inc.,2,0
1118529200481239042,"Alan García, ex presidente peruano “se encuentra muy grave, su situación es crítica” https://t.co/VmhPRKg9Xu https://t.co/F124PHougn",132,2019-04-17 14:58:37,Hootsuite Inc.,2,1
1118528706342019073,Gobierno Federal fijan reglas de difusión en medios y publicidad https://t.co/wDeIDHCdfS https://t.co/sDyuWUDOD4,112,2019-04-17 14:56:39,Hootsuite Inc.,0,1
