id,text,len,date,source,likes,rt
1118986563499651072,"¿No pudiste ir? Sigue EN VIVO los detalles de la Pasión de Cristo en #Iztapalapa 

#MinutoAMinuto… https://t.co/MoD5yByeAV",122,2019-04-18 21:16:01,TweetDeck,4,0
1118985553444253696,Ex particular del ex jefe del Estado Mayor Presidencial entró a su casa con sus asesinos https://t.co/cAb4nrqFvP https://t.co/1v8BXJrSxY,136,2019-04-18 21:12:00,TweetDeck,4,0
1118984546714779648,"Una cámara que acababan de instalar, podría revelar causas del incendio en #NotreDame https://t.co/eXG3yyxCak https://t.co/LZXoEBfhZI",133,2019-04-18 21:08:00,TweetDeck,9,3
1118983036538736640,"#PolíticaIrremediable | ¿qué reverencian más los mexicanos, una iglesia o una pirámide?; lee y escucha 🎙 la columna… https://t.co/30IRFTWUut",140,2019-04-18 21:02:00,TweetDeck,5,1
1118982030354735109,"¡Prepara el bloqueador! 

Estas son las 9 alcaldías con Alerta Amarilla por el calor en #CdMx… https://t.co/18dCPUFQgo",118,2019-04-18 20:58:00,TweetDeck,5,2
1118981023067324416,"Para tarea escolar, jóvenes de #EstadosUnidos se graban 'deportando' e insultando a migrantes… https://t.co/UL3LAv7bvi",118,2019-04-18 20:54:00,TweetDeck,1,2
1118980016900124672,Conductora confunde pedales y atropella a mujer de 80 años https://t.co/bzoxAbBBUY https://t.co/gk3Hbp64QU,106,2019-04-18 20:50:00,TweetDeck,9,1
1118979010216824832,Hallan avioneta con media tonelada de mariguana en #Sinaloa https://t.co/mo5KRLzqAf https://t.co/waxKbcBIPZ,107,2019-04-18 20:46:00,TweetDeck,14,5
1118979009860079616,"¡Que no se te pase! 

Habrá ley seca en Iztapalapa durante #SemanaSanta https://t.co/sOuehq4sVc https://t.co/qeSzV9yviv",119,2019-04-18 20:46:00,TweetDeck,14,3
1118978003760046080,"Tlahuelilpan: 2 sobrevivientes, 69 huérfanos ¿y las autoridades? de vacaciones https://t.co/uJvqEhln88 https://t.co/LPVfa8MXTz",126,2019-04-18 20:42:00,TweetDeck,18,7
