id	text	len	date	source	likes	rt
1118941029724557312	La pequeña se encontraba en el agua disfrutando de un día de playa.  https://t.co/T13xtejQYF	92	2019-04-18 18:15:05	Hootsuite Inc.	2	1
1118939886780911616	Sujetos armados las emboscaron frente a una tienda de abarrotes. https://t.co/e6OXLT5SHa	88	2019-04-18 18:10:32	Hootsuite Inc.	1	2
1118938019891953665	"RT @plumasatomicas: Todo comenzó, dicen los vecinos, cuando la misma adolescente pateó a uno de los perritos que paseaba la señora
https://…"	140	2019-04-18 18:03:07	Twitter Web Client	0	14
1118937657969709059	Accidente grave en MEX-95D / México - Cuernavaca #Trafico todavía retrasando el tráfico 1h 15m más de lo habitual… https://t.co/iwEtQnXeKl	138	2019-04-18 18:01:41	Waze Incidents Server	1	2
1118937023539290112	¿Sin plan para los próximos días? Esta podría ser una buena forma de invertir tu tiempo.  https://t.co/Bp0FUgRyl4	113	2019-04-18 17:59:09	Hootsuite Inc.	12	4
1118934275280330752	Para el Islam la historia de Jesús es radicalmente distinta a la que encontramos en el nuevo testamento, pero esto… https://t.co/3S1lvMKiUQ	139	2019-04-18 17:48:14	Hootsuite Inc.	17	7
1118933177006010368	"RT @PleyersTV: Al @realmadrid le gusta esto😅
https://t.co/Ee9Awczy7Z"	68	2019-04-18 17:43:52	Twitter Web Client	0	3
1118932630085545984	Lánzate a disfrutar de las maravillas que tiene Hidalgo. https://t.co/TVe3ISETNr	80	2019-04-18 17:41:42	Hootsuite Inc.	11	3
1118929909177569285	Accidente grave en MEX-95D / México - Cuernavaca #Trafico todavía retrasando el tráfico 1h 19m más de lo habitual https://t.co/jUA9SBFWyj	137	2019-04-18 17:30:53	Waze Incidents Server	3	3
1118925931110903808	Piénsalo dos veces antes de pedir dinero para salir de tus deudas.  https://t.co/OT2Re8WXZO	91	2019-04-18 17:15:05	Hootsuite Inc.	5	4
1118922451730214912	En el camión viajaban mujeres y niños, originarios de Honduras y El Salvador. https://t.co/K85OY0XkNT	101	2019-04-18 17:01:15	Hootsuite Inc.	5	5
1118922443421290497	EU impuso nuevas sanciones contra Cuba, Venezuela y Nicaragua #DespiertaConLoret 👉¿Ya te suscribiste a nuestro cana… https://t.co/gJfoTCI5gl	140	2019-04-18 17:01:13	Twitter Web Client	6	2
1118922174893576192	Accidente grave en MEX-95D / México - Cuernavaca #Trafico todavía retrasando el tráfico 1h 24m más de lo habitual… https://t.co/j2yqVwt0ug	138	2019-04-18 17:00:09	Waze Incidents Server	2	5
1118921542258298880	Tragedia en Portugal, 29 muertos tras volcadura de un autobús #DespiertaConLoret 👉¿Ya te suscribiste a nuestro cana… https://t.co/0IISLul0Md	140	2019-04-18 16:57:38	Twitter Web Client	7	1
1118920618869755905	Accidente en MEX-57D / Circuito Exterior Mexiquense #Trafico. Tráfico 35m más lento de lo habitual.… https://t.co/lhSArx1GMQ	124	2019-04-18 16:53:58	Waze Incidents Server	3	3
1118919328504713217	Accidente en MEX-57D / Circuito Exterior Mexiquense #Trafico. Tráfico 23m más lento de lo habitual.… https://t.co/ffUrfTdPXl	124	2019-04-18 16:48:51	Waze Incidents Server	6	1
1118918378431840256	Durante los días jueves 18, viernes 19, sábado 20 y domingo 21 de abril, el IMSS brindará servicios de urgencias y… https://t.co/as2ltvB4mS	139	2019-04-18 16:45:04	Hootsuite Inc.	15	3
1118918254695788544	RT @Foro_TV: ¿Cómo llegar a la 176 representación de la Pasión de Cristo, en Iztapalapa? #PorLasMañanas https://t.co/Frre8Nv8c7	127	2019-04-18 16:44:35	Hootsuite Inc.	0	2
