id,text,len,date,source,likes,rt
1118983338591756293,Noticiero Red Nacional 16 hrs. – 18 de Abril de 2019  https://t.co/EgR1wVUp7S https://t.co/NXp8eWO2ht,101,2019-04-18 21:03:12,Notisistema,0,0
1118983338482597889,Noticiero Guadalajara 16 hrs. – 18 de Abril de 2019  https://t.co/4mZCWcEc8k https://t.co/oHKzXeXDec,100,2019-04-18 21:03:12,Notisistema,0,0
1118979191414886416,Continúan trabajos de enfriamiento en vertedero de Los Laureles  https://t.co/Ni6oKcZgPk https://t.co/GQcnT8aGej,112,2019-04-18 20:46:43,Notisistema,2,0
1118968879223648259,Comité de la ONU revisará la próxima semana tema de tortura en México  https://t.co/6wDZBlfeYH https://t.co/ClkwvXfa2e,118,2019-04-18 20:05:44,Notisistema,1,0
1118968425802534912,Ordena Tribunal sancionar a Yunes por difundir propaganda gubernamental durante campaña electoral… https://t.co/8WrYuXyPsu,122,2019-04-18 20:03:56,Notisistema,1,1
1118968231761448960,Noticiero Guadalajara 15 hrs. – 18 de Abril de 2019  https://t.co/9ceYqzMQx9 https://t.co/nKtDC0khhT,100,2019-04-18 20:03:10,Notisistema,0,0
1118968224853438465,Noticiero Red Nacional 15 hrs. – 18 de Abril de 2019  https://t.co/PuSCnMbbij https://t.co/ZRkr2XdZvP,101,2019-04-18 20:03:08,Notisistema,0,0
1118966872299528193,Solicitan empresas prórroga para entregar propuesta de refinería de Dos Bocas  https://t.co/fetxnqS61n https://t.co/28TzAqFt5a,126,2019-04-18 19:57:46,Notisistema,0,0
1118964778016419841,Controlan incendio en el vertedero Los Laureles  https://t.co/VvulOWPPqX https://t.co/iJn6Ed2B6y,96,2019-04-18 19:49:27,Notisistema,3,0
1118960452741009408,Detienen a dos personas con 165 envoltorios de cristal en BCS  https://t.co/ghWCloCNsd,86,2019-04-18 19:32:15,Notisistema,2,1
1118953128748027905,Noticiero Guadalajara 14 hrs. – 18 de Abril de 2019  https://t.co/VI8soTiDyh https://t.co/wIjyzgBiuI,100,2019-04-18 19:03:09,Notisistema,0,0
1118953122087436288,Noticiero Red Nacional 14 hrs. – 18 de Abril de 2019  https://t.co/sWDVQZpTEz https://t.co/Xf624lhBFl,101,2019-04-18 19:03:08,Notisistema,2,0
1118951962978992128,"Hallan avioneta con casi media tonelada de mariguana en Angostura, Sinaloa  https://t.co/k7LHz2ONBW https://t.co/Bds4QOSl2r",123,2019-04-18 18:58:31,Notisistema,0,2
1118938890432339969,Lava el Papa Francisco los pies a doce reclusos  https://t.co/s6KN6t8WgO https://t.co/VAlJ2d70Qc,96,2019-04-18 18:06:35,Notisistema,0,0
1118938022479896576,Noticiero Guadalajara 13 hrs. – 18 de Abril de 2019  https://t.co/SWOjIErnmm https://t.co/Bq9ckXjCCH,100,2019-04-18 18:03:08,Notisistema,0,0
1118938022098231296,Noticiero Red Nacional 13 hrs. – 18 de Abril de 2019  https://t.co/s0zRMTGs9e https://t.co/fGE8HFPIZd,101,2019-04-18 18:03:07,Notisistema,0,0
1118937935838162947,Detectan tres zonas frágiles en Notre Dame  https://t.co/pWlGbYxUlu https://t.co/Vv1LWpu5pG,91,2019-04-18 18:02:47,Notisistema,0,1
