id	text	len	date	source	likes	rt
1118935561782296577	"Pese a que el presidente se encuentra de asueto, se tomó un tiempo para publicar un mensaje:

https://t.co/JfTnCReubf"	117	2019-04-18 17:53:21	TweetDeck	2	1
1118933465955807232	"Es difícil saber cuáles eran sus intenciones

https://t.co/1ZxwVeWq58"	69	2019-04-18 17:45:01	TweetDeck	3	2
1118930788744093698	RT @Publisport_MX: Desalojaron el gimnasio del 'Fantasma', Comisionado de Lucha Libre en la CDMX😱😓 https://t.co/fJRGPeRsSi https://t.co/UIK…	140	2019-04-18 17:34:23	TweetDeck	0	2
1118923890653319170	"Trump se pavoneó tras el informe del fiscal general William Barr

https://t.co/2yN2FlMtRX"	89	2019-04-18 17:06:58	TweetDeck	0	0
1118923399269535744	"🎥 La mujer desaparece luego de cruzar palabras con el primo de la bebé

https://t.co/NG4EU3wiDX"	95	2019-04-18 17:05:01	TweetDeck	4	8
1118921909356376069	"Se aplica para detectar ingesta de alcohol, enervantes, indisposición por cansancio o padecimientos

https://t.co/2bI0xWYHEY"	124	2019-04-18 16:59:06	TweetDeck	5	1
1118920852807004160	RT @Publisport_MX: ¡WOW!😱 En Brasil hay un equipo llamado Cruz Azul, pero... ¡también es subcampeón! https://t.co/kWomYYMybt https://t.co/f…	140	2019-04-18 16:54:54	TweetDeck	0	3
1118920634921291776	"¡TODOS TRANQUILOS!

Hay buenas noticias con el tema de Jorge Vergara 

https://t.co/PwMF7g1dt2 https://t.co/zw6XHR6nPZ"	118	2019-04-18 16:54:02	TweetDeck	1	0
1118916602169180160	La pareja confirmó con unas románticas imágenes a través de las redes sociales que se están dando una oportunidad e… https://t.co/IZ2TJ5w6zm	140	2019-04-18 16:38:01	TweetDeck	1	0
1118916599296217088	"¡No lo hacía desde 2012!
https://t.co/G0sX7WIlqh"	48	2019-04-18 16:38:00	TweetDeck	2	0
1118915229482614784	"RT @Publisport_MX: Reconocen en Chivas que sí les dieron un ‘jalón de orejas’          🙄 😏 😣

https://t.co/3S3IiJoTh6"	117	2019-04-18 16:32:33	TweetDeck	0	2
1118915129964408833	"RT @Publisport_MX: #Chivas🐐 

""Nosotros somos profesionales, sabemos qué está bien y qué está mal"": Raúl Gudiño sobre la supuesta indiscipl…"	140	2019-04-18 16:32:10	TweetDeck	0	3
1118909804318285824	"Cuando supo que su misión se extendería hasta 2020 dijo que era magnífico 👩‍🚀

https://t.co/feev7Hg7mj"	102	2019-04-18 16:11:00	TweetDeck	3	0
1118909049226002433	"¿Te mareas en el auto? Podrías tener esta enfermedad
---&gt;https://t.co/fUQg6hA30m
@AutosRPMoficial https://t.co/auAg0GalUu"	124	2019-04-18 16:08:00	TweetDeck	5	1
1118906927159889920	A partir de la próxima semana, las autoridades trabajarán en conjunto con colectivos de familias de desaparecidos	113	2019-04-18 15:59:34	TweetDeck	2	0
