id,text,len,date,source,likes,rt
1118986345249214465,"🎥 ""Gauguin, Viaje a Tahiti"" habla de la experiencia sobre los encuentros humanos y artísticos del artista en la Pol… https://t.co/pMVNgCgag1",140,2019-04-18 21:15:09,Hootsuite Inc.,3,0
1118985071032176642,"¡En sólo 120 segundos!

Ladrones robaron una joyería en Galerías Metepec, en el Estado de México; los delincuentes… https://t.co/zZZSS4Gxhu",139,2019-04-18 21:10:05,Hootsuite Inc.,3,3
1118984975276216331,En los últimos días los restos óseos de 10 personas han sido recuperados de una fosa clandestina en el Municipio de… https://t.co/NawYVVthFa,140,2019-04-18 21:09:42,GRFeed,4,1
1118984595817545729,"Ante memorándum de AMLO, la CNDH señaló que nada debilita más al Estado de Derecho y a las instituciones el hecho d… https://t.co/9Yw7IG3D8s",140,2019-04-18 21:08:12,GRFeed,25,20
1118982586313924609,"#NotiPerro ¿Sales de vacaciones y no puedes llevarte a tu perro? Desde hace algunos años, la opción de pensión cani… https://t.co/4ksDx6vHJv",140,2019-04-18 21:00:12,Hootsuite Inc.,2,2
1118978801235582977,¿Sabías que el 90% de los #incendiosforestales son provocados por el ser humano? Uno de esta semana arrasó con 500… https://t.co/bhVYrJfsgc,139,2019-04-18 20:45:10,Hootsuite Inc.,7,10
1118977453626732545,"RT @reformanacional: ""Somos masoquistas: venimos a ver todo el lujo con que vivían los presidentes"" https://t.co/nZ3SsoqMDU",123,2019-04-18 20:39:49,Twitter Web Client,0,4
1118977367983165442,"""Somos masoquistas: venimos a ver todo el lujo con que vivían los presidentes"" https://t.co/jmxFRxuQmi",102,2019-04-18 20:39:28,GRFeed,21,6
1118975047539003396,En #EstáCarbón te compartimos una receta ideal para las vacaciones: fácil de preparar si tienes la suficiente pacie… https://t.co/qQ9qADB4dC,140,2019-04-18 20:30:15,Hootsuite Inc.,9,1
1118973133275504640,Quince mil cargamentos de mercancía permanecen varados en la frontera entre Chihuahua y los estados de Texas y Nuev… https://t.co/wVOSkb1y1z,140,2019-04-18 20:22:39,GRFeed,10,6
1118972295777849349,Demócratas acusaron a Trump de obstrucción de justicia tras leer reporte y pidieron a Fiscal especial Robert Muelle… https://t.co/nu3fAQicEq,140,2019-04-18 20:19:19,GRFeed,11,8
1118970950106660865,"RT @reformainter: El Gobierno de EU lanzó el informe completo del Fiscal Especial, Robert Mueller, sobre la trama rusa. Estos son los princ…",140,2019-04-18 20:13:58,Twitter Web Client,0,5
1118967578586755073,#Entérate El Jefe del Ejecutivo  @lopezobrador_ consideró que los profesores tienen derecho a realizar manifestacio… https://t.co/WKyrlFmgH1,140,2019-04-18 20:00:34,Hootsuite Inc.,33,31
1118966915622428673,"#WillSmith (@iWillSmith) disfruta de las últimas filmaciones de 'Bad Boys for Life', en la Ciudad de México. https://t.co/zr0CqXK33G",132,2019-04-18 19:57:56,GRFeed,18,3
1118966353581490176,"Los incendios comprometen 4 mil 856 hectáreas de bosques en 17 entidades del País, detalló el Coordinador Nacional… https://t.co/Uv0FkkGPez",139,2019-04-18 19:55:42,GRFeed,5,4
1118966351694049280,"La implementación del T-MEC incrementaría el comercio bilateral entre México y EU, concluyó un estudio de la Comisi… https://t.co/jDoFv9LRkS",140,2019-04-18 19:55:42,GRFeed,1,1
1118963695525212160,¿No sabes qué películas ver estas vacaciones? Los críticos de @laveoonolaveo te comparten opciones de 10 categorías… https://t.co/v5It9IB2kE,140,2019-04-18 19:45:09,Hootsuite Inc.,0,3
1118960138499645440,"¡Prepara nueva canción!

La escritora @BeatrizGMuller lanzará una melodía llamada 'Estás aquí' en colaboración con… https://t.co/DDBH1xKvXW",139,2019-04-18 19:31:00,Hootsuite Inc.,16,5
1118959967174836225,"La comedia francesa ""Normandía al Desnudo"" llega a cartelera. Checa lo que opinaron los críticos.  #LaVeooNoLaVeo 🍿… https://t.co/8HqAufHqUx",140,2019-04-18 19:30:20,Hootsuite Inc.,3,1
1118952523283476483,"En recurso ante el TEPJF, Armenta argumentó que Morena desobedeció la sentencia del Tribunal en la que ordena a la… https://t.co/52kHJQhagu",139,2019-04-18 19:00:45,GRFeed,17,9
1118952402525335552,"Te presentamos a las vestuaristas detrás de @GameOfThrones, galardonadas por confeccionar capas, abrigos, vestidos… https://t.co/CQ6vSbTIvz",139,2019-04-18 19:00:16,Hootsuite Inc.,4,2
1118949851344064514,Tomar casetas se ha vuelto tan común que incluso hay reglas para los manifestantes. Conócelas en este video https://t.co/hKsSvBaxaW,131,2019-04-18 18:50:08,Hootsuite Inc.,5,6
1118948617363042305,"🎥 ""Cactus"" es el perrito que terminó una de las carreras más complicadas del mundo. Conócelo en #PoderPositivo… https://t.co/aoamfVzM8y",135,2019-04-18 18:45:14,Hootsuite Inc.,3,0
1118946078001385473,Trabajar uno o varios días a la semana desde casa beneficia tanto al empleado como a la empresa. En… https://t.co/z9bO8csV3k,124,2019-04-18 18:35:08,Hootsuite Inc.,10,3
1118945686559580160,#PorSiNoLoViste Dos sujetos acusados de robar una tienda fueron golpeados por vecinos del fraccionamiento Los Héroe… https://t.co/F7VZXGyzcF,140,2019-04-18 18:33:35,Hootsuite Inc.,15,4
1118944814446338056,"A 10 minutos de la caseta ubicada en la autopista México-Pachuca, siete personas se ubican en un retorno y piden di… https://t.co/Ku0Von5nvK",140,2019-04-18 18:30:07,Hootsuite Inc.,4,4
1118944551631228930,Fuerzas federales y estatales hallaron en Sinaloa una avioneta cargada con casi media tonelada de mariguana y cinco… https://t.co/1gTLq5CHHT,140,2019-04-18 18:29:04,GRFeed,18,5
1118943127744712704,RT @reformanegocios: ¿Sabes cuánto ganan #AryaStark y #SansaStark? Las actrices Maisie Williams y Sophie Turner obtienen cerca de 150 mil d…,140,2019-04-18 18:23:25,Twitter Web Client,0,2
1118938917271687168,Tribunal Electoral de Veracruz ordenó al Congreso local sancionar al ex Gobernador Yunes Linares por difundir propa… https://t.co/vF3YzC3fHI,140,2019-04-18 18:06:41,GRFeed,11,4
1118937319376130048,Una nueva mini consola retro llegará próximamente y hasta tendrá conexión Wi-Fi #GamingLab 🎮 https://t.co/7p25JDXbkg https://t.co/xP0CLVgXjR,140,2019-04-18 18:00:20,Hootsuite Inc.,4,1
1118937307757862913,Miles de médicos residentes mexicanos laboran estos días con un moño o un brazalete en demanda de mejores condicion… https://t.co/v533qxlQTC,140,2019-04-18 18:00:17,Hootsuite Inc.,17,9
1118935577964044288,"RT @reformagente: 📷Famosas disfrutan del sol, arena y mar con hermosos trajes de baño. 🏖️☀️🌊 https://t.co/PAjuxgt8M6 https://t.co/bxDvKIsK8D",140,2019-04-18 17:53:25,Twitter Web Client,0,1
1118935500692303877,Automovilistas que buscan salir de la ciudad también son interceptados en vías aledañas a las casetas de peaje por… https://t.co/W8NIYAankE,139,2019-04-18 17:53:06,GRFeed,4,7
1118935493943672833,Un promedio de 25 incendios diarios se han registrado este año en el País; uno de los más recientes consumió 500 he… https://t.co/3dcsLwRw7j,140,2019-04-18 17:53:05,Hootsuite Inc.,2,3
1118932755096711168,"RT @reformanacional: Para evitar intoxicaciones, mariscos y pescados que se consuman en temporada de Cuaresma deben adquirirse en comercios…",140,2019-04-18 17:42:12,Twitter Web Client,0,7
1118931253431033859,"A plena luz del día, ladrones sustrajeron artículos de una joyería ubicada en Galerías Metepec, hecho que quedó reg… https://t.co/IPaGvSGR7V",140,2019-04-18 17:36:14,GRFeed,9,8
1118931251916890113,"""Lamento el suicidio del expresidente de Perú, Alan García, y todo alrededor del caso Odebrecht"", tuiteó el Preside… https://t.co/68nHuPJJHw",140,2019-04-18 17:36:13,GRFeed,5,3
