id	text	len	date	source	likes	rt
1118941513113845760	"📷 Irán celebra el Día del Ejército con un grandioso desfile
https://t.co/yhjVLipgBG https://t.co/wu69AR0D5e"	107	2019-04-18 18:17:00	TweetDeck	5	5
1118938996195770368	"Enviado especial ruso: el informe de EEUU carece de pruebas sobre supuesta injerencia de Rusia https://t.co/vgmtsO18DC
#MuellersReport"	134	2019-04-18 18:07:00	TweetDeck	5	11
1118936479961579520	📎📷 Se trata de una joya de la arquitectura de estilo 'art nouveau', típico de París de principios del siglo XIX.  https://t.co/hU1EQJ3AVe	137	2019-04-18 17:57:00	TweetDeck	5	2
1118933962884141057	Los paracaidistas rusos estrenarán un nuevo fusil de asalto el Día de la Victoria https://t.co/mlSxhF6fkY	105	2019-04-18 17:47:00	TweetDeck	18	16
1118931446847156226	"🎥 ¿Te gustaría viajar en un coche como este?  https://t.co/0w6oWTRtvx
#carrodemadera https://t.co/nji3eMIzCK"	108	2019-04-18 17:37:00	Twitter Media Studio	12	6
1118928929933254659	"Una ministra anuncia la 'obra de Francia' para reconstruir Notre Dame https://t.co/aMY10DmVvO
#NotreDameDeParis"	111	2019-04-18 17:27:00	TweetDeck	0	2
1118926413392793602	🎥 Sensualidad contagiosa: Becky G @iambeckyg hace explotar un concierto con su ritmo https://t.co/EjG8wlNoBS https://t.co/zum41qFik3	132	2019-04-18 17:17:00	TweetDeck	1	2
1118923897204826112	"Un investigador de Kuwait acusa a los judíos de añadir sangre de niños cristianos en su repostería
https://t.co/rl2WNsgSAO"	122	2019-04-18 17:07:00	TweetDeck	12	32
1118921380190310400	.@sebastianpinera planea reunirse con @Huawei pese a la advertencia de EEUU https://t.co/RqXqDxthKw	99	2019-04-18 16:57:00	TweetDeck	8	11
1118918863889080320	"📷 Las imágenes del autobús siniestrado en Portugal
https://t.co/ssGuz8K14q
#Madeira bus https://t.co/415gGr65Hh"	111	2019-04-18 16:47:00	TweetDeck	2	1
1118916347688308739	El Parlamento Europeo guarda un minuto de silencio por el accidente de autobús en #Madeira https://t.co/q49wp6UcuN	114	2019-04-18 16:37:00	TweetDeck	0	0
1118913831009439751	".@EmmanuelMacron condecora a los bomberos que apagaron el incendio en Notre Dame https://t.co/8zSTAwHmrU
#NotreDameDeParis"	122	2019-04-18 16:27:00	TweetDeck	2	0
1118912572126662658	El riesgo país en Argentina alcanza una cifra récord en los últimos 5 años https://t.co/es6umRx05z	98	2019-04-18 16:22:00	TweetDeck	11	20
1118911314468982785	República Dominicana prepara una exposición de sus empresas en Rusia https://t.co/xNbXkwh5DA	92	2019-04-18 16:17:00	TweetDeck	10	5
1118910055980720128	Los dos candidatos a la presidencia de #Indonesia se declaran vencedores https://t.co/zOHmMzeMfn	96	2019-04-18 16:12:00	TweetDeck	3	3
1118908797861363713	Caracas rechaza la agresión económica de EEUU contra Cuba, Nicaragua y Venezuela https://t.co/1YGjHDZTIp	104	2019-04-18 16:07:00	TweetDeck	35	48
1118906935707828224	"⚡️ Libia acusa a Francia de apoyar a Haftar y suspende la cooperación bilateral
https://t.co/ZdM6qpFgD5 https://t.co/gw659V6JTX"	127	2019-04-18 15:59:36	TweetDeck	5	13
1118906280884756480	La sombra que amenaza el Gobierno de @netanyahu https://t.co/pdPTq6GlAt	71	2019-04-18 15:57:00	TweetDeck	3	5
1118903764096704512	"📻 Venezuela: @NicolasMaduro asegura que nuevas sanciones de EEUU dan más fuerza al país
https://t.co/GEfKibGWul https://t.co/hdWocudwnU"	135	2019-04-18 15:47:00	TweetDeck	13	6
1118901247887716353	El Líbano desmiente reunión de su canciller y un alto funcionario israelí en Moscú https://t.co/TraD2rn9nG	106	2019-04-18 15:37:00	TweetDeck	4	7
1118898731322097665	"Las Fuerzas de Trípoli toman el control de una base militar en el suroeste del país https://t.co/0rZLQuEjTI
#Libia"	114	2019-04-18 15:27:00	TweetDeck	5	8
1118898151405047810	Un sismo de mediana intensidad afecta al norte de Chile sin dejar heridos https://t.co/8ytgApKzia	97	2019-04-18 15:24:42	TweetDeck	3	4
1118896217423933440	Un yihadista detenido en España reconoce que quería atentar en la Semana Santa de Sevilla https://t.co/33d9ZFFOAz	113	2019-04-18 15:17:00	TweetDeck	0	8
1118893698144788480	Se deterioró más en los últimos 12 años que el de cualquier otra nación que no esté en guerra https://t.co/rw3uAKRilY	117	2019-04-18 15:07:00	TweetDeck	6	10
1118893176163577856	"#SputnikDestacado📌
¿Qué fue lo más visto estas últimas 24 horas? Se acabó el dominio de Estados Unidos: Rusia procl… https://t.co/KMjkOSqR1L"	140	2019-04-18 15:04:55	TweetDeck	61	70
1118891181360992258	"✏️ Una manera decidida de Corea del Norte de recordarle al mundo que existe
https://t.co/4FLucjw7NA https://t.co/PCneer3OtU"	123	2019-04-18 14:57:00	TweetDeck	7	9
1118889923111555073	"Trump escribe ""acoso presidencial"" en Twitter previo a la presentación del informe de #Mueller https://t.co/XsQdnvU7ui
#MuellersReport"	134	2019-04-18 14:52:00	TweetDeck	5	6
1118888664938024960	Arreaza: las sanciones de EEUU son un delito de lesa humanidad https://t.co/yBYQnpVqn6	86	2019-04-18 14:47:00	TweetDeck	73	87
1118886147910852608	EEUU aplicó nuevas sanciones contra Venezuela que apuntan contra el Banco Central del país caribeño. https://t.co/NbjbgZrWl1	124	2019-04-18 14:37:00	TweetDeck	3	10
1118884889892229120	"EEUU no encuentra evidencias de que la campaña de @realDonaldTrump haya conspirado con Rusia https://t.co/SOzS4CvZPa
#MuellerReport"	131	2019-04-18 14:32:00	TweetDeck	4	7
1118883405536616450	🔴 EN VIVO: El Ayuntamiento de París rinde homenaje a las personas que ayudaron a salvar la catedral de Notre Dame d… https://t.co/6ZrJDdrsgX	140	2019-04-18 14:26:06	Twitter Media Studio	4	5
1118882373658132486	Moscú lamenta que Malta prohíba entrar en su espacio a dos aviones rusos con destino a #Venezuela https://t.co/4IzTDqZQhe	121	2019-04-18 14:22:00	TweetDeck	38	103
1118879856945659904	🎥 Un 'snowboarder' español casi es engullido por un alud https://t.co/pfTPYwDdxV https://t.co/sggFH3M7Q9	104	2019-04-18 14:12:00	TweetDeck	3	3
1118877340337971207	🎥 Como ciencia ficción: el despegue y aterrizaje del Falcon Heavy en un solo vídeo https://t.co/eHdCiVlq6z… https://t.co/DIHBbKQhwn	131	2019-04-18 14:02:00	TweetDeck	6	1
1118874823747342340	"El Gobierno portugués decreta tres días de duelo nacional por accidente en #Madeira https://t.co/R0wio6QjSr
#Madeira bus"	120	2019-04-18 13:52:00	TweetDeck	3	5
1118872307055964162	"📷Así se prepara Rusia en las alturas para el desfile militar del Día de la Victoria
https://t.co/wCOvXRjlQx https://t.co/rrU5MGTGsc"	131	2019-04-18 13:42:00	TweetDeck	16	14
1118869790599335941	📷🎥 Quienes lo han empezado a probar dicen que la pantalla del terminal comienza a fallar tras dos días de uso. ¿Su… https://t.co/qEHQt3Inss	139	2019-04-18 13:32:00	TweetDeck	7	1
1118864757052719104	🎥 La isla del apocalipsis donde los británicos produjeron la mayor explosión no nuclear https://t.co/j49Y19Ek7a https://t.co/khx0v39Y9I	135	2019-04-18 13:12:00	TweetDeck	3	7
1118862240742903810	🎥 Los perros robot de Boston Dynamics ya saben remolcar un camión https://t.co/fP7CTuRYtc https://t.co/Vd9tflns4p	113	2019-04-18 13:02:00	TweetDeck	4	5
1118859723976003584	Rusia critica las sanciones de EEUU contra Cuba https://t.co/iuDsgjElR1	71	2019-04-18 12:52:00	TweetDeck	51	47
1118857207834128384	🎥 Centenares de soldados de la Flota del Báltico participaron en una maniobra de asalto anfibio en el polígono mili… https://t.co/WPizSEGiZb	140	2019-04-18 12:42:00	TweetDeck	11	14
1118854691209850880	"✒️ FIRMAS por Luis Rivas
Francia concita ahora las críticas de otras capitales europeas por su apoyo a Jalifa Hafta… https://t.co/C3E7A8cNxu"	140	2019-04-18 12:32:00	TweetDeck	4	7
1118852174375559169	"🎥 Una cobra se 'atraganta' con una serpiente
https://t.co/XRaml2yWY6 https://t.co/VT4TotM68l"	92	2019-04-18 12:22:00	TweetDeck	2	1
