id	text	len	date	source	likes	rt
1118943040499011584	El suicidio del exmandatario Alan García ha conmovido a muchos peruanos que asisten a su velorio. https://t.co/zBEmmi9hQv	121	2019-04-18 18:23:04	Hootsuite Inc.	4	2
1118942114946146304	Una madre y su hijo autista crearon una organización con la que ayudan a jóvenes que tienen autismo o trastornos de… https://t.co/QN40je3dwG	140	2019-04-18 18:19:23	Hootsuite Inc.	6	2
1118935132851920896	"🇻🇪 El canciller venezolano Jorge Arreaza consideró ""inhumanas"" las nuevas medidas impuestas por EEUU contra Venezue… https://t.co/3m5VoKoCta"	140	2019-04-18 17:51:39	Hootsuite Inc.	8	5
1118934384810262529	Un trailer se vuelca en México dejando heridos a 19 migrantes centroamericanos. https://t.co/mSD3JtS0tN	103	2019-04-18 17:48:40	Hootsuite Inc.	2	4
1118933411400495104	El FBI encuentra crudos dibujos de armas en un sitio web que creen está conectado con Sol Pais, la joven hallada mu… https://t.co/j8egDrHNTT	140	2019-04-18 17:44:48	Hootsuite Inc.	4	6
1118927834746163200	Jessie Torres espera poder repatriar el cuerpo de su única hija a Honduras. https://t.co/asCmKgxHBM	99	2019-04-18 17:22:39	Hootsuite Inc.	6	1
1118927139305336834	En este automóvil que fue impactado viajaban una pareja y sus tres pequeños hijos. https://t.co/P1q1xlmefO	106	2019-04-18 17:19:53	Hootsuite Inc.	7	1
1118924913329561600	Un camión embistió a Marlenne y Amy Lorenzo, la primera murió y su hermana de 12 años quedó gravemente herida.  https://t.co/YNMjabDTF0	135	2019-04-18 17:11:02	Hootsuite Inc.	2	0
1118923996148400130	Estas son las claves de la investigación de 448 páginas del fiscal especial Robert Mueller sobre la trama rusa. https://t.co/dNsOrcuuMN	135	2019-04-18 17:07:23	Hootsuite Inc.	7	5
1118923770062884864	La víctima de esta estafa perdió casi 9,000 dólares que ahora son imposibles de recuperar. https://t.co/nmsjuWiECG	114	2019-04-18 17:06:30	Hootsuite Inc.	5	4
1118920852798570496	💩 ya tiene un museo: así es su curioso y colorido interior. https://t.co/mcpFhdlMuI	83	2019-04-18 16:54:54	Twitter Media Studio	11	3
1118919631694114816	RT @UnivisionNews: Trump declares economic war on #Cuba. @WMLeoGrande writes: The White House declared the most severe new #sanctions again…	140	2019-04-18 16:50:03	Twitter for iPhone	0	5
1118919620902125568	"RT @UnivisionNews: One year after #Nicaragua uprising, #Ortega is in control"", writes @BenjaminWaddel5. When he was forced to abandon Manag…"	140	2019-04-18 16:50:00	Twitter for iPhone	0	12
1118919288277164032	Mira cómo estos robots con forma de perro son capaces de arrastrar un camión. 😱 https://t.co/WKwC4U3sN9	103	2019-04-18 16:48:41	Twitter Media Studio	83	41
1118917020152680448	¿Celebrarías tus 98 años yendo al gimnasio? Este veterano de guerra sí. https://t.co/42TshK6KZm 🎂🏋🏻	99	2019-04-18 16:39:40	Hootsuite Inc.	21	4
1118903444528607233	Un hombre es detenido tras intentar entrar a la Catedral de Saint Patrick, Manhattan, con galones de gasolina y enc… https://t.co/4x9Zo36RwB	140	2019-04-18 15:45:44	Hootsuite Inc.	14	12
1118902573409415168	RT @UniPolitica: El presidente del Comité Judicial de la Cámara de Representantes pidió a Mueller que testifique ante el Congreso antes del…	140	2019-04-18 15:42:16	Hootsuite Inc.	0	8
1118900323995803648	Tormenta de primavera: Cientos de personas quedaron sin electricidad en varias ciudades de Texas y ya se registran… https://t.co/2KLhsRQESs	139	2019-04-18 15:33:20	Hootsuite Inc.	6	3
1118898882681954304	El fallecido exmandatario Alan García fue uno de los presidentes más jóvenes de Perú y sus excentricidades le valie… https://t.co/5Vpi1RkjlH	140	2019-04-18 15:27:36	Hootsuite Inc.	11	6
1118893405822754817	📸 ¿Sabías que la semana del 15 de abril han ocurrido algunos de los hechos más devastadores de la historia? El ince… https://t.co/yChZoOdNX7	140	2019-04-18 15:05:50	Hootsuite Inc.	12	7
1118889071105978371	“Huí a EEUU porque querían casarme con un anciano”: joven que ahora vive en el sur de California relata su traumáti… https://t.co/r9Gg8PhceH	140	2019-04-18 14:48:37	Hootsuite Inc.	9	3
1118888304127160324	Tres nicaragüenses cuentan, desde distintas trincheras, cómo han vivido la crisis política en su país. Por… https://t.co/dUCzIMVOpB	131	2019-04-18 14:45:34	Hootsuite Inc.	30	35
1118883977757188099	RT @UniPolitica: El fiscal William Barr dice que el reporte de Robert Mueller revela que el presidente Trump pudo haber obstruido la justic…	140	2019-04-18 14:28:22	Hootsuite Inc.	0	6
1118880988870868992	El fiscal general dijo que el reporte de Robert Mueller revela que no se encontraron vínculos entre la campaña de T… https://t.co/blXiCi1T3h	140	2019-04-18 14:16:30	Twitter Media Studio	63	45
1118876557857230850	Los abogados del presidente Trump pidieron leer el informe editado de Robert Mueller antes de ser presentado públic… https://t.co/xY8bxhfQCJ	140	2019-04-18 13:58:53	Twitter Media Studio	14	4
1118870369572548608	En Vivo:  Rueda de prensa del fiscal general William Barr sobre publicación del reporte de Robert Mueller https://t.co/BEDQTfR3ft	129	2019-04-18 13:34:18	Periscope	42	30
1118869368702668801	RT @UniPolitica: El fiscal general explica cómo se ha editado el informe de Robert Mueller en una rueda de prensa que los demócratas consid…	140	2019-04-18 13:30:19	Hootsuite Inc.	0	4
1118866249172176896	Trío de águilas calvas comparte el cuidado de sus crías. ❤️ https://t.co/Q0kqn1cy8f	83	2019-04-18 13:17:55	SnappyTV.com	45	7
1118861714944958464	❄️ La tormenta de primavera se dirige a Luisiana, Mississippi y Alabama tras azotar Texas y otras zonas. Informa… https://t.co/L9n2mFUHna	137	2019-04-18 12:59:54	SnappyTV.com	4	3
1118860890810482688	RT @AlbertEltiempo: Hoy las tormentas más activas se concentrarán al sur del valle del  #Mississippi. El #viento fuerte y el #granizo son l…	140	2019-04-18 12:56:38	Twitter Web Client	0	3
1118858852470935552	👩🏻‍🚀 Mujer astronauta marcará récord al permanecer 328 días en el espacio. https://t.co/Urwhh9LTG9	98	2019-04-18 12:48:32	SnappyTV.com	72	17
1118857377560666113	"➡️ Cada año nacen hasta 100 niños en EEUU. con el sistema inmune dañado. 
➡️ Ahora desarrollan inmunoterapia para c… https://t.co/JmsWBB0vIN"	140	2019-04-18 12:42:40	SnappyTV.com	25	15
1118854042375950337	A partir de ahora ICE ya no podrá arrestar a inmigrantes en tribunales de Nueva York sin una orden judicial. https://t.co/hJuNstuDGz	132	2019-04-18 12:29:25	SnappyTV.com	60	21
1118851443111256067	🌕 Este viernes se verá la Luna Rosa. Nuestro meteorólogo @alberteltiempo nos explica cuándo y cómo fotografiarla. https://t.co/7Vkkh5R9g4	137	2019-04-18 12:19:05	SnappyTV.com	8	3
1118849089607651329	Decretan 3 días de duelo en Perú por muerte del expresidente Alan García, quien se disparó cuando iba a ser arresta… https://t.co/5IgGCBdu09	140	2019-04-18 12:09:44	SnappyTV.com	14	8
1118846693766619137	🔎 Facebook bajo la lupa: La red social admite que recolectó 1.5 millones direcciones de emails sin autorización de… https://t.co/lkL8uZYbl9	139	2019-04-18 12:00:13	SnappyTV.com	16	10
1118845700673036288	⏱ Comienza este jueves informado #EnUnMinuto. https://t.co/YWgcS9Cgjp	69	2019-04-18 11:56:16	Hootsuite Inc.	3	1
1118842280637386752	Texas, Oklahoma y Kansas amanecen con graves daños provocados por tormentas severas. https://t.co/PxybBtR5GG	108	2019-04-18 11:42:41	SnappyTV.com	17	10
1118839581028171778	Le rinden tributo a los más de 400 bomberos que batallaron contra el incendio en la catedral de Notre Dame en París. https://t.co/U2tHUusTM8	140	2019-04-18 11:31:57	SnappyTV.com	41	7
1118837959594086400	Arrestan a hombre que intentó ingresar a la catedral de 'Saint Patrick' en Nueva York con más de 4 galones de gasol… https://t.co/ooLPcM2tfr	140	2019-04-18 11:25:31	SnappyTV.com	72	63
1118836656323223552	➡️ Departamento de Justicia entrega hoy informe de Robert Mueller sobre el #Rusiagate, investigación que duró casi… https://t.co/7yWgSFpYjw	139	2019-04-18 11:20:20	SnappyTV.com	5	5
1118830692975222785	"Rescató a los niños de una cueva en Tailandia y ahora tuvo que ser rescatado él en Tennessee.
https://t.co/cuQbACYkhB"	117	2019-04-18 10:56:38	Hootsuite Inc.	12	6
